year,id,name,works_count,country,fetch_date
2005,2303,Ecology,12,MU,2025-12-03 12:42:45
2005,1110,Plant Science,11,MU,2025-12-03 12:42:45
2005,1312,Molecular Biology,7,MU,2025-12-03 12:42:45
2005,3312,Sociology and Political Science,7,MU,2025-12-03 12:42:45
2005,2208,Electrical and Electronic Engineering,6,MU,2025-12-03 12:42:45
2005,1702,Artificial Intelligence,5,MU,2025-12-03 12:42:45
2005,1307,Cell Biology,4,MU,2025-12-03 12:42:45
2005,2002,Economics and Econometrics,4,MU,2025-12-03 12:42:45
2005,1105,"Ecology, Evolution, Behavior and Systematics",3,MU,2025-12-03 12:42:45
2005,1311,Genetics,3,MU,2025-12-03 12:42:45
2005,1605,Organic Chemistry,3,MU,2025-12-03 12:42:45
2005,1703,Computational Theory and Mathematics,3,MU,2025-12-03 12:42:45
2005,2405,Parasitology,3,MU,2025-12-03 12:42:45
2005,2613,Statistics and Probability,3,MU,2025-12-03 12:42:45
2005,1109,Insect Science,2,MU,2025-12-03 12:42:45
2005,1208,Literature and Literary Theory,2,MU,2025-12-03 12:42:45
2005,1406,Marketing,2,MU,2025-12-03 12:42:45
2005,1705,Computer Networks and Communications,2,MU,2025-12-03 12:42:45
2005,1803,Management Science and Operations Research,2,MU,2025-12-03 12:42:45
2005,1910,Oceanography,2,MU,2025-12-03 12:42:45
2005,2207,Control and Systems Engineering,2,MU,2025-12-03 12:42:45
2005,2306,Global and Planetary Change,2,MU,2025-12-03 12:42:45
2005,2309,Nature and Landscape Conservation,2,MU,2025-12-03 12:42:45
2005,1111,Soil Science,1,MU,2025-12-03 12:42:45
2005,1213,Visual Arts and Performing Arts,1,MU,2025-12-03 12:42:45
2005,1408,Strategy and Management,1,MU,2025-12-03 12:42:45
2005,1409,"Tourism, Leisure and Hospitality Management",1,MU,2025-12-03 12:42:45
2005,1607,Spectroscopy,1,MU,2025-12-03 12:42:45
2005,1706,Computer Science Applications,1,MU,2025-12-03 12:42:45
2005,1707,Computer Vision and Pattern Recognition,1,MU,2025-12-03 12:42:45
2005,1710,Information Systems,1,MU,2025-12-03 12:42:45
2005,1802,Information Systems and Management,1,MU,2025-12-03 12:42:45
2005,2204,Biomedical Engineering,1,MU,2025-12-03 12:42:45
2005,2210,Mechanical Engineering,1,MU,2025-12-03 12:42:45
2005,2307,"Health, Toxicology and Mutagenesis",1,MU,2025-12-03 12:42:45
2005,2308,"Management, Monitoring, Policy and Law",1,MU,2025-12-03 12:42:45
2005,2402,Applied Microbiology and Biotechnology,1,MU,2025-12-03 12:42:45
2005,2404,Microbiology,1,MU,2025-12-03 12:42:45
2005,2502,Biomaterials,1,MU,2025-12-03 12:42:45
2005,2505,Materials Chemistry,1,MU,2025-12-03 12:42:45
2005,2704,Biochemistry,1,MU,2025-12-03 12:42:45
2005,2707,Complementary and alternative medicine,1,MU,2025-12-03 12:42:45
2005,2712,"Endocrinology, Diabetes and Metabolism",1,MU,2025-12-03 12:42:45
2005,2805,Cognitive Neuroscience,1,MU,2025-12-03 12:42:45
2005,3310,Linguistics and Language,1,MU,2025-12-03 12:42:45
2005,3320,Political Science and International Relations,1,MU,2025-12-03 12:42:45
2005,3600,General Health Professions,1,MU,2025-12-03 12:42:45
2006,2208,Electrical and Electronic Engineering,12,MU,2025-12-03 12:42:45
2006,1705,Computer Networks and Communications,11,MU,2025-12-03 12:42:45
2006,1312,Molecular Biology,7,MU,2025-12-03 12:42:45
2006,1702,Artificial Intelligence,7,MU,2025-12-03 12:42:45
2006,2303,Ecology,7,MU,2025-12-03 12:42:45
2006,3312,Sociology and Political Science,7,MU,2025-12-03 12:42:45
2006,1110,Plant Science,6,MU,2025-12-03 12:42:45
2006,1106,Food Science,5,MU,2025-12-03 12:42:45
2006,2002,Economics and Econometrics,5,MU,2025-12-03 12:42:45
2006,1707,Computer Vision and Pattern Recognition,4,MU,2025-12-03 12:42:45
2006,1710,Information Systems,4,MU,2025-12-03 12:42:45
2006,2712,"Endocrinology, Diabetes and Metabolism",3,MU,2025-12-03 12:42:45
2006,3318,Gender Studies,3,MU,2025-12-03 12:42:45
2006,1105,"Ecology, Evolution, Behavior and Systematics",2,MU,2025-12-03 12:42:45
2006,1109,Insect Science,2,MU,2025-12-03 12:42:45
2006,1311,Genetics,2,MU,2025-12-03 12:42:45
2006,2000,"General Economics, Econometrics and Finance",2,MU,2025-12-03 12:42:45
2006,2204,Biomedical Engineering,2,MU,2025-12-03 12:42:45
2006,2210,Mechanical Engineering,2,MU,2025-12-03 12:42:45
2006,2306,Global and Planetary Change,2,MU,2025-12-03 12:42:45
2006,3600,General Health Professions,2,MU,2025-12-03 12:42:45
2006,1111,Soil Science,1,MU,2025-12-03 12:42:45
2006,1212,Religious studies,1,MU,2025-12-03 12:42:45
2006,1305,Biotechnology,1,MU,2025-12-03 12:42:45
2006,1306,Cancer Research,1,MU,2025-12-03 12:42:45
2006,1310,Endocrinology,1,MU,2025-12-03 12:42:45
2006,1313,Molecular Medicine,1,MU,2025-12-03 12:42:45
2006,1405,Management of Technology and Innovation,1,MU,2025-12-03 12:42:45
2006,1407,Organizational Behavior and Human Resource Management,1,MU,2025-12-03 12:42:45
