subfield_id,subfield_name,title,doi,year,cited_by_count,id
2303,Ecology,Long-term and trans-life-cycle effects of exposure to ocean acidification in the green sea urchin Strongylocentrotus droebachiensis,https://doi.org/10.1007/s00227-012-1921-x,2012,344,https://openalex.org/W1973958881
2303,Ecology,Global status and conservation potential of reef sharks,https://doi.org/10.1038/s41586-020-2519-y,2020,287,https://openalex.org/W3044165755
2303,Ecology,"Past and present distribution, densities and movements of blue whales <i>Balaenoptera musculus</i> in the Southern Hemisphere and northern Indian Ocean",https://doi.org/10.1111/j.1365-2907.2007.00106.x,2007,277,https://openalex.org/W2128779859
2713,Epidemiology,Decontamination of the Digestive Tract and Oropharynx in ICU Patients,https://doi.org/10.1056/nejmoa0800394,2008,811,https://openalex.org/W2065088137
2713,Epidemiology,epic2: National Evidence-Based Guidelines for Preventing Healthcare-Associated Infections in NHS Hospitals in England,https://doi.org/10.1016/s0195-6701(07)60002-4,2007,719,https://openalex.org/W4205175489
2713,Epidemiology,Rapid Whole-Genome Sequencing for Investigation of a Neonatal MRSA Outbreak,https://doi.org/10.1056/nejmoa1109910,2012,656,https://openalex.org/W2051903478
2306,Global and Planetary Change,Brown Clouds over South Asia: Biomass or Fossil Fuel Combustion?,https://doi.org/10.1126/science.1164857,2009,732,https://openalex.org/W1980815716
2306,Global and Planetary Change,"Atmospheric brown clouds: Hemispherical and regional variations in long‐range transport, absorption, and radiative forcing",https://doi.org/10.1029/2006jd008124,2007,536,https://openalex.org/W2036025639
2306,Global and Planetary Change,Long-term and trans-life-cycle effects of exposure to ocean acidification in the green sea urchin Strongylocentrotus droebachiensis,https://doi.org/10.1007/s00227-012-1921-x,2012,344,https://openalex.org/W1973958881
2725,Infectious Diseases,A living WHO guideline on drugs for covid-19,https://doi.org/10.1136/bmj.m3379,2020,1045,https://openalex.org/W3081745349
2725,Infectious Diseases,Guidelines for the validation and application of typing methods for use in bacterial epidemiology,https://doi.org/10.1111/j.1469-0691.2007.01786.x,2007,846,https://openalex.org/W2164278522
2725,Infectious Diseases,epic2: National Evidence-Based Guidelines for Preventing Healthcare-Associated Infections in NHS Hospitals in England,https://doi.org/10.1016/s0195-6701(07)60002-4,2007,719,https://openalex.org/W4205175489
1910,Oceanography,Long-term and trans-life-cycle effects of exposure to ocean acidification in the green sea urchin Strongylocentrotus droebachiensis,https://doi.org/10.1007/s00227-012-1921-x,2012,344,https://openalex.org/W1973958881
1910,Oceanography,"Past and present distribution, densities and movements of blue whales <i>Balaenoptera musculus</i> in the Southern Hemisphere and northern Indian Ocean",https://doi.org/10.1111/j.1365-2907.2007.00106.x,2007,277,https://openalex.org/W2128779859
1910,Oceanography,Microalgal community structure and primary production in Arctic and Antarctic sea ice: A synthesis,https://doi.org/10.1525/elementa.267,2018,175,https://openalex.org/W2783030856
3312,Sociology and Political Science,Adoption and impacts of generative artificial intelligence: Theoretical underpinnings and research agenda,https://doi.org/10.1016/j.jjimei.2024.100232,2024,178,https://openalex.org/W4393308843
3312,Sociology and Political Science,Lymphogranuloma Venereum in the United Kingdom,https://doi.org/10.1086/509922,2006,169,https://openalex.org/W2083125556
3312,Sociology and Political Science,"Assessment of Residential Satisfaction with Public Housing in Hulhumale’, Maldives",https://doi.org/10.1016/j.sbspro.2012.08.078,2012,140,https://openalex.org/W2056326795
2309,Nature and Landscape Conservation,Global status and conservation potential of reef sharks,https://doi.org/10.1038/s41586-020-2519-y,2020,287,https://openalex.org/W3044165755
2309,Nature and Landscape Conservation,"Troubled waters: Threats and extinction risk of the sharks, rays and chimaeras of the Arabian Sea and adjacent waters",https://doi.org/10.1111/faf.12311,2018,97,https://openalex.org/W2885773139
2309,Nature and Landscape Conservation,A review of behavioural ecology of whale sharks (Rhincodon typus),https://doi.org/10.1016/j.fishres.2006.11.010,2006,83,https://openalex.org/W2017718789
2739,"Public Health, Environmental and Occupational Health","Rapid detection, differentiation and typing of methicillin-resistant Staphylococcus aureus harbouring either mecA or the new mecA homologue mecALGA251",https://doi.org/10.1111/j.1469-0691.2011.03715.x,2011,409,https://openalex.org/W1588562755
2739,"Public Health, Environmental and Occupational Health",Risk of Tuberculosis in Pregnancy,https://doi.org/10.1164/rccm.201106-1083oc,2011,189,https://openalex.org/W1969957050
2739,"Public Health, Environmental and Occupational Health",Survival and cessation in injecting drug users: prospective observational study of outcomes and effect of opiate substitution treatment,https://doi.org/10.1136/bmj.c3172,2010,185,https://openalex.org/W1995021702
1902,Atmospheric Science,Brown Clouds over South Asia: Biomass or Fossil Fuel Combustion?,https://doi.org/10.1126/science.1164857,2009,732,https://openalex.org/W1980815716
1902,Atmospheric Science,"Atmospheric brown clouds: Hemispherical and regional variations in long‐range transport, absorption, and radiative forcing",https://doi.org/10.1029/2006jd008124,2007,536,https://openalex.org/W2036025639
1902,Atmospheric Science,Estimating Ground‐Level PM<sub>2.5</sub> by Fusing Satellite and Station Observations: A Geo‐Intelligent Deep Learning Approach,https://doi.org/10.1002/2017gl075710,2017,394,https://openalex.org/W2951572255
1312,Molecular Biology,"Rapid detection, differentiation and typing of methicillin-resistant Staphylococcus aureus harbouring either mecA or the new mecA homologue mecALGA251",https://doi.org/10.1111/j.1469-0691.2011.03715.x,2011,409,https://openalex.org/W1588562755
1312,Molecular Biology,Prospects for the development of probiotics and prebiotics for oral applications,https://doi.org/10.3402/jom.v1i0.1949,2009,127,https://openalex.org/W2139082389
1312,Molecular Biology,Suspect and non-target screening: the last frontier in environmental analysis,https://doi.org/10.1039/d1ay00111f,2021,116,https://openalex.org/W3136289336
