year,id,name,works_count,country,fetch_date
2005,2713,Epidemiology,16,MV,2025-12-01 19:09:55
2005,2725,Infectious Diseases,11,MV,2025-12-01 19:09:55
2005,2303,Ecology,6,MV,2025-12-01 19:09:55
2005,2404,Microbiology,5,MV,2025-12-01 19:09:55
2005,2403,Immunology,4,MV,2025-12-01 19:09:55
2005,2739,"Public Health, Environmental and Occupational Health",4,MV,2025-12-01 19:09:55
2005,1902,Atmospheric Science,3,MV,2025-12-01 19:09:55
2005,3600,General Health Professions,3,MV,2025-12-01 19:09:55
2005,1102,Agronomy and Crop Science,2,MV,2025-12-01 19:09:55
2005,1106,Food Science,2,MV,2025-12-01 19:09:55
2005,1310,Endocrinology,2,MV,2025-12-01 19:09:55
2005,1904,Earth-Surface Processes,2,MV,2025-12-01 19:09:55
2005,2306,Global and Planetary Change,2,MV,2025-12-01 19:09:55
2005,2406,Virology,2,MV,2025-12-01 19:09:55
2005,2611,Modeling and Simulation,2,MV,2025-12-01 19:09:55
2005,2721,Hepatology,2,MV,2025-12-01 19:09:55
2005,2734,Pathology and Forensic Medicine,2,MV,2025-12-01 19:09:55
2005,2746,Surgery,2,MV,2025-12-01 19:09:55
2005,3306,Health,2,MV,2025-12-01 19:09:55
2005,1103,Animal Science and Zoology,1,MV,2025-12-01 19:09:55
2005,1204,Archeology,1,MV,2025-12-01 19:09:55
2005,1311,Genetics,1,MV,2025-12-01 19:09:55
2005,1312,Molecular Biology,1,MV,2025-12-01 19:09:55
2005,1313,Molecular Medicine,1,MV,2025-12-01 19:09:55
2005,1910,Oceanography,1,MV,2025-12-01 19:09:55
2005,1911,Paleontology,1,MV,2025-12-01 19:09:55
2005,2212,Ocean Engineering,1,MV,2025-12-01 19:09:55
2005,2711,Emergency Medicine,1,MV,2025-12-01 19:09:55
2005,2730,Oncology,1,MV,2025-12-01 19:09:55
2005,2735,"Pediatrics, Perinatology and Child Health",1,MV,2025-12-01 19:09:55
2005,2740,Pulmonary and Respiratory Medicine,1,MV,2025-12-01 19:09:55
2005,2745,Rheumatology,1,MV,2025-12-01 19:09:55
2005,2748,Urology,1,MV,2025-12-01 19:09:55
2005,3207,Social Psychology,1,MV,2025-12-01 19:09:55
2005,3404,Small Animals,1,MV,2025-12-01 19:09:55
2005,3604,Emergency Medical Services,1,MV,2025-12-01 19:09:55
2005,3605,Health Information Management,1,MV,2025-12-01 19:09:55
2006,2713,Epidemiology,14,MV,2025-12-01 19:09:55
2006,1910,Oceanography,6,MV,2025-12-01 19:09:55
2006,2303,Ecology,6,MV,2025-12-01 19:09:55
2006,2725,Infectious Diseases,6,MV,2025-12-01 19:09:55
2006,2306,Global and Planetary Change,5,MV,2025-12-01 19:09:55
2006,2404,Microbiology,5,MV,2025-12-01 19:09:55
2006,2309,Nature and Landscape Conservation,4,MV,2025-12-01 19:09:55
2006,1902,Atmospheric Science,3,MV,2025-12-01 19:09:55
2006,2721,Hepatology,3,MV,2025-12-01 19:09:55
2006,3312,Sociology and Political Science,3,MV,2025-12-01 19:09:55
2006,3600,General Health Professions,3,MV,2025-12-01 19:09:55
2006,1312,Molecular Biology,2,MV,2025-12-01 19:09:55
2006,2212,Ocean Engineering,2,MV,2025-12-01 19:09:55
2006,2307,"Health, Toxicology and Mutagenesis",2,MV,2025-12-01 19:09:55
2006,2739,"Public Health, Environmental and Occupational Health",2,MV,2025-12-01 19:09:55
2006,2804,Cellular and Molecular Neuroscience,2,MV,2025-12-01 19:09:55
2006,3306,Health,2,MV,2025-12-01 19:09:55
2006,1102,Agronomy and Crop Science,1,MV,2025-12-01 19:09:55
2006,1104,Aquatic Science,1,MV,2025-12-01 19:09:55
2006,1109,Insect Science,1,MV,2025-12-01 19:09:55
2006,1204,Archeology,1,MV,2025-12-01 19:09:55
2006,1904,Earth-Surface Processes,1,MV,2025-12-01 19:09:55
2006,1908,Geophysics,1,MV,2025-12-01 19:09:55
2006,2304,Environmental Chemistry,1,MV,2025-12-01 19:09:55
2006,2305,Environmental Engineering,1,MV,2025-12-01 19:09:55
2006,2403,Immunology,1,MV,2025-12-01 19:09:55
2006,2502,Biomaterials,1,MV,2025-12-01 19:09:55
2006,2608,Geometry and Topology,1,MV,2025-12-01 19:09:55
2006,2728,Neurology,1,MV,2025-12-01 19:09:55
2006,2731,Ophthalmology,1,MV,2025-12-01 19:09:55
2006,2735,"Pediatrics, Perinatology and Child Health",1,MV,2025-12-01 19:09:55
2006,2736,Pharmacology,1,MV,2025-12-01 19:09:55
2006,2737,Physiology,1,MV,2025-12-01 19:09:55
2006,2740,Pulmonary and Respiratory Medicine,1,MV,2025-12-01 19:09:55
2006,2745,Rheumatology,1,MV,2025-12-01 19:09:55
2006,2746,Surgery,1,MV,2025-12-01 19:09:55
2006,3313,Transportation,1,MV,2025-12-01 19:09:55
2006,3616,Speech and Hearing,1,MV,2025-12-01 19:09:55
2007,2725,Infectious Diseases,21,MV,2025-12-01 19:09:55
2007,2713,Epidemiology,16,MV,2025-12-01 19:09:55
2007,1902,Atmospheric Science,5,MV,2025-12-01 19:09:55
2007,2306,Global and Planetary Change,5,MV,2025-12-01 19:09:55
2007,2404,Microbiology,5,MV,2025-12-01 19:09:55
2007,1103,Animal Science and Zoology,3,MV,2025-12-01 19:09:55
2007,1910,Oceanography,3,MV,2025-12-01 19:09:55
2007,2303,Ecology,3,MV,2025-12-01 19:09:55
2007,2309,Nature and Landscape Conservation,3,MV,2025-12-01 19:09:55
2007,2705,Cardiology and Cardiovascular Medicine,3,MV,2025-12-01 19:09:55
2007,2740,Pulmonary and Respiratory Medicine,3,MV,2025-12-01 19:09:55
2007,3312,Sociology and Political Science,3,MV,2025-12-01 19:09:55
2007,1106,Food Science,2,MV,2025-12-01 19:09:55
2007,1308,Clinical Biochemistry,2,MV,2025-12-01 19:09:55
2007,1313,Molecular Medicine,2,MV,2025-12-01 19:09:55
2007,1904,Earth-Surface Processes,2,MV,2025-12-01 19:09:55
2007,2405,Parasitology,2,MV,2025-12-01 19:09:55
2007,2721,Hepatology,2,MV,2025-12-01 19:09:55
2007,2739,"Public Health, Environmental and Occupational Health",2,MV,2025-12-01 19:09:55
2007,3600,General Health Professions,2,MV,2025-12-01 19:09:55
2007,3609,Occupational Therapy,2,MV,2025-12-01 19:09:55
2007,1104,Aquatic Science,1,MV,2025-12-01 19:09:55
2007,1305,Biotechnology,1,MV,2025-12-01 19:09:55
2007,1310,Endocrinology,1,MV,2025-12-01 19:09:55
2007,1311,Genetics,1,MV,2025-12-01 19:09:55
2007,2307,"Health, Toxicology and Mutagenesis",1,MV,2025-12-01 19:09:55
2007,2403,Immunology,1,MV,2025-12-01 19:09:55
2007,2406,Virology,1,MV,2025-12-01 19:09:55
2007,2706,Critical Care and Intensive Care Medicine,1,MV,2025-12-01 19:09:55
2007,2708,Dermatology,1,MV,2025-12-01 19:09:55
2007,2730,Oncology,1,MV,2025-12-01 19:09:55
2007,2737,Physiology,1,MV,2025-12-01 19:09:55
2007,2916,Nutrition and Dietetics,1,MV,2025-12-01 19:09:55
2007,3103,Astronomy and Astrophysics,1,MV,2025-12-01 19:09:55
2007,3306,Health,1,MV,2025-12-01 19:09:55
2007,3614,Radiological and Ultrasound Technology,1,MV,2025-12-01 19:09:55
2007,3616,Speech and Hearing,1,MV,2025-12-01 19:09:55
2008,2713,Epidemiology,26,MV,2025-12-01 19:09:55
2008,2725,Infectious Diseases,16,MV,2025-12-01 19:09:55
2008,2721,Hepatology,7,MV,2025-12-01 19:09:55
2008,3306,Health,7,MV,2025-12-01 19:09:55
2008,2404,Microbiology,6,MV,2025-12-01 19:09:55
2008,1312,Molecular Biology,5,MV,2025-12-01 19:09:55
2008,1902,Atmospheric Science,5,MV,2025-12-01 19:09:55
2008,2306,Global and Planetary Change,5,MV,2025-12-01 19:09:55
2008,1106,Food Science,4,MV,2025-12-01 19:09:55
2008,2739,"Public Health, Environmental and Occupational Health",4,MV,2025-12-01 19:09:55
2008,2740,Pulmonary and Respiratory Medicine,4,MV,2025-12-01 19:09:55
2008,1904,Earth-Surface Processes,3,MV,2025-12-01 19:09:55
2008,2303,Ecology,3,MV,2025-12-01 19:09:55
2008,2737,Physiology,3,MV,2025-12-01 19:09:55
2008,2746,Surgery,3,MV,2025-12-01 19:09:55
2008,3600,General Health Professions,3,MV,2025-12-01 19:09:55
2008,2204,Biomedical Engineering,2,MV,2025-12-01 19:09:55
2008,2611,Modeling and Simulation,2,MV,2025-12-01 19:09:55
2008,2705,Cardiology and Cardiovascular Medicine,2,MV,2025-12-01 19:09:55
2008,2706,Critical Care and Intensive Care Medicine,2,MV,2025-12-01 19:09:55
2008,1103,Animal Science and Zoology,1,MV,2025-12-01 19:09:55
2008,1110,Plant Science,1,MV,2025-12-01 19:09:55
2008,1204,Archeology,1,MV,2025-12-01 19:09:55
2008,1305,Biotechnology,1,MV,2025-12-01 19:09:55
2008,1307,Cell Biology,1,MV,2025-12-01 19:09:55
