year,id,name,works_count,country,fetch_date
2005,2725,Infectious Diseases,44,MW,2025-12-03 12:32:27
2005,2739,"Public Health, Environmental and Occupational Health",29,MW,2025-12-03 12:32:27
2005,2713,Epidemiology,28,MW,2025-12-03 12:32:27
2005,2735,"Pediatrics, Perinatology and Child Health",23,MW,2025-12-03 12:32:27
2005,3600,General Health Professions,23,MW,2025-12-03 12:32:27
2005,2002,Economics and Econometrics,14,MW,2025-12-03 12:32:27
2005,2711,Emergency Medicine,14,MW,2025-12-03 12:32:27
2005,2916,Nutrition and Dietetics,12,MW,2025-12-03 12:32:27
2005,3311,Safety Research,12,MW,2025-12-03 12:32:27
2005,2403,Immunology,9,MW,2025-12-03 12:32:27
2005,2746,Surgery,9,MW,2025-12-03 12:32:27
2005,3312,Sociology and Political Science,9,MW,2025-12-03 12:32:27
2005,2406,Virology,8,MW,2025-12-03 12:32:27
2005,1311,Genetics,5,MW,2025-12-03 12:32:27
2005,2405,Parasitology,5,MW,2025-12-03 12:32:27
2005,2721,Hepatology,5,MW,2025-12-03 12:32:27
2005,2729,Obstetrics and Gynecology,5,MW,2025-12-03 12:32:27
2005,2716,Genetics,4,MW,2025-12-03 12:32:27
2005,3604,Emergency Medical Services,4,MW,2025-12-03 12:32:27
2005,1105,"Ecology, Evolution, Behavior and Systematics",3,MW,2025-12-03 12:32:27
2005,2404,Microbiology,3,MW,2025-12-03 12:32:27
2005,2738,Psychiatry and Mental health,3,MW,2025-12-03 12:32:27
2005,2740,Pulmonary and Respiratory Medicine,3,MW,2025-12-03 12:32:27
2005,2742,Rehabilitation,3,MW,2025-12-03 12:32:27
2005,3320,Political Science and International Relations,3,MW,2025-12-03 12:32:27
2005,3605,Health Information Management,3,MW,2025-12-03 12:32:27
2005,1100,General Agricultural and Biological Sciences,2,MW,2025-12-03 12:32:27
2005,1106,Food Science,2,MW,2025-12-03 12:32:27
2005,1111,Soil Science,2,MW,2025-12-03 12:32:27
2005,1407,Organizational Behavior and Human Resource Management,2,MW,2025-12-03 12:32:27
2005,2303,Ecology,2,MW,2025-12-03 12:32:27
2005,2720,Hematology,2,MW,2025-12-03 12:32:27
2005,3004,Pharmacology,2,MW,2025-12-03 12:32:27
2005,3303,Development,2,MW,2025-12-03 12:32:27
2005,1102,Agronomy and Crop Science,1,MW,2025-12-03 12:32:27
2005,1104,Aquatic Science,1,MW,2025-12-03 12:32:27
2005,1109,Insect Science,1,MW,2025-12-03 12:32:27
2005,1110,Plant Science,1,MW,2025-12-03 12:32:27
2005,1312,Molecular Biology,1,MW,2025-12-03 12:32:27
2005,1703,Computational Theory and Mathematics,1,MW,2025-12-03 12:32:27
2005,1707,Computer Vision and Pattern Recognition,1,MW,2025-12-03 12:32:27
2005,1803,Management Science and Operations Research,1,MW,2025-12-03 12:32:27
2005,2003,Finance,1,MW,2025-12-03 12:32:27
2005,2212,Ocean Engineering,1,MW,2025-12-03 12:32:27
2005,2613,Statistics and Probability,1,MW,2025-12-03 12:32:27
2005,2705,Cardiology and Cardiovascular Medicine,1,MW,2025-12-03 12:32:27
2005,2727,Nephrology,1,MW,2025-12-03 12:32:27
2005,2730,Oncology,1,MW,2025-12-03 12:32:27
2005,2731,Ophthalmology,1,MW,2025-12-03 12:32:27
2005,2737,Physiology,1,MW,2025-12-03 12:32:27
2005,2804,Cellular and Molecular Neuroscience,1,MW,2025-12-03 12:32:27
2005,3203,Clinical Psychology,1,MW,2025-12-03 12:32:27
2005,3304,Education,1,MW,2025-12-03 12:32:27
2005,3306,Health,1,MW,2025-12-03 12:32:27
2005,3308,Law,1,MW,2025-12-03 12:32:27
2005,3322,Urban Studies,1,MW,2025-12-03 12:32:27
2005,3614,Radiological and Ultrasound Technology,1,MW,2025-12-03 12:32:27
2006,2725,Infectious Diseases,47,MW,2025-12-03 12:32:27
2006,2739,"Public Health, Environmental and Occupational Health",41,MW,2025-12-03 12:32:27
2006,2713,Epidemiology,31,MW,2025-12-03 12:32:27
2006,3600,General Health Professions,31,MW,2025-12-03 12:32:27
2006,2735,"Pediatrics, Perinatology and Child Health",28,MW,2025-12-03 12:32:27
2006,2002,Economics and Econometrics,25,MW,2025-12-03 12:32:27
2006,2916,Nutrition and Dietetics,13,MW,2025-12-03 12:32:27
2006,3311,Safety Research,12,MW,2025-12-03 12:32:27
2006,2403,Immunology,11,MW,2025-12-03 12:32:27
2006,2711,Emergency Medicine,8,MW,2025-12-03 12:32:27
2006,3312,Sociology and Political Science,8,MW,2025-12-03 12:32:27
2006,2404,Microbiology,7,MW,2025-12-03 12:32:27
2006,2406,Virology,7,MW,2025-12-03 12:32:27
2006,2746,Surgery,6,MW,2025-12-03 12:32:27
2006,3203,Clinical Psychology,5,MW,2025-12-03 12:32:27
2006,3604,Emergency Medical Services,5,MW,2025-12-03 12:32:27
2006,2405,Parasitology,4,MW,2025-12-03 12:32:27
2006,2729,Obstetrics and Gynecology,4,MW,2025-12-03 12:32:27
2006,2731,Ophthalmology,4,MW,2025-12-03 12:32:27
2006,2738,Psychiatry and Mental health,4,MW,2025-12-03 12:32:27
2006,3306,Health,4,MW,2025-12-03 12:32:27
2006,2716,Genetics,3,MW,2025-12-03 12:32:27
2006,2720,Hematology,3,MW,2025-12-03 12:32:27
2006,2736,Pharmacology,3,MW,2025-12-03 12:32:27
2006,2737,Physiology,3,MW,2025-12-03 12:32:27
2006,3004,Pharmacology,3,MW,2025-12-03 12:32:27
2006,1308,Clinical Biochemistry,2,MW,2025-12-03 12:32:27
2006,1312,Molecular Biology,2,MW,2025-12-03 12:32:27
2006,1703,Computational Theory and Mathematics,2,MW,2025-12-03 12:32:27
2006,2712,"Endocrinology, Diabetes and Metabolism",2,MW,2025-12-03 12:32:27
2006,2730,Oncology,2,MW,2025-12-03 12:32:27
2006,2745,Rheumatology,2,MW,2025-12-03 12:32:27
2006,1102,Agronomy and Crop Science,1,MW,2025-12-03 12:32:27
2006,1103,Animal Science and Zoology,1,MW,2025-12-03 12:32:27
2006,1106,Food Science,1,MW,2025-12-03 12:32:27
2006,1111,Soil Science,1,MW,2025-12-03 12:32:27
2006,1311,Genetics,1,MW,2025-12-03 12:32:27
2006,1313,Molecular Medicine,1,MW,2025-12-03 12:32:27
2006,1403,Business and International Management,1,MW,2025-12-03 12:32:27
2006,1405,Management of Technology and Innovation,1,MW,2025-12-03 12:32:27
2006,1407,Organizational Behavior and Human Resource Management,1,MW,2025-12-03 12:32:27
2006,1803,Management Science and Operations Research,1,MW,2025-12-03 12:32:27
2006,2105,"Renewable Energy, Sustainability and the Environment",1,MW,2025-12-03 12:32:27
2006,2204,Biomedical Engineering,1,MW,2025-12-03 12:32:27
2006,2212,Ocean Engineering,1,MW,2025-12-03 12:32:27
2006,2303,Ecology,1,MW,2025-12-03 12:32:27
2006,2306,Global and Planetary Change,1,MW,2025-12-03 12:32:27
2006,2611,Modeling and Simulation,1,MW,2025-12-03 12:32:27
2006,2704,Biochemistry,1,MW,2025-12-03 12:32:27
2006,2706,Critical Care and Intensive Care Medicine,1,MW,2025-12-03 12:32:27
2006,2728,Neurology,1,MW,2025-12-03 12:32:27
2006,2733,Otorhinolaryngology,1,MW,2025-12-03 12:32:27
2006,2734,Pathology and Forensic Medicine,1,MW,2025-12-03 12:32:27
2006,2741,"Radiology, Nuclear Medicine and Imaging",1,MW,2025-12-03 12:32:27
2006,2742,Rehabilitation,1,MW,2025-12-03 12:32:27
2006,2804,Cellular and Molecular Neuroscience,1,MW,2025-12-03 12:32:27
2006,3303,Development,1,MW,2025-12-03 12:32:27
2006,3304,Education,1,MW,2025-12-03 12:32:27
2006,3317,Demography,1,MW,2025-12-03 12:32:27
2006,3318,Gender Studies,1,MW,2025-12-03 12:32:27
2006,3322,Urban Studies,1,MW,2025-12-03 12:32:27
2006,3404,Small Animals,1,MW,2025-12-03 12:32:27
2006,3607,Medical Laboratory Technology,1,MW,2025-12-03 12:32:27
2007,2725,Infectious Diseases,66,MW,2025-12-03 12:32:27
2007,2739,"Public Health, Environmental and Occupational Health",58,MW,2025-12-03 12:32:27
2007,2735,"Pediatrics, Perinatology and Child Health",49,MW,2025-12-03 12:32:27
2007,2713,Epidemiology,36,MW,2025-12-03 12:32:27
2007,3600,General Health Professions,33,MW,2025-12-03 12:32:27
2007,2002,Economics and Econometrics,28,MW,2025-12-03 12:32:27
2007,2916,Nutrition and Dietetics,23,MW,2025-12-03 12:32:27
2007,3311,Safety Research,22,MW,2025-12-03 12:32:27
2007,2406,Virology,18,MW,2025-12-03 12:32:27
2007,3312,Sociology and Political Science,13,MW,2025-12-03 12:32:27
