year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,1116,MX,2025-12-03 12:05:53
2005,1312,Molecular Biology,1055,MX,2025-12-03 12:05:53
2005,1110,Plant Science,947,MX,2025-12-03 12:05:53
2005,3312,Sociology and Political Science,874,MX,2025-12-03 12:05:53
2005,2505,Materials Chemistry,832,MX,2025-12-03 12:05:53
2005,2746,Surgery,736,MX,2025-12-03 12:05:53
2005,3320,Political Science and International Relations,687,MX,2025-12-03 12:05:53
2005,2739,"Public Health, Environmental and Occupational Health",654,MX,2025-12-03 12:05:53
2005,3304,Education,607,MX,2025-12-03 12:05:53
2005,2002,Economics and Econometrics,498,MX,2025-12-03 12:05:53
2005,3107,"Atomic and Molecular Physics, and Optics",302,MX,2025-12-03 12:05:53
2005,2204,Biomedical Engineering,269,MX,2025-12-03 12:05:53
2005,1106,Food Science,225,MX,2025-12-03 12:05:53
2005,3600,General Health Professions,198,MX,2025-12-03 12:05:53
2005,3300,General Social Sciences,178,MX,2025-12-03 12:05:53
2005,1311,Genetics,173,MX,2025-12-03 12:05:53
2005,2713,Epidemiology,167,MX,2025-12-03 12:05:53
2005,1100,General Agricultural and Biological Sciences,162,MX,2025-12-03 12:05:53
2005,2740,Pulmonary and Respiratory Medicine,159,MX,2025-12-03 12:05:53
2005,2210,Mechanical Engineering,156,MX,2025-12-03 12:05:53
2005,1605,Organic Chemistry,155,MX,2025-12-03 12:05:53
2005,1105,"Ecology, Evolution, Behavior and Systematics",145,MX,2025-12-03 12:05:53
2005,3317,Demography,141,MX,2025-12-03 12:05:53
2005,2725,Infectious Diseases,130,MX,2025-12-03 12:05:53
2005,2308,"Management, Monitoring, Policy and Law",126,MX,2025-12-03 12:05:53
2005,3303,Development,125,MX,2025-12-03 12:05:53
2005,2207,Control and Systems Engineering,124,MX,2025-12-03 12:05:53
2005,1705,Computer Networks and Communications,116,MX,2025-12-03 12:05:53
2005,2211,Mechanics of Materials,106,MX,2025-12-03 12:05:53
2005,2736,Pharmacology,101,MX,2025-12-03 12:05:53
2005,3308,Law,100,MX,2025-12-03 12:05:53
2005,1307,Cell Biology,99,MX,2025-12-03 12:05:53
2005,2000,"General Economics, Econometrics and Finance",99,MX,2025-12-03 12:05:53
2005,2804,Cellular and Molecular Neuroscience,99,MX,2025-12-03 12:05:53
2005,3316,Cultural Studies,94,MX,2025-12-03 12:05:53
2005,1109,Insect Science,93,MX,2025-12-03 12:05:53
2005,2504,"Electronic, Optical and Magnetic Materials",93,MX,2025-12-03 12:05:53
2005,2705,Cardiology and Cardiovascular Medicine,93,MX,2025-12-03 12:05:53
2005,2737,Physiology,92,MX,2025-12-03 12:05:53
2005,1710,Information Systems,91,MX,2025-12-03 12:05:53
2005,3311,Safety Research,90,MX,2025-12-03 12:05:53
2005,2712,"Endocrinology, Diabetes and Metabolism",86,MX,2025-12-03 12:05:53
2005,1202,History,83,MX,2025-12-03 12:05:53
2005,2730,Oncology,83,MX,2025-12-03 12:05:53
2005,2916,Nutrition and Dietetics,80,MX,2025-12-03 12:05:53
2005,1407,Organizational Behavior and Human Resource Management,79,MX,2025-12-03 12:05:53
2005,2105,"Renewable Energy, Sustainability and the Environment",77,MX,2025-12-03 12:05:53
2005,3314,Anthropology,75,MX,2025-12-03 12:05:53
2005,2303,Ecology,73,MX,2025-12-03 12:05:53
2005,3207,Social Psychology,66,MX,2025-12-03 12:05:53
2005,1702,Artificial Intelligence,65,MX,2025-12-03 12:05:53
2005,1604,Inorganic Chemistry,61,MX,2025-12-03 12:05:53
2005,2735,"Pediatrics, Perinatology and Child Health",61,MX,2025-12-03 12:05:53
2005,1305,Biotechnology,60,MX,2025-12-03 12:05:53
2005,2403,Immunology,60,MX,2025-12-03 12:05:53
2005,2202,Aerospace Engineering,59,MX,2025-12-03 12:05:53
2005,2734,Pathology and Forensic Medicine,58,MX,2025-12-03 12:05:53
2005,3203,Clinical Psychology,58,MX,2025-12-03 12:05:53
2005,1102,Agronomy and Crop Science,57,MX,2025-12-03 12:05:53
2005,1211,Philosophy,57,MX,2025-12-03 12:05:53
2005,1607,Spectroscopy,55,MX,2025-12-03 12:05:53
2005,3104,Condensed Matter Physics,55,MX,2025-12-03 12:05:53
2005,1402,Accounting,54,MX,2025-12-03 12:05:53
2005,1408,Strategy and Management,54,MX,2025-12-03 12:05:53
2005,2205,Civil and Structural Engineering,53,MX,2025-12-03 12:05:53
2005,3306,Health,53,MX,2025-12-03 12:05:53
2005,1306,Cancer Research,51,MX,2025-12-03 12:05:53
2005,3318,Gender Studies,50,MX,2025-12-03 12:05:53
2005,1503,Catalysis,48,MX,2025-12-03 12:05:53
2005,2003,Finance,47,MX,2025-12-03 12:05:53
2005,2741,"Radiology, Nuclear Medicine and Imaging",47,MX,2025-12-03 12:05:53
2005,2206,Computational Mechanics,46,MX,2025-12-03 12:05:53
2005,2507,Polymers and Plastics,45,MX,2025-12-03 12:05:53
2005,1208,Literature and Literary Theory,43,MX,2025-12-03 12:05:53
2005,3611,Pharmacy,43,MX,2025-12-03 12:05:53
2005,1706,Computer Science Applications,42,MX,2025-12-03 12:05:53
2005,2743,Reproductive Medicine,42,MX,2025-12-03 12:05:53
2005,3004,Pharmacology,42,MX,2025-12-03 12:05:53
2005,2503,Ceramics and Composites,41,MX,2025-12-03 12:05:53
2005,3109,Statistical and Nonlinear Physics,41,MX,2025-12-03 12:05:53
2005,2405,Parasitology,40,MX,2025-12-03 12:05:53
2005,3315,Communication,40,MX,2025-12-03 12:05:53
2005,1111,Soil Science,38,MX,2025-12-03 12:05:53
2005,1303,Biochemistry,38,MX,2025-12-03 12:05:53
2005,1502,Bioengineering,37,MX,2025-12-03 12:05:53
2005,2715,Gastroenterology,37,MX,2025-12-03 12:05:53
2005,2745,Rheumatology,37,MX,2025-12-03 12:05:53
2005,2309,Nature and Landscape Conservation,36,MX,2025-12-03 12:05:53
2005,3310,Linguistics and Language,36,MX,2025-12-03 12:05:53
2005,2307,"Health, Toxicology and Mutagenesis",35,MX,2025-12-03 12:05:53
2005,3103,Astronomy and Astrophysics,35,MX,2025-12-03 12:05:53
2005,3204,Developmental and Educational Psychology,35,MX,2025-12-03 12:05:53
2005,2728,Neurology,34,MX,2025-12-03 12:05:53
2005,2306,Global and Planetary Change,32,MX,2025-12-03 12:05:53
2005,2310,Pollution,31,MX,2025-12-03 12:05:53
2005,2502,Biomaterials,31,MX,2025-12-03 12:05:53
2005,2711,Emergency Medicine,31,MX,2025-12-03 12:05:53
2005,2720,Hematology,31,MX,2025-12-03 12:05:53
2005,2312,Water Science and Technology,30,MX,2025-12-03 12:05:53
2005,3322,Urban Studies,29,MX,2025-12-03 12:05:53
2005,1603,Electrochemistry,28,MX,2025-12-03 12:05:53
2005,1606,Physical and Theoretical Chemistry,28,MX,2025-12-03 12:05:53
2005,1703,Computational Theory and Mathematics,28,MX,2025-12-03 12:05:53
2005,1711,Signal Processing,28,MX,2025-12-03 12:05:53
2005,1209,Museology,27,MX,2025-12-03 12:05:53
2005,1902,Atmospheric Science,27,MX,2025-12-03 12:05:53
2005,1908,Geophysics,27,MX,2025-12-03 12:05:53
2005,2506,Metals and Alloys,27,MX,2025-12-03 12:05:53
2005,2508,"Surfaces, Coatings and Films",27,MX,2025-12-03 12:05:53
2005,1203,Language and Linguistics,26,MX,2025-12-03 12:05:53
2005,2738,Psychiatry and Mental health,26,MX,2025-12-03 12:05:53
2005,2708,Dermatology,25,MX,2025-12-03 12:05:53
2005,1803,Management Science and Operations Research,24,MX,2025-12-03 12:05:53
2005,2212,Ocean Engineering,24,MX,2025-12-03 12:05:53
2005,3305,"Geography, Planning and Development",24,MX,2025-12-03 12:05:53
2005,1602,Analytical Chemistry,23,MX,2025-12-03 12:05:53
2005,2214,Media Technology,23,MX,2025-12-03 12:05:53
2005,2703,Anesthesiology and Pain Medicine,23,MX,2025-12-03 12:05:53
2005,1707,Computer Vision and Pattern Recognition,22,MX,2025-12-03 12:05:53
2005,2729,Obstetrics and Gynecology,22,MX,2025-12-03 12:05:53
2005,1308,Clinical Biochemistry,21,MX,2025-12-03 12:05:53
2005,1708,Hardware and Architecture,21,MX,2025-12-03 12:05:53
2005,2404,Microbiology,21,MX,2025-12-03 12:05:53
2005,3504,Oral Surgery,21,MX,2025-12-03 12:05:53
2005,1103,Animal Science and Zoology,20,MX,2025-12-03 12:05:53
2005,2707,Complementary and alternative medicine,20,MX,2025-12-03 12:05:53
2005,1212,Religious studies,19,MX,2025-12-03 12:05:53
2005,3205,Experimental and Cognitive Psychology,19,MX,2025-12-03 12:05:53
2005,1213,Visual Arts and Performing Arts,18,MX,2025-12-03 12:05:53
2005,2704,Biochemistry,18,MX,2025-12-03 12:05:53
2005,2805,Cognitive Neuroscience,18,MX,2025-12-03 12:05:53
2005,1107,Forestry,17,MX,2025-12-03 12:05:53
2005,2716,Genetics,17,MX,2025-12-03 12:05:53
2005,3506,Periodontics,17,MX,2025-12-03 12:05:53
2005,2304,Environmental Chemistry,16,MX,2025-12-03 12:05:53
2005,2727,Nephrology,16,MX,2025-12-03 12:05:53
2005,2733,Otorhinolaryngology,16,MX,2025-12-03 12:05:53
2005,3206,Neuropsychology and Physiological Psychology,16,MX,2025-12-03 12:05:53
2005,3604,Emergency Medical Services,16,MX,2025-12-03 12:05:53
2005,1104,Aquatic Science,15,MX,2025-12-03 12:05:53
2005,1314,Physiology,15,MX,2025-12-03 12:05:53
2005,1911,Paleontology,15,MX,2025-12-03 12:05:53
2005,2311,Industrial and Manufacturing Engineering,14,MX,2025-12-03 12:05:53
2005,2731,Ophthalmology,14,MX,2025-12-03 12:05:53
2005,3108,Radiation,14,MX,2025-12-03 12:05:53
2005,1200,General Arts and Humanities,13,MX,2025-12-03 12:05:53
2005,1207,History and Philosophy of Science,13,MX,2025-12-03 12:05:53
2005,1310,Endocrinology,13,MX,2025-12-03 12:05:53
2005,2613,Statistics and Probability,13,MX,2025-12-03 12:05:53
2005,2747,Transplantation,13,MX,2025-12-03 12:05:53
2005,2808,Neurology,13,MX,2025-12-03 12:05:53
2005,3404,Small Animals,13,MX,2025-12-03 12:05:53
2005,2213,"Safety, Risk, Reliability and Quality",12,MX,2025-12-03 12:05:53
2005,2721,Hepatology,12,MX,2025-12-03 12:05:53
2005,3106,Nuclear and High Energy Physics,12,MX,2025-12-03 12:05:53
2005,3616,Speech and Hearing,12,MX,2025-12-03 12:05:53
2005,1910,Oceanography,11,MX,2025-12-03 12:05:53
2005,2406,Virology,11,MX,2025-12-03 12:05:53
2005,2610,Mathematical Physics,11,MX,2025-12-03 12:05:53
2005,2807,Endocrine and Autonomic Systems,11,MX,2025-12-03 12:05:53
2005,3003,Pharmaceutical Science,11,MX,2025-12-03 12:05:53
2005,1405,Management of Technology and Innovation,10,MX,2025-12-03 12:05:53
2005,1507,Fluid Flow and Transfer Processes,10,MX,2025-12-03 12:05:53
2005,1802,Information Systems and Management,10,MX,2025-12-03 12:05:53
2005,2723,Immunology and Allergy,10,MX,2025-12-03 12:05:53
2005,2732,Orthopedics and Sports Medicine,10,MX,2025-12-03 12:05:53
2005,2748,Urology,10,MX,2025-12-03 12:05:53
2005,2809,Sensory Systems,10,MX,2025-12-03 12:05:53
2005,3005,Toxicology,10,MX,2025-12-03 12:05:53
2005,1204,Archeology,9,MX,2025-12-03 12:05:53
2005,1406,Marketing,9,MX,2025-12-03 12:05:53
2005,2608,Geometry and Topology,9,MX,2025-12-03 12:05:53
2005,3609,Occupational Therapy,9,MX,2025-12-03 12:05:53
2005,1404,Management Information Systems,8,MX,2025-12-03 12:05:53
2005,2203,Automotive Engineering,8,MX,2025-12-03 12:05:53
2005,3319,Life-span and Life-course Studies,8,MX,2025-12-03 12:05:53
2005,3321,Public Administration,8,MX,2025-12-03 12:05:53
2005,1804,"Statistics, Probability and Uncertainty",7,MX,2025-12-03 12:05:53
2005,2215,Building and Construction,7,MX,2025-12-03 12:05:53
2005,2607,Discrete Mathematics and Combinatorics,7,MX,2025-12-03 12:05:53
2005,2802,Behavioral Neuroscience,7,MX,2025-12-03 12:05:53
2005,1108,Horticulture,6,MX,2025-12-03 12:05:53
2005,1304,Biophysics,6,MX,2025-12-03 12:05:53
2005,1906,Geochemistry and Petrology,6,MX,2025-12-03 12:05:53
2005,2102,Energy Engineering and Power Technology,6,MX,2025-12-03 12:05:53
2005,2305,Environmental Engineering,6,MX,2025-12-03 12:05:53
2005,2724,Internal Medicine,6,MX,2025-12-03 12:05:53
2005,3313,Transportation,6,MX,2025-12-03 12:05:53
2005,1409,"Tourism, Leisure and Hospitality Management",5,MX,2025-12-03 12:05:53
2005,2209,Industrial and Manufacturing Engineering,5,MX,2025-12-03 12:05:53
2005,2611,Modeling and Simulation,5,MX,2025-12-03 12:05:53
2005,2714,Family Practice,5,MX,2025-12-03 12:05:53
2005,1206,Conservation,4,MX,2025-12-03 12:05:53
2005,1309,Developmental Biology,4,MX,2025-12-03 12:05:53
2005,1313,Molecular Medicine,4,MX,2025-12-03 12:05:53
2005,1403,Business and International Management,4,MX,2025-12-03 12:05:53
2005,1506,Filtration and Separation,4,MX,2025-12-03 12:05:53
2005,2500,General Materials Science,4,MX,2025-12-03 12:05:53
2005,2602,Algebra and Number Theory,4,MX,2025-12-03 12:05:53
2005,2614,Theoretical Computer Science,4,MX,2025-12-03 12:05:53
2006,2208,Electrical and Electronic Engineering,1303,MX,2025-12-03 12:05:53
2006,1312,Molecular Biology,1128,MX,2025-12-03 12:05:53
2006,1110,Plant Science,988,MX,2025-12-03 12:05:53
2006,3312,Sociology and Political Science,976,MX,2025-12-03 12:05:53
2006,2505,Materials Chemistry,894,MX,2025-12-03 12:05:53
2006,3320,Political Science and International Relations,832,MX,2025-12-03 12:05:53
2006,2746,Surgery,755,MX,2025-12-03 12:05:53
2006,3304,Education,710,MX,2025-12-03 12:05:53
2006,2739,"Public Health, Environmental and Occupational Health",687,MX,2025-12-03 12:05:53
2006,2002,Economics and Econometrics,564,MX,2025-12-03 12:05:53
2006,3107,"Atomic and Molecular Physics, and Optics",319,MX,2025-12-03 12:05:53
2006,2204,Biomedical Engineering,314,MX,2025-12-03 12:05:53
2006,3600,General Health Professions,286,MX,2025-12-03 12:05:53
2006,1106,Food Science,232,MX,2025-12-03 12:05:53
2006,1311,Genetics,187,MX,2025-12-03 12:05:53
2006,2713,Epidemiology,187,MX,2025-12-03 12:05:53
2006,3317,Demography,175,MX,2025-12-03 12:05:53
2006,3300,General Social Sciences,170,MX,2025-12-03 12:05:53
2006,1100,General Agricultural and Biological Sciences,162,MX,2025-12-03 12:05:53
2006,2210,Mechanical Engineering,162,MX,2025-12-03 12:05:53
2006,2740,Pulmonary and Respiratory Medicine,145,MX,2025-12-03 12:05:53
2006,1105,"Ecology, Evolution, Behavior and Systematics",140,MX,2025-12-03 12:05:53
2006,2504,"Electronic, Optical and Magnetic Materials",140,MX,2025-12-03 12:05:53
2006,2207,Control and Systems Engineering,130,MX,2025-12-03 12:05:53
2006,1605,Organic Chemistry,119,MX,2025-12-03 12:05:53
2006,3316,Cultural Studies,118,MX,2025-12-03 12:05:53
2006,3303,Development,117,MX,2025-12-03 12:05:53
2006,1109,Insect Science,116,MX,2025-12-03 12:05:53
2006,3308,Law,116,MX,2025-12-03 12:05:53
2006,2308,"Management, Monitoring, Policy and Law",114,MX,2025-12-03 12:05:53
2006,2000,"General Economics, Econometrics and Finance",113,MX,2025-12-03 12:05:53
2006,2737,Physiology,110,MX,2025-12-03 12:05:53
2006,1307,Cell Biology,109,MX,2025-12-03 12:05:53
2006,1705,Computer Networks and Communications,108,MX,2025-12-03 12:05:53
2006,3311,Safety Research,106,MX,2025-12-03 12:05:53
2006,2725,Infectious Diseases,99,MX,2025-12-03 12:05:53
2006,2804,Cellular and Molecular Neuroscience,99,MX,2025-12-03 12:05:53
2006,2705,Cardiology and Cardiovascular Medicine,98,MX,2025-12-03 12:05:53
2006,2105,"Renewable Energy, Sustainability and the Environment",95,MX,2025-12-03 12:05:53
2006,2730,Oncology,91,MX,2025-12-03 12:05:53
2006,1702,Artificial Intelligence,89,MX,2025-12-03 12:05:53
2006,1710,Information Systems,88,MX,2025-12-03 12:05:53
2006,2736,Pharmacology,88,MX,2025-12-03 12:05:53
2006,2211,Mechanics of Materials,86,MX,2025-12-03 12:05:53
2006,3207,Social Psychology,85,MX,2025-12-03 12:05:53
2006,1407,Organizational Behavior and Human Resource Management,83,MX,2025-12-03 12:05:53
2006,2303,Ecology,81,MX,2025-12-03 12:05:53
2006,2712,"Endocrinology, Diabetes and Metabolism",79,MX,2025-12-03 12:05:53
2006,2916,Nutrition and Dietetics,75,MX,2025-12-03 12:05:53
2006,2202,Aerospace Engineering,74,MX,2025-12-03 12:05:53
2006,2507,Polymers and Plastics,73,MX,2025-12-03 12:05:53
2006,2734,Pathology and Forensic Medicine,73,MX,2025-12-03 12:05:53
2006,2741,"Radiology, Nuclear Medicine and Imaging",73,MX,2025-12-03 12:05:53
2006,1102,Agronomy and Crop Science,72,MX,2025-12-03 12:05:53
2006,3203,Clinical Psychology,72,MX,2025-12-03 12:05:53
2006,1402,Accounting,70,MX,2025-12-03 12:05:53
2006,2403,Immunology,69,MX,2025-12-03 12:05:53
2006,1408,Strategy and Management,66,MX,2025-12-03 12:05:53
2006,1604,Inorganic Chemistry,64,MX,2025-12-03 12:05:53
2006,1208,Literature and Literary Theory,62,MX,2025-12-03 12:05:53
2006,2309,Nature and Landscape Conservation,58,MX,2025-12-03 12:05:53
2006,3204,Developmental and Educational Psychology,58,MX,2025-12-03 12:05:53
2006,2745,Rheumatology,57,MX,2025-12-03 12:05:53
2006,3109,Statistical and Nonlinear Physics,57,MX,2025-12-03 12:05:53
2006,3104,Condensed Matter Physics,55,MX,2025-12-03 12:05:53
2006,1202,History,54,MX,2025-12-03 12:05:53
2006,3306,Health,54,MX,2025-12-03 12:05:53
2006,2735,"Pediatrics, Perinatology and Child Health",53,MX,2025-12-03 12:05:53
2006,2503,Ceramics and Composites,52,MX,2025-12-03 12:05:53
2006,3611,Pharmacy,52,MX,2025-12-03 12:05:53
2006,3318,Gender Studies,51,MX,2025-12-03 12:05:53
2006,2206,Computational Mechanics,50,MX,2025-12-03 12:05:53
2006,1305,Biotechnology,49,MX,2025-12-03 12:05:53
2006,1306,Cancer Research,48,MX,2025-12-03 12:05:53
2006,2205,Civil and Structural Engineering,48,MX,2025-12-03 12:05:53
2006,1503,Catalysis,47,MX,2025-12-03 12:05:53
2006,2743,Reproductive Medicine,47,MX,2025-12-03 12:05:53
2006,2003,Finance,46,MX,2025-12-03 12:05:53
2006,3314,Anthropology,46,MX,2025-12-03 12:05:53
2006,3315,Communication,46,MX,2025-12-03 12:05:53
2006,3310,Linguistics and Language,45,MX,2025-12-03 12:05:53
2006,1211,Philosophy,44,MX,2025-12-03 12:05:53
2006,1502,Bioengineering,42,MX,2025-12-03 12:05:53
2006,2711,Emergency Medicine,41,MX,2025-12-03 12:05:53
