subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,Graphitic Carbon Nitride (g-C<sub>3</sub>N<sub>4</sub>)-Based Photocatalysts for Artificial Photosynthesis and Environmental Remediation: Are We a Step Closer To Achieving Sustainability?,https://doi.org/10.1021/acs.chemrev.6b00075,2016,6650,https://openalex.org/W2401906193
2208,Electrical and Electronic Engineering,Unmanned Aerial Vehicles (UAVs): A Survey on Civil Applications and Key Research Challenges,https://doi.org/10.1109/access.2019.2909530,2019,1993,https://openalex.org/W4213147678
2208,Electrical and Electronic Engineering,A review of lithium-ion battery state of charge estimation and management system in electric vehicle applications: Challenges and recommendations,https://doi.org/10.1016/j.rser.2017.05.001,2017,1779,https://openalex.org/W2613389393
2208,Electrical and Electronic Engineering,Progress in Flow Battery Research and Development,https://doi.org/10.1149/1.3599565,2011,1403,https://openalex.org/W1963712116
2208,Electrical and Electronic Engineering,A review of energy sources and energy management system in electric vehicles,https://doi.org/10.1016/j.rser.2012.11.077,2012,1391,https://openalex.org/W2005647119
2208,Electrical and Electronic Engineering,An overview of technologies for immobilization of enzymes and surface analysis techniques for immobilized enzymes,https://doi.org/10.1080/13102818.2015.1008192,2015,1368,https://openalex.org/W2038197401
2208,Electrical and Electronic Engineering,Membrane technology enhancement in oil–water separation. A review,https://doi.org/10.1016/j.desal.2014.11.023,2014,1225,https://openalex.org/W2050626891
2208,Electrical and Electronic Engineering,A Review of the Properties and Applications of Poly (Methyl Methacrylate) (PMMA),https://doi.org/10.1080/15583724.2015.1031377,2015,1188,https://openalex.org/W2144505530
2208,Electrical and Electronic Engineering,"Humidity Sensors Principle, Mechanism, and Fabrication Technologies: A Comprehensive Review",https://doi.org/10.3390/s140507881,2014,1180,https://openalex.org/W2001086979
2208,Electrical and Electronic Engineering,Harnessing Green IT: Principles and Practices,https://doi.org/10.1109/mitp.2008.10,2008,1153,https://openalex.org/W2145625823
3312,Sociology and Political Science,Differences Between Tight and Loose Cultures: A 33-Nation Study,https://doi.org/10.1126/science.1197754,2011,2973,https://openalex.org/W2161411308
3312,Sociology and Political Science,Pervasive human-driven decline of life on Earth points to the need for transformative change,https://doi.org/10.1126/science.aax3100,2019,2345,https://openalex.org/W2995840337
3312,Sociology and Political Science,Contrasting Computational Models of Mate Preference Integration Across 45 Countries,https://doi.org/10.1038/s41598-019-52748-8,2019,1773,https://openalex.org/W2983201012
