subfield_id,subfield_name,title,doi,year,cited_by_count,id
2303,Ecology,Moving in the Anthropocene: Global reductions in terrestrial mammalian movements,https://doi.org/10.1126/science.aam9712,2018,1161,https://openalex.org/W2784805535
2303,Ecology,Local Participation in Natural Resource Monitoring: a Characterization of Approaches,https://doi.org/10.1111/j.1523-1739.2008.01063.x,2008,502,https://openalex.org/W2059924891
2303,Ecology,Grazing and ecosystem service delivery in global drylands,https://doi.org/10.1126/science.abq4062,2022,286,https://openalex.org/W4310251770
2303,Ecology,Removing the Threat of Diclofenac to Critically Endangered Asian Vultures,https://doi.org/10.1371/journal.pbio.0040066,2006,243,https://openalex.org/W1986716688
2303,Ecology,The global decline of cheetah <i>Acinonyx jubatus</i> and what it means for conservation,https://doi.org/10.1073/pnas.1611122114,2016,203,https://openalex.org/W2564983818
2303,Ecology,Complex population structure in African village dogs and its implications for inferring dog domestication history,https://doi.org/10.1073/pnas.0902129106,2009,179,https://openalex.org/W2166304546
2303,Ecology,"Elephants and low rainfall alter woody vegetation in Etosha National Park, Namibia",https://doi.org/10.1016/j.jaridenv.2005.06.015,2005,156,https://openalex.org/W2092348561
2303,Ecology,Elucidating the significance of spatial memory on movement decisions by African savannah elephants using state–space models,https://doi.org/10.1098/rspb.2014.3042,2015,156,https://openalex.org/W2136328646
2303,Ecology,The performance of African protected areas for lions and their prey,https://doi.org/10.1016/j.biocon.2017.01.011,2017,155,https://openalex.org/W2587872775
2303,Ecology,Rhizosheath microbial community assembly of sympatric desert speargrasses is independent of the plant host,https://doi.org/10.1186/s40168-018-0597-y,2018,143,https://openalex.org/W2903243258
3312,Sociology and Political Science,Beyond the ‘east–west’ dichotomy: Global variation in cultural models of selfhood.,https://doi.org/10.1037/xge0000175,2016,525,https://openalex.org/W2474075425
3312,Sociology and Political Science,Gendered vulnerabilities to climate change: insights from the semi-arid regions of Africa and Asia,https://doi.org/10.1080/17565529.2017.1372266,2017,267,https://openalex.org/W2615108693
3312,Sociology and Political Science,Toward an Afro-Centric Indigenous HCI Paradigm,https://doi.org/10.1080/10447318.2013.765763,2013,169,https://openalex.org/W2038823150
3312,Sociology and Political Science,Culture and the distinctiveness motive: Constructing identity in individualistic and collectivistic contexts.,https://doi.org/10.1037/a0026853,2012,143,https://openalex.org/W2003433670
3312,Sociology and Political Science,Cultural Bases for Self-Evaluation,https://doi.org/10.1177/0146167214522836,2014,111,https://openalex.org/W2095308450
3312,Sociology and Political Science,"Analytics-Driven Journalism? Editorial Metrics and the Reconfiguration of Online News Production Practices in African Newsrooms""",https://doi.org/10.1080/21670811.2018.1533788,2019,101,https://openalex.org/W2907592527
3312,Sociology and Political Science,"Managing risk, changing aspirations and household dynamics: Implications for wellbeing and adaptation in semi-arid Africa and India",https://doi.org/10.1016/j.worlddev.2019.104667,2019,93,https://openalex.org/W2973023611
3312,Sociology and Political Science,Community Consensus: Design Beyond Participation,https://doi.org/10.1162/desi_a_00164,2012,87,https://openalex.org/W2016820832
3312,Sociology and Political Science,Contextualism as an Important Facet of Individualism-Collectivism,https://doi.org/10.1177/0022022111430255,2012,83,https://openalex.org/W2143857845
3312,Sociology and Political Science,Strategic siting and regional grid interconnections key to low-carbon futures in African countries,https://doi.org/10.1073/pnas.1611845114,2017,82,https://openalex.org/W2600767730
3304,Education,Implementing Education for Sustainable Development in Namibia: School Teachers’ Perceptions and Teaching Practices,https://doi.org/10.2478/jtes-2018-0004,2018,130,https://openalex.org/W2810004353
3304,Education,Investigating the E-Learning Challenges Faced by Students during Covid-19 in Namibia,https://doi.org/10.5430/ijhe.v10n1p308,2020,119,https://openalex.org/W3102454677
3304,Education,Moving the centre to design social media in rural Africa,https://doi.org/10.1007/s00146-014-0564-5,2014,91,https://openalex.org/W1986668724
3304,Education,Prospect of Integrating African Indigenous Knowledge Systems into the Teaching of Sciences in Africa,https://doi.org/10.12691/education-3-6-1,2015,77,https://openalex.org/W2130129725
3304,Education,"Ethnobotanical study of medicinal flora utilised by traditional healers in the management of sexually transmitted infections in Sesheke District, Western Province, Zambia",https://doi.org/10.1016/j.bjp.2015.07.030,2016,71,https://openalex.org/W2286612518
3304,Education,GraphoGame â€“ a catalyst for multi-level promotion of literacy in diverse contexts,https://doi.org/10.3389/fpsyg.2015.00671,2015,66,https://openalex.org/W1742694218
3304,Education,Overcoming global water reuse barriers: the Windhoek experience,https://doi.org/10.1080/07900627.2015.1129319,2016,62,https://openalex.org/W2341581650
3304,Education,The Role of Everyday Contexts in Learner‐centred Teaching: The practice in Namibian secondary schools,https://doi.org/10.1080/09500690500277854,2005,57,https://openalex.org/W2111165601
3304,Education,Cultural beliefs regarding people with disabilities in Namibia: Implications for the inclusion of people with disabilities,,2010,55,https://openalex.org/W2131316289
3304,Education,"Ethnomedicinal plants used by traditional healers in the management of HIV/AIDS opportunistic diseases in Rundu, Kavango East Region, Namibia",https://doi.org/10.1016/j.sajb.2015.05.009,2015,54,https://openalex.org/W650440704
2725,Infectious Diseases,"The epidemiology, pathogenesis, transmission, diagnosis, and management of multidrug-resistant, extensively drug-resistant, and incurable tuberculosis",https://doi.org/10.1016/s2213-2600(17)30079-6,2017,652,https://openalex.org/W2602169678
2725,Infectious Diseases,HIV-1 drug resistance before initiation or re-initiation of first-line antiretroviral therapy in low-income and middle-income countries: a systematic review and meta-regression analysis,https://doi.org/10.1016/s1473-3099(17)30702-8,2017,399,https://openalex.org/W2773554166
2725,Infectious Diseases,"HIV Prevalence, Risks for HIV Infection, and Human Rights among Men Who Have Sex with Men (MSM) in Malawi, Namibia, and Botswana",https://doi.org/10.1371/journal.pone.0004997,2009,364,https://openalex.org/W1967240215
2725,Infectious Diseases,"Stigma, Health Care Access, and HIV Knowledge Among Men Who Have Sex With Men in Malawi, Namibia, and Botswana",https://doi.org/10.1007/s10461-010-9861-2,2010,343,https://openalex.org/W2149390348
