year,id,name,works_count,country,fetch_date
2005,2303,Ecology,13,NA,2025-12-01 19:05:10
2005,1110,Plant Science,8,NA,2025-12-01 19:05:10
2005,2306,Global and Planetary Change,7,NA,2025-12-01 19:05:10
2005,3312,Sociology and Political Science,6,NA,2025-12-01 19:05:10
2005,1311,Genetics,4,NA,2025-12-01 19:05:10
2005,2308,"Management, Monitoring, Policy and Law",4,NA,2025-12-01 19:05:10
2005,2309,Nature and Landscape Conservation,4,NA,2025-12-01 19:05:10
2005,1105,"Ecology, Evolution, Behavior and Systematics",3,NA,2025-12-01 19:05:10
2005,1111,Soil Science,3,NA,2025-12-01 19:05:10
2005,2002,Economics and Econometrics,3,NA,2025-12-01 19:05:10
2005,2305,Environmental Engineering,3,NA,2025-12-01 19:05:10
2005,3600,General Health Professions,3,NA,2025-12-01 19:05:10
2005,1109,Insect Science,2,NA,2025-12-01 19:05:10
2005,3304,Education,2,NA,2025-12-01 19:05:10
2005,3404,Small Animals,2,NA,2025-12-01 19:05:10
2005,1102,Agronomy and Crop Science,1,NA,2025-12-01 19:05:10
2005,1104,Aquatic Science,1,NA,2025-12-01 19:05:10
2005,1106,Food Science,1,NA,2025-12-01 19:05:10
2005,1309,Developmental Biology,1,NA,2025-12-01 19:05:10
2005,1910,Oceanography,1,NA,2025-12-01 19:05:10
2005,2000,"General Economics, Econometrics and Finance",1,NA,2025-12-01 19:05:10
2005,2105,"Renewable Energy, Sustainability and the Environment",1,NA,2025-12-01 19:05:10
2005,2212,Ocean Engineering,1,NA,2025-12-01 19:05:10
2005,2215,Building and Construction,1,NA,2025-12-01 19:05:10
2005,2302,Ecological Modeling,1,NA,2025-12-01 19:05:10
2005,2307,"Health, Toxicology and Mutagenesis",1,NA,2025-12-01 19:05:10
2005,2405,Parasitology,1,NA,2025-12-01 19:05:10
2005,2725,Infectious Diseases,1,NA,2025-12-01 19:05:10
2005,2736,Pharmacology,1,NA,2025-12-01 19:05:10
2005,2739,"Public Health, Environmental and Occupational Health",1,NA,2025-12-01 19:05:10
2005,3004,Pharmacology,1,NA,2025-12-01 19:05:10
2005,3202,Applied Psychology,1,NA,2025-12-01 19:05:10
2005,3302,Archeology,1,NA,2025-12-01 19:05:10
2005,3310,Linguistics and Language,1,NA,2025-12-01 19:05:10
2006,2303,Ecology,13,NA,2025-12-01 19:05:10
2006,2306,Global and Planetary Change,6,NA,2025-12-01 19:05:10
2006,2309,Nature and Landscape Conservation,6,NA,2025-12-01 19:05:10
2006,3304,Education,5,NA,2025-12-01 19:05:10
2006,2213,"Safety, Risk, Reliability and Quality",4,NA,2025-12-01 19:05:10
2006,3312,Sociology and Political Science,4,NA,2025-12-01 19:05:10
2006,1105,"Ecology, Evolution, Behavior and Systematics",3,NA,2025-12-01 19:05:10
2006,2739,"Public Health, Environmental and Occupational Health",3,NA,2025-12-01 19:05:10
2006,3404,Small Animals,3,NA,2025-12-01 19:05:10
2006,1102,Agronomy and Crop Science,2,NA,2025-12-01 19:05:10
2006,1110,Plant Science,2,NA,2025-12-01 19:05:10
