subfield_id,subfield_name,title,doi,year,cited_by_count,id
2303,Ecology,A World Without Mangroves?,https://doi.org/10.1126/science.317.5834.41b,2007,1566,https://openalex.org/W2039300997
2303,Ecology,Organic carbon dynamics in mangrove ecosystems: A review,https://doi.org/10.1016/j.aquabot.2007.12.005,2008,1296,https://openalex.org/W2006880805
2303,Ecology,Mangrove production and carbon sinks: A revision of global budget estimates,https://doi.org/10.1029/2007gb003052,2008,1223,https://openalex.org/W2098998407
2306,Global and Planetary Change,Contrasting futures for ocean and society from different anthropogenic CO <sub>2</sub> emissions scenarios,https://doi.org/10.1126/science.aac4722,2015,1354,https://openalex.org/W2081395300
2306,Global and Planetary Change,The impact of global warming on the tropical Pacific Ocean and El Niño,https://doi.org/10.1038/ngeo868,2010,1208,https://openalex.org/W2170553462
2306,Global and Planetary Change,The role of Indigenous peoples and local communities in effective and equitable conservation,https://doi.org/10.5751/es-12625-260319,2021,735,https://openalex.org/W3197735684
1910,Oceanography,Contrasting futures for ocean and society from different anthropogenic CO <sub>2</sub> emissions scenarios,https://doi.org/10.1126/science.aac4722,2015,1354,https://openalex.org/W2081395300
1910,Oceanography,Organic carbon dynamics in mangrove ecosystems: A review,https://doi.org/10.1016/j.aquabot.2007.12.005,2008,1296,https://openalex.org/W2006880805
1910,Oceanography,The impact of global warming on the tropical Pacific Ocean and El Niño,https://doi.org/10.1038/ngeo868,2010,1208,https://openalex.org/W2170553462
2309,Nature and Landscape Conservation,TRY plant trait database – enhanced coverage and open access,https://doi.org/10.1111/gcb.14904,2019,1847,https://openalex.org/W2983606184
2309,Nature and Landscape Conservation,Plant height and hydraulic vulnerability to drought and cold,https://doi.org/10.1073/pnas.1721728115,2018,408,https://openalex.org/W2811027026
2309,Nature and Landscape Conservation,Seamounts are hotspots of pelagic biodiversity in the open ocean,https://doi.org/10.1073/pnas.0910290107,2010,377,https://openalex.org/W2011467069
3312,Sociology and Political Science,Aedes hensilli as a Potential Vector of Chikungunya and Zika Viruses,https://doi.org/10.1371/journal.pntd.0003188,2014,186,https://openalex.org/W1975288090
3312,Sociology and Political Science,"Atoll island vulnerability to flooding and inundation revealed by historical reconstruction: Fongafale Islet, Funafuti Atoll, Tuvalu",https://doi.org/10.1016/j.gloplacha.2007.02.007,2007,179,https://openalex.org/W1979094314
3312,Sociology and Political Science,A time for action: Opportunities for preventing the growing burden and disability from musculoskeletal conditions in low- and middle-income countries,https://doi.org/10.1016/j.berh.2014.07.006,2014,127,https://openalex.org/W2120871265
1105,"Ecology, Evolution, Behavior and Systematics",One thousand plant transcriptomes and the phylogenomics of green plants,https://doi.org/10.1038/s41586-019-1693-2,2019,1687,https://openalex.org/W2981543307
1105,"Ecology, Evolution, Behavior and Systematics",Horizontal Transfer of Entire Genomes via Mitochondrial Fusion in the Angiosperm <i>Amborella</i>,https://doi.org/10.1126/science.1246275,2013,511,https://openalex.org/W2078024930
1105,"Ecology, Evolution, Behavior and Systematics",Clonal reproduction by males and females in the little fire ant,https://doi.org/10.1038/nature03705,2005,282,https://openalex.org/W2033130157
1312,Molecular Biology,One thousand plant transcriptomes and the phylogenomics of green plants,https://doi.org/10.1038/s41586-019-1693-2,2019,1687,https://openalex.org/W2981543307
1312,Molecular Biology,Ecological role and services of tropical mangrove ecosystems: a reassessment,https://doi.org/10.1111/geb.12155,2014,827,https://openalex.org/W1929181818
1312,Molecular Biology,Horizontal Transfer of Entire Genomes via Mitochondrial Fusion in the Angiosperm <i>Amborella</i>,https://doi.org/10.1126/science.1246275,2013,511,https://openalex.org/W2078024930
2739,"Public Health, Environmental and Occupational Health","Zika Virus Outbreak on Yap Island, Federated States of Micronesia",https://doi.org/10.1056/nejmoa0805715,2009,3122,https://openalex.org/W1975120587
2739,"Public Health, Environmental and Occupational Health","Clinical presentation, aetiology and outcome of infective endocarditis. Results of the ESC-EORP EURO-ENDO (European infective endocarditis) registry: a prospective cohort study",https://doi.org/10.1093/eurheartj/ehz620,2019,777,https://openalex.org/W2972249741
2739,"Public Health, Environmental and Occupational Health",Differential Susceptibilities of Aedes aegypti and Aedes albopictus from the Americas to Zika Virus,https://doi.org/10.1371/journal.pntd.0004543,2016,631,https://openalex.org/W2295378318
3317,Demography,"Atoll island vulnerability to flooding and inundation revealed by historical reconstruction: Fongafale Islet, Funafuti Atoll, Tuvalu",https://doi.org/10.1016/j.gloplacha.2007.02.007,2007,179,https://openalex.org/W1979094314
3317,Demography,Coastal proximity of populations in 22 Pacific Island Countries and Territories,https://doi.org/10.1371/journal.pone.0223249,2019,97,https://openalex.org/W2979228093
3317,Demography,"Monitoring mangrove forests after aquaculture abandonment using time series of very high spatial resolution satellite images: A case study from the Perancak estuary, Bali, Indonesia",https://doi.org/10.1016/j.marpolbul.2017.05.056,2017,81,https://openalex.org/W2647399855
1110,Plant Science,TRY plant trait database – enhanced coverage and open access,https://doi.org/10.1111/gcb.14904,2019,1847,https://openalex.org/W2983606184
1110,Plant Science,One thousand plant transcriptomes and the phylogenomics of green plants,https://doi.org/10.1038/s41586-019-1693-2,2019,1687,https://openalex.org/W2981543307
1110,Plant Science,Organic carbon dynamics in mangrove ecosystems: A review,https://doi.org/10.1016/j.aquabot.2007.12.005,2008,1296,https://openalex.org/W2006880805
