year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2210,Mechanical Engineering,T10635,Hydraulic Fracturing and Reservoir Analysis,17,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T11801,Reservoir Engineering and Simulation Methods,15,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T12201,Agricultural Engineering and Mechanization,9,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T11091,Extraction and Separation Processes,8,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T12898,Induction Heating and Inverter Technology,6,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T10278,Electric Motor Design and Analysis,5,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T13645,Thermodynamic and Structural Properties of Metals and Alloys,5,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T10016,Adsorption and biosorption for pollutant removal,4,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T10892,Drilling and Well Engineering,4,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T11978,Soil Mechanics and Vehicle Dynamics,4,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T12282,Mineral Processing and Grinding,4,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T10188,Advanced machining processes and optimization,3,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T10572,Geophysical and Geoelectrical Methods,3,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T10894,Groundwater flow and contamination studies,3,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T11201,Metallurgy and Material Forming,3,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T11301,Advanced Surface Polishing Techniques,3,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T11351,Catalysis and Hydrodesulfurization Studies,3,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T11451,Advanced Machining and Optimization Techniques,3,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T11630,Petroleum Processing and Analysis,3,NG,2025-11-25 23:04:18
2005,2210,Mechanical Engineering,T14128,Metallurgical and Alloy Processes,3,NG,2025-11-25 23:04:18
2005,2303,Ecology,T13490,Aquatic Ecosystems and Biodiversity,24,NG,2025-11-25 23:04:18
2005,2303,Ecology,T12319,Fish Biology and Ecology Studies,16,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10815,Parasite Biology and Host Interactions,14,NG,2025-11-25 23:04:18
2005,2303,Ecology,T12703,Oil Palm Production and Sustainability,12,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10695,Parasites and Host Interactions,7,NG,2025-11-25 23:04:18
2005,2303,Ecology,T11634,Water Quality and Pollution Assessment,7,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10302,Fish Ecology and Management Studies,6,NG,2025-11-25 23:04:18
2005,2303,Ecology,T11048,Bacteriophages and microbial interactions,6,NG,2025-11-25 23:04:18
2005,2303,Ecology,T11702,Parasitic Diseases Research and Treatment,5,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10199,Wildlife Ecology and Conservation,4,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10236,Aquatic Ecosystems and Phytoplankton Dynamics,4,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10450,Aquaculture Nutrition and Growth,4,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10577,Hydrology and Sediment Transport Processes,4,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10330,Hydrology and Watershed Management Studies,3,NG,2025-11-25 23:04:18
2005,2303,Ecology,T11074,Helminth infection and control,3,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10089,Avian ecology and behavior,2,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10152,Animal Nutrition and Physiology,2,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10174,Animal Behavior and Reproduction,2,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10230,Marine and fisheries research,2,NG,2025-11-25 23:04:18
2005,2303,Ecology,T10332,Amphibian and Reptile Biology,2,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T12191,Chemical Reaction Mechanisms,12,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T13124,Chemical synthesis and alkaloids,12,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T11831,Chemical Synthesis and Reactions,9,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T13160,Synthesis and Biological Evaluation,8,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T11549,Synthetic Organic Chemistry Methods,5,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T14459,Synthesis and Reactions of Organic Compounds,5,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T10013,Asymmetric Synthesis and Catalysis,4,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T10432,DNA and Nucleic Acid Chemistry,4,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T10835,Carbohydrate Chemistry and Synthesis,4,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T11085,Fungal Biology and Applications,4,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T11460,Analytical Methods in Pharmaceuticals,4,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T10274,Synthesis and biological activity,3,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T10817,Multicomponent Synthesis of Heterocycles,3,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T10908,Analytical Chemistry and Chromatography,3,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T10947,Fluorine in Organic Chemistry,3,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T11746,Inorganic and Organometallic Chemistry,3,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T12251,Synthesis and Catalytic Reactions,3,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T12893,Organic Chemistry Cycloaddition Reactions,3,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T13013,Free Radicals and Antioxidants,3,NG,2025-11-25 23:04:18
2005,1605,Organic Chemistry,T13105,Synthesis and pharmacology of benzodiazepine derivatives,3,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10712,Library Science and Information Literacy,18,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T11813,Library Collection Development and Digital Resources,17,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T13194,ICT in Developing Communities,13,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T12863,Web and Library Services,12,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T12289,Library Science and Administration,10,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T13867,Economic Growth and Development,8,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10679,Service-Oriented Architecture and Web Services,4,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10162,Online and Blended Learning,3,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10367,Agricultural Innovations and Practices,3,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10987,Microfinance and Financial Inclusion,3,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T11499,ICT Impact and Policies,3,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T12519,Cybercrime and Law Enforcement Studies,3,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T14330,Library Science and Information Systems,3,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10260,Software Engineering Research,2,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10286,Information Retrieval and Search Behavior,2,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10430,Software Engineering Techniques and Practices,2,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10538,Data Mining Algorithms and Applications,2,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10703,Business Process Modeling and Analysis,2,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T10737,Health Literacy and Information Accessibility,2,NG,2025-11-25 23:04:18
2005,1710,Information Systems,T11370,Mobile Learning in Education,2,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10171,Biofuel production and bioconversion,16,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T11617,Enzyme Production and Characterization,6,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10104,Nanofluid Flow and Heat Transfer,5,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,5,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T11451,Advanced Machining and Optimization Techniques,4,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T12386,Advanced X-ray and CT Imaging,4,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10140,Food composition and properties,3,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10188,Advanced machining processes and optimization,3,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10360,Fluid Dynamics and Turbulent Flows,3,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,3,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10507,Biodiesel Production and Applications,3,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T11208,Lignin and Wood Chemistry,3,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,3,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T13280,Biomedical and Engineering Education,3,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10324,Microbial bioremediation and biosurfactants,2,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10451,Mycorrhizal Fungi and Plant Interactions,2,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10750,Fermentation and Sensory Analysis,2,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10822,Acoustic Wave Phenomena Research,2,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T10932,Microbial Metabolic Engineering and Bioproduction,2,NG,2025-11-25 23:04:18
2005,2204,Biomedical Engineering,T11085,Fungal Biology and Applications,2,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T13236,Geotechnical and construction materials studies,18,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T10716,Soil and Unsaturated Flow,12,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T11952,Landfill Environmental Impact Studies,7,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T13808,Construction Engineering and Safety,6,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T10310,Corrosion Behavior and Inhibition,5,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T10572,Geophysical and Geoelectrical Methods,5,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T11850,Concrete Corrosion and Durability,5,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T11978,Soil Mechanics and Vehicle Dynamics,5,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T12482,Tunneling and Rock Mechanics,5,NG,2025-11-25 23:04:18
2005,2205,Civil and Structural Engineering,T10892,Drilling and Well Engineering,4,NG,2025-11-25 23:04:18
