year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,14,NI,2025-12-03 12:40:13
2005,1106,Food Science,13,NI,2025-12-03 12:40:13
2005,2739,"Public Health, Environmental and Occupational Health",9,NI,2025-12-03 12:40:13
2005,3312,Sociology and Political Science,9,NI,2025-12-03 12:40:13
2005,1105,"Ecology, Evolution, Behavior and Systematics",6,NI,2025-12-03 12:40:13
2005,2002,Economics and Econometrics,5,NI,2025-12-03 12:40:13
2005,1100,General Agricultural and Biological Sciences,4,NI,2025-12-03 12:40:13
2005,2725,Infectious Diseases,4,NI,2025-12-03 12:40:13
2005,3304,Education,4,NI,2025-12-03 12:40:13
2005,1408,Strategy and Management,3,NI,2025-12-03 12:40:13
2005,3203,Clinical Psychology,3,NI,2025-12-03 12:40:13
2005,3303,Development,3,NI,2025-12-03 12:40:13
2005,3315,Communication,3,NI,2025-12-03 12:40:13
2005,3600,General Health Professions,3,NI,2025-12-03 12:40:13
2005,1102,Agronomy and Crop Science,2,NI,2025-12-03 12:40:13
2005,1107,Forestry,2,NI,2025-12-03 12:40:13
2005,1109,Insect Science,2,NI,2025-12-03 12:40:13
2005,1407,Organizational Behavior and Human Resource Management,2,NI,2025-12-03 12:40:13
2005,2303,Ecology,2,NI,2025-12-03 12:40:13
2005,2735,"Pediatrics, Perinatology and Child Health",2,NI,2025-12-03 12:40:13
2005,3320,Political Science and International Relations,2,NI,2025-12-03 12:40:13
2005,1108,Horticulture,1,NI,2025-12-03 12:40:13
2005,1111,Soil Science,1,NI,2025-12-03 12:40:13
2005,1211,Philosophy,1,NI,2025-12-03 12:40:13
2005,1305,Biotechnology,1,NI,2025-12-03 12:40:13
2005,1307,Cell Biology,1,NI,2025-12-03 12:40:13
2005,1310,Endocrinology,1,NI,2025-12-03 12:40:13
2005,1402,Accounting,1,NI,2025-12-03 12:40:13
2005,1403,Business and International Management,1,NI,2025-12-03 12:40:13
2005,1405,Management of Technology and Innovation,1,NI,2025-12-03 12:40:13
2005,2105,"Renewable Energy, Sustainability and the Environment",1,NI,2025-12-03 12:40:13
2005,2213,"Safety, Risk, Reliability and Quality",1,NI,2025-12-03 12:40:13
2005,2306,Global and Planetary Change,1,NI,2025-12-03 12:40:13
2005,2310,Pollution,1,NI,2025-12-03 12:40:13
2005,2405,Parasitology,1,NI,2025-12-03 12:40:13
2005,2711,Emergency Medicine,1,NI,2025-12-03 12:40:13
2005,2713,Epidemiology,1,NI,2025-12-03 12:40:13
2005,2730,Oncology,1,NI,2025-12-03 12:40:13
2005,3204,Developmental and Educational Psychology,1,NI,2025-12-03 12:40:13
2005,3306,Health,1,NI,2025-12-03 12:40:13
