year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,4021,NL,2025-11-28 17:23:40
2005,2746,Surgery,2737,NL,2025-11-28 17:23:40
2005,2208,Electrical and Electronic Engineering,2386,NL,2025-11-28 17:23:40
2005,2204,Biomedical Engineering,1923,NL,2025-11-28 17:23:40
2005,2740,Pulmonary and Respiratory Medicine,1913,NL,2025-11-28 17:23:40
2005,2713,Epidemiology,1887,NL,2025-11-28 17:23:40
2005,2002,Economics and Econometrics,1676,NL,2025-11-28 17:23:40
2005,2705,Cardiology and Cardiovascular Medicine,1570,NL,2025-11-28 17:23:40
2005,3312,Sociology and Political Science,1452,NL,2025-11-28 17:23:40
2005,2739,"Public Health, Environmental and Occupational Health",1433,NL,2025-11-28 17:23:40
2005,2730,Oncology,841,NL,2025-11-28 17:23:40
2005,1311,Genetics,750,NL,2025-11-28 17:23:40
2005,2741,"Radiology, Nuclear Medicine and Imaging",730,NL,2025-11-28 17:23:40
2005,2737,Physiology,659,NL,2025-11-28 17:23:40
2005,3107,"Atomic and Molecular Physics, and Optics",632,NL,2025-11-28 17:23:40
2005,2505,Materials Chemistry,515,NL,2025-11-28 17:23:40
2005,2735,"Pediatrics, Perinatology and Child Health",465,NL,2025-11-28 17:23:40
2005,2403,Immunology,435,NL,2025-11-28 17:23:40
2005,3600,General Health Professions,429,NL,2025-11-28 17:23:40
2005,2712,"Endocrinology, Diabetes and Metabolism",413,NL,2025-11-28 17:23:40
2005,2725,Infectious Diseases,406,NL,2025-11-28 17:23:40
2005,2734,Pathology and Forensic Medicine,388,NL,2025-11-28 17:23:40
2005,2745,Rheumatology,372,NL,2025-11-28 17:23:40
2005,1306,Cancer Research,333,NL,2025-11-28 17:23:40
2005,1110,Plant Science,320,NL,2025-11-28 17:23:40
2005,2720,Hematology,319,NL,2025-11-28 17:23:40
2005,2804,Cellular and Molecular Neuroscience,317,NL,2025-11-28 17:23:40
2005,1307,Cell Biology,302,NL,2025-11-28 17:23:40
2005,1705,Computer Networks and Communications,280,NL,2025-11-28 17:23:40
2005,1605,Organic Chemistry,246,NL,2025-11-28 17:23:40
2005,2728,Neurology,244,NL,2025-11-28 17:23:40
2005,3320,Political Science and International Relations,244,NL,2025-11-28 17:23:40
2005,2736,Pharmacology,235,NL,2025-11-28 17:23:40
2005,1702,Artificial Intelligence,232,NL,2025-11-28 17:23:40
2005,3203,Clinical Psychology,226,NL,2025-11-28 17:23:40
2005,2202,Aerospace Engineering,224,NL,2025-11-28 17:23:40
2005,3207,Social Psychology,221,NL,2025-11-28 17:23:40
2005,1803,Management Science and Operations Research,220,NL,2025-11-28 17:23:40
2005,2210,Mechanical Engineering,218,NL,2025-11-28 17:23:40
2005,2738,Psychiatry and Mental health,203,NL,2025-11-28 17:23:40
2005,2805,Cognitive Neuroscience,200,NL,2025-11-28 17:23:40
2005,2916,Nutrition and Dietetics,199,NL,2025-11-28 17:23:40
2005,2003,Finance,196,NL,2025-11-28 17:23:40
2005,1607,Spectroscopy,191,NL,2025-11-28 17:23:40
2005,2000,"General Economics, Econometrics and Finance",189,NL,2025-11-28 17:23:40
2005,2721,Hepatology,166,NL,2025-11-28 17:23:40
2005,2206,Computational Mechanics,162,NL,2025-11-28 17:23:40
2005,2711,Emergency Medicine,157,NL,2025-11-28 17:23:40
2005,2743,Reproductive Medicine,157,NL,2025-11-28 17:23:40
2005,2303,Ecology,152,NL,2025-11-28 17:23:40
2005,2207,Control and Systems Engineering,150,NL,2025-11-28 17:23:40
2005,2732,Orthopedics and Sports Medicine,148,NL,2025-11-28 17:23:40
2005,2507,Polymers and Plastics,147,NL,2025-11-28 17:23:40
2005,1408,Strategy and Management,146,NL,2025-11-28 17:23:40
2005,2715,Gastroenterology,146,NL,2025-11-28 17:23:40
2005,2716,Genetics,141,NL,2025-11-28 17:23:40
2005,2729,Obstetrics and Gynecology,134,NL,2025-11-28 17:23:40
2005,1308,Clinical Biochemistry,132,NL,2025-11-28 17:23:40
2005,1106,Food Science,130,NL,2025-11-28 17:23:40
2005,2105,"Renewable Energy, Sustainability and the Environment",128,NL,2025-11-28 17:23:40
2005,2727,Nephrology,128,NL,2025-11-28 17:23:40
2005,2404,Microbiology,127,NL,2025-11-28 17:23:40
2005,1703,Computational Theory and Mathematics,126,NL,2025-11-28 17:23:40
2005,2502,Biomaterials,125,NL,2025-11-28 17:23:40
2005,2724,Internal Medicine,125,NL,2025-11-28 17:23:40
2005,2748,Urology,123,NL,2025-11-28 17:23:40
2005,1707,Computer Vision and Pattern Recognition,122,NL,2025-11-28 17:23:40
2005,2211,Mechanics of Materials,122,NL,2025-11-28 17:23:40
2005,3108,Radiation,119,NL,2025-11-28 17:23:40
2005,3318,Gender Studies,117,NL,2025-11-28 17:23:40
2005,3103,Astronomy and Astrophysics,116,NL,2025-11-28 17:23:40
2005,2508,"Surfaces, Coatings and Films",114,NL,2025-11-28 17:23:40
2005,2731,Ophthalmology,114,NL,2025-11-28 17:23:40
2005,2504,"Electronic, Optical and Magnetic Materials",112,NL,2025-11-28 17:23:40
2005,1402,Accounting,111,NL,2025-11-28 17:23:40
2005,1407,Organizational Behavior and Human Resource Management,107,NL,2025-11-28 17:23:40
2005,3304,Education,107,NL,2025-11-28 17:23:40
2005,3604,Emergency Medical Services,107,NL,2025-11-28 17:23:40
2005,1708,Hardware and Architecture,103,NL,2025-11-28 17:23:40
2005,2708,Dermatology,97,NL,2025-11-28 17:23:40
2005,1105,"Ecology, Evolution, Behavior and Systematics",95,NL,2025-11-28 17:23:40
2005,1406,Marketing,95,NL,2025-11-28 17:23:40
2005,2723,Immunology and Allergy,93,NL,2025-11-28 17:23:40
2005,2733,Otorhinolaryngology,93,NL,2025-11-28 17:23:40
2005,2742,Rehabilitation,93,NL,2025-11-28 17:23:40
2005,3311,Safety Research,91,NL,2025-11-28 17:23:40
2005,2306,Global and Planetary Change,89,NL,2025-11-28 17:23:40
2005,3317,Demography,89,NL,2025-11-28 17:23:40
2005,2706,Critical Care and Intensive Care Medicine,88,NL,2025-11-28 17:23:40
2005,1303,Biochemistry,86,NL,2025-11-28 17:23:40
2005,2807,Endocrine and Autonomic Systems,85,NL,2025-11-28 17:23:40
2005,3306,Health,84,NL,2025-11-28 17:23:40
2005,3109,Statistical and Nonlinear Physics,83,NL,2025-11-28 17:23:40
2005,2305,Environmental Engineering,82,NL,2025-11-28 17:23:40
2005,1710,Information Systems,81,NL,2025-11-28 17:23:40
2005,1606,Physical and Theoretical Chemistry,80,NL,2025-11-28 17:23:40
2005,3616,Speech and Hearing,78,NL,2025-11-28 17:23:40
2005,3104,Condensed Matter Physics,77,NL,2025-11-28 17:23:40
2005,1305,Biotechnology,76,NL,2025-11-28 17:23:40
2005,2212,Ocean Engineering,75,NL,2025-11-28 17:23:40
2005,1304,Biophysics,74,NL,2025-11-28 17:23:40
2005,3106,Nuclear and High Energy Physics,73,NL,2025-11-28 17:23:40
2005,2308,"Management, Monitoring, Policy and Law",68,NL,2025-11-28 17:23:40
2005,2747,Transplantation,68,NL,2025-11-28 17:23:40
2005,1804,"Statistics, Probability and Uncertainty",67,NL,2025-11-28 17:23:40
2005,2808,Neurology,67,NL,2025-11-28 17:23:40
2005,1711,Signal Processing,66,NL,2025-11-28 17:23:40
2005,2214,Media Technology,66,NL,2025-11-28 17:23:40
2005,3004,Pharmacology,65,NL,2025-11-28 17:23:40
2005,3202,Applied Psychology,64,NL,2025-11-28 17:23:40
2005,3404,Small Animals,64,NL,2025-11-28 17:23:40
2005,1604,Inorganic Chemistry,63,NL,2025-11-28 17:23:40
2005,2307,"Health, Toxicology and Mutagenesis",63,NL,2025-11-28 17:23:40
2005,2312,Water Science and Technology,63,NL,2025-11-28 17:23:40
2005,1103,Animal Science and Zoology,62,NL,2025-11-28 17:23:40
2005,1102,Agronomy and Crop Science,61,NL,2025-11-28 17:23:40
2005,3504,Oral Surgery,61,NL,2025-11-28 17:23:40
2005,3313,Transportation,60,NL,2025-11-28 17:23:40
2005,2406,Virology,59,NL,2025-11-28 17:23:40
2005,2703,Anesthesiology and Pain Medicine,59,NL,2025-11-28 17:23:40
2005,2707,Complementary and alternative medicine,59,NL,2025-11-28 17:23:40
2005,3315,Communication,59,NL,2025-11-28 17:23:40
2005,1405,Management of Technology and Innovation,58,NL,2025-11-28 17:23:40
2005,2203,Automotive Engineering,58,NL,2025-11-28 17:23:40
2005,3205,Experimental and Cognitive Psychology,56,NL,2025-11-28 17:23:40
2005,3611,Pharmacy,56,NL,2025-11-28 17:23:40
2005,1404,Management Information Systems,55,NL,2025-11-28 17:23:40
2005,2613,Statistics and Probability,55,NL,2025-11-28 17:23:40
2005,1502,Bioengineering,51,NL,2025-11-28 17:23:40
2005,2704,Biochemistry,51,NL,2025-11-28 17:23:40
2005,3308,Law,51,NL,2025-11-28 17:23:40
2005,3605,Health Information Management,51,NL,2025-11-28 17:23:40
2005,2714,Family Practice,50,NL,2025-11-28 17:23:40
2005,1109,Insect Science,47,NL,2025-11-28 17:23:40
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",46,NL,2025-11-28 17:23:40
2005,1100,General Agricultural and Biological Sciences,45,NL,2025-11-28 17:23:40
2005,2809,Sensory Systems,45,NL,2025-11-28 17:23:40
2005,2310,Pollution,40,NL,2025-11-28 17:23:40
2005,2405,Parasitology,40,NL,2025-11-28 17:23:40
2005,1211,Philosophy,38,NL,2025-11-28 17:23:40
2005,1507,Fluid Flow and Transfer Processes,38,NL,2025-11-28 17:23:40
2005,1800,General Decision Sciences,38,NL,2025-11-28 17:23:40
2005,1902,Atmospheric Science,38,NL,2025-11-28 17:23:40
2005,1310,Endocrinology,37,NL,2025-11-28 17:23:40
2005,3314,Anthropology,37,NL,2025-11-28 17:23:40
2005,3322,Urban Studies,37,NL,2025-11-28 17:23:40
2005,2205,Civil and Structural Engineering,36,NL,2025-11-28 17:23:40
2005,3204,Developmental and Educational Psychology,35,NL,2025-11-28 17:23:40
2005,3506,Periodontics,35,NL,2025-11-28 17:23:40
2005,1314,Physiology,34,NL,2025-11-28 17:23:40
2005,1602,Analytical Chemistry,34,NL,2025-11-28 17:23:40
2005,1910,Oceanography,34,NL,2025-11-28 17:23:40
2005,2717,Geriatrics and Gerontology,34,NL,2025-11-28 17:23:40
2005,2213,"Safety, Risk, Reliability and Quality",33,NL,2025-11-28 17:23:40
2005,3614,Radiological and Ultrasound Technology,33,NL,2025-11-28 17:23:40
2005,1208,Literature and Literary Theory,32,NL,2025-11-28 17:23:40
2005,1503,Catalysis,32,NL,2025-11-28 17:23:40
2005,1603,Electrochemistry,32,NL,2025-11-28 17:23:40
2005,2215,Building and Construction,31,NL,2025-11-28 17:23:40
2005,1709,Human-Computer Interaction,30,NL,2025-11-28 17:23:40
2005,1802,Information Systems and Management,30,NL,2025-11-28 17:23:40
2005,1908,Geophysics,30,NL,2025-11-28 17:23:40
2005,1202,History,28,NL,2025-11-28 17:23:40
2005,2806,Developmental Neuroscience,28,NL,2025-11-28 17:23:40
2005,1313,Molecular Medicine,27,NL,2025-11-28 17:23:40
2005,3005,Toxicology,26,NL,2025-11-28 17:23:40
2005,2209,Industrial and Manufacturing Engineering,24,NL,2025-11-28 17:23:40
2005,3321,Public Administration,24,NL,2025-11-28 17:23:40
2005,2309,Nature and Landscape Conservation,23,NL,2025-11-28 17:23:40
2005,2304,Environmental Chemistry,22,NL,2025-11-28 17:23:40
2005,3003,Pharmaceutical Science,22,NL,2025-11-28 17:23:40
2005,3303,Development,22,NL,2025-11-28 17:23:40
2005,3316,Cultural Studies,22,NL,2025-11-28 17:23:40
2005,1111,Soil Science,18,NL,2025-11-28 17:23:40
2005,1207,History and Philosophy of Science,18,NL,2025-11-28 17:23:40
2005,1302,Aging,18,NL,2025-11-28 17:23:40
2005,2402,Applied Microbiology and Biotechnology,18,NL,2025-11-28 17:23:40
2005,1309,Developmental Biology,17,NL,2025-11-28 17:23:40
2005,2311,Industrial and Manufacturing Engineering,17,NL,2025-11-28 17:23:40
2005,2611,Modeling and Simulation,17,NL,2025-11-28 17:23:40
