year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,938,NO,2025-12-03 12:07:56
2005,2746,Surgery,538,NO,2025-12-03 12:07:56
2005,2210,Mechanical Engineering,515,NO,2025-12-03 12:07:56
2005,2303,Ecology,492,NO,2025-12-03 12:07:56
2005,3312,Sociology and Political Science,486,NO,2025-12-03 12:07:56
2005,1902,Atmospheric Science,455,NO,2025-12-03 12:07:56
2005,2208,Electrical and Electronic Engineering,453,NO,2025-12-03 12:07:56
2005,2306,Global and Planetary Change,443,NO,2025-12-03 12:07:56
2005,3600,General Health Professions,374,NO,2025-12-03 12:07:56
2005,2739,"Public Health, Environmental and Occupational Health",371,NO,2025-12-03 12:07:56
2005,2212,Ocean Engineering,226,NO,2025-12-03 12:07:56
2005,1311,Genetics,213,NO,2025-12-03 12:07:56
2005,1910,Oceanography,178,NO,2025-12-03 12:07:56
2005,2309,Nature and Landscape Conservation,144,NO,2025-12-03 12:07:56
2005,2505,Materials Chemistry,132,NO,2025-12-03 12:07:56
2005,2740,Pulmonary and Respiratory Medicine,128,NO,2025-12-03 12:07:56
2005,2211,Mechanics of Materials,127,NO,2025-12-03 12:07:56
2005,2713,Epidemiology,121,NO,2025-12-03 12:07:56
2005,2002,Economics and Econometrics,116,NO,2025-12-03 12:07:56
2005,1705,Computer Networks and Communications,112,NO,2025-12-03 12:07:56
2005,2730,Oncology,111,NO,2025-12-03 12:07:56
2005,2204,Biomedical Engineering,108,NO,2025-12-03 12:07:56
2005,2705,Cardiology and Cardiovascular Medicine,108,NO,2025-12-03 12:07:56
2005,2737,Physiology,107,NO,2025-12-03 12:07:56
2005,2403,Immunology,102,NO,2025-12-03 12:07:56
2005,1110,Plant Science,101,NO,2025-12-03 12:07:56
2005,2304,Environmental Chemistry,96,NO,2025-12-03 12:07:56
2005,1908,Geophysics,92,NO,2025-12-03 12:07:56
2005,1105,"Ecology, Evolution, Behavior and Systematics",90,NO,2025-12-03 12:07:56
2005,2735,"Pediatrics, Perinatology and Child Health",87,NO,2025-12-03 12:07:56
2005,1306,Cancer Research,84,NO,2025-12-03 12:07:56
2005,2305,Environmental Engineering,75,NO,2025-12-03 12:07:56
2005,1904,Earth-Surface Processes,74,NO,2025-12-03 12:07:56
2005,3320,Political Science and International Relations,73,NO,2025-12-03 12:07:56
2005,1104,Aquatic Science,72,NO,2025-12-03 12:07:56
2005,2745,Rheumatology,71,NO,2025-12-03 12:07:56
