year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,805,NZ,2025-11-28 17:27:01
2005,2303,Ecology,631,NZ,2025-11-28 17:27:01
2005,3312,Sociology and Political Science,546,NZ,2025-11-28 17:27:01
2005,1110,Plant Science,485,NZ,2025-11-28 17:27:01
2005,2002,Economics and Econometrics,418,NZ,2025-11-28 17:27:01
2005,2746,Surgery,387,NZ,2025-11-28 17:27:01
2005,1311,Genetics,372,NZ,2025-11-28 17:27:01
2005,2739,"Public Health, Environmental and Occupational Health",367,NZ,2025-11-28 17:27:01
2005,3600,General Health Professions,320,NZ,2025-11-28 17:27:01
2005,2713,Epidemiology,270,NZ,2025-11-28 17:27:01
2005,1105,"Ecology, Evolution, Behavior and Systematics",209,NZ,2025-11-28 17:27:01
2005,2309,Nature and Landscape Conservation,171,NZ,2025-11-28 17:27:01
2005,2306,Global and Planetary Change,144,NZ,2025-11-28 17:27:01
2005,1109,Insect Science,116,NZ,2025-11-28 17:27:01
2005,1307,Cell Biology,114,NZ,2025-11-28 17:27:01
2005,2740,Pulmonary and Respiratory Medicine,101,NZ,2025-11-28 17:27:01
2005,1910,Oceanography,99,NZ,2025-11-28 17:27:01
2005,2735,"Pediatrics, Perinatology and Child Health",95,NZ,2025-11-28 17:27:01
2005,3203,Clinical Psychology,93,NZ,2025-11-28 17:27:01
2005,2705,Cardiology and Cardiovascular Medicine,91,NZ,2025-11-28 17:27:01
2005,2737,Physiology,91,NZ,2025-11-28 17:27:01
2005,2725,Infectious Diseases,90,NZ,2025-11-28 17:27:01
2005,3207,Social Psychology,87,NZ,2025-11-28 17:27:01
2005,1106,Food Science,81,NZ,2025-11-28 17:27:01
2005,3320,Political Science and International Relations,77,NZ,2025-11-28 17:27:01
2005,2730,Oncology,74,NZ,2025-11-28 17:27:01
2005,2736,Pharmacology,74,NZ,2025-11-28 17:27:01
2005,3318,Gender Studies,67,NZ,2025-11-28 17:27:01
2005,1902,Atmospheric Science,65,NZ,2025-11-28 17:27:01
2005,2304,Environmental Chemistry,64,NZ,2025-11-28 17:27:01
2005,3304,Education,63,NZ,2025-11-28 17:27:01
2005,1102,Agronomy and Crop Science,61,NZ,2025-11-28 17:27:01
2005,2003,Finance,61,NZ,2025-11-28 17:27:01
2005,2403,Immunology,61,NZ,2025-11-28 17:27:01
2005,1407,Organizational Behavior and Human Resource Management,59,NZ,2025-11-28 17:27:01
2005,2745,Rheumatology,59,NZ,2025-11-28 17:27:01
2005,2804,Cellular and Molecular Neuroscience,58,NZ,2025-11-28 17:27:01
2005,2712,"Endocrinology, Diabetes and Metabolism",57,NZ,2025-11-28 17:27:01
2005,2916,Nutrition and Dietetics,57,NZ,2025-11-28 17:27:01
2005,2734,Pathology and Forensic Medicine,56,NZ,2025-11-28 17:27:01
2005,1111,Soil Science,55,NZ,2025-11-28 17:27:01
