subfield_id,subfield_name,title,doi,year,cited_by_count,id
1204,Archeology,Plant foods and the dietary ecology of Neanderthals and early modern humans,https://doi.org/10.1016/j.jhevol.2013.12.014,2014,228,https://openalex.org/W2083776525
1204,Archeology,"Using plant microfossils from dental calculus to recover human diet: a case study from Tell al-Raqā'i, Syria",https://doi.org/10.1016/j.jas.2007.12.005,2008,217,https://openalex.org/W2089563943
1204,Archeology,Archaeogenomic distinctiveness of the Isthmo-Colombian area,https://doi.org/10.1016/j.cell.2021.02.040,2021,95,https://openalex.org/W3139311264
1202,History,Starch Fossils and the Domestication and Dispersal of Chili Peppers ( <i>Capsicum</i> spp. L.) in the Americas,https://doi.org/10.1126/science.1136914,2007,409,https://openalex.org/W2112941921
1202,History,Sparse Pre-Columbian Human Habitation in Western Amazonia,https://doi.org/10.1126/science.1219982,2012,241,https://openalex.org/W2074196267
1202,History,Starch grain evidence for the preceramic dispersals of maize and root crops into tropical dry and humid forests of Panama,https://doi.org/10.1073/pnas.0611605104,2007,201,https://openalex.org/W2151084986
1105,"Ecology, Evolution, Behavior and Systematics",The global spectrum of plant form and function,https://doi.org/10.1038/nature16489,2015,2983,https://openalex.org/W2218052335
1105,"Ecology, Evolution, Behavior and Systematics","Amazonia Through Time: Andean Uplift, Climate Change, Landscape Evolution, and Biodiversity",https://doi.org/10.1126/science.1194585,2010,2269,https://openalex.org/W2112184907
1105,"Ecology, Evolution, Behavior and Systematics",Hyperdominance in the Amazonian Tree Flora,https://doi.org/10.1126/science.1243092,2013,1351,https://openalex.org/W2134105845
3312,Sociology and Political Science,"Constructing, conducting and interpreting animal social network analysis",https://doi.org/10.1111/1365-2656.12418,2015,907,https://openalex.org/W1828958803
3312,Sociology and Political Science,Experimentally induced innovations lead to persistent culture via conformity in wild birds,https://doi.org/10.1038/nature13998,2014,706,https://openalex.org/W1982707930
3312,Sociology and Political Science,Shared decision-making drives collective movement in wild baboons,https://doi.org/10.1126/science.aaa5099,2015,571,https://openalex.org/W2171848690
3314,Anthropology,Species-specific responses of Late Quaternary megafauna to climate and humans,https://doi.org/10.1038/nature10574,2011,675,https://openalex.org/W2100346898
3314,Anthropology,"Microfossils in calculus demonstrate consumption of plants and cooked foods in Neanderthal diets (Shanidar III, Iraq; Spy I and II, Belgium)",https://doi.org/10.1073/pnas.1016868108,2010,498,https://openalex.org/W2020706664
3314,Anthropology,Plant foods and the dietary ecology of Neanderthals and early modern humans,https://doi.org/10.1016/j.jhevol.2013.12.014,2014,228,https://openalex.org/W2083776525
3320,Political Science and International Relations,Ten simple rules for Global North researchers to stop perpetuating helicopter research in the Global South,https://doi.org/10.1371/journal.pcbi.1009277,2021,246,https://openalex.org/W3193474197
3320,Political Science and International Relations,Teoría general del Estado,https://doi.org/10.61311/2953-2965.28,2022,71,https://openalex.org/W4387918934
3320,Political Science and International Relations,Plan de Desarrollo Institucional,,2016,59,https://openalex.org/W2606207813
2303,Ecology,Impacts of Biodiversity Loss on Ocean Ecosystem Services,https://doi.org/10.1126/science.1132294,2006,4370,https://openalex.org/W2156709416
2303,Ecology,Sharing and community curation of mass spectrometry data with Global Natural Products Social Molecular Networking,https://doi.org/10.1038/nbt.3597,2016,4080,https://openalex.org/W2504691963
2303,Ecology,"Depletion, Degradation, and Recovery Potential of Estuaries and Coastal Seas",https://doi.org/10.1126/science.1128035,2006,3212,https://openalex.org/W2067804762
1110,Plant Science,Mycorrhiza-mediated competition between plants and decomposers drives soil carbon storage,https://doi.org/10.1038/nature12901,2014,1032,https://openalex.org/W2138353304
1110,Plant Science,Long-Distance Dispersal of Plants,https://doi.org/10.1126/science.1124975,2006,1019,https://openalex.org/W1982662500
1110,Plant Science,Biotic interactions and plant invasions,https://doi.org/10.1111/j.1461-0248.2006.00908.x,2006,791,https://openalex.org/W2164571272
1311,Genetics,The Unified Neutral Theory of Biodiversity and Biogeography at Age Ten,https://doi.org/10.1016/j.tree.2011.03.024,2011,1076,https://openalex.org/W2100167171
1311,Genetics,Developmental plasticity and the origin of species differences,https://doi.org/10.1073/pnas.0501844102,2005,961,https://openalex.org/W2057250255
1311,Genetics,"Community-led, integrated, reproducible multi-omics with anvi’o",https://doi.org/10.1038/s41564-020-00834-3,2020,832,https://openalex.org/W3116000462
2309,Nature and Landscape Conservation,The global spectrum of plant form and function,https://doi.org/10.1038/nature16489,2015,2983,https://openalex.org/W2218052335
2309,Nature and Landscape Conservation,Improved allometric models to estimate the aboveground biomass of tropical trees,https://doi.org/10.1111/gcb.12629,2014,2692,https://openalex.org/W2133613984
2309,Nature and Landscape Conservation,"Amazonia Through Time: Andean Uplift, Climate Change, Landscape Evolution, and Biodiversity",https://doi.org/10.1126/science.1194585,2010,2269,https://openalex.org/W2112184907
