year,id,name,works_count,country,fetch_date
2005,3320,Political Science and International Relations,185,PE,2025-12-01 18:51:47
2005,3312,Sociology and Political Science,119,PE,2025-12-01 18:51:47
2005,3308,Law,115,PE,2025-12-01 18:51:47
2005,2739,"Public Health, Environmental and Occupational Health",106,PE,2025-12-01 18:51:47
2005,3600,General Health Professions,92,PE,2025-12-01 18:51:47
2005,3304,Education,83,PE,2025-12-01 18:51:47
2005,2002,Economics and Econometrics,53,PE,2025-12-01 18:51:47
2005,3207,Social Psychology,35,PE,2025-12-01 18:51:47
2005,1710,Information Systems,34,PE,2025-12-01 18:51:47
2005,1106,Food Science,31,PE,2025-12-01 18:51:47
2005,2308,"Management, Monitoring, Policy and Law",28,PE,2025-12-01 18:51:47
2005,2725,Infectious Diseases,26,PE,2025-12-01 18:51:47
2005,1402,Accounting,21,PE,2025-12-01 18:51:47
2005,1407,Organizational Behavior and Human Resource Management,16,PE,2025-12-01 18:51:47
2005,3317,Demography,16,PE,2025-12-01 18:51:47
2005,1706,Computer Science Applications,15,PE,2025-12-01 18:51:47
2005,2713,Epidemiology,15,PE,2025-12-01 18:51:47
2005,3314,Anthropology,13,PE,2025-12-01 18:51:47
2005,1100,General Agricultural and Biological Sciences,12,PE,2025-12-01 18:51:47
2005,2735,"Pediatrics, Perinatology and Child Health",12,PE,2025-12-01 18:51:47
2005,2916,Nutrition and Dietetics,12,PE,2025-12-01 18:51:47
2005,3300,General Social Sciences,12,PE,2025-12-01 18:51:47
2005,1211,Philosophy,11,PE,2025-12-01 18:51:47
2005,3311,Safety Research,11,PE,2025-12-01 18:51:47
2005,3203,Clinical Psychology,10,PE,2025-12-01 18:51:47
2005,1110,Plant Science,9,PE,2025-12-01 18:51:47
2005,1202,History,9,PE,2025-12-01 18:51:47
2005,3205,Experimental and Cognitive Psychology,9,PE,2025-12-01 18:51:47
2005,3316,Cultural Studies,9,PE,2025-12-01 18:51:47
2005,1105,"Ecology, Evolution, Behavior and Systematics",8,PE,2025-12-01 18:51:47
2005,2405,Parasitology,8,PE,2025-12-01 18:51:47
2005,3204,Developmental and Educational Psychology,8,PE,2025-12-01 18:51:47
2005,1208,Literature and Literary Theory,7,PE,2025-12-01 18:51:47
2005,1408,Strategy and Management,7,PE,2025-12-01 18:51:47
2005,1802,Information Systems and Management,7,PE,2025-12-01 18:51:47
2005,3306,Health,7,PE,2025-12-01 18:51:47
2005,3609,Occupational Therapy,7,PE,2025-12-01 18:51:47
2005,2303,Ecology,6,PE,2025-12-01 18:51:47
2005,1312,Molecular Biology,5,PE,2025-12-01 18:51:47
2005,2000,"General Economics, Econometrics and Finance",5,PE,2025-12-01 18:51:47
