year,id,name,works_count,country,fetch_date
2005,2303,Ecology,13,PF,2025-12-01 19:08:21
2005,3312,Sociology and Political Science,7,PF,2025-12-01 19:08:21
2005,2306,Global and Planetary Change,6,PF,2025-12-01 19:08:21
2005,2739,"Public Health, Environmental and Occupational Health",6,PF,2025-12-01 19:08:21
2005,3305,"Geography, Planning and Development",5,PF,2025-12-01 19:08:21
2005,1109,Insect Science,4,PF,2025-12-01 19:08:21
2005,1910,Oceanography,3,PF,2025-12-01 19:08:21
2005,3317,Demography,3,PF,2025-12-01 19:08:21
2005,1104,Aquatic Science,2,PF,2025-12-01 19:08:21
2005,1106,Food Science,2,PF,2025-12-01 19:08:21
2005,1110,Plant Science,2,PF,2025-12-01 19:08:21
2005,1311,Genetics,2,PF,2025-12-01 19:08:21
2005,1312,Molecular Biology,2,PF,2025-12-01 19:08:21
2005,1902,Atmospheric Science,2,PF,2025-12-01 19:08:21
2005,2725,Infectious Diseases,2,PF,2025-12-01 19:08:21
2005,3320,Political Science and International Relations,2,PF,2025-12-01 19:08:21
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,PF,2025-12-01 19:08:21
2005,1303,Biochemistry,1,PF,2025-12-01 19:08:21
2005,1310,Endocrinology,1,PF,2025-12-01 19:08:21
2005,1402,Accounting,1,PF,2025-12-01 19:08:21
2005,1904,Earth-Surface Processes,1,PF,2025-12-01 19:08:21
2005,1911,Paleontology,1,PF,2025-12-01 19:08:21
2005,2304,Environmental Chemistry,1,PF,2025-12-01 19:08:21
2005,2309,Nature and Landscape Conservation,1,PF,2025-12-01 19:08:21
2005,2310,Pollution,1,PF,2025-12-01 19:08:21
2005,2705,Cardiology and Cardiovascular Medicine,1,PF,2025-12-01 19:08:21
2005,2713,Epidemiology,1,PF,2025-12-01 19:08:21
2005,2728,Neurology,1,PF,2025-12-01 19:08:21
2005,2730,Oncology,1,PF,2025-12-01 19:08:21
2005,2746,Surgery,1,PF,2025-12-01 19:08:21
2005,2804,Cellular and Molecular Neuroscience,1,PF,2025-12-01 19:08:21
2005,3205,Experimental and Cognitive Psychology,1,PF,2025-12-01 19:08:21
2005,3314,Anthropology,1,PF,2025-12-01 19:08:21
2005,3318,Gender Studies,1,PF,2025-12-01 19:08:21
2005,3600,General Health Professions,1,PF,2025-12-01 19:08:21
2006,2303,Ecology,15,PF,2025-12-01 19:08:21
