year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,126,PH,2025-11-28 17:29:56
2005,1312,Molecular Biology,78,PH,2025-11-28 17:29:56
2005,3312,Sociology and Political Science,76,PH,2025-11-28 17:29:56
2005,2002,Economics and Econometrics,68,PH,2025-11-28 17:29:56
2005,2713,Epidemiology,43,PH,2025-11-28 17:29:56
2005,2303,Ecology,41,PH,2025-11-28 17:29:56
2005,2739,"Public Health, Environmental and Occupational Health",38,PH,2025-11-28 17:29:56
2005,1311,Genetics,35,PH,2025-11-28 17:29:56
2005,3600,General Health Professions,33,PH,2025-11-28 17:29:56
2005,2306,Global and Planetary Change,24,PH,2025-11-28 17:29:56
2005,1111,Soil Science,23,PH,2025-11-28 17:29:56
2005,3304,Education,22,PH,2025-11-28 17:29:56
2005,2000,"General Economics, Econometrics and Finance",21,PH,2025-11-28 17:29:56
2005,1105,"Ecology, Evolution, Behavior and Systematics",20,PH,2025-11-28 17:29:56
2005,1710,Information Systems,19,PH,2025-11-28 17:29:56
2005,2725,Infectious Diseases,16,PH,2025-11-28 17:29:56
2005,2405,Parasitology,15,PH,2025-11-28 17:29:56
2005,3320,Political Science and International Relations,13,PH,2025-11-28 17:29:56
2005,2403,Immunology,11,PH,2025-11-28 17:29:56
2005,2916,Nutrition and Dietetics,11,PH,2025-11-28 17:29:56
2005,3308,Law,10,PH,2025-11-28 17:29:56
2005,2308,"Management, Monitoring, Policy and Law",9,PH,2025-11-28 17:29:56
2005,1109,Insect Science,8,PH,2025-11-28 17:29:56
2005,1406,Marketing,8,PH,2025-11-28 17:29:56
2005,1408,Strategy and Management,8,PH,2025-11-28 17:29:56
2005,2003,Finance,8,PH,2025-11-28 17:29:56
2005,2735,"Pediatrics, Perinatology and Child Health",8,PH,2025-11-28 17:29:56
2005,1402,Accounting,7,PH,2025-11-28 17:29:56
2005,2309,Nature and Landscape Conservation,7,PH,2025-11-28 17:29:56
2005,3004,Pharmacology,7,PH,2025-11-28 17:29:56
