year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,30,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,26,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10187,Radio Frequency Integrated Circuit Design,13,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10651,"IPv6, Mobility, Handover, Networks, Security",12,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,11,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10246,Mobile Ad Hoc Networks,10,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10781,Plasma Diagnostics and Applications,10,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10138,Network Traffic and Congestion Control,9,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,9,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T11158,Wireless Networks and Protocols,9,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,8,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,7,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10623,Thin-Film Transistor Technologies,7,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10714,Software-Defined Networks and 5G,7,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10761,Vehicular Ad Hoc Networks (VANETs),7,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T11321,Error Correcting Code Techniques,7,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,7,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T12146,Power Line Communications and Noise,7,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,6,PK,2025-11-25 22:56:52
2005,2208,Electrical and Electronic Engineering,T10323,Analog and Mixed-Signal Circuit Design,6,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10575,Wireless Communication Networks Research,28,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10125,Advanced Wireless Communication Techniques,24,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10715,Distributed and Parallel Computing Systems,21,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10246,Mobile Ad Hoc Networks,18,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T12203,Mobile Agent-Based Network Management,15,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10054,Parallel Computing and Optimization Techniques,14,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10317,Advanced Database Systems and Queries,14,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T11158,Wireless Networks and Protocols,13,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10138,Network Traffic and Congestion Control,12,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10651,"IPv6, Mobility, Handover, Networks, Security",12,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10400,Network Security and Intrusion Detection,11,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10679,Service-Oriented Architecture and Web Services,11,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T11896,Opportunistic and Delay-Tolerant Networks,11,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10215,Semantic Web and Ontologies,10,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T11106,Data Management and Algorithms,10,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T11409,Advanced Wireless Network Optimization,10,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10742,Peer-to-Peer Network Technologies,9,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10772,Distributed systems and fault tolerance,9,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10080,Energy Efficient Wireless Sensor Networks,8,PK,2025-11-25 22:56:52
2005,1705,Computer Networks and Communications,T10714,Software-Defined Networks and 5G,8,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,16,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10639,Advanced Software Engineering Methodologies,16,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10679,Service-Oriented Architecture and Web Services,12,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,11,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10456,Multi-Agent Systems and Negotiation,11,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10317,Advanced Database Systems and Queries,10,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,9,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10951,Cryptographic Implementations and Security,9,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10201,Speech Recognition and Synthesis,8,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10260,Software Engineering Research,8,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10430,Software Engineering Techniques and Practices,8,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10906,AI-based Problem Solving and Planning,8,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T11017,Chaos-based Image/Signal Encryption,8,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T11269,Algorithms and Data Compression,8,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T11106,Data Management and Algorithms,7,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T11130,Coding theory and cryptography,7,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T11975,Evolutionary Algorithms and Applications,7,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T11512,Anomaly Detection Techniques and Applications,6,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10028,Topic Modeling,5,PK,2025-11-25 22:56:52
2005,1702,Artificial Intelligence,T10100,Metaheuristic Optimization Algorithms Research,5,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T12458,Organometallic Compounds Synthesis and Characterization,20,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T10464,Crystal structures of chemical compounds,19,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T10163,Metal complexes synthesis and properties,15,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T10274,Synthesis and biological activity,14,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T13124,Chemical synthesis and alkaloids,12,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T11746,Inorganic and Organometallic Chemistry,11,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T11441,Organoboron and organosilicon chemistry,9,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T13023,Synthesis of Organic Compounds,9,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T13160,Synthesis and Biological Evaluation,9,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T10092,Organometallic Complex Synthesis and Catalysis,8,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T10807,Synthesis and characterization of novel inorganic/organometallic compounds,8,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T10911,Chemical Synthesis and Analysis,8,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T12023,Cholinesterase and Neurodegenerative Diseases,6,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T14459,Synthesis and Reactions of Organic Compounds,6,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T10721,Surfactants and Colloidal Systems,5,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T11831,Chemical Synthesis and Reactions,5,PK,2025-11-25 22:56:52
2005,1605,Organic Chemistry,T10817,Multicomponent Synthesis of Heterocycles,4,PK,2025-11-25 22:56:52
