subfield_id,subfield_name,title,doi,year,cited_by_count,id
3320,Political Science and International Relations,Detonative propulsion,https://doi.org/10.1016/j.proci.2012.10.005,2012,976,https://openalex.org/W4211084575
3320,Political Science and International Relations,Advances in Cryptology – EUROCRYPT 2022,https://doi.org/10.1007/978-3-031-07085-3,2022,607,https://openalex.org/W2502627125
3320,Political Science and International Relations,Gender as “Ebola from Brussels”: The Anticolonial Frame and the Rise of Illiberal Populism,https://doi.org/10.1086/696691,2018,489,https://openalex.org/W2801662618
1312,Molecular Biology,Minimal information for studies of extracellular vesicles 2018 (MISEV2018): a position statement of the International Society for Extracellular Vesicles and update of the MISEV2014 guidelines,https://doi.org/10.1080/20013078.2018.1535750,2018,10297,https://openalex.org/W2900756811
1312,Molecular Biology,Combined Nivolumab and Ipilimumab or Monotherapy in Untreated Melanoma,https://doi.org/10.1056/nejmoa1504030,2015,7895,https://openalex.org/W2166662937
1312,Molecular Biology,Sunitinib versus Interferon Alfa in Metastatic Renal-Cell Carcinoma,https://doi.org/10.1056/nejmoa065044,2007,5687,https://openalex.org/W2149456801
2210,Mechanical Engineering,<i>Fityk</i> : a general-purpose peak fitting program,https://doi.org/10.1107/s0021889810030499,2010,2580,https://openalex.org/W2088732846
2210,Mechanical Engineering,Phase change materials for thermal energy storage,https://doi.org/10.1016/j.pmatsci.2014.03.005,2014,1934,https://openalex.org/W2053448154
2210,Mechanical Engineering,Chemistry of persulfates in water and wastewater treatment: A review,https://doi.org/10.1016/j.cej.2017.07.132,2017,1744,https://openalex.org/W2736371272
1110,Plant Science,TRY – a global database of plant traits,https://doi.org/10.1111/j.1365-2486.2011.02451.x,2011,2593,https://openalex.org/W2162584119
1110,Plant Science,Hybridization and speciation,https://doi.org/10.1111/j.1420-9101.2012.02599.x,2013,2187,https://openalex.org/W1980190786
1110,Plant Science,Genome sequence and analysis of the tuber crop potato,https://doi.org/10.1038/nature10158,2011,2063,https://openalex.org/W2012331775
2505,Materials Chemistry,cclib: A library for package‐independent computational chemistry algorithms,https://doi.org/10.1002/jcc.20823,2007,5820,https://openalex.org/W2106824077
2505,Materials Chemistry,How To Correctly Determine the Band Gap Energy of Modified Semiconductor Photocatalysts Based on UV–Vis Spectra,https://doi.org/10.1021/acs.jpclett.8b02892,2018,4175,https://openalex.org/W2902386805
2505,Materials Chemistry,Ionic liquids as electrolytes,https://doi.org/10.1016/j.electacta.2006.03.016,2006,2605,https://openalex.org/W3146116847
2002,Economics and Econometrics,Recommendations for examining and interpreting funnel plot asymmetry in meta-analyses of randomised controlled trials,https://doi.org/10.1136/bmj.d4002,2011,6785,https://openalex.org/W2119605658
2002,Economics and Econometrics,2019 ESC/EAS guidelines for the management of dyslipidaemias: Lipid modification to reduce cardiovascular risk,https://doi.org/10.1016/j.atherosclerosis.2019.08.014,2019,4779,https://openalex.org/W2953804067
2002,Economics and Econometrics,Forecasting the Impact of Heart Failure in the United States,https://doi.org/10.1161/hhf.0b013e318291329a,2013,2689,https://openalex.org/W2126617656
2208,Electrical and Electronic Engineering,Single-Junction Organic Solar Cell with over 15% Efficiency Using Fused-Ring Acceptor with Electron-Deficient Core,https://doi.org/10.1016/j.joule.2019.01.004,2019,5373,https://openalex.org/W2909990379
2208,Electrical and Electronic Engineering,How To Correctly Determine the Band Gap Energy of Modified Semiconductor Photocatalysts Based on UV–Vis Spectra,https://doi.org/10.1021/acs.jpclett.8b02892,2018,4175,https://openalex.org/W2902386805
2208,Electrical and Electronic Engineering,Survey of Wireless Indoor Positioning Techniques and Systems,https://doi.org/10.1109/tsmcc.2007.905750,2007,4008,https://openalex.org/W2100989187
1408,Strategy and Management,Designing the Business Models for Circular Economy—Towards the Conceptual Framework,https://doi.org/10.3390/su8010043,2016,1438,https://openalex.org/W2264050319
1408,Strategy and Management,Tuberous sclerosis,https://doi.org/10.1016/s0140-6736(08)61279-9,2008,1057,https://openalex.org/W4210953366
1408,Strategy and Management,An extended TODIM multi-criteria group decision making method for green supplier selection in interval type-2 fuzzy environment,https://doi.org/10.1016/j.ejor.2016.09.059,2016,586,https://openalex.org/W2530583575
2204,Biomedical Engineering,Photodynamic therapy of cancer: An update,https://doi.org/10.3322/caac.20114,2011,4991,https://openalex.org/W2151734986
2204,Biomedical Engineering,Biochar physicochemical properties: pyrolysis temperature and feedstock kind effects,https://doi.org/10.1007/s11157-020-09523-3,2020,2272,https://openalex.org/W3004850069
2204,Biomedical Engineering,Formation of droplets and bubbles in a microfluidic T-junction—scaling and mechanism of break-up,https://doi.org/10.1039/b510841a,2006,2200,https://openalex.org/W2142423992
3312,Sociology and Political Science,Differences Between Tight and Loose Cultures: A 33-Nation Study,https://doi.org/10.1126/science.1197754,2011,2957,https://openalex.org/W2161411308
3312,Sociology and Political Science,Refining the theory of basic individual values.,https://doi.org/10.1037/a0029393,2012,2376,https://openalex.org/W1997102788
3312,Sociology and Political Science,Place attachment: How far have we come in the last 40 years?,https://doi.org/10.1016/j.jenvp.2010.10.001,2010,2346,https://openalex.org/W1985363405
