year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,3133,PL,2025-12-03 12:04:12
2005,2210,Mechanical Engineering,2963,PL,2025-12-03 12:04:12
2005,1312,Molecular Biology,2579,PL,2025-12-03 12:04:12
2005,2505,Materials Chemistry,2423,PL,2025-12-03 12:04:12
2005,2208,Electrical and Electronic Engineering,2184,PL,2025-12-03 12:04:12
2005,2002,Economics and Econometrics,1408,PL,2025-12-03 12:04:12
2005,2204,Biomedical Engineering,1371,PL,2025-12-03 12:04:12
2005,1408,Strategy and Management,1136,PL,2025-12-03 12:04:12
2005,3311,Safety Research,1046,PL,2025-12-03 12:04:12
2005,3320,Political Science and International Relations,1019,PL,2025-12-03 12:04:12
2005,3107,"Atomic and Molecular Physics, and Optics",815,PL,2025-12-03 12:04:12
2005,2211,Mechanics of Materials,792,PL,2025-12-03 12:04:12
2005,1106,Food Science,737,PL,2025-12-03 12:04:12
2005,2312,Water Science and Technology,659,PL,2025-12-03 12:04:12
2005,2504,"Electronic, Optical and Magnetic Materials",545,PL,2025-12-03 12:04:12
2005,3312,Sociology and Political Science,530,PL,2025-12-03 12:04:12
2005,1605,Organic Chemistry,473,PL,2025-12-03 12:04:12
2005,2739,"Public Health, Environmental and Occupational Health",464,PL,2025-12-03 12:04:12
2005,3308,Law,463,PL,2025-12-03 12:04:12
2005,2205,Civil and Structural Engineering,378,PL,2025-12-03 12:04:12
2005,2105,"Renewable Energy, Sustainability and the Environment",372,PL,2025-12-03 12:04:12
2005,2203,Automotive Engineering,361,PL,2025-12-03 12:04:12
2005,1607,Spectroscopy,325,PL,2025-12-03 12:04:12
2005,1402,Accounting,314,PL,2025-12-03 12:04:12
2005,2202,Aerospace Engineering,287,PL,2025-12-03 12:04:12
2005,3104,Condensed Matter Physics,284,PL,2025-12-03 12:04:12
2005,2207,Control and Systems Engineering,282,PL,2025-12-03 12:04:12
2005,2003,Finance,270,PL,2025-12-03 12:04:12
2005,2206,Computational Mechanics,269,PL,2025-12-03 12:04:12
2005,1311,Genetics,241,PL,2025-12-03 12:04:12
2005,2507,Polymers and Plastics,237,PL,2025-12-03 12:04:12
2005,1705,Computer Networks and Communications,220,PL,2025-12-03 12:04:12
2005,1604,Inorganic Chemistry,216,PL,2025-12-03 12:04:12
2005,1105,"Ecology, Evolution, Behavior and Systematics",208,PL,2025-12-03 12:04:12
2005,2804,Cellular and Molecular Neuroscience,201,PL,2025-12-03 12:04:12
2005,2916,Nutrition and Dietetics,198,PL,2025-12-03 12:04:12
2005,2730,Oncology,197,PL,2025-12-03 12:04:12
2005,1606,Physical and Theoretical Chemistry,191,PL,2025-12-03 12:04:12
2005,2308,"Management, Monitoring, Policy and Law",189,PL,2025-12-03 12:04:12
2005,3300,General Social Sciences,188,PL,2025-12-03 12:04:12
2005,3305,"Geography, Planning and Development",164,PL,2025-12-03 12:04:12
2005,2303,Ecology,158,PL,2025-12-03 12:04:12
2005,1503,Catalysis,156,PL,2025-12-03 12:04:12
2005,3207,Social Psychology,152,PL,2025-12-03 12:04:12
2005,1406,Marketing,146,PL,2025-12-03 12:04:12
2005,2741,"Radiology, Nuclear Medicine and Imaging",142,PL,2025-12-03 12:04:12
2005,2503,Ceramics and Composites,140,PL,2025-12-03 12:04:12
2005,1306,Cancer Research,137,PL,2025-12-03 12:04:12
2005,1307,Cell Biology,137,PL,2025-12-03 12:04:12
2005,2746,Surgery,134,PL,2025-12-03 12:04:12
2005,3310,Linguistics and Language,130,PL,2025-12-03 12:04:12
2005,3304,Education,125,PL,2025-12-03 12:04:12
2005,1502,Bioengineering,121,PL,2025-12-03 12:04:12
2005,1702,Artificial Intelligence,121,PL,2025-12-03 12:04:12
2005,1202,History,120,PL,2025-12-03 12:04:12
2005,3313,Transportation,115,PL,2025-12-03 12:04:12
2005,2737,Physiology,112,PL,2025-12-03 12:04:12
2005,3106,Nuclear and High Energy Physics,106,PL,2025-12-03 12:04:12
2005,2740,Pulmonary and Respiratory Medicine,104,PL,2025-12-03 12:04:12
2005,1102,Agronomy and Crop Science,102,PL,2025-12-03 12:04:12
2005,2705,Cardiology and Cardiovascular Medicine,102,PL,2025-12-03 12:04:12
2005,3318,Gender Studies,102,PL,2025-12-03 12:04:12
2005,1602,Analytical Chemistry,100,PL,2025-12-03 12:04:12
2005,2215,Building and Construction,100,PL,2025-12-03 12:04:12
2005,1603,Electrochemistry,96,PL,2025-12-03 12:04:12
2005,2500,General Materials Science,96,PL,2025-12-03 12:04:12
2005,1109,Insect Science,95,PL,2025-12-03 12:04:12
2005,3109,Statistical and Nonlinear Physics,95,PL,2025-12-03 12:04:12
2005,1507,Fluid Flow and Transfer Processes,92,PL,2025-12-03 12:04:12
2005,2209,Industrial and Manufacturing Engineering,92,PL,2025-12-03 12:04:12
2005,2403,Immunology,91,PL,2025-12-03 12:04:12
2005,3322,Urban Studies,91,PL,2025-12-03 12:04:12
2005,2502,Biomaterials,88,PL,2025-12-03 12:04:12
2005,2508,"Surfaces, Coatings and Films",84,PL,2025-12-03 12:04:12
2005,3108,Radiation,84,PL,2025-12-03 12:04:12
2005,1703,Computational Theory and Mathematics,83,PL,2025-12-03 12:04:12
2005,1100,General Agricultural and Biological Sciences,78,PL,2025-12-03 12:04:12
2005,1902,Atmospheric Science,77,PL,2025-12-03 12:04:12
2005,1305,Biotechnology,76,PL,2025-12-03 12:04:12
2005,2736,Pharmacology,74,PL,2025-12-03 12:04:12
2005,2704,Biochemistry,73,PL,2025-12-03 12:04:12
2005,1908,Geophysics,71,PL,2025-12-03 12:04:12
2005,2212,Ocean Engineering,70,PL,2025-12-03 12:04:12
2005,1314,Physiology,69,PL,2025-12-03 12:04:12
2005,2712,"Endocrinology, Diabetes and Metabolism",69,PL,2025-12-03 12:04:12
2005,2309,Nature and Landscape Conservation,67,PL,2025-12-03 12:04:12
2005,2734,Pathology and Forensic Medicine,66,PL,2025-12-03 12:04:12
2005,1707,Computer Vision and Pattern Recognition,64,PL,2025-12-03 12:04:12
2005,2713,Epidemiology,62,PL,2025-12-03 12:04:12
2005,1103,Animal Science and Zoology,61,PL,2025-12-03 12:04:12
2005,1212,Religious studies,61,PL,2025-12-03 12:04:12
2005,3103,Astronomy and Astrophysics,61,PL,2025-12-03 12:04:12
2005,1204,Archeology,58,PL,2025-12-03 12:04:12
2005,1704,Computer Graphics and Computer-Aided Design,58,PL,2025-12-03 12:04:12
2005,3314,Anthropology,57,PL,2025-12-03 12:04:12
2005,2311,Industrial and Manufacturing Engineering,54,PL,2025-12-03 12:04:12
2005,1803,Management Science and Operations Research,52,PL,2025-12-03 12:04:12
2005,2707,Complementary and alternative medicine,52,PL,2025-12-03 12:04:12
2005,2716,Genetics,51,PL,2025-12-03 12:04:12
2005,2731,Ophthalmology,49,PL,2025-12-03 12:04:12
2005,1304,Biophysics,48,PL,2025-12-03 12:04:12
2005,2307,"Health, Toxicology and Mutagenesis",48,PL,2025-12-03 12:04:12
2005,2725,Infectious Diseases,47,PL,2025-12-03 12:04:12
2005,2310,Pollution,46,PL,2025-12-03 12:04:12
2005,1211,Philosophy,45,PL,2025-12-03 12:04:12
2005,1303,Biochemistry,44,PL,2025-12-03 12:04:12
2005,2213,"Safety, Risk, Reliability and Quality",44,PL,2025-12-03 12:04:12
