year,id,name,works_count,country,fetch_date
2005,3312,Sociology and Political Science,20,PS,2025-12-01 18:59:03
2005,1312,Molecular Biology,13,PS,2025-12-01 18:59:03
2005,3203,Clinical Psychology,9,PS,2025-12-01 18:59:03
2005,2730,Oncology,8,PS,2025-12-01 18:59:03
2005,3600,General Health Professions,8,PS,2025-12-01 18:59:03
2005,2739,"Public Health, Environmental and Occupational Health",7,PS,2025-12-01 18:59:03
2005,1605,Organic Chemistry,6,PS,2025-12-01 18:59:03
2005,2208,Electrical and Electronic Engineering,6,PS,2025-12-01 18:59:03
2005,1702,Artificial Intelligence,5,PS,2025-12-01 18:59:03
2005,2713,Epidemiology,5,PS,2025-12-01 18:59:03
2005,2746,Surgery,5,PS,2025-12-01 18:59:03
2005,3207,Social Psychology,4,PS,2025-12-01 18:59:03
2005,1311,Genetics,3,PS,2025-12-01 18:59:03
2005,2305,Environmental Engineering,3,PS,2025-12-01 18:59:03
2005,2505,Materials Chemistry,3,PS,2025-12-01 18:59:03
2005,2735,"Pediatrics, Perinatology and Child Health",3,PS,2025-12-01 18:59:03
2005,2916,Nutrition and Dietetics,3,PS,2025-12-01 18:59:03
2005,3304,Education,3,PS,2025-12-01 18:59:03
2005,1402,Accounting,2,PS,2025-12-01 18:59:03
2005,1707,Computer Vision and Pattern Recognition,2,PS,2025-12-01 18:59:03
2005,1906,Geochemistry and Petrology,2,PS,2025-12-01 18:59:03
2005,2203,Automotive Engineering,2,PS,2025-12-01 18:59:03
2005,2207,Control and Systems Engineering,2,PS,2025-12-01 18:59:03
2005,2504,"Electronic, Optical and Magnetic Materials",2,PS,2025-12-01 18:59:03
2005,2705,Cardiology and Cardiovascular Medicine,2,PS,2025-12-01 18:59:03
2005,2721,Hepatology,2,PS,2025-12-01 18:59:03
2005,2725,Infectious Diseases,2,PS,2025-12-01 18:59:03
2005,2741,"Radiology, Nuclear Medicine and Imaging",2,PS,2025-12-01 18:59:03
2005,2809,Sensory Systems,2,PS,2025-12-01 18:59:03
2005,3320,Political Science and International Relations,2,PS,2025-12-01 18:59:03
2005,1106,Food Science,1,PS,2025-12-01 18:59:03
2005,1303,Biochemistry,1,PS,2025-12-01 18:59:03
2005,1308,Clinical Biochemistry,1,PS,2025-12-01 18:59:03
2005,1606,Physical and Theoretical Chemistry,1,PS,2025-12-01 18:59:03
2005,1607,Spectroscopy,1,PS,2025-12-01 18:59:03
2005,1910,Oceanography,1,PS,2025-12-01 18:59:03
2005,2102,Energy Engineering and Power Technology,1,PS,2025-12-01 18:59:03
2005,2105,"Renewable Energy, Sustainability and the Environment",1,PS,2025-12-01 18:59:03
2005,2209,Industrial and Manufacturing Engineering,1,PS,2025-12-01 18:59:03
2005,2303,Ecology,1,PS,2025-12-01 18:59:03
2005,2306,Global and Planetary Change,1,PS,2025-12-01 18:59:03
2005,2312,Water Science and Technology,1,PS,2025-12-01 18:59:03
2005,2507,Polymers and Plastics,1,PS,2025-12-01 18:59:03
2005,2712,"Endocrinology, Diabetes and Metabolism",1,PS,2025-12-01 18:59:03
2005,2717,Geriatrics and Gerontology,1,PS,2025-12-01 18:59:03
2005,2723,Immunology and Allergy,1,PS,2025-12-01 18:59:03
2005,2738,Psychiatry and Mental health,1,PS,2025-12-01 18:59:03
2005,2740,Pulmonary and Respiratory Medicine,1,PS,2025-12-01 18:59:03
2005,2804,Cellular and Molecular Neuroscience,1,PS,2025-12-01 18:59:03
2005,2807,Endocrine and Autonomic Systems,1,PS,2025-12-01 18:59:03
2005,2808,Neurology,1,PS,2025-12-01 18:59:03
2006,1312,Molecular Biology,16,PS,2025-12-01 18:59:03
2006,2713,Epidemiology,15,PS,2025-12-01 18:59:03
2006,3312,Sociology and Political Science,15,PS,2025-12-01 18:59:03
2006,2208,Electrical and Electronic Engineering,12,PS,2025-12-01 18:59:03
2006,2746,Surgery,12,PS,2025-12-01 18:59:03
2006,2739,"Public Health, Environmental and Occupational Health",11,PS,2025-12-01 18:59:03
2006,3600,General Health Professions,9,PS,2025-12-01 18:59:03
2006,1702,Artificial Intelligence,8,PS,2025-12-01 18:59:03
2006,2740,Pulmonary and Respiratory Medicine,8,PS,2025-12-01 18:59:03
2006,3203,Clinical Psychology,8,PS,2025-12-01 18:59:03
2006,2730,Oncology,6,PS,2025-12-01 18:59:03
2006,1502,Bioengineering,4,PS,2025-12-01 18:59:03
2006,2705,Cardiology and Cardiovascular Medicine,4,PS,2025-12-01 18:59:03
2006,2735,"Pediatrics, Perinatology and Child Health",4,PS,2025-12-01 18:59:03
2006,1605,Organic Chemistry,3,PS,2025-12-01 18:59:03
2006,1607,Spectroscopy,3,PS,2025-12-01 18:59:03
2006,2505,Materials Chemistry,3,PS,2025-12-01 18:59:03
2006,2711,Emergency Medicine,3,PS,2025-12-01 18:59:03
2006,2736,Pharmacology,3,PS,2025-12-01 18:59:03
2006,2807,Endocrine and Autonomic Systems,3,PS,2025-12-01 18:59:03
2006,3320,Political Science and International Relations,3,PS,2025-12-01 18:59:03
2006,1110,Plant Science,2,PS,2025-12-01 18:59:03
2006,1311,Genetics,2,PS,2025-12-01 18:59:03
2006,1407,Organizational Behavior and Human Resource Management,2,PS,2025-12-01 18:59:03
2006,1408,Strategy and Management,2,PS,2025-12-01 18:59:03
2006,1703,Computational Theory and Mathematics,2,PS,2025-12-01 18:59:03
2006,1705,Computer Networks and Communications,2,PS,2025-12-01 18:59:03
2006,2307,"Health, Toxicology and Mutagenesis",2,PS,2025-12-01 18:59:03
2006,2402,Applied Microbiology and Biotechnology,2,PS,2025-12-01 18:59:03
2006,2404,Microbiology,2,PS,2025-12-01 18:59:03
2006,2708,Dermatology,2,PS,2025-12-01 18:59:03
2006,2728,Neurology,2,PS,2025-12-01 18:59:03
2006,2729,Obstetrics and Gynecology,2,PS,2025-12-01 18:59:03
2006,2741,"Radiology, Nuclear Medicine and Imaging",2,PS,2025-12-01 18:59:03
2006,2804,Cellular and Molecular Neuroscience,2,PS,2025-12-01 18:59:03
2006,3107,"Atomic and Molecular Physics, and Optics",2,PS,2025-12-01 18:59:03
2006,3207,Social Psychology,2,PS,2025-12-01 18:59:03
2006,3304,Education,2,PS,2025-12-01 18:59:03
2006,3500,General Dentistry,2,PS,2025-12-01 18:59:03
2006,3607,Medical Laboratory Technology,2,PS,2025-12-01 18:59:03
2006,1100,General Agricultural and Biological Sciences,1,PS,2025-12-01 18:59:03
2006,1104,Aquatic Science,1,PS,2025-12-01 18:59:03
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,PS,2025-12-01 18:59:03
2006,1106,Food Science,1,PS,2025-12-01 18:59:03
2006,1109,Insect Science,1,PS,2025-12-01 18:59:03
2006,1208,Literature and Literary Theory,1,PS,2025-12-01 18:59:03
2006,1212,Religious studies,1,PS,2025-12-01 18:59:03
2006,1707,Computer Vision and Pattern Recognition,1,PS,2025-12-01 18:59:03
2006,1711,Signal Processing,1,PS,2025-12-01 18:59:03
2006,1803,Management Science and Operations Research,1,PS,2025-12-01 18:59:03
2006,1906,Geochemistry and Petrology,1,PS,2025-12-01 18:59:03
2006,2105,"Renewable Energy, Sustainability and the Environment",1,PS,2025-12-01 18:59:03
2006,2202,Aerospace Engineering,1,PS,2025-12-01 18:59:03
2006,2204,Biomedical Engineering,1,PS,2025-12-01 18:59:03
2006,2206,Computational Mechanics,1,PS,2025-12-01 18:59:03
2006,2207,Control and Systems Engineering,1,PS,2025-12-01 18:59:03
2006,2209,Industrial and Manufacturing Engineering,1,PS,2025-12-01 18:59:03
2006,2310,Pollution,1,PS,2025-12-01 18:59:03
2006,2311,Industrial and Manufacturing Engineering,1,PS,2025-12-01 18:59:03
2006,2312,Water Science and Technology,1,PS,2025-12-01 18:59:03
2006,2604,Applied Mathematics,1,PS,2025-12-01 18:59:03
2006,2703,Anesthesiology and Pain Medicine,1,PS,2025-12-01 18:59:03
2006,2712,"Endocrinology, Diabetes and Metabolism",1,PS,2025-12-01 18:59:03
2006,2715,Gastroenterology,1,PS,2025-12-01 18:59:03
2006,2721,Hepatology,1,PS,2025-12-01 18:59:03
2006,2725,Infectious Diseases,1,PS,2025-12-01 18:59:03
2006,2733,Otorhinolaryngology,1,PS,2025-12-01 18:59:03
2006,2737,Physiology,1,PS,2025-12-01 18:59:03
2006,2738,Psychiatry and Mental health,1,PS,2025-12-01 18:59:03
2006,2805,Cognitive Neuroscience,1,PS,2025-12-01 18:59:03
2006,2806,Developmental Neuroscience,1,PS,2025-12-01 18:59:03
2006,2809,Sensory Systems,1,PS,2025-12-01 18:59:03
2006,2916,Nutrition and Dietetics,1,PS,2025-12-01 18:59:03
2006,3103,Astronomy and Astrophysics,1,PS,2025-12-01 18:59:03
2006,3202,Applied Psychology,1,PS,2025-12-01 18:59:03
2006,3306,Health,1,PS,2025-12-01 18:59:03
2006,3311,Safety Research,1,PS,2025-12-01 18:59:03
2006,3313,Transportation,1,PS,2025-12-01 18:59:03
2007,3312,Sociology and Political Science,35,PS,2025-12-01 18:59:03
2007,1312,Molecular Biology,25,PS,2025-12-01 18:59:03
2007,2208,Electrical and Electronic Engineering,17,PS,2025-12-01 18:59:03
2007,2739,"Public Health, Environmental and Occupational Health",16,PS,2025-12-01 18:59:03
2007,3600,General Health Professions,13,PS,2025-12-01 18:59:03
2007,2730,Oncology,10,PS,2025-12-01 18:59:03
2007,2713,Epidemiology,8,PS,2025-12-01 18:59:03
2007,2746,Surgery,8,PS,2025-12-01 18:59:03
2007,1702,Artificial Intelligence,7,PS,2025-12-01 18:59:03
2007,1110,Plant Science,5,PS,2025-12-01 18:59:03
