year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,63,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,59,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,59,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10212,Electrochemical sensors and biosensors,53,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,53,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10205,Advanced Fiber Optic Sensors,50,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,43,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10424,Electric Power System Optimization,36,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,36,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10767,Advanced Photonic Communication Systems,34,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,34,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T11472,Analytical Chemistry and Sensors,34,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,33,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10107,Ferroelectric and Piezoelectric Materials,32,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T11434,Electrochemical Analysis and Applications,32,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10187,Radio Frequency Integrated Circuit Design,29,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10454,Optimal Power Flow Distribution,29,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T12155,Microwave Dielectric Ceramics Synthesis,29,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10623,Thin-Film Transistor Technologies,28,PT,2025-11-25 22:40:09
2005,2208,Electrical and Electronic Engineering,T10323,Analog and Mixed-Signal Circuit Design,25,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10903,Porphyrin and Phthalocyanine Chemistry,67,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10107,Ferroelectric and Piezoelectric Materials,56,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10090,ZnO doping and properties,41,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10735,Mesoporous Materials and Catalysis,41,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,38,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10310,Corrosion Behavior and Inhibition,37,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T11286,Polyoxometalates: Synthesis and Applications,36,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10377,Metal and Thin Film Mechanics,33,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,32,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T12588,Electronic and Structural Properties of Oxides,29,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10311,Advancements in Solid Oxide Fuel Cells,28,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T12155,Microwave Dielectric Ceramics Synthesis,28,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10472,Semiconductor materials and devices,27,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T11169,Silicon Nanostructures and Photoluminescence,27,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T11279,Lanthanide and Transition Metal Complexes,26,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T11160,Acoustic Wave Resonator Technologies,23,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10132,Advanced ceramic materials synthesis,22,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T11162,Enzyme Structure and Function,22,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T10474,Material Dynamics and Properties,21,PT,2025-11-25 22:40:09
2005,2505,Materials Chemistry,T11240,Luminescence and Fluorescent Materials,21,PT,2025-11-25 22:40:09
2005,2204,Biomedical Engineering,T10059,Bone Tissue Engineering Materials,65,PT,2025-11-25 22:40:09
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,53,PT,2025-11-25 22:40:09
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,35,PT,2025-11-25 22:40:09
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,31,PT,2025-11-25 22:40:09
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,31,PT,2025-11-25 22:40:09
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,30,PT,2025-11-25 22:40:09
