year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,911,PT,2025-12-01 18:46:14
2005,2208,Electrical and Electronic Engineering,857,PT,2025-12-01 18:46:14
2005,2505,Materials Chemistry,691,PT,2025-12-01 18:46:14
2005,2204,Biomedical Engineering,565,PT,2025-12-01 18:46:14
2005,1702,Artificial Intelligence,544,PT,2025-12-01 18:46:14
2005,3312,Sociology and Political Science,433,PT,2025-12-01 18:46:14
2005,3600,General Health Professions,280,PT,2025-12-01 18:46:14
2005,2746,Surgery,267,PT,2025-12-01 18:46:14
2005,2740,Pulmonary and Respiratory Medicine,234,PT,2025-12-01 18:46:14
2005,3304,Education,218,PT,2025-12-01 18:46:14
2005,1705,Computer Networks and Communications,216,PT,2025-12-01 18:46:14
2005,1605,Organic Chemistry,172,PT,2025-12-01 18:46:14
2005,3107,"Atomic and Molecular Physics, and Optics",155,PT,2025-12-01 18:46:14
2005,1211,Philosophy,148,PT,2025-12-01 18:46:14
2005,2210,Mechanical Engineering,146,PT,2025-12-01 18:46:14
2005,1110,Plant Science,144,PT,2025-12-01 18:46:14
2005,1710,Information Systems,126,PT,2025-12-01 18:46:14
2005,2207,Control and Systems Engineering,126,PT,2025-12-01 18:46:14
2005,1703,Computational Theory and Mathematics,117,PT,2025-12-01 18:46:14
2005,1311,Genetics,109,PT,2025-12-01 18:46:14
2005,2211,Mechanics of Materials,102,PT,2025-12-01 18:46:14
2005,2504,"Electronic, Optical and Magnetic Materials",99,PT,2025-12-01 18:46:14
2005,2730,Oncology,96,PT,2025-12-01 18:46:14
2005,2705,Cardiology and Cardiovascular Medicine,95,PT,2025-12-01 18:46:14
2005,1604,Inorganic Chemistry,94,PT,2025-12-01 18:46:14
2005,1607,Spectroscopy,81,PT,2025-12-01 18:46:14
2005,2713,Epidemiology,81,PT,2025-12-01 18:46:14
2005,2741,"Radiology, Nuclear Medicine and Imaging",76,PT,2025-12-01 18:46:14
2005,2507,Polymers and Plastics,70,PT,2025-12-01 18:46:14
2005,2502,Biomaterials,68,PT,2025-12-01 18:46:14
2005,1307,Cell Biology,67,PT,2025-12-01 18:46:14
2005,2737,Physiology,67,PT,2025-12-01 18:46:14
2005,2202,Aerospace Engineering,66,PT,2025-12-01 18:46:14
2005,2739,"Public Health, Environmental and Occupational Health",63,PT,2025-12-01 18:46:14
2005,1707,Computer Vision and Pattern Recognition,61,PT,2025-12-01 18:46:14
2005,1106,Food Science,59,PT,2025-12-01 18:46:14
2005,2206,Computational Mechanics,52,PT,2025-12-01 18:46:14
2005,2804,Cellular and Molecular Neuroscience,51,PT,2025-12-01 18:46:14
