year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,286,RS,2025-12-03 12:13:53
2005,2746,Surgery,267,RS,2025-12-03 12:13:53
2005,1312,Molecular Biology,235,RS,2025-12-03 12:13:53
2005,1110,Plant Science,203,RS,2025-12-03 12:13:53
2005,2505,Materials Chemistry,168,RS,2025-12-03 12:13:53
2005,2204,Biomedical Engineering,150,RS,2025-12-03 12:13:53
2005,2740,Pulmonary and Respiratory Medicine,137,RS,2025-12-03 12:13:53
2005,2210,Mechanical Engineering,134,RS,2025-12-03 12:13:53
2005,3107,"Atomic and Molecular Physics, and Optics",68,RS,2025-12-03 12:13:53
2005,2705,Cardiology and Cardiovascular Medicine,67,RS,2025-12-03 12:13:53
2005,2002,Economics and Econometrics,65,RS,2025-12-03 12:13:53
2005,2730,Oncology,55,RS,2025-12-03 12:13:53
2005,1605,Organic Chemistry,53,RS,2025-12-03 12:13:53
2005,2207,Control and Systems Engineering,50,RS,2025-12-03 12:13:53
2005,2211,Mechanics of Materials,48,RS,2025-12-03 12:13:53
2005,3312,Sociology and Political Science,44,RS,2025-12-03 12:13:53
2005,2713,Epidemiology,42,RS,2025-12-03 12:13:53
2005,2741,"Radiology, Nuclear Medicine and Imaging",41,RS,2025-12-03 12:13:53
2005,1106,Food Science,39,RS,2025-12-03 12:13:53
2005,1311,Genetics,37,RS,2025-12-03 12:13:53
2005,2202,Aerospace Engineering,36,RS,2025-12-03 12:13:53
2005,1705,Computer Networks and Communications,34,RS,2025-12-03 12:13:53
2005,2804,Cellular and Molecular Neuroscience,33,RS,2025-12-03 12:13:53
2005,1607,Spectroscopy,30,RS,2025-12-03 12:13:53
2005,2105,"Renewable Energy, Sustainability and the Environment",30,RS,2025-12-03 12:13:53
2005,2734,Pathology and Forensic Medicine,29,RS,2025-12-03 12:13:53
2005,2504,"Electronic, Optical and Magnetic Materials",27,RS,2025-12-03 12:13:53
2005,2735,"Pediatrics, Perinatology and Child Health",25,RS,2025-12-03 12:13:53
2005,2732,Orthopedics and Sports Medicine,24,RS,2025-12-03 12:13:53
2005,2503,Ceramics and Composites,23,RS,2025-12-03 12:13:53
2005,2745,Rheumatology,23,RS,2025-12-03 12:13:53
2005,2736,Pharmacology,21,RS,2025-12-03 12:13:53
2005,1105,"Ecology, Evolution, Behavior and Systematics",20,RS,2025-12-03 12:13:53
2005,3103,Astronomy and Astrophysics,20,RS,2025-12-03 12:13:53
2005,1102,Agronomy and Crop Science,19,RS,2025-12-03 12:13:53
2005,1307,Cell Biology,19,RS,2025-12-03 12:13:53
2005,2206,Computational Mechanics,19,RS,2025-12-03 12:13:53
2005,2507,Polymers and Plastics,18,RS,2025-12-03 12:13:53
2005,2712,"Endocrinology, Diabetes and Metabolism",18,RS,2025-12-03 12:13:53
2005,2737,Physiology,18,RS,2025-12-03 12:13:53
2005,2739,"Public Health, Environmental and Occupational Health",18,RS,2025-12-03 12:13:53
