year,id,name,works_count,country,fetch_date
2005,3107,"Atomic and Molecular Physics, and Optics",4911,RU,2025-12-03 12:03:31
2005,2505,Materials Chemistry,4776,RU,2025-12-03 12:03:31
2005,2208,Electrical and Electronic Engineering,4474,RU,2025-12-03 12:03:31
2005,1605,Organic Chemistry,3084,RU,2025-12-03 12:03:31
2005,1312,Molecular Biology,2878,RU,2025-12-03 12:03:31
2005,2204,Biomedical Engineering,2452,RU,2025-12-03 12:03:31
2005,3106,Nuclear and High Energy Physics,2260,RU,2025-12-03 12:03:31
2005,2210,Mechanical Engineering,2130,RU,2025-12-03 12:03:31
2005,2211,Mechanics of Materials,1927,RU,2025-12-03 12:03:31
2005,2504,"Electronic, Optical and Magnetic Materials",1082,RU,2025-12-03 12:03:31
2005,1607,Spectroscopy,990,RU,2025-12-03 12:03:31
2005,2202,Aerospace Engineering,972,RU,2025-12-03 12:03:31
2005,3103,Astronomy and Astrophysics,878,RU,2025-12-03 12:03:31
2005,1604,Inorganic Chemistry,830,RU,2025-12-03 12:03:31
2005,3104,Condensed Matter Physics,830,RU,2025-12-03 12:03:31
2005,2206,Computational Mechanics,741,RU,2025-12-03 12:03:31
2005,3108,Radiation,586,RU,2025-12-03 12:03:31
2005,1606,Physical and Theoretical Chemistry,565,RU,2025-12-03 12:03:31
2005,3109,Statistical and Nonlinear Physics,513,RU,2025-12-03 12:03:31
2005,1908,Geophysics,418,RU,2025-12-03 12:03:31
2005,2741,"Radiology, Nuclear Medicine and Imaging",411,RU,2025-12-03 12:03:31
2005,2500,General Materials Science,359,RU,2025-12-03 12:03:31
2005,1110,Plant Science,348,RU,2025-12-03 12:03:31
2005,2507,Polymers and Plastics,346,RU,2025-12-03 12:03:31
2005,2212,Ocean Engineering,344,RU,2025-12-03 12:03:31
2005,3312,Sociology and Political Science,342,RU,2025-12-03 12:03:31
2005,2207,Control and Systems Engineering,325,RU,2025-12-03 12:03:31
2005,1902,Atmospheric Science,300,RU,2025-12-03 12:03:31
2005,1503,Catalysis,299,RU,2025-12-03 12:03:31
2005,1702,Artificial Intelligence,293,RU,2025-12-03 12:03:31
2005,2503,Ceramics and Composites,289,RU,2025-12-03 12:03:31
2005,2508,"Surfaces, Coatings and Films",287,RU,2025-12-03 12:03:31
2005,2804,Cellular and Molecular Neuroscience,281,RU,2025-12-03 12:03:31
2005,1311,Genetics,246,RU,2025-12-03 12:03:31
2005,1705,Computer Networks and Communications,245,RU,2025-12-03 12:03:31
2005,3003,Pharmaceutical Science,242,RU,2025-12-03 12:03:31
2005,2730,Oncology,235,RU,2025-12-03 12:03:31
2005,2209,Industrial and Manufacturing Engineering,214,RU,2025-12-03 12:03:31
2005,2205,Civil and Structural Engineering,199,RU,2025-12-03 12:03:31
2005,1703,Computational Theory and Mathematics,180,RU,2025-12-03 12:03:31
2005,1304,Biophysics,179,RU,2025-12-03 12:03:31
2005,1603,Electrochemistry,179,RU,2025-12-03 12:03:31
2005,2105,"Renewable Energy, Sustainability and the Environment",166,RU,2025-12-03 12:03:31
2005,1502,Bioengineering,157,RU,2025-12-03 12:03:31
2005,2311,Industrial and Manufacturing Engineering,156,RU,2025-12-03 12:03:31
2005,1507,Fluid Flow and Transfer Processes,153,RU,2025-12-03 12:03:31
2005,2736,Pharmacology,151,RU,2025-12-03 12:03:31
2005,2303,Ecology,144,RU,2025-12-03 12:03:31
2005,2740,Pulmonary and Respiratory Medicine,136,RU,2025-12-03 12:03:31
2005,1307,Cell Biology,132,RU,2025-12-03 12:03:31
2005,1602,Analytical Chemistry,125,RU,2025-12-03 12:03:31
2005,2304,Environmental Chemistry,123,RU,2025-12-03 12:03:31
2005,1106,Food Science,121,RU,2025-12-03 12:03:31
2005,2737,Physiology,119,RU,2025-12-03 12:03:31
2005,2604,Applied Mathematics,118,RU,2025-12-03 12:03:31
2005,2610,Mathematical Physics,117,RU,2025-12-03 12:03:31
2005,2502,Biomaterials,111,RU,2025-12-03 12:03:31
2005,1306,Cancer Research,109,RU,2025-12-03 12:03:31
2005,1305,Biotechnology,104,RU,2025-12-03 12:03:31
2005,1910,Oceanography,103,RU,2025-12-03 12:03:31
2005,2312,Water Science and Technology,87,RU,2025-12-03 12:03:31
2005,1906,Geochemistry and Petrology,82,RU,2025-12-03 12:03:31
2005,1303,Biochemistry,79,RU,2025-12-03 12:03:31
2005,2213,"Safety, Risk, Reliability and Quality",79,RU,2025-12-03 12:03:31
2005,2705,Cardiology and Cardiovascular Medicine,79,RU,2025-12-03 12:03:31
2005,1105,"Ecology, Evolution, Behavior and Systematics",74,RU,2025-12-03 12:03:31
2005,3320,Political Science and International Relations,74,RU,2025-12-03 12:03:31
2005,2403,Immunology,72,RU,2025-12-03 12:03:31
2005,1907,Geology,67,RU,2025-12-03 12:03:31
2005,1506,Filtration and Separation,66,RU,2025-12-03 12:03:31
2005,2916,Nutrition and Dietetics,66,RU,2025-12-03 12:03:31
2005,2305,Environmental Engineering,61,RU,2025-12-03 12:03:31
2005,2215,Building and Construction,59,RU,2025-12-03 12:03:31
2005,1707,Computer Vision and Pattern Recognition,58,RU,2025-12-03 12:03:31
2005,2746,Surgery,57,RU,2025-12-03 12:03:31
