year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,5,RW,2025-12-03 12:35:28
2005,2725,Infectious Diseases,4,RW,2025-12-03 12:35:28
2005,2406,Virology,3,RW,2025-12-03 12:35:28
2005,3312,Sociology and Political Science,3,RW,2025-12-03 12:35:28
2005,1312,Molecular Biology,2,RW,2025-12-03 12:35:28
2005,2002,Economics and Econometrics,2,RW,2025-12-03 12:35:28
2005,2713,Epidemiology,2,RW,2025-12-03 12:35:28
2005,2735,"Pediatrics, Perinatology and Child Health",2,RW,2025-12-03 12:35:28
2005,3600,General Health Professions,2,RW,2025-12-03 12:35:28
2005,1102,Agronomy and Crop Science,1,RW,2025-12-03 12:35:28
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,RW,2025-12-03 12:35:28
2005,1107,Forestry,1,RW,2025-12-03 12:35:28
2005,1306,Cancer Research,1,RW,2025-12-03 12:35:28
2005,1311,Genetics,1,RW,2025-12-03 12:35:28
2005,2003,Finance,1,RW,2025-12-03 12:35:28
2005,2712,"Endocrinology, Diabetes and Metabolism",1,RW,2025-12-03 12:35:28
2005,2727,Nephrology,1,RW,2025-12-03 12:35:28
2005,2742,Rehabilitation,1,RW,2025-12-03 12:35:28
2005,3004,Pharmacology,1,RW,2025-12-03 12:35:28
2005,3203,Clinical Psychology,1,RW,2025-12-03 12:35:28
2005,3207,Social Psychology,1,RW,2025-12-03 12:35:28
2006,2735,"Pediatrics, Perinatology and Child Health",7,RW,2025-12-03 12:35:28
2006,3600,General Health Professions,7,RW,2025-12-03 12:35:28
2006,3312,Sociology and Political Science,6,RW,2025-12-03 12:35:28
2006,2739,"Public Health, Environmental and Occupational Health",5,RW,2025-12-03 12:35:28
2006,2003,Finance,4,RW,2025-12-03 12:35:28
2006,2725,Infectious Diseases,3,RW,2025-12-03 12:35:28
2006,2736,Pharmacology,2,RW,2025-12-03 12:35:28
2006,3304,Education,2,RW,2025-12-03 12:35:28
2006,1102,Agronomy and Crop Science,1,RW,2025-12-03 12:35:28
2006,1110,Plant Science,1,RW,2025-12-03 12:35:28
2006,1208,Literature and Literary Theory,1,RW,2025-12-03 12:35:28
2006,1310,Endocrinology,1,RW,2025-12-03 12:35:28
2006,1311,Genetics,1,RW,2025-12-03 12:35:28
2006,1407,Organizational Behavior and Human Resource Management,1,RW,2025-12-03 12:35:28
2006,1706,Computer Science Applications,1,RW,2025-12-03 12:35:28
2006,1707,Computer Vision and Pattern Recognition,1,RW,2025-12-03 12:35:28
2006,2000,"General Economics, Econometrics and Finance",1,RW,2025-12-03 12:35:28
2006,2002,Economics and Econometrics,1,RW,2025-12-03 12:35:28
2006,2214,Media Technology,1,RW,2025-12-03 12:35:28
2006,2404,Microbiology,1,RW,2025-12-03 12:35:28
2006,2405,Parasitology,1,RW,2025-12-03 12:35:28
2006,2406,Virology,1,RW,2025-12-03 12:35:28
2006,2711,Emergency Medicine,1,RW,2025-12-03 12:35:28
2006,2713,Epidemiology,1,RW,2025-12-03 12:35:28
2006,2716,Genetics,1,RW,2025-12-03 12:35:28
2006,2728,Neurology,1,RW,2025-12-03 12:35:28
2006,2737,Physiology,1,RW,2025-12-03 12:35:28
2006,2738,Psychiatry and Mental health,1,RW,2025-12-03 12:35:28
2006,2746,Surgery,1,RW,2025-12-03 12:35:28
2006,2916,Nutrition and Dietetics,1,RW,2025-12-03 12:35:28
2006,3203,Clinical Psychology,1,RW,2025-12-03 12:35:28
2006,3207,Social Psychology,1,RW,2025-12-03 12:35:28
2006,3306,Health,1,RW,2025-12-03 12:35:28
2006,3308,Law,1,RW,2025-12-03 12:35:28
2006,3311,Safety Research,1,RW,2025-12-03 12:35:28
2006,3314,Anthropology,1,RW,2025-12-03 12:35:28
2006,3322,Urban Studies,1,RW,2025-12-03 12:35:28
2006,3611,Pharmacy,1,RW,2025-12-03 12:35:28
2007,2725,Infectious Diseases,14,RW,2025-12-03 12:35:28
2007,2713,Epidemiology,10,RW,2025-12-03 12:35:28
2007,2711,Emergency Medicine,6,RW,2025-12-03 12:35:28
2007,1110,Plant Science,5,RW,2025-12-03 12:35:28
2007,3600,General Health Professions,5,RW,2025-12-03 12:35:28
2007,2735,"Pediatrics, Perinatology and Child Health",4,RW,2025-12-03 12:35:28
2007,2002,Economics and Econometrics,3,RW,2025-12-03 12:35:28
2007,2406,Virology,3,RW,2025-12-03 12:35:28
2007,2739,"Public Health, Environmental and Occupational Health",3,RW,2025-12-03 12:35:28
2007,3312,Sociology and Political Science,3,RW,2025-12-03 12:35:28
2007,1312,Molecular Biology,2,RW,2025-12-03 12:35:28
2007,2916,Nutrition and Dietetics,2,RW,2025-12-03 12:35:28
2007,3004,Pharmacology,2,RW,2025-12-03 12:35:28
2007,3322,Urban Studies,2,RW,2025-12-03 12:35:28
2007,1102,Agronomy and Crop Science,1,RW,2025-12-03 12:35:28
2007,1105,"Ecology, Evolution, Behavior and Systematics",1,RW,2025-12-03 12:35:28
2007,1208,Literature and Literary Theory,1,RW,2025-12-03 12:35:28
2007,1306,Cancer Research,1,RW,2025-12-03 12:35:28
2007,1313,Molecular Medicine,1,RW,2025-12-03 12:35:28
2007,1606,Physical and Theoretical Chemistry,1,RW,2025-12-03 12:35:28
2007,1703,Computational Theory and Mathematics,1,RW,2025-12-03 12:35:28
2007,2000,"General Economics, Econometrics and Finance",1,RW,2025-12-03 12:35:28
2007,2003,Finance,1,RW,2025-12-03 12:35:28
2007,2404,Microbiology,1,RW,2025-12-03 12:35:28
2007,2405,Parasitology,1,RW,2025-12-03 12:35:28
2007,2610,Mathematical Physics,1,RW,2025-12-03 12:35:28
2007,2714,Family Practice,1,RW,2025-12-03 12:35:28
2007,2721,Hepatology,1,RW,2025-12-03 12:35:28
2007,2730,Oncology,1,RW,2025-12-03 12:35:28
2007,2746,Surgery,1,RW,2025-12-03 12:35:28
2007,3207,Social Psychology,1,RW,2025-12-03 12:35:28
2007,3304,Education,1,RW,2025-12-03 12:35:28
2007,3318,Gender Studies,1,RW,2025-12-03 12:35:28
2007,3320,Political Science and International Relations,1,RW,2025-12-03 12:35:28
2007,3614,Radiological and Ultrasound Technology,1,RW,2025-12-03 12:35:28
2008,2725,Infectious Diseases,21,RW,2025-12-03 12:35:28
2008,2713,Epidemiology,13,RW,2025-12-03 12:35:28
2008,3312,Sociology and Political Science,11,RW,2025-12-03 12:35:28
2008,2735,"Pediatrics, Perinatology and Child Health",10,RW,2025-12-03 12:35:28
2008,3600,General Health Professions,10,RW,2025-12-03 12:35:28
2008,2002,Economics and Econometrics,8,RW,2025-12-03 12:35:28
2008,2739,"Public Health, Environmental and Occupational Health",7,RW,2025-12-03 12:35:28
2008,1110,Plant Science,6,RW,2025-12-03 12:35:28
2008,1106,Food Science,4,RW,2025-12-03 12:35:28
2008,2406,Virology,4,RW,2025-12-03 12:35:28
2008,3004,Pharmacology,3,RW,2025-12-03 12:35:28
2008,1105,"Ecology, Evolution, Behavior and Systematics",2,RW,2025-12-03 12:35:28
2008,2003,Finance,2,RW,2025-12-03 12:35:28
2008,2743,Reproductive Medicine,2,RW,2025-12-03 12:35:28
2008,2746,Surgery,2,RW,2025-12-03 12:35:28
2008,3304,Education,2,RW,2025-12-03 12:35:28
2008,3320,Political Science and International Relations,2,RW,2025-12-03 12:35:28
2008,3604,Emergency Medical Services,2,RW,2025-12-03 12:35:28
2008,1310,Endocrinology,1,RW,2025-12-03 12:35:28
2008,1407,Organizational Behavior and Human Resource Management,1,RW,2025-12-03 12:35:28
2008,1605,Organic Chemistry,1,RW,2025-12-03 12:35:28
2008,1710,Information Systems,1,RW,2025-12-03 12:35:28
2008,1908,Geophysics,1,RW,2025-12-03 12:35:28
2008,2212,Ocean Engineering,1,RW,2025-12-03 12:35:28
2008,2312,Water Science and Technology,1,RW,2025-12-03 12:35:28
2008,2404,Microbiology,1,RW,2025-12-03 12:35:28
2008,2405,Parasitology,1,RW,2025-12-03 12:35:28
2008,2707,Complementary and alternative medicine,1,RW,2025-12-03 12:35:28
2008,2711,Emergency Medicine,1,RW,2025-12-03 12:35:28
2008,2714,Family Practice,1,RW,2025-12-03 12:35:28
2008,2717,Geriatrics and Gerontology,1,RW,2025-12-03 12:35:28
2008,2736,Pharmacology,1,RW,2025-12-03 12:35:28
2008,2737,Physiology,1,RW,2025-12-03 12:35:28
2008,2738,Psychiatry and Mental health,1,RW,2025-12-03 12:35:28
2008,2740,Pulmonary and Respiratory Medicine,1,RW,2025-12-03 12:35:28
2008,2742,Rehabilitation,1,RW,2025-12-03 12:35:28
2008,2805,Cognitive Neuroscience,1,RW,2025-12-03 12:35:28
2008,2916,Nutrition and Dietetics,1,RW,2025-12-03 12:35:28
2008,3109,Statistical and Nonlinear Physics,1,RW,2025-12-03 12:35:28
2008,3203,Clinical Psychology,1,RW,2025-12-03 12:35:28
2008,3306,Health,1,RW,2025-12-03 12:35:28
2008,3308,Law,1,RW,2025-12-03 12:35:28
2008,3311,Safety Research,1,RW,2025-12-03 12:35:28
2008,3318,Gender Studies,1,RW,2025-12-03 12:35:28
2008,3322,Urban Studies,1,RW,2025-12-03 12:35:28
2008,3605,Health Information Management,1,RW,2025-12-03 12:35:28
2009,2713,Epidemiology,17,RW,2025-12-03 12:35:28
2009,2725,Infectious Diseases,17,RW,2025-12-03 12:35:28
2009,3312,Sociology and Political Science,14,RW,2025-12-03 12:35:28
2009,2735,"Pediatrics, Perinatology and Child Health",13,RW,2025-12-03 12:35:28
2009,2739,"Public Health, Environmental and Occupational Health",11,RW,2025-12-03 12:35:28
2009,3600,General Health Professions,9,RW,2025-12-03 12:35:28
2009,1110,Plant Science,8,RW,2025-12-03 12:35:28
2009,2721,Hepatology,6,RW,2025-12-03 12:35:28
2009,2406,Virology,5,RW,2025-12-03 12:35:28
2009,2916,Nutrition and Dietetics,5,RW,2025-12-03 12:35:28
2009,2303,Ecology,3,RW,2025-12-03 12:35:28
2009,3004,Pharmacology,3,RW,2025-12-03 12:35:28
2009,3203,Clinical Psychology,3,RW,2025-12-03 12:35:28
2009,3207,Social Psychology,3,RW,2025-12-03 12:35:28
2009,3304,Education,3,RW,2025-12-03 12:35:28
2009,3320,Political Science and International Relations,3,RW,2025-12-03 12:35:28
2009,1105,"Ecology, Evolution, Behavior and Systematics",2,RW,2025-12-03 12:35:28
2009,1303,Biochemistry,2,RW,2025-12-03 12:35:28
2009,2002,Economics and Econometrics,2,RW,2025-12-03 12:35:28
2009,2003,Finance,2,RW,2025-12-03 12:35:28
2009,2306,Global and Planetary Change,2,RW,2025-12-03 12:35:28
2009,2404,Microbiology,2,RW,2025-12-03 12:35:28
2009,2711,Emergency Medicine,2,RW,2025-12-03 12:35:28
2009,3604,Emergency Medical Services,2,RW,2025-12-03 12:35:28
2009,1104,Aquatic Science,1,RW,2025-12-03 12:35:28
2009,1109,Insect Science,1,RW,2025-12-03 12:35:28
2009,1307,Cell Biology,1,RW,2025-12-03 12:35:28
2009,1310,Endocrinology,1,RW,2025-12-03 12:35:28
2009,1311,Genetics,1,RW,2025-12-03 12:35:28
2009,1408,Strategy and Management,1,RW,2025-12-03 12:35:28
2009,2000,"General Economics, Econometrics and Finance",1,RW,2025-12-03 12:35:28
2009,2212,Ocean Engineering,1,RW,2025-12-03 12:35:28
