year,id,name,works_count,country,fetch_date
2005,2746,Surgery,224,SA,2025-12-03 12:08:42
2005,2210,Mechanical Engineering,147,SA,2025-12-03 12:08:42
2005,2208,Electrical and Electronic Engineering,141,SA,2025-12-03 12:08:42
2005,1312,Molecular Biology,126,SA,2025-12-03 12:08:42
2005,2204,Biomedical Engineering,118,SA,2025-12-03 12:08:42
2005,2739,"Public Health, Environmental and Occupational Health",107,SA,2025-12-03 12:08:42
2005,2505,Materials Chemistry,96,SA,2025-12-03 12:08:42
2005,1605,Organic Chemistry,70,SA,2025-12-03 12:08:42
2005,1702,Artificial Intelligence,61,SA,2025-12-03 12:08:42
2005,2206,Computational Mechanics,54,SA,2025-12-03 12:08:42
2005,1110,Plant Science,51,SA,2025-12-03 12:08:42
2005,2740,Pulmonary and Respiratory Medicine,43,SA,2025-12-03 12:08:42
2005,2713,Epidemiology,41,SA,2025-12-03 12:08:42
2005,2212,Ocean Engineering,33,SA,2025-12-03 12:08:42
2005,1705,Computer Networks and Communications,32,SA,2025-12-03 12:08:42
2005,2207,Control and Systems Engineering,30,SA,2025-12-03 12:08:42
2005,1311,Genetics,29,SA,2025-12-03 12:08:42
2005,3107,"Atomic and Molecular Physics, and Optics",29,SA,2025-12-03 12:08:42
2005,1607,Spectroscopy,27,SA,2025-12-03 12:08:42
2005,2211,Mechanics of Materials,27,SA,2025-12-03 12:08:42
2005,2705,Cardiology and Cardiovascular Medicine,26,SA,2025-12-03 12:08:42
2005,2202,Aerospace Engineering,25,SA,2025-12-03 12:08:42
2005,2730,Oncology,25,SA,2025-12-03 12:08:42
2005,1604,Inorganic Chemistry,24,SA,2025-12-03 12:08:42
2005,2711,Emergency Medicine,23,SA,2025-12-03 12:08:42
2005,2725,Infectious Diseases,23,SA,2025-12-03 12:08:42
2005,2741,"Radiology, Nuclear Medicine and Imaging",22,SA,2025-12-03 12:08:42
2005,2205,Civil and Structural Engineering,21,SA,2025-12-03 12:08:42
2005,2712,"Endocrinology, Diabetes and Metabolism",20,SA,2025-12-03 12:08:42
2005,1503,Catalysis,19,SA,2025-12-03 12:08:42
2005,1602,Analytical Chemistry,19,SA,2025-12-03 12:08:42
2005,2731,Ophthalmology,18,SA,2025-12-03 12:08:42
2005,2734,Pathology and Forensic Medicine,17,SA,2025-12-03 12:08:42
2005,2735,"Pediatrics, Perinatology and Child Health",16,SA,2025-12-03 12:08:42
2005,2745,Rheumatology,16,SA,2025-12-03 12:08:42
2005,2403,Immunology,15,SA,2025-12-03 12:08:42
2005,2105,"Renewable Energy, Sustainability and the Environment",14,SA,2025-12-03 12:08:42
2005,2504,"Electronic, Optical and Magnetic Materials",14,SA,2025-12-03 12:08:42
2005,2728,Neurology,14,SA,2025-12-03 12:08:42
2005,1308,Clinical Biochemistry,13,SA,2025-12-03 12:08:42
2005,1711,Signal Processing,13,SA,2025-12-03 12:08:42
2005,2736,Pharmacology,13,SA,2025-12-03 12:08:42
2005,2507,Polymers and Plastics,12,SA,2025-12-03 12:08:42
2005,2716,Genetics,12,SA,2025-12-03 12:08:42
2005,2743,Reproductive Medicine,12,SA,2025-12-03 12:08:42
2005,1703,Computational Theory and Mathematics,11,SA,2025-12-03 12:08:42
2005,1707,Computer Vision and Pattern Recognition,11,SA,2025-12-03 12:08:42
2005,2503,Ceramics and Composites,11,SA,2025-12-03 12:08:42
2005,3600,General Health Professions,11,SA,2025-12-03 12:08:42
2005,2727,Nephrology,10,SA,2025-12-03 12:08:42
2005,2804,Cellular and Molecular Neuroscience,10,SA,2025-12-03 12:08:42
2005,1106,Food Science,9,SA,2025-12-03 12:08:42
2005,1306,Cancer Research,9,SA,2025-12-03 12:08:42
2005,2703,Anesthesiology and Pain Medicine,9,SA,2025-12-03 12:08:42
2005,2721,Hepatology,9,SA,2025-12-03 12:08:42
2005,2737,Physiology,9,SA,2025-12-03 12:08:42
2005,3104,Condensed Matter Physics,9,SA,2025-12-03 12:08:42
2005,1606,Physical and Theoretical Chemistry,8,SA,2025-12-03 12:08:42
2005,2215,Building and Construction,8,SA,2025-12-03 12:08:42
2005,2303,Ecology,8,SA,2025-12-03 12:08:42
2005,2708,Dermatology,8,SA,2025-12-03 12:08:42
2005,2720,Hematology,8,SA,2025-12-03 12:08:42
2005,2748,Urology,8,SA,2025-12-03 12:08:42
2005,2916,Nutrition and Dietetics,8,SA,2025-12-03 12:08:42
2005,3504,Oral Surgery,8,SA,2025-12-03 12:08:42
2005,1307,Cell Biology,7,SA,2025-12-03 12:08:42
2005,1507,Fluid Flow and Transfer Processes,7,SA,2025-12-03 12:08:42
2005,1908,Geophysics,7,SA,2025-12-03 12:08:42
2005,2502,Biomaterials,7,SA,2025-12-03 12:08:42
2005,2506,Metals and Alloys,7,SA,2025-12-03 12:08:42
2005,2747,Transplantation,7,SA,2025-12-03 12:08:42
2005,3109,Statistical and Nonlinear Physics,7,SA,2025-12-03 12:08:42
2005,1105,"Ecology, Evolution, Behavior and Systematics",6,SA,2025-12-03 12:08:42
2005,1603,Electrochemistry,6,SA,2025-12-03 12:08:42
2005,1708,Hardware and Architecture,6,SA,2025-12-03 12:08:42
