subfield_id,subfield_name,title,doi,year,cited_by_count,id
1110,Plant Science,Plant Adaptation to Acid Soils: The Molecular Basis for Crop Aluminum Resistance,https://doi.org/10.1146/annurev-arplant-043014-114822,2015,999,https://openalex.org/W2139367650
1110,Plant Science,Transcription Factors Associated with Abiotic and Biotic Stress Tolerance and Their Potential for Crops Improvement,https://doi.org/10.3390/genes10100771,2019,633,https://openalex.org/W2976035184
1110,Plant Science,"Overexpression of monodehydroascorbate reductase in transgenic tobacco confers enhanced tolerance to ozone, salt and polyethylene glycol stresses",https://doi.org/10.1007/s00425-006-0417-7,2006,454,https://openalex.org/W2062684390
1110,Plant Science,Near real-time agriculture monitoring at national scale at parcel resolution: Performance assessment of the Sen2-Agri automated system in various cropping systems around the world,https://doi.org/10.1016/j.rse.2018.11.007,2018,394,https://openalex.org/W2905254777
1110,Plant Science,"Implications of insecticide resistance for malaria vector control with long-lasting insecticidal nets: a WHO-coordinated, prospective, international, observational cohort study",https://doi.org/10.1016/s1473-3099(18)30172-5,2018,334,https://openalex.org/W2797631732
1110,Plant Science,Strigolactones as Germination Stimulants for Root Parasitic Plants,https://doi.org/10.1093/pcp/pcq055,2010,278,https://openalex.org/W2118767042
1110,Plant Science,Deltamethrin-induced oxidative damage and biochemical alterations in rat and its attenuation by Vitamin E,https://doi.org/10.1016/j.tox.2006.08.008,2006,277,https://openalex.org/W1983293110
1110,Plant Science,Metabolic Analysis of Various Date Palm Fruit (Phoenix dactylifera L.) Cultivars from Saudi Arabia to Assess Their Nutritional Quality,https://doi.org/10.3390/molecules200813620,2015,270,https://openalex.org/W2170741119
1110,Plant Science,"Effects of deficit irrigation and biochar addition on the growth, yield, and quality of tomato",https://doi.org/10.1016/j.scienta.2017.05.004,2017,235,https://openalex.org/W2612168419
1110,Plant Science,Content of phenolic compounds and vitamin C and antioxidant activity in wasted parts of Sudanese citrus fruits,https://doi.org/10.1002/fsn3.660,2018,231,https://openalex.org/W2802414991
2739,"Public Health, Environmental and Occupational Health","A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010",https://doi.org/10.1016/s0140-6736(12)61766-8,2012,11843,https://openalex.org/W2110052313
