year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,43,SD,2025-12-01 18:57:51
2005,2739,"Public Health, Environmental and Occupational Health",38,SD,2025-12-01 18:57:51
2005,2713,Epidemiology,20,SD,2025-12-01 18:57:51
2005,2725,Infectious Diseases,18,SD,2025-12-01 18:57:51
2005,1312,Molecular Biology,17,SD,2025-12-01 18:57:51
2005,1106,Food Science,16,SD,2025-12-01 18:57:51
2005,2405,Parasitology,14,SD,2025-12-01 18:57:51
2005,1102,Agronomy and Crop Science,12,SD,2025-12-01 18:57:51
2005,2746,Surgery,11,SD,2025-12-01 18:57:51
2005,1311,Genetics,9,SD,2025-12-01 18:57:51
2005,2916,Nutrition and Dietetics,8,SD,2025-12-01 18:57:51
2005,1105,"Ecology, Evolution, Behavior and Systematics",7,SD,2025-12-01 18:57:51
2005,2204,Biomedical Engineering,7,SD,2025-12-01 18:57:51
2005,1107,Forestry,6,SD,2025-12-01 18:57:51
2005,1109,Insect Science,6,SD,2025-12-01 18:57:51
2005,1111,Soil Science,5,SD,2025-12-01 18:57:51
2005,2729,Obstetrics and Gynecology,5,SD,2025-12-01 18:57:51
2005,2735,"Pediatrics, Perinatology and Child Health",5,SD,2025-12-01 18:57:51
2005,2721,Hepatology,4,SD,2025-12-01 18:57:51
2005,1103,Animal Science and Zoology,3,SD,2025-12-01 18:57:51
2005,1307,Cell Biology,3,SD,2025-12-01 18:57:51
2005,2404,Microbiology,3,SD,2025-12-01 18:57:51
2005,2716,Genetics,3,SD,2025-12-01 18:57:51
2005,2730,Oncology,3,SD,2025-12-01 18:57:51
2005,2745,Rheumatology,3,SD,2025-12-01 18:57:51
2005,3404,Small Animals,3,SD,2025-12-01 18:57:51
2005,2308,"Management, Monitoring, Policy and Law",2,SD,2025-12-01 18:57:51
2005,2309,Nature and Landscape Conservation,2,SD,2025-12-01 18:57:51
2005,2708,Dermatology,2,SD,2025-12-01 18:57:51
2005,2726,Microbiology,2,SD,2025-12-01 18:57:51
