subfield_id,subfield_name,title,doi,year,cited_by_count,id
1312,Molecular Biology,Features and development of <i>Coot</i>,https://doi.org/10.1107/s0907444910007493,2010,28103,https://openalex.org/W2124026197
1312,Molecular Biology,MrBayes 3.2: Efficient Bayesian Phylogenetic Inference and Model Choice Across a Large Model Space,https://doi.org/10.1093/sysbio/sys029,2012,26290,https://openalex.org/W2148698435
1312,Molecular Biology,GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers,https://doi.org/10.1016/j.softx.2015.06.001,2015,23801,https://openalex.org/W1031578623
1312,Molecular Biology,Full-length transcriptome assembly from RNA-Seq data without a reference genome,https://doi.org/10.1038/nbt.1883,2011,21636,https://openalex.org/W2126419817
1312,Molecular Biology,"GROMACS: Fast, flexible, and free",https://doi.org/10.1002/jcc.20291,2005,17837,https://openalex.org/W2171268876
1312,Molecular Biology,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,https://doi.org/10.1126/science.1225829,2012,16412,https://openalex.org/W2045435533
1312,Molecular Biology,"GROMACS 4:  Algorithms for Highly Efficient, Load-Balanced, and Scalable Molecular Simulation",https://doi.org/10.1021/ct700301q,2008,15590,https://openalex.org/W1966078827
1312,Molecular Biology,The MIQE Guidelines: Minimum Information for Publication of Quantitative Real-Time PCR Experiments,https://doi.org/10.1373/clinchem.2008.112797,2009,15324,https://openalex.org/W2168420558
1312,Molecular Biology,Integrative Analysis of Complex Cancer Genomics and Clinical Profiles Using the cBioPortal,https://doi.org/10.1126/scisignal.2004088,2013,15293,https://openalex.org/W2114843025
1312,Molecular Biology,Tissue-based map of the human proteome,https://doi.org/10.1126/science.1260419,2015,14856,https://openalex.org/W2012034410
2208,Electrical and Electronic Engineering,Massive MIMO for next generation wireless systems,https://doi.org/10.1109/mcom.2014.6736761,2014,6624,https://openalex.org/W2141682101
2208,Electrical and Electronic Engineering,New tools for automated high-resolution cryo-EM structure determination in RELION-3,https://doi.org/10.7554/elife.42166,2018,5239,https://openalex.org/W2899714098
2208,Electrical and Electronic Engineering,Scaling Up MIMO: Opportunities and Challenges with Very Large Arrays,https://doi.org/10.1109/msp.2011.2178495,2012,4497,https://openalex.org/W2128513990
2208,Electrical and Electronic Engineering,The atomic simulation environment—a Python library for working with atoms,https://doi.org/10.1088/1361-648x/aa680e,2017,4157,https://openalex.org/W2601081289
2208,Electrical and Electronic Engineering,Tisagenlecleucel in Adult Relapsed or Refractory Diffuse Large B-Cell Lymphoma,https://doi.org/10.1056/nejmoa1804980,2018,3765,https://openalex.org/W2903062212
2208,Electrical and Electronic Engineering,Energy and Spectral Efficiency of Very Large Multiuser MIMO Systems,https://doi.org/10.1109/tcomm.2013.020413.110848,2013,3186,https://openalex.org/W1971443733
2208,Electrical and Electronic Engineering,Organic solar cells based on non-fullerene acceptors,https://doi.org/10.1038/nmat5063,2018,2716,https://openalex.org/W2784506527
2208,Electrical and Electronic Engineering,Higher-accuracy van der Waals density functional,https://doi.org/10.1103/physrevb.82.081101,2010,2636,https://openalex.org/W1988320534
2208,Electrical and Electronic Engineering,A systematic study of the class imbalance problem in convolutional neural networks,https://doi.org/10.1016/j.neunet.2018.07.011,2018,2634,https://openalex.org/W2767106145
2208,Electrical and Electronic Engineering,Cell-Free Massive MIMO Versus Small Cells,https://doi.org/10.1109/twc.2017.2655515,2017,2426,https://openalex.org/W2286275639
2746,Surgery,Minimal criteria for defining multipotent mesenchymal stromal cells. The International Society for Cellular Therapy position statement,https://doi.org/10.1080/14653240600855905,2006,17180,https://openalex.org/W2025371271
2746,Surgery,European Guidelines on cardiovascular disease prevention in clinical practice (version 2012): The Fifth Joint Task Force of the European Society of Cardiology and Other Societies on Cardiovascular Disease Prevention in Clinical Practice (constituted by representatives of nine societies and by invited experts) * Developed with the special contribution of the European Association for Cardiovascular Prevention &amp; Rehabilitation (EACPR),https://doi.org/10.1093/eurheartj/ehs092,2012,8482,https://openalex.org/W3021842026
2746,Surgery,Inter-Society Consensus for the Management of Peripheral Arterial Disease (TASC II),https://doi.org/10.1016/j.jvs.2006.12.037,2007,8020,https://openalex.org/W2144985796
2746,Surgery,2016 European Guidelines on cardiovascular disease prevention in clinical practice,https://doi.org/10.1093/eurheartj/ehw106,2016,6291,https://openalex.org/W2402599050
2746,Surgery,Dapagliflozin in Patients with Heart Failure and Reduced Ejection Fraction,https://doi.org/10.1056/nejmoa1911303,2019,6229,https://openalex.org/W2974260792
