year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,187,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,174,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,173,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,169,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,108,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,108,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,107,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10187,Radio Frequency Integrated Circuit Design,102,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10361,Silicon Carbide Semiconductor Technologies,97,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,96,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10148,Advanced MIMO Systems Optimization,91,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10022,Semiconductor Quantum Structures and Devices,88,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,80,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,71,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,63,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10069,Antenna Design and Analysis,62,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10363,Low-power high-performance VLSI design,58,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T11444,Electromagnetic Compatibility and Noise Suppression,58,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,57,SE,2025-11-25 22:28:39
2005,2208,Electrical and Electronic Engineering,T11321,Error Correcting Code Techniques,56,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,93,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,89,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10171,Biofuel production and bioconversion,69,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,62,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T12386,Advanced X-ray and CT Imaging,61,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,51,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10822,Acoustic Wave Phenomena Research,45,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,42,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11196,Non-Invasive Vital Sign Monitoring,42,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10908,Analytical Chemistry and Chromatography,41,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11272,Nanowire Synthesis and Applications,41,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11208,Lignin and Wood Chemistry,40,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11255,Microfluidic and Bio-sensing Technologies,40,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10059,Bone Tissue Engineering Materials,38,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10088,Thermochemical Biomass Conversion Processes,32,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,32,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11407,Innovative Microfluidic and Catalytic Techniques Innovation,32,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T11808,Superconducting Materials and Applications,31,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10522,Medical Imaging Techniques and Applications,29,SE,2025-11-25 22:28:39
2005,2204,Biomedical Engineering,T10675,Mechanical Circulatory Support Devices,29,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10002,Advanced Chemical Physics Studies,225,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T11177,Spectroscopy and Quantum Chemical Studies,160,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10523,Atomic and Molecular Physics,136,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10022,Semiconductor Quantum Structures and Devices,128,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10382,Quantum and electron transport phenomena,124,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10299,Photonic and Optical Devices,101,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10988,Advanced Fiber Laser Technologies,73,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10666,Photonic Crystals and Applications,70,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10049,Magnetic properties of thin films,68,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10923,Force Microscopy Techniques and Applications,63,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10037,Physics of Superconductivity and Magnetism,58,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T11853,Semiconductor materials and interfaces,54,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T11449,Mechanical and Optical Resonators,52,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10425,Cold Atom Physics and Bose-Einstein Condensates,50,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10913,Molecular Junctions and Nanostructures,50,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T11993,Atomic and Subatomic Physics Research,48,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10093,Nuclear physics research studies,47,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10683,Mass Spectrometry Techniques and Applications,47,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10020,Quantum Information and Cryptography,46,SE,2025-11-25 22:28:39
2005,3107,"Atomic and Molecular Physics, and Optics",T10472,Semiconductor materials and devices,46,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,82,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T11162,Enzyme Structure and Function,79,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,76,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T11242,Nuclear Materials and Properties,65,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10903,Porphyrin and Phthalocyanine Chemistry,63,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10090,ZnO doping and properties,57,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10377,Metal and Thin Film Mechanics,56,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10083,Graphene research and applications,51,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10074,Carbon Nanotubes in Composites,48,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10511,High voltage insulation and dielectric phenomena,47,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T12588,Electronic and Structural Properties of Oxides,44,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T11341,Boron and Carbon Nanomaterials Research,42,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10592,Fusion materials and technologies,41,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T11825,Catalysis and Oxidation Reactions,39,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10321,Quantum Dots Synthesis And Properties,38,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10474,Material Dynamics and Properties,36,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10472,Semiconductor materials and devices,35,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T11169,Silicon Nanostructures and Photoluminescence,35,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10002,Advanced Chemical Physics Studies,34,SE,2025-11-25 22:28:39
2005,2505,Materials Chemistry,T10735,Mesoporous Materials and Catalysis,31,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10126,"Logic, programming, and type systems",96,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,91,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10639,Advanced Software Engineering Methodologies,80,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T11010,"Logic, Reasoning, and Knowledge",73,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10142,Formal Methods in Verification,65,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,65,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T11269,Algorithms and Data Compression,63,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T11130,Coding theory and cryptography,57,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10679,Service-Oriented Architecture and Web Services,48,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10711,Target Tracking and Data Fusion in Sensor Networks,48,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,47,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10020,Quantum Information and Cryptography,46,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T12031,Speech and dialogue systems,46,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T12157,Geochemistry and Geologic Mapping,44,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10456,Multi-Agent Systems and Negotiation,36,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10125,Advanced Wireless Communication Techniques,35,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10906,AI-based Problem Solving and Planning,31,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T11450,Model-Driven Software Engineering Techniques,31,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10260,Software Engineering Research,30,SE,2025-11-25 22:28:39
2005,1702,Artificial Intelligence,T10682,Quantum Computing Algorithms and Architecture,30,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T11786,Geomagnetism and Paleomagnetism Studies,92,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10911,Chemical Synthesis and Analysis,81,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10044,Protein Structure and Dynamics,67,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T11162,Enzyme Structure and Function,61,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10159,Ionosphere and magnetosphere dynamics,58,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10407,Lipid Membrane Structure and Behavior,54,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10303,Photosynthetic Processes and Mechanisms,52,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10835,Carbohydrate Chemistry and Synthesis,51,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10683,Mass Spectrometry Techniques and Applications,50,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10404,Enzyme Catalysis and Immobilization,49,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10251,Solar and Space Plasma Dynamics,47,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10207,Advanced biosensing and bioanalysis techniques,45,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10519,Advanced Proteomics Techniques and Applications,45,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T11048,Bacteriophages and microbial interactions,45,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10908,Analytical Chemistry and Chromatography,44,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10932,Microbial Metabolic Engineering and Bioproduction,44,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T11177,Spectroscopy and Quantum Chemical Studies,44,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10836,Metabolomics and Mass Spectrometry Studies,41,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10521,RNA and protein synthesis mechanisms,37,SE,2025-11-25 22:28:39
2005,1312,Molecular Biology,T10602,Glycosylation and Glycoproteins Research,37,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10575,Wireless Communication Networks Research,174,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10125,Advanced Wireless Communication Techniques,141,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T11409,Advanced Wireless Network Optimization,97,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10829,Interconnection Networks and Systems,74,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10054,Parallel Computing and Optimization Techniques,68,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10148,Advanced MIMO Systems Optimization,67,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10772,Distributed systems and fault tolerance,66,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T11321,Error Correcting Code Techniques,62,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10138,Network Traffic and Congestion Control,59,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T11158,Wireless Networks and Protocols,59,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10796,Cooperative Communication and Network Coding,55,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10715,Distributed and Parallel Computing Systems,54,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10904,Embedded Systems Design Techniques,49,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10246,Mobile Ad Hoc Networks,42,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T12127,Software System Performance and Reliability,41,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10317,Advanced Database Systems and Queries,38,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10933,Real-Time Systems Scheduling,36,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10651,"IPv6, Mobility, Handover, Networks, Security",35,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T11896,Opportunistic and Delay-Tolerant Networks,33,SE,2025-11-25 22:28:39
2005,1705,Computer Networks and Communications,T10742,Peer-to-Peer Network Technologies,31,SE,2025-11-25 22:28:39
2005,2210,Mechanical Engineering,T11126,Metallurgical Processes and Thermodynamics,47,SE,2025-11-25 22:28:39
2005,2210,Mechanical Engineering,T12099,Advanced materials and composites,41,SE,2025-11-25 22:28:39
2005,2210,Mechanical Engineering,T10386,Microstructure and Mechanical Properties of Steels,32,SE,2025-11-25 22:28:39
2005,2210,Mechanical Engineering,T10700,Metal Forming Simulation Techniques,31,SE,2025-11-25 22:28:39
2005,2210,Mechanical Engineering,T12169,Non-Destructive Testing Techniques,31,SE,2025-11-25 22:28:39
2005,2210,Mechanical Engineering,T10672,Design Education and Practice,30,SE,2025-11-25 22:28:39
2005,2210,Mechanical Engineering,T10998,Heat Transfer and Optimization,30,SE,2025-11-25 22:28:39
