year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,3288,SE,2025-12-03 12:04:44
2005,2208,Electrical and Electronic Engineering,2176,SE,2025-12-03 12:04:44
2005,2746,Surgery,1523,SE,2025-12-03 12:04:44
2005,2204,Biomedical Engineering,1321,SE,2025-12-03 12:04:44
2005,2505,Materials Chemistry,1188,SE,2025-12-03 12:04:44
2005,1311,Genetics,1118,SE,2025-12-03 12:04:44
2005,2713,Epidemiology,1107,SE,2025-12-03 12:04:44
2005,2737,Physiology,1096,SE,2025-12-03 12:04:44
2005,2740,Pulmonary and Respiratory Medicine,957,SE,2025-12-03 12:04:44
2005,3312,Sociology and Political Science,770,SE,2025-12-03 12:04:44
2005,3107,"Atomic and Molecular Physics, and Optics",605,SE,2025-12-03 12:04:44
2005,2730,Oncology,539,SE,2025-12-03 12:04:44
2005,2705,Cardiology and Cardiovascular Medicine,400,SE,2025-12-03 12:04:44
2005,2804,Cellular and Molecular Neuroscience,393,SE,2025-12-03 12:04:44
2005,1705,Computer Networks and Communications,389,SE,2025-12-03 12:04:44
2005,2403,Immunology,364,SE,2025-12-03 12:04:44
2005,2712,"Endocrinology, Diabetes and Metabolism",364,SE,2025-12-03 12:04:44
2005,2739,"Public Health, Environmental and Occupational Health",358,SE,2025-12-03 12:04:44
2005,2741,"Radiology, Nuclear Medicine and Imaging",340,SE,2025-12-03 12:04:44
2005,1307,Cell Biology,284,SE,2025-12-03 12:04:44
2005,1110,Plant Science,279,SE,2025-12-03 12:04:44
2005,1605,Organic Chemistry,269,SE,2025-12-03 12:04:44
2005,2734,Pathology and Forensic Medicine,265,SE,2025-12-03 12:04:44
2005,2210,Mechanical Engineering,262,SE,2025-12-03 12:04:44
2005,1306,Cancer Research,242,SE,2025-12-03 12:04:44
2005,1607,Spectroscopy,231,SE,2025-12-03 12:04:44
2005,2745,Rheumatology,229,SE,2025-12-03 12:04:44
2005,2202,Aerospace Engineering,228,SE,2025-12-03 12:04:44
2005,2735,"Pediatrics, Perinatology and Child Health",225,SE,2025-12-03 12:04:44
2005,2211,Mechanics of Materials,201,SE,2025-12-03 12:04:44
2005,2504,"Electronic, Optical and Magnetic Materials",187,SE,2025-12-03 12:04:44
2005,2916,Nutrition and Dietetics,180,SE,2025-12-03 12:04:44
2005,2736,Pharmacology,179,SE,2025-12-03 12:04:44
2005,2728,Neurology,167,SE,2025-12-03 12:04:44
2005,1105,"Ecology, Evolution, Behavior and Systematics",162,SE,2025-12-03 12:04:44
2005,2725,Infectious Diseases,153,SE,2025-12-03 12:04:44
2005,1702,Artificial Intelligence,152,SE,2025-12-03 12:04:44
2005,1604,Inorganic Chemistry,144,SE,2025-12-03 12:04:44
2005,3103,Astronomy and Astrophysics,142,SE,2025-12-03 12:04:44
2005,2206,Computational Mechanics,141,SE,2025-12-03 12:04:44
2005,2723,Immunology and Allergy,139,SE,2025-12-03 12:04:44
2005,2303,Ecology,136,SE,2025-12-03 12:04:44
