year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,2615,SG,2025-11-28 17:26:32
2005,2204,Biomedical Engineering,1110,SG,2025-11-28 17:26:32
2005,1312,Molecular Biology,1007,SG,2025-11-28 17:26:32
2005,1707,Computer Vision and Pattern Recognition,943,SG,2025-11-28 17:26:32
2005,1702,Artificial Intelligence,916,SG,2025-11-28 17:26:32
2005,2505,Materials Chemistry,913,SG,2025-11-28 17:26:32
2005,3107,"Atomic and Molecular Physics, and Optics",828,SG,2025-11-28 17:26:32
2005,2210,Mechanical Engineering,776,SG,2025-11-28 17:26:32
2005,1705,Computer Networks and Communications,592,SG,2025-11-28 17:26:32
2005,2746,Surgery,494,SG,2025-11-28 17:26:32
2005,1711,Signal Processing,418,SG,2025-11-28 17:26:32
2005,2207,Control and Systems Engineering,398,SG,2025-11-28 17:26:32
2005,3312,Sociology and Political Science,387,SG,2025-11-28 17:26:32
2005,2211,Mechanics of Materials,380,SG,2025-11-28 17:26:32
2005,2504,"Electronic, Optical and Magnetic Materials",354,SG,2025-11-28 17:26:32
2005,2202,Aerospace Engineering,328,SG,2025-11-28 17:26:32
2005,2206,Computational Mechanics,296,SG,2025-11-28 17:26:32
2005,1703,Computational Theory and Mathematics,206,SG,2025-11-28 17:26:32
2005,1710,Information Systems,191,SG,2025-11-28 17:26:32
2005,2507,Polymers and Plastics,144,SG,2025-11-28 17:26:32
2005,2741,"Radiology, Nuclear Medicine and Imaging",121,SG,2025-11-28 17:26:32
2005,3104,Condensed Matter Physics,118,SG,2025-11-28 17:26:32
2005,2730,Oncology,117,SG,2025-11-28 17:26:32
2005,2502,Biomaterials,116,SG,2025-11-28 17:26:32
2005,2740,Pulmonary and Respiratory Medicine,116,SG,2025-11-28 17:26:32
2005,2214,Media Technology,112,SG,2025-11-28 17:26:32
2005,2508,"Surfaces, Coatings and Films",112,SG,2025-11-28 17:26:32
2005,1311,Genetics,111,SG,2025-11-28 17:26:32
2005,2205,Civil and Structural Engineering,105,SG,2025-11-28 17:26:32
2005,1605,Organic Chemistry,101,SG,2025-11-28 17:26:32
2005,2209,Industrial and Manufacturing Engineering,92,SG,2025-11-28 17:26:32
2005,1307,Cell Biology,91,SG,2025-11-28 17:26:32
2005,2705,Cardiology and Cardiovascular Medicine,89,SG,2025-11-28 17:26:32
2005,2105,"Renewable Energy, Sustainability and the Environment",74,SG,2025-11-28 17:26:32
2005,2312,Water Science and Technology,71,SG,2025-11-28 17:26:32
2005,2713,Epidemiology,67,SG,2025-11-28 17:26:32
2005,1607,Spectroscopy,66,SG,2025-11-28 17:26:32
2005,1110,Plant Science,62,SG,2025-11-28 17:26:32
2005,2203,Automotive Engineering,61,SG,2025-11-28 17:26:32
2005,3109,Statistical and Nonlinear Physics,60,SG,2025-11-28 17:26:32
2005,3320,Political Science and International Relations,60,SG,2025-11-28 17:26:32
2005,1708,Hardware and Architecture,57,SG,2025-11-28 17:26:32
2005,2804,Cellular and Molecular Neuroscience,56,SG,2025-11-28 17:26:32
2005,2734,Pathology and Forensic Medicine,52,SG,2025-11-28 17:26:32
2005,1604,Inorganic Chemistry,50,SG,2025-11-28 17:26:32
2005,2503,Ceramics and Composites,50,SG,2025-11-28 17:26:32
2005,2002,Economics and Econometrics,49,SG,2025-11-28 17:26:32
2005,2737,Physiology,49,SG,2025-11-28 17:26:32
2005,1306,Cancer Research,48,SG,2025-11-28 17:26:32
2005,2725,Infectious Diseases,48,SG,2025-11-28 17:26:32
2005,2805,Cognitive Neuroscience,45,SG,2025-11-28 17:26:32
2005,1503,Catalysis,41,SG,2025-11-28 17:26:32
2005,2739,"Public Health, Environmental and Occupational Health",41,SG,2025-11-28 17:26:32
2005,1502,Bioengineering,40,SG,2025-11-28 17:26:32
2005,2212,Ocean Engineering,40,SG,2025-11-28 17:26:32
2005,2403,Immunology,40,SG,2025-11-28 17:26:32
2005,2745,Rheumatology,39,SG,2025-11-28 17:26:32
2005,1704,Computer Graphics and Computer-Aided Design,38,SG,2025-11-28 17:26:32
2005,1802,Information Systems and Management,36,SG,2025-11-28 17:26:32
2005,1902,Atmospheric Science,34,SG,2025-11-28 17:26:32
2005,2712,"Endocrinology, Diabetes and Metabolism",33,SG,2025-11-28 17:26:32
2005,1602,Analytical Chemistry,31,SG,2025-11-28 17:26:32
2005,2732,Orthopedics and Sports Medicine,29,SG,2025-11-28 17:26:32
2005,2736,Pharmacology,29,SG,2025-11-28 17:26:32
2005,2215,Building and Construction,28,SG,2025-11-28 17:26:32
2005,2731,Ophthalmology,28,SG,2025-11-28 17:26:32
2005,1603,Electrochemistry,27,SG,2025-11-28 17:26:32
2005,2213,"Safety, Risk, Reliability and Quality",27,SG,2025-11-28 17:26:32
2005,2728,Neurology,27,SG,2025-11-28 17:26:32
2005,1405,Management of Technology and Innovation,26,SG,2025-11-28 17:26:32
2005,2716,Genetics,25,SG,2025-11-28 17:26:32
2005,3315,Communication,24,SG,2025-11-28 17:26:32
2005,1404,Management Information Systems,23,SG,2025-11-28 17:26:32
2005,1709,Human-Computer Interaction,23,SG,2025-11-28 17:26:32
2005,1803,Management Science and Operations Research,23,SG,2025-11-28 17:26:32
2005,3317,Demography,23,SG,2025-11-28 17:26:32
2005,1304,Biophysics,22,SG,2025-11-28 17:26:32
2005,2715,Gastroenterology,22,SG,2025-11-28 17:26:32
2005,3314,Anthropology,22,SG,2025-11-28 17:26:32
2005,3504,Oral Surgery,22,SG,2025-11-28 17:26:32
2005,2613,Statistics and Probability,21,SG,2025-11-28 17:26:32
2005,3103,Astronomy and Astrophysics,21,SG,2025-11-28 17:26:32
2005,3207,Social Psychology,21,SG,2025-11-28 17:26:32
2005,3304,Education,21,SG,2025-11-28 17:26:32
2005,1606,Physical and Theoretical Chemistry,20,SG,2025-11-28 17:26:32
2005,2310,Pollution,20,SG,2025-11-28 17:26:32
2005,3505,Orthodontics,20,SG,2025-11-28 17:26:32
2005,1106,Food Science,19,SG,2025-11-28 17:26:32
2005,1406,Marketing,19,SG,2025-11-28 17:26:32
2005,1712,Software,18,SG,2025-11-28 17:26:32
2005,2720,Hematology,18,SG,2025-11-28 17:26:32
2005,1305,Biotechnology,17,SG,2025-11-28 17:26:32
2005,3003,Pharmaceutical Science,17,SG,2025-11-28 17:26:32
2005,1908,Geophysics,16,SG,2025-11-28 17:26:32
2005,2735,"Pediatrics, Perinatology and Child Health",16,SG,2025-11-28 17:26:32
2005,3316,Cultural Studies,16,SG,2025-11-28 17:26:32
2005,1313,Molecular Medicine,15,SG,2025-11-28 17:26:32
2005,2742,Rehabilitation,15,SG,2025-11-28 17:26:32
2005,1105,"Ecology, Evolution, Behavior and Systematics",14,SG,2025-11-28 17:26:32
2005,1407,Organizational Behavior and Human Resource Management,14,SG,2025-11-28 17:26:32
2005,1408,Strategy and Management,14,SG,2025-11-28 17:26:32
2005,2305,Environmental Engineering,13,SG,2025-11-28 17:26:32
2005,2311,Industrial and Manufacturing Engineering,13,SG,2025-11-28 17:26:32
2005,2404,Microbiology,13,SG,2025-11-28 17:26:32
2005,2604,Applied Mathematics,13,SG,2025-11-28 17:26:32
2005,2711,Emergency Medicine,13,SG,2025-11-28 17:26:32
2005,2721,Hepatology,13,SG,2025-11-28 17:26:32
2005,2723,Immunology and Allergy,13,SG,2025-11-28 17:26:32
2005,2748,Urology,13,SG,2025-11-28 17:26:32
2005,1303,Biochemistry,12,SG,2025-11-28 17:26:32
2005,1402,Accounting,12,SG,2025-11-28 17:26:32
2005,1804,"Statistics, Probability and Uncertainty",12,SG,2025-11-28 17:26:32
2005,2708,Dermatology,12,SG,2025-11-28 17:26:32
2005,3313,Transportation,12,SG,2025-11-28 17:26:32
2005,1308,Clinical Biochemistry,11,SG,2025-11-28 17:26:32
2005,2303,Ecology,11,SG,2025-11-28 17:26:32
2005,2608,Geometry and Topology,11,SG,2025-11-28 17:26:32
2005,2916,Nutrition and Dietetics,11,SG,2025-11-28 17:26:32
2005,3305,"Geography, Planning and Development",11,SG,2025-11-28 17:26:32
2005,3322,Urban Studies,11,SG,2025-11-28 17:26:32
2005,1315,Structural Biology,10,SG,2025-11-28 17:26:32
2005,2102,Energy Engineering and Power Technology,10,SG,2025-11-28 17:26:32
2005,2808,Neurology,10,SG,2025-11-28 17:26:32
2005,3004,Pharmacology,10,SG,2025-11-28 17:26:32
2005,3108,Radiation,10,SG,2025-11-28 17:26:32
2005,3318,Gender Studies,10,SG,2025-11-28 17:26:32
2005,2703,Anesthesiology and Pain Medicine,9,SG,2025-11-28 17:26:32
2005,2743,Reproductive Medicine,9,SG,2025-11-28 17:26:32
2005,3105,Instrumentation,9,SG,2025-11-28 17:26:32
2005,3205,Experimental and Cognitive Psychology,9,SG,2025-11-28 17:26:32
2005,2727,Nephrology,8,SG,2025-11-28 17:26:32
2005,2738,Psychiatry and Mental health,8,SG,2025-11-28 17:26:32
2005,3600,General Health Professions,8,SG,2025-11-28 17:26:32
2005,1314,Physiology,7,SG,2025-11-28 17:26:32
2005,1706,Computer Science Applications,7,SG,2025-11-28 17:26:32
2005,1910,Oceanography,7,SG,2025-11-28 17:26:32
2005,2500,General Materials Science,7,SG,2025-11-28 17:26:32
2005,2607,Discrete Mathematics and Combinatorics,7,SG,2025-11-28 17:26:32
2005,2707,Complementary and alternative medicine,7,SG,2025-11-28 17:26:32
2005,2733,Otorhinolaryngology,7,SG,2025-11-28 17:26:32
2005,3102,Acoustics and Ultrasonics,7,SG,2025-11-28 17:26:32
2005,3106,Nuclear and High Energy Physics,7,SG,2025-11-28 17:26:32
2005,3321,Public Administration,7,SG,2025-11-28 17:26:32
2005,3611,Pharmacy,7,SG,2025-11-28 17:26:32
2005,2000,"General Economics, Econometrics and Finance",6,SG,2025-11-28 17:26:32
