year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,288,SI,2025-11-28 17:29:02
2005,2505,Materials Chemistry,276,SI,2025-11-28 17:29:02
2005,2208,Electrical and Electronic Engineering,257,SI,2025-11-28 17:29:02
2005,2204,Biomedical Engineering,208,SI,2025-11-28 17:29:02
2005,2210,Mechanical Engineering,194,SI,2025-11-28 17:29:02
2005,3312,Sociology and Political Science,190,SI,2025-11-28 17:29:02
2005,1702,Artificial Intelligence,174,SI,2025-11-28 17:29:02
2005,2002,Economics and Econometrics,153,SI,2025-11-28 17:29:02
2005,3320,Political Science and International Relations,143,SI,2025-11-28 17:29:02
2005,2746,Surgery,109,SI,2025-11-28 17:29:02
2005,2211,Mechanics of Materials,87,SI,2025-11-28 17:29:02
2005,2504,"Electronic, Optical and Magnetic Materials",75,SI,2025-11-28 17:29:02
2005,2207,Control and Systems Engineering,68,SI,2025-11-28 17:29:02
2005,3107,"Atomic and Molecular Physics, and Optics",51,SI,2025-11-28 17:29:02
2005,1605,Organic Chemistry,49,SI,2025-11-28 17:29:02
2005,1710,Information Systems,45,SI,2025-11-28 17:29:02
2005,1703,Computational Theory and Mathematics,40,SI,2025-11-28 17:29:02
2005,3308,Law,37,SI,2025-11-28 17:29:02
2005,1110,Plant Science,32,SI,2025-11-28 17:29:02
2005,1604,Inorganic Chemistry,32,SI,2025-11-28 17:29:02
2005,1705,Computer Networks and Communications,32,SI,2025-11-28 17:29:02
2005,1707,Computer Vision and Pattern Recognition,32,SI,2025-11-28 17:29:02
2005,2507,Polymers and Plastics,32,SI,2025-11-28 17:29:02
2005,2705,Cardiology and Cardiovascular Medicine,31,SI,2025-11-28 17:29:02
2005,2206,Computational Mechanics,29,SI,2025-11-28 17:29:02
2005,2730,Oncology,29,SI,2025-11-28 17:29:02
2005,2741,"Radiology, Nuclear Medicine and Imaging",29,SI,2025-11-28 17:29:02
2005,1311,Genetics,28,SI,2025-11-28 17:29:02
2005,1307,Cell Biology,27,SI,2025-11-28 17:29:02
2005,2202,Aerospace Engineering,27,SI,2025-11-28 17:29:02
2005,1408,Strategy and Management,26,SI,2025-11-28 17:29:02
2005,1607,Spectroscopy,25,SI,2025-11-28 17:29:02
2005,2105,"Renewable Energy, Sustainability and the Environment",25,SI,2025-11-28 17:29:02
2005,2003,Finance,24,SI,2025-11-28 17:29:02
2005,2737,Physiology,24,SI,2025-11-28 17:29:02
2005,3600,General Health Professions,24,SI,2025-11-28 17:29:02
2005,1402,Accounting,22,SI,2025-11-28 17:29:02
2005,2000,"General Economics, Econometrics and Finance",22,SI,2025-11-28 17:29:02
2005,3108,Radiation,21,SI,2025-11-28 17:29:02
2005,2713,Epidemiology,20,SI,2025-11-28 17:29:02
2005,3304,Education,20,SI,2025-11-28 17:29:02
2005,3106,Nuclear and High Energy Physics,19,SI,2025-11-28 17:29:02
2005,1305,Biotechnology,17,SI,2025-11-28 17:29:02
