subfield_id,subfield_name,title,doi,year,cited_by_count,id
2205,Civil and Structural Engineering,Local Site Effects and Incremental Damage of Buildings during the 2016 Central Italy Earthquake Sequence,https://doi.org/10.1193/100317eqs194m,2018,115,https://openalex.org/W2809467091
2205,Civil and Structural Engineering,Experimental investigation and monitoring of a polypropylene-based fiber reinforced concrete road pavement,https://doi.org/10.1016/j.conbuildmat.2013.05.077,2013,98,https://openalex.org/W2018363363
2205,Civil and Structural Engineering,Compactability and thermal sensitivity of cement–bitumen-treated materials,https://doi.org/10.1080/14680629.2012.742624,2012,89,https://openalex.org/W2007121514
2746,Surgery,2019 ESC/EAS guidelines for the management of dyslipidaemias: Lipid modification to reduce cardiovascular risk,https://doi.org/10.1016/j.atherosclerosis.2019.08.014,2019,4779,https://openalex.org/W2953804067
2746,Surgery,Articular Cartilage Engineering with Hyalograft?? C,https://doi.org/10.1097/01.blo.0000165737.87628.5b,2005,451,https://openalex.org/W2127324240
2746,Surgery,Reperfusion therapy for ST elevation acute myocardial infarction 2010/2011: current status in 37 ESC countries,https://doi.org/10.1093/eurheartj/eht529,2014,339,https://openalex.org/W2141223624
3312,Sociology and Political Science,Models of adoption of open innovation within the food industry,https://doi.org/10.1016/j.tifs.2012.11.001,2012,181,https://openalex.org/W2013613052
3312,Sociology and Political Science,Análisis didáctico de una lección sobre proporcionalidad en un libro de texto de primaria con herramientas del enfoque ontosemiótico,https://doi.org/10.1590/1980-4415v34n66a03,2020,39,https://openalex.org/W3017378688
3312,Sociology and Political Science,From ‘virtuous’ to ‘subhuman’: representations of Italian peasants between the 1860s and the 1880s,https://doi.org/10.1080/0023656x.2022.2153113,2022,15,https://openalex.org/W4311877967
3304,Education,“Mathematical knowledge for teaching”: adapting U.S. measures for use in Ireland,https://doi.org/10.1007/s10857-008-9072-1,2008,125,https://openalex.org/W2059250413
3304,Education,Análisis didáctico de una lección sobre proporcionalidad en un libro de texto de primaria con herramientas del enfoque ontosemiótico,https://doi.org/10.1590/1980-4415v34n66a03,2020,39,https://openalex.org/W3017378688
3304,Education,A validation study of the use of mathematical knowledge for teaching measures in Ireland,https://doi.org/10.1007/s11858-012-0382-5,2012,26,https://openalex.org/W2080985556
1204,Archeology,Methodological evolutions of Raman spectroscopy in art and archaeology,https://doi.org/10.1039/c6ay02327d,2016,84,https://openalex.org/W2527720537
1204,Archeology,Cross-Section and Staining-Based Techniques for Investigating Organic Materials in Painted and Polychrome Works of Art: A Review,https://doi.org/10.1017/s1431927612000554,2012,57,https://openalex.org/W2087465272
1204,Archeology,"Colored grounds of gilt stucco surfaces as analyzed by a combined microscopic, spectroscopic and elemental analytical approach",https://doi.org/10.1007/s00216-010-3491-4,2010,26,https://openalex.org/W2076027065
2739,"Public Health, Environmental and Occupational Health",Innovation trends in the food industry: The case of functional foods,https://doi.org/10.1016/j.tifs.2013.03.006,2013,793,https://openalex.org/W2048068629
2739,"Public Health, Environmental and Occupational Health",Prevalence of Severe Obesity among Primary School Children in 21 European Countries,https://doi.org/10.1159/000500436,2019,309,https://openalex.org/W2941687566
2739,"Public Health, Environmental and Occupational Health","Association between Characteristics at Birth, Breastfeeding and Obesity in 22 Countries: The WHO European Childhood Obesity Surveillance Initiative – COSI 2015/2017",https://doi.org/10.1159/000500425,2019,293,https://openalex.org/W2940806864
2741,"Radiology, Nuclear Medicine and Imaging",Reperfusion therapy for ST elevation acute myocardial infarction 2010/2011: current status in 37 ESC countries,https://doi.org/10.1093/eurheartj/eht529,2014,339,https://openalex.org/W2141223624
2741,"Radiology, Nuclear Medicine and Imaging",Hyaluronic acid: Perspectives in dentistry. A systematic review,https://doi.org/10.1177/0394632016652906,2016,202,https://openalex.org/W2419628867
2741,"Radiology, Nuclear Medicine and Imaging",Intraocular lens power calculation in eyes with keratoconus,https://doi.org/10.1016/j.jcrs.2018.11.029,2019,73,https://openalex.org/W2915593391
2002,Economics and Econometrics,2019 ESC/EAS guidelines for the management of dyslipidaemias: Lipid modification to reduce cardiovascular risk,https://doi.org/10.1016/j.atherosclerosis.2019.08.014,2019,4779,https://openalex.org/W2953804067
2002,Economics and Econometrics,Open innovation and new issues in R&amp;D organization and personnel management,https://doi.org/10.1080/09585192.2011.561250,2011,102,https://openalex.org/W2146091684
2002,Economics and Econometrics,Open innovation in the public sector,https://doi.org/10.1108/bpmj-10-2016-0208,2017,29,https://openalex.org/W2757453925
2713,Epidemiology,"Association between Characteristics at Birth, Breastfeeding and Obesity in 22 Countries: The WHO European Childhood Obesity Surveillance Initiative – COSI 2015/2017",https://doi.org/10.1159/000500425,2019,293,https://openalex.org/W2940806864
2713,Epidemiology,Intraocular lens power calculation in eyes with keratoconus,https://doi.org/10.1016/j.jcrs.2018.11.029,2019,73,https://openalex.org/W2915593391
2713,Epidemiology,Fractional CO<sub>2</sub>Laser: From Skin Rejuvenation to Vulvo-Vaginal Reshaping,https://doi.org/10.1089/pho.2016.4173,2017,73,https://openalex.org/W2589710077
2211,Mechanics of Materials,Three-phase homogenization procedure for woven fabric composites reinforced by carbon nanotubes in thermal environment,https://doi.org/10.1016/j.compstruct.2020.112840,2020,51,https://openalex.org/W3067763757
2211,Mechanics of Materials,Conforming and nonconforming laminated finite element Kirchhoff nanoplates in bending using strain gradient theory,https://doi.org/10.1016/j.compstruc.2020.106322,2020,49,https://openalex.org/W3041935533
2211,Mechanics of Materials,Finite Anticlastic Bending of Hyperelastic Solids and Beams,https://doi.org/10.1007/s10659-017-9649-y,2017,48,https://openalex.org/W2724140788
