year,id,name,works_count,country,fetch_date
2005,1204,Archeology,1,SM,2025-12-01 19:13:41
2005,2214,Media Technology,1,SM,2025-12-01 19:13:41
2005,2740,Pulmonary and Respiratory Medicine,1,SM,2025-12-01 19:13:41
2005,2741,"Radiology, Nuclear Medicine and Imaging",1,SM,2025-12-01 19:13:41
2005,2745,Rheumatology,1,SM,2025-12-01 19:13:41
2005,2746,Surgery,1,SM,2025-12-01 19:13:41
2005,2748,Urology,1,SM,2025-12-01 19:13:41
2005,3304,Education,1,SM,2025-12-01 19:13:41
2005,3311,Safety Research,1,SM,2025-12-01 19:13:41
2006,1204,Archeology,1,SM,2025-12-01 19:13:41
2006,1206,Conservation,1,SM,2025-12-01 19:13:41
2006,1902,Atmospheric Science,1,SM,2025-12-01 19:13:41
2006,1904,Earth-Surface Processes,1,SM,2025-12-01 19:13:41
2006,2002,Economics and Econometrics,1,SM,2025-12-01 19:13:41
2006,2205,Civil and Structural Engineering,1,SM,2025-12-01 19:13:41
2006,2211,Mechanics of Materials,1,SM,2025-12-01 19:13:41
2006,2705,Cardiology and Cardiovascular Medicine,1,SM,2025-12-01 19:13:41
2006,2724,Internal Medicine,1,SM,2025-12-01 19:13:41
2006,2746,Surgery,1,SM,2025-12-01 19:13:41
2006,3312,Sociology and Political Science,1,SM,2025-12-01 19:13:41
2007,2746,Surgery,3,SM,2025-12-01 19:13:41
2007,1904,Earth-Surface Processes,2,SM,2025-12-01 19:13:41
2007,1204,Archeology,1,SM,2025-12-01 19:13:41
2007,1206,Conservation,1,SM,2025-12-01 19:13:41
2007,1312,Molecular Biology,1,SM,2025-12-01 19:13:41
2007,2204,Biomedical Engineering,1,SM,2025-12-01 19:13:41
2007,2205,Civil and Structural Engineering,1,SM,2025-12-01 19:13:41
2007,2505,Materials Chemistry,1,SM,2025-12-01 19:13:41
2007,2713,Epidemiology,1,SM,2025-12-01 19:13:41
2007,2721,Hepatology,1,SM,2025-12-01 19:13:41
2007,2730,Oncology,1,SM,2025-12-01 19:13:41
2007,2734,Pathology and Forensic Medicine,1,SM,2025-12-01 19:13:41
2007,2740,Pulmonary and Respiratory Medicine,1,SM,2025-12-01 19:13:41
2008,2746,Surgery,3,SM,2025-12-01 19:13:41
2008,2712,"Endocrinology, Diabetes and Metabolism",2,SM,2025-12-01 19:13:41
2008,3312,Sociology and Political Science,2,SM,2025-12-01 19:13:41
2008,1202,History,1,SM,2025-12-01 19:13:41
2008,1204,Archeology,1,SM,2025-12-01 19:13:41
2008,2502,Biomaterials,1,SM,2025-12-01 19:13:41
2008,2505,Materials Chemistry,1,SM,2025-12-01 19:13:41
2008,2613,Statistics and Probability,1,SM,2025-12-01 19:13:41
2008,2713,Epidemiology,1,SM,2025-12-01 19:13:41
2008,2725,Infectious Diseases,1,SM,2025-12-01 19:13:41
2008,2739,"Public Health, Environmental and Occupational Health",1,SM,2025-12-01 19:13:41
2008,2741,"Radiology, Nuclear Medicine and Imaging",1,SM,2025-12-01 19:13:41
2008,2745,Rheumatology,1,SM,2025-12-01 19:13:41
2008,2804,Cellular and Molecular Neuroscience,1,SM,2025-12-01 19:13:41
2008,3304,Education,1,SM,2025-12-01 19:13:41
2008,3320,Political Science and International Relations,1,SM,2025-12-01 19:13:41
2009,2002,Economics and Econometrics,2,SM,2025-12-01 19:13:41
2009,1312,Molecular Biology,1,SM,2025-12-01 19:13:41
2009,1407,Organizational Behavior and Human Resource Management,1,SM,2025-12-01 19:13:41
2009,2213,"Safety, Risk, Reliability and Quality",1,SM,2025-12-01 19:13:41
2009,2713,Epidemiology,1,SM,2025-12-01 19:13:41
2009,3103,Astronomy and Astrophysics,1,SM,2025-12-01 19:13:41
2009,3312,Sociology and Political Science,1,SM,2025-12-01 19:13:41
2010,2746,Surgery,4,SM,2025-12-01 19:13:41
2010,1204,Archeology,3,SM,2025-12-01 19:13:41
2010,1207,History and Philosophy of Science,2,SM,2025-12-01 19:13:41
2010,2716,Genetics,2,SM,2025-12-01 19:13:41
2010,3312,Sociology and Political Science,2,SM,2025-12-01 19:13:41
2010,1304,Biophysics,1,SM,2025-12-01 19:13:41
2010,1312,Molecular Biology,1,SM,2025-12-01 19:13:41
2010,1904,Earth-Surface Processes,1,SM,2025-12-01 19:13:41
2010,1906,Geochemistry and Petrology,1,SM,2025-12-01 19:13:41
2010,2713,Epidemiology,1,SM,2025-12-01 19:13:41
2010,2721,Hepatology,1,SM,2025-12-01 19:13:41
2010,2735,"Pediatrics, Perinatology and Child Health",1,SM,2025-12-01 19:13:41
2010,2737,Physiology,1,SM,2025-12-01 19:13:41
2010,2741,"Radiology, Nuclear Medicine and Imaging",1,SM,2025-12-01 19:13:41
2010,2804,Cellular and Molecular Neuroscience,1,SM,2025-12-01 19:13:41
2010,3304,Education,1,SM,2025-12-01 19:13:41
2010,3318,Gender Studies,1,SM,2025-12-01 19:13:41
2011,1204,Archeology,4,SM,2025-12-01 19:13:41
2011,1206,Conservation,4,SM,2025-12-01 19:13:41
2011,1904,Earth-Surface Processes,4,SM,2025-12-01 19:13:41
2011,2205,Civil and Structural Engineering,2,SM,2025-12-01 19:13:41
2011,2712,"Endocrinology, Diabetes and Metabolism",2,SM,2025-12-01 19:13:41
2011,2746,Surgery,2,SM,2025-12-01 19:13:41
2011,1405,Management of Technology and Innovation,1,SM,2025-12-01 19:13:41
2011,1408,Strategy and Management,1,SM,2025-12-01 19:13:41
2011,2002,Economics and Econometrics,1,SM,2025-12-01 19:13:41
2011,2204,Biomedical Engineering,1,SM,2025-12-01 19:13:41
2011,2207,Control and Systems Engineering,1,SM,2025-12-01 19:13:41
2011,2211,Mechanics of Materials,1,SM,2025-12-01 19:13:41
2011,2215,Building and Construction,1,SM,2025-12-01 19:13:41
2011,2508,"Surfaces, Coatings and Films",1,SM,2025-12-01 19:13:41
2011,2713,Epidemiology,1,SM,2025-12-01 19:13:41
2011,2721,Hepatology,1,SM,2025-12-01 19:13:41
2012,2205,Civil and Structural Engineering,10,SM,2025-12-01 19:13:41
2012,1204,Archeology,4,SM,2025-12-01 19:13:41
2012,2002,Economics and Econometrics,3,SM,2025-12-01 19:13:41
2012,3103,Astronomy and Astrophysics,3,SM,2025-12-01 19:13:41
2012,3304,Education,3,SM,2025-12-01 19:13:41
2012,1206,Conservation,2,SM,2025-12-01 19:13:41
2012,1904,Earth-Surface Processes,2,SM,2025-12-01 19:13:41
2012,3312,Sociology and Political Science,2,SM,2025-12-01 19:13:41
2012,1107,Forestry,1,SM,2025-12-01 19:13:41
2012,1306,Cancer Research,1,SM,2025-12-01 19:13:41
2012,1408,Strategy and Management,1,SM,2025-12-01 19:13:41
2012,1710,Information Systems,1,SM,2025-12-01 19:13:41
2012,1907,Geology,1,SM,2025-12-01 19:13:41
2012,1912,Space and Planetary Science,1,SM,2025-12-01 19:13:41
2012,2206,Computational Mechanics,1,SM,2025-12-01 19:13:41
2012,2207,Control and Systems Engineering,1,SM,2025-12-01 19:13:41
2012,2210,Mechanical Engineering,1,SM,2025-12-01 19:13:41
2012,2213,"Safety, Risk, Reliability and Quality",1,SM,2025-12-01 19:13:41
2012,2215,Building and Construction,1,SM,2025-12-01 19:13:41
2012,2611,Modeling and Simulation,1,SM,2025-12-01 19:13:41
2012,2613,Statistics and Probability,1,SM,2025-12-01 19:13:41
2012,2743,Reproductive Medicine,1,SM,2025-12-01 19:13:41
2012,2746,Surgery,1,SM,2025-12-01 19:13:41
2012,3318,Gender Studies,1,SM,2025-12-01 19:13:41
2012,3320,Political Science and International Relations,1,SM,2025-12-01 19:13:41
2013,2205,Civil and Structural Engineering,11,SM,2025-12-01 19:13:41
2013,1904,Earth-Surface Processes,5,SM,2025-12-01 19:13:41
2013,1204,Archeology,4,SM,2025-12-01 19:13:41
2013,2713,Epidemiology,3,SM,2025-12-01 19:13:41
2013,1206,Conservation,2,SM,2025-12-01 19:13:41
2013,2002,Economics and Econometrics,2,SM,2025-12-01 19:13:41
2013,2215,Building and Construction,2,SM,2025-12-01 19:13:41
2013,2721,Hepatology,2,SM,2025-12-01 19:13:41
2013,2739,"Public Health, Environmental and Occupational Health",2,SM,2025-12-01 19:13:41
