subfield_id,subfield_name,title,doi,year,cited_by_count,id
2739,"Public Health, Environmental and Occupational Health",The Brazilian Zika virus strain causes birth defects in experimental models,https://doi.org/10.1038/nature18296,2016,1319,https://openalex.org/W2356757232
2739,"Public Health, Environmental and Occupational Health","Zika Virus, French Polynesia, South Pacific, 2013",https://doi.org/10.3201/eid2006.140138,2014,855,https://openalex.org/W2053992388
2739,"Public Health, Environmental and Occupational Health",Molecular Evolution of Zika Virus during Its Emergence in the 20th Century,https://doi.org/10.1371/journal.pntd.0002636,2014,802,https://openalex.org/W2152546486
2725,Infectious Diseases,"A Randomized, Controlled Trial of Ebola Virus Disease Therapeutics",https://doi.org/10.1056/nejmoa1910993,2019,1553,https://openalex.org/W2991491848
2725,Infectious Diseases,"Real-time, portable genome sequencing for Ebola surveillance",https://doi.org/10.1038/nature16996,2016,1489,https://openalex.org/W2259815689
2725,Infectious Diseases,GISAID’s Role in Pandemic Response,https://doi.org/10.46234/ccdcw2021.255,2021,1075,https://openalex.org/W4200137031
1105,"Ecology, Evolution, Behavior and Systematics",Farmers’ Perceptions of Climate Change and Agricultural Adaptation Strategies in Rural Sahel,https://doi.org/10.1007/s00267-008-9197-0,2008,943,https://openalex.org/W2151408602
1105,"Ecology, Evolution, Behavior and Systematics","Angiosperm phylogeny: 17 genes, 640 taxa",https://doi.org/10.3732/ajb.1000404,2011,718,https://openalex.org/W2123023543
1105,"Ecology, Evolution, Behavior and Systematics",Pearl millet genome sequence provides a resource to improve agronomic traits in arid environments,https://doi.org/10.1038/nbt.3943,2017,512,https://openalex.org/W2754456190
2713,Epidemiology,Evaluation of Convalescent Plasma for Ebola Virus Disease in Guinea,https://doi.org/10.1056/nejmoa1511812,2016,539,https://openalex.org/W2225294925
2713,Epidemiology,Diabetes in sub-Saharan Africa: from clinical care to health policy,https://doi.org/10.1016/s2213-8587(17)30181-x,2017,491,https://openalex.org/W2730331548
2713,Epidemiology,"Experimental Treatment with Favipiravir for Ebola Virus Disease (the JIKI Trial): A Historically Controlled, Single-Arm Proof-of-Concept Trial in Guinea",https://doi.org/10.1371/journal.pmed.1001967,2016,475,https://openalex.org/W2296414617
3312,Sociology and Political Science,The ontogeny of fairness in seven societies,https://doi.org/10.1038/nature15703,2015,497,https://openalex.org/W2177707862
3312,Sociology and Political Science,"Male sex workers: practices, contexts, and vulnerabilities for HIV acquisition and transmission",https://doi.org/10.1016/s0140-6736(14)60801-1,2014,301,https://openalex.org/W2116315326
3312,Sociology and Political Science,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,https://doi.org/10.1371/journal.pmed.1002422,2017,178,https://openalex.org/W2767864532
1110,Plant Science,Soil nematode abundance and functional group composition at a global scale,https://doi.org/10.1038/s41586-019-1418-6,2019,1076,https://openalex.org/W2963407560
1110,Plant Science,Global assessment of arbuscular mycorrhizal fungus diversity reveals very low endemism,https://doi.org/10.1126/science.aab1161,2015,762,https://openalex.org/W2120554124
1110,Plant Science,New Insights on Plant Salt Tolerance Mechanisms and Their Potential Use for Breeding,https://doi.org/10.3389/fpls.2016.01787,2016,702,https://openalex.org/W2559626869
2746,Surgery,Investigation of the risk factors for tuberculosis: a case–control study in three countries in West Africa,https://doi.org/10.1093/ije/dyi100,2005,265,https://openalex.org/W2166764837
2746,Surgery,Pregnancy in women with heart disease in sub-Saharan Africa,https://doi.org/10.1016/j.acvd.2011.04.001,2011,153,https://openalex.org/W2094293351
2746,Surgery,The role of older women in contesting norms associated with female genital mutilation/cutting in Senegambia: A factorial focus group analysis,https://doi.org/10.1371/journal.pone.0199217,2018,129,https://openalex.org/W2883297874
2306,Global and Planetary Change,Determinants of woody cover in African savannas,https://doi.org/10.1038/nature04070,2005,1869,https://openalex.org/W2104968988
2306,Global and Planetary Change,Greenness in semi-arid areas across the globe 1981–2007 — an Earth Observing Satellite based analysis of trends and drivers,https://doi.org/10.1016/j.rse.2012.01.017,2012,761,https://openalex.org/W2151454884
2306,Global and Planetary Change,The global distribution of tetrapods reveals a need for targeted reptile conservation,https://doi.org/10.1038/s41559-017-0332-2,2017,607,https://openalex.org/W2761120655
2303,Ecology,"Real-time, portable genome sequencing for Ebola surveillance",https://doi.org/10.1038/nature16996,2016,1489,https://openalex.org/W2259815689
2303,Ecology,Greenness in semi-arid areas across the globe 1981–2007 — an Earth Observing Satellite based analysis of trends and drivers,https://doi.org/10.1016/j.rse.2012.01.017,2012,761,https://openalex.org/W2151454884
2303,Ecology,The global distribution of tetrapods reveals a need for targeted reptile conservation,https://doi.org/10.1038/s41559-017-0332-2,2017,607,https://openalex.org/W2761120655
3600,General Health Professions,Accelerate progress—sexual and reproductive health and rights for all: report of the Guttmacher– Lancet Commission,https://doi.org/10.1016/s0140-6736(18)30293-9,2018,1354,https://openalex.org/W2800541910
3600,General Health Professions,Retention in care under universal antiretroviral therapy for HIV-infected pregnant and breastfeeding women (‘Option B+’) in Malawi,https://doi.org/10.1097/qad.0000000000000143,2014,368,https://openalex.org/W2039836366
3600,General Health Professions,Every Newborn: health-systems bottlenecks and strategies to accelerate scale-up in countries,https://doi.org/10.1016/s0140-6736(14)60582-1,2014,349,https://openalex.org/W2152914993
