year,id,name,works_count,country,fetch_date
2005,2705,Cardiology and Cardiovascular Medicine,1,SO,2025-12-03 12:46:52
2005,2737,Physiology,1,SO,2025-12-03 12:46:52
2005,2746,Surgery,1,SO,2025-12-03 12:46:52
2005,3312,Sociology and Political Science,1,SO,2025-12-03 12:46:52
2005,3320,Political Science and International Relations,1,SO,2025-12-03 12:46:52
2006,2703,Anesthesiology and Pain Medicine,1,SO,2025-12-03 12:46:52
2006,2746,Surgery,1,SO,2025-12-03 12:46:52
2006,3203,Clinical Psychology,1,SO,2025-12-03 12:46:52
2006,3404,Small Animals,1,SO,2025-12-03 12:46:52
2006,3600,General Health Professions,1,SO,2025-12-03 12:46:52
2007,1802,Information Systems and Management,2,SO,2025-12-03 12:46:52
2007,3312,Sociology and Political Science,2,SO,2025-12-03 12:46:52
2007,3320,Political Science and International Relations,2,SO,2025-12-03 12:46:52
2007,2739,"Public Health, Environmental and Occupational Health",1,SO,2025-12-03 12:46:52
2007,3203,Clinical Psychology,1,SO,2025-12-03 12:46:52
2007,3304,Education,1,SO,2025-12-03 12:46:52
2008,3320,Political Science and International Relations,3,SO,2025-12-03 12:46:52
2008,1802,Information Systems and Management,2,SO,2025-12-03 12:46:52
2008,2725,Infectious Diseases,2,SO,2025-12-03 12:46:52
2008,2739,"Public Health, Environmental and Occupational Health",1,SO,2025-12-03 12:46:52
2008,2746,Surgery,1,SO,2025-12-03 12:46:52
2008,2805,Cognitive Neuroscience,1,SO,2025-12-03 12:46:52
2008,3600,General Health Professions,1,SO,2025-12-03 12:46:52
2009,3312,Sociology and Political Science,2,SO,2025-12-03 12:46:52
2009,1208,Literature and Literary Theory,1,SO,2025-12-03 12:46:52
2009,1212,Religious studies,1,SO,2025-12-03 12:46:52
2009,2735,"Pediatrics, Perinatology and Child Health",1,SO,2025-12-03 12:46:52
2009,3304,Education,1,SO,2025-12-03 12:46:52
2010,3312,Sociology and Political Science,5,SO,2025-12-03 12:46:52
2010,1211,Philosophy,4,SO,2025-12-03 12:46:52
2010,3600,General Health Professions,3,SO,2025-12-03 12:46:52
2010,1208,Literature and Literary Theory,1,SO,2025-12-03 12:46:52
2010,1705,Computer Networks and Communications,1,SO,2025-12-03 12:46:52
2010,2305,Environmental Engineering,1,SO,2025-12-03 12:46:52
2010,2725,Infectious Diseases,1,SO,2025-12-03 12:46:52
2010,2739,"Public Health, Environmental and Occupational Health",1,SO,2025-12-03 12:46:52
2010,3207,Social Psychology,1,SO,2025-12-03 12:46:52
2010,3304,Education,1,SO,2025-12-03 12:46:52
2010,3315,Communication,1,SO,2025-12-03 12:46:52
2010,3318,Gender Studies,1,SO,2025-12-03 12:46:52
2010,3604,Emergency Medical Services,1,SO,2025-12-03 12:46:52
2011,2308,"Management, Monitoring, Policy and Law",2,SO,2025-12-03 12:46:52
2011,3304,Education,2,SO,2025-12-03 12:46:52
2011,3312,Sociology and Political Science,2,SO,2025-12-03 12:46:52
2011,3320,Political Science and International Relations,2,SO,2025-12-03 12:46:52
2011,1208,Literature and Literary Theory,1,SO,2025-12-03 12:46:52
2011,1802,Information Systems and Management,1,SO,2025-12-03 12:46:52
2011,2735,"Pediatrics, Perinatology and Child Health",1,SO,2025-12-03 12:46:52
2011,2740,Pulmonary and Respiratory Medicine,1,SO,2025-12-03 12:46:52
2011,2741,"Radiology, Nuclear Medicine and Imaging",1,SO,2025-12-03 12:46:52
2011,2746,Surgery,1,SO,2025-12-03 12:46:52
2011,3600,General Health Professions,1,SO,2025-12-03 12:46:52
2012,3312,Sociology and Political Science,4,SO,2025-12-03 12:46:52
2012,3600,General Health Professions,3,SO,2025-12-03 12:46:52
2012,1211,Philosophy,2,SO,2025-12-03 12:46:52
2012,2713,Epidemiology,2,SO,2025-12-03 12:46:52
2012,2725,Infectious Diseases,2,SO,2025-12-03 12:46:52
2012,2739,"Public Health, Environmental and Occupational Health",2,SO,2025-12-03 12:46:52
2012,3304,Education,2,SO,2025-12-03 12:46:52
2012,3320,Political Science and International Relations,2,SO,2025-12-03 12:46:52
2012,1202,History,1,SO,2025-12-03 12:46:52
2012,1405,Management of Technology and Innovation,1,SO,2025-12-03 12:46:52
2012,1705,Computer Networks and Communications,1,SO,2025-12-03 12:46:52
2012,2002,Economics and Econometrics,1,SO,2025-12-03 12:46:52
2012,2402,Applied Microbiology and Biotechnology,1,SO,2025-12-03 12:46:52
2012,2711,Emergency Medicine,1,SO,2025-12-03 12:46:52
2012,2735,"Pediatrics, Perinatology and Child Health",1,SO,2025-12-03 12:46:52
2012,2737,Physiology,1,SO,2025-12-03 12:46:52
2012,2746,Surgery,1,SO,2025-12-03 12:46:52
2012,2916,Nutrition and Dietetics,1,SO,2025-12-03 12:46:52
2012,3315,Communication,1,SO,2025-12-03 12:46:52
2013,3312,Sociology and Political Science,9,SO,2025-12-03 12:46:52
2013,3304,Education,6,SO,2025-12-03 12:46:52
2013,2739,"Public Health, Environmental and Occupational Health",3,SO,2025-12-03 12:46:52
2013,3317,Demography,3,SO,2025-12-03 12:46:52
2013,1211,Philosophy,2,SO,2025-12-03 12:46:52
2013,1802,Information Systems and Management,2,SO,2025-12-03 12:46:52
2013,2713,Epidemiology,2,SO,2025-12-03 12:46:52
2013,2725,Infectious Diseases,2,SO,2025-12-03 12:46:52
2013,2746,Surgery,2,SO,2025-12-03 12:46:52
2013,3306,Health,2,SO,2025-12-03 12:46:52
2013,3315,Communication,2,SO,2025-12-03 12:46:52
2013,3320,Political Science and International Relations,2,SO,2025-12-03 12:46:52
2013,3600,General Health Professions,2,SO,2025-12-03 12:46:52
2013,1105,"Ecology, Evolution, Behavior and Systematics",1,SO,2025-12-03 12:46:52
2013,1202,History,1,SO,2025-12-03 12:46:52
2013,1212,Religious studies,1,SO,2025-12-03 12:46:52
2013,1311,Genetics,1,SO,2025-12-03 12:46:52
2013,2308,"Management, Monitoring, Policy and Law",1,SO,2025-12-03 12:46:52
2013,2405,Parasitology,1,SO,2025-12-03 12:46:52
2013,2611,Modeling and Simulation,1,SO,2025-12-03 12:46:52
2013,2735,"Pediatrics, Perinatology and Child Health",1,SO,2025-12-03 12:46:52
2013,2736,Pharmacology,1,SO,2025-12-03 12:46:52
