year,id,name,works_count,country,fetch_date
2005,1107,Forestry,1,SR,2025-12-01 19:12:51
2005,1108,Horticulture,1,SR,2025-12-01 19:12:51
2005,1110,Plant Science,1,SR,2025-12-01 19:12:51
2005,2739,"Public Health, Environmental and Occupational Health",1,SR,2025-12-01 19:12:51
2006,2306,Global and Planetary Change,4,SR,2025-12-01 19:12:51
2006,1902,Atmospheric Science,3,SR,2025-12-01 19:12:51
2006,1910,Oceanography,3,SR,2025-12-01 19:12:51
2006,1110,Plant Science,2,SR,2025-12-01 19:12:51
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,SR,2025-12-01 19:12:51
2006,1109,Insect Science,1,SR,2025-12-01 19:12:51
2006,1407,Organizational Behavior and Human Resource Management,1,SR,2025-12-01 19:12:51
2006,2307,"Health, Toxicology and Mutagenesis",1,SR,2025-12-01 19:12:51
2006,2713,Epidemiology,1,SR,2025-12-01 19:12:51
2006,2736,Pharmacology,1,SR,2025-12-01 19:12:51
2006,3304,Education,1,SR,2025-12-01 19:12:51
2006,3600,General Health Professions,1,SR,2025-12-01 19:12:51
2007,2306,Global and Planetary Change,3,SR,2025-12-01 19:12:51
2007,1110,Plant Science,2,SR,2025-12-01 19:12:51
2007,1902,Atmospheric Science,2,SR,2025-12-01 19:12:51
2007,2713,Epidemiology,2,SR,2025-12-01 19:12:51
2007,1107,Forestry,1,SR,2025-12-01 19:12:51
2007,1109,Insect Science,1,SR,2025-12-01 19:12:51
2007,1312,Molecular Biology,1,SR,2025-12-01 19:12:51
2007,1910,Oceanography,1,SR,2025-12-01 19:12:51
2007,2303,Ecology,1,SR,2025-12-01 19:12:51
2007,2312,Water Science and Technology,1,SR,2025-12-01 19:12:51
2007,2405,Parasitology,1,SR,2025-12-01 19:12:51
2007,2725,Infectious Diseases,1,SR,2025-12-01 19:12:51
2007,2729,Obstetrics and Gynecology,1,SR,2025-12-01 19:12:51
2007,2730,Oncology,1,SR,2025-12-01 19:12:51
2007,2743,Reproductive Medicine,1,SR,2025-12-01 19:12:51
2008,2713,Epidemiology,3,SR,2025-12-01 19:12:51
2008,2739,"Public Health, Environmental and Occupational Health",2,SR,2025-12-01 19:12:51
2008,2725,Infectious Diseases,1,SR,2025-12-01 19:12:51
2008,2730,Oncology,1,SR,2025-12-01 19:12:51
2009,1110,Plant Science,1,SR,2025-12-01 19:12:51
2009,2303,Ecology,1,SR,2025-12-01 19:12:51
2009,2705,Cardiology and Cardiovascular Medicine,1,SR,2025-12-01 19:12:51
2009,2713,Epidemiology,1,SR,2025-12-01 19:12:51
2009,2731,Ophthalmology,1,SR,2025-12-01 19:12:51
2009,2739,"Public Health, Environmental and Occupational Health",1,SR,2025-12-01 19:12:51
2009,2741,"Radiology, Nuclear Medicine and Imaging",1,SR,2025-12-01 19:12:51
2009,2916,Nutrition and Dietetics,1,SR,2025-12-01 19:12:51
2010,3312,Sociology and Political Science,2,SR,2025-12-01 19:12:51
2010,2713,Epidemiology,1,SR,2025-12-01 19:12:51
2010,2725,Infectious Diseases,1,SR,2025-12-01 19:12:51
2010,3314,Anthropology,1,SR,2025-12-01 19:12:51
2011,3312,Sociology and Political Science,3,SR,2025-12-01 19:12:51
2011,2739,"Public Health, Environmental and Occupational Health",2,SR,2025-12-01 19:12:51
2011,3203,Clinical Psychology,2,SR,2025-12-01 19:12:51
2011,3306,Health,2,SR,2025-12-01 19:12:51
2011,1311,Genetics,1,SR,2025-12-01 19:12:51
2011,2000,"General Economics, Econometrics and Finance",1,SR,2025-12-01 19:12:51
2011,2002,Economics and Econometrics,1,SR,2025-12-01 19:12:51
2011,2302,Ecological Modeling,1,SR,2025-12-01 19:12:51
2011,2306,Global and Planetary Change,1,SR,2025-12-01 19:12:51
2011,2309,Nature and Landscape Conservation,1,SR,2025-12-01 19:12:51
2011,2405,Parasitology,1,SR,2025-12-01 19:12:51
2011,2725,Infectious Diseases,1,SR,2025-12-01 19:12:51
2011,2727,Nephrology,1,SR,2025-12-01 19:12:51
2011,2746,Surgery,1,SR,2025-12-01 19:12:51
2011,2916,Nutrition and Dietetics,1,SR,2025-12-01 19:12:51
2011,3303,Development,1,SR,2025-12-01 19:12:51
2011,3322,Urban Studies,1,SR,2025-12-01 19:12:51
2011,3600,General Health Professions,1,SR,2025-12-01 19:12:51
2012,1110,Plant Science,6,SR,2025-12-01 19:12:51
2012,2713,Epidemiology,4,SR,2025-12-01 19:12:51
2012,2739,"Public Health, Environmental and Occupational Health",4,SR,2025-12-01 19:12:51
2012,2002,Economics and Econometrics,3,SR,2025-12-01 19:12:51
2012,2306,Global and Planetary Change,3,SR,2025-12-01 19:12:51
2012,1305,Biotechnology,2,SR,2025-12-01 19:12:51
2012,1307,Cell Biology,2,SR,2025-12-01 19:12:51
2012,1312,Molecular Biology,2,SR,2025-12-01 19:12:51
2012,2303,Ecology,2,SR,2025-12-01 19:12:51
2012,2405,Parasitology,2,SR,2025-12-01 19:12:51
2012,2716,Genetics,2,SR,2025-12-01 19:12:51
2012,2725,Infectious Diseases,2,SR,2025-12-01 19:12:51
2012,1102,Agronomy and Crop Science,1,SR,2025-12-01 19:12:51
2012,1105,"Ecology, Evolution, Behavior and Systematics",1,SR,2025-12-01 19:12:51
2012,1308,Clinical Biochemistry,1,SR,2025-12-01 19:12:51
2012,2307,"Health, Toxicology and Mutagenesis",1,SR,2025-12-01 19:12:51
2012,2308,"Management, Monitoring, Policy and Law",1,SR,2025-12-01 19:12:51
2012,2312,Water Science and Technology,1,SR,2025-12-01 19:12:51
2012,2404,Microbiology,1,SR,2025-12-01 19:12:51
2012,2406,Virology,1,SR,2025-12-01 19:12:51
2012,2611,Modeling and Simulation,1,SR,2025-12-01 19:12:51
2012,2728,Neurology,1,SR,2025-12-01 19:12:51
2012,2731,Ophthalmology,1,SR,2025-12-01 19:12:51
2012,2735,"Pediatrics, Perinatology and Child Health",1,SR,2025-12-01 19:12:51
2012,2737,Physiology,1,SR,2025-12-01 19:12:51
2012,2804,Cellular and Molecular Neuroscience,1,SR,2025-12-01 19:12:51
2012,3004,Pharmacology,1,SR,2025-12-01 19:12:51
2013,2713,Epidemiology,8,SR,2025-12-01 19:12:51
2013,2739,"Public Health, Environmental and Occupational Health",6,SR,2025-12-01 19:12:51
2013,2303,Ecology,3,SR,2025-12-01 19:12:51
2013,2306,Global and Planetary Change,3,SR,2025-12-01 19:12:51
2013,2404,Microbiology,2,SR,2025-12-01 19:12:51
