year,id,name,works_count,country,fetch_date
2005,3312,Sociology and Political Science,44,SV,2025-12-01 19:04:29
2005,3320,Political Science and International Relations,23,SV,2025-12-01 19:04:29
2005,3300,General Social Sciences,21,SV,2025-12-01 19:04:29
2005,3311,Safety Research,8,SV,2025-12-01 19:04:29
2005,3304,Education,7,SV,2025-12-01 19:04:29
2005,3308,Law,7,SV,2025-12-01 19:04:29
2005,2739,"Public Health, Environmental and Occupational Health",5,SV,2025-12-01 19:04:29
2005,3316,Cultural Studies,4,SV,2025-12-01 19:04:29
2005,3317,Demography,4,SV,2025-12-01 19:04:29
2005,2002,Economics and Econometrics,3,SV,2025-12-01 19:04:29
2005,3600,General Health Professions,3,SV,2025-12-01 19:04:29
2005,1202,History,2,SV,2025-12-01 19:04:29
2005,1208,Literature and Literary Theory,2,SV,2025-12-01 19:04:29
2005,1211,Philosophy,2,SV,2025-12-01 19:04:29
2005,2735,"Pediatrics, Perinatology and Child Health",2,SV,2025-12-01 19:04:29
2005,3303,Development,2,SV,2025-12-01 19:04:29
2005,3305,"Geography, Planning and Development",2,SV,2025-12-01 19:04:29
2005,3322,Urban Studies,2,SV,2025-12-01 19:04:29
2005,1100,General Agricultural and Biological Sciences,1,SV,2025-12-01 19:04:29
2005,1106,Food Science,1,SV,2025-12-01 19:04:29
2005,1407,Organizational Behavior and Human Resource Management,1,SV,2025-12-01 19:04:29
2005,1710,Information Systems,1,SV,2025-12-01 19:04:29
2005,2000,"General Economics, Econometrics and Finance",1,SV,2025-12-01 19:04:29
2005,2308,"Management, Monitoring, Policy and Law",1,SV,2025-12-01 19:04:29
2005,2405,Parasitology,1,SV,2025-12-01 19:04:29
2005,2713,Epidemiology,1,SV,2025-12-01 19:04:29
2005,2720,Hematology,1,SV,2025-12-01 19:04:29
2005,2725,Infectious Diseases,1,SV,2025-12-01 19:04:29
2005,2730,Oncology,1,SV,2025-12-01 19:04:29
2005,3203,Clinical Psychology,1,SV,2025-12-01 19:04:29
2005,3205,Experimental and Cognitive Psychology,1,SV,2025-12-01 19:04:29
2005,3310,Linguistics and Language,1,SV,2025-12-01 19:04:29
2005,3314,Anthropology,1,SV,2025-12-01 19:04:29
2005,3315,Communication,1,SV,2025-12-01 19:04:29
2005,3318,Gender Studies,1,SV,2025-12-01 19:04:29
2005,3604,Emergency Medical Services,1,SV,2025-12-01 19:04:29
2005,3607,Medical Laboratory Technology,1,SV,2025-12-01 19:04:29
2005,3609,Occupational Therapy,1,SV,2025-12-01 19:04:29
2006,3320,Political Science and International Relations,31,SV,2025-12-01 19:04:29
2006,3312,Sociology and Political Science,22,SV,2025-12-01 19:04:29
2006,3304,Education,13,SV,2025-12-01 19:04:29
2006,3308,Law,11,SV,2025-12-01 19:04:29
2006,3311,Safety Research,9,SV,2025-12-01 19:04:29
