subfield_id,subfield_name,title,doi,year,cited_by_count,id
1110,Plant Science,A critical review on intelligent and active packaging in the food industry: Research and development,https://doi.org/10.1016/j.foodres.2021.110113,2021,492,https://openalex.org/W3121030829
1110,Plant Science,Evaluation of Chlorophyll Content and Fluorescence Parameters as Indicators of Drought Tolerance in Barley,https://doi.org/10.1016/s1671-2927(06)60120-x,2006,465,https://openalex.org/W1975485061
1110,Plant Science,"Mosses of the Mediterranean, an Annotated Checklist",https://doi.org/10.7872/cryb.v34.iss2.2013.99,2013,421,https://openalex.org/W2152308249
1110,Plant Science,Differentially expressed genes between drought-tolerant and drought-sensitive barley genotypes in response to drought stress during the reproductive stage,https://doi.org/10.1093/jxb/erp194,2009,403,https://openalex.org/W2125921267
1110,Plant Science,Plant breeding and climate changes,https://doi.org/10.1017/s0021859610000651,2010,381,https://openalex.org/W2154271865
1110,Plant Science,"Comparative assessment of EST-SSR, EST-SNP and AFLP markers for evaluation of genetic diversity and conservation of genetic resources using wild, cultivated and elite barleys",https://doi.org/10.1016/j.plantsci.2007.08.010,2007,370,https://openalex.org/W2151865660
1110,Plant Science,Quantitative Trait Loci for Grain Yield and Adaptation of Durum Wheat (<i>Triticum durum</i> Desf.) Across a Wide Range of Water Availability,https://doi.org/10.1534/genetics.107.077297,2008,369,https://openalex.org/W2026687950
1110,Plant Science,Characterization of Seedling Infection Types and Adult Plant Infection Responses of Monogenic <i>Sr</i> Gene Lines to Race TTKS of <i>Puccinia graminis</i> f. sp. <i>tritici</i>,https://doi.org/10.1094/pdis-91-9-1096,2007,308,https://openalex.org/W2010608163
1110,Plant Science,Selection of candidate coding DNA barcoding regions for use on land plants,https://doi.org/10.1111/j.1095-8339.2008.00938.x,2009,304,https://openalex.org/W1968979024
1110,Plant Science,Decentralized-participatory plant breeding: an example of demand driven research,https://doi.org/10.1007/s10681-006-9336-8,2006,296,https://openalex.org/W2104250447
2746,Surgery,Screening programmes for the early detection and prevention of oral cancer,https://doi.org/10.1002/14651858.cd004150.pub4,2013,451,https://openalex.org/W2611901831
