year,id,name,works_count,country,fetch_date
2005,1105,"Ecology, Evolution, Behavior and Systematics",6,TD,2025-12-01 19:10:14
2005,2725,Infectious Diseases,3,TD,2025-12-01 19:10:14
2005,2739,"Public Health, Environmental and Occupational Health",3,TD,2025-12-01 19:10:14
2005,1911,Paleontology,2,TD,2025-12-01 19:10:14
2005,2713,Epidemiology,2,TD,2025-12-01 19:10:14
2005,1102,Agronomy and Crop Science,1,TD,2025-12-01 19:10:14
2005,1103,Animal Science and Zoology,1,TD,2025-12-01 19:10:14
2005,1106,Food Science,1,TD,2025-12-01 19:10:14
2005,1311,Genetics,1,TD,2025-12-01 19:10:14
2005,1313,Molecular Medicine,1,TD,2025-12-01 19:10:14
2005,2208,Electrical and Electronic Engineering,1,TD,2025-12-01 19:10:14
2005,2210,Mechanical Engineering,1,TD,2025-12-01 19:10:14
2005,2303,Ecology,1,TD,2025-12-01 19:10:14
2005,2308,"Management, Monitoring, Policy and Law",1,TD,2025-12-01 19:10:14
2005,2404,Microbiology,1,TD,2025-12-01 19:10:14
2005,2504,"Electronic, Optical and Magnetic Materials",1,TD,2025-12-01 19:10:14
2005,3004,Pharmacology,1,TD,2025-12-01 19:10:14
2005,3314,Anthropology,1,TD,2025-12-01 19:10:14
2005,3600,General Health Professions,1,TD,2025-12-01 19:10:14
2006,1105,"Ecology, Evolution, Behavior and Systematics",4,TD,2025-12-01 19:10:14
2006,2713,Epidemiology,3,TD,2025-12-01 19:10:14
2006,2725,Infectious Diseases,3,TD,2025-12-01 19:10:14
2006,1106,Food Science,2,TD,2025-12-01 19:10:14
2006,1110,Plant Science,2,TD,2025-12-01 19:10:14
2006,1911,Paleontology,2,TD,2025-12-01 19:10:14
2006,2746,Surgery,2,TD,2025-12-01 19:10:14
2006,1103,Animal Science and Zoology,1,TD,2025-12-01 19:10:14
2006,1107,Forestry,1,TD,2025-12-01 19:10:14
2006,1109,Insect Science,1,TD,2025-12-01 19:10:14
2006,1311,Genetics,1,TD,2025-12-01 19:10:14
2006,2211,Mechanics of Materials,1,TD,2025-12-01 19:10:14
2006,2303,Ecology,1,TD,2025-12-01 19:10:14
2006,2739,"Public Health, Environmental and Occupational Health",1,TD,2025-12-01 19:10:14
2006,3312,Sociology and Political Science,1,TD,2025-12-01 19:10:14
2006,3404,Small Animals,1,TD,2025-12-01 19:10:14
2007,1105,"Ecology, Evolution, Behavior and Systematics",4,TD,2025-12-01 19:10:14
2007,1106,Food Science,3,TD,2025-12-01 19:10:14
2007,1107,Forestry,3,TD,2025-12-01 19:10:14
2007,2725,Infectious Diseases,3,TD,2025-12-01 19:10:14
2007,3306,Health,3,TD,2025-12-01 19:10:14
2007,2916,Nutrition and Dietetics,2,TD,2025-12-01 19:10:14
2007,1110,Plant Science,1,TD,2025-12-01 19:10:14
2007,1911,Paleontology,1,TD,2025-12-01 19:10:14
2007,2303,Ecology,1,TD,2025-12-01 19:10:14
2007,2308,"Management, Monitoring, Policy and Law",1,TD,2025-12-01 19:10:14
2007,2611,Modeling and Simulation,1,TD,2025-12-01 19:10:14
2007,2739,"Public Health, Environmental and Occupational Health",1,TD,2025-12-01 19:10:14
2008,1105,"Ecology, Evolution, Behavior and Systematics",4,TD,2025-12-01 19:10:14
2008,2739,"Public Health, Environmental and Occupational Health",3,TD,2025-12-01 19:10:14
2008,1107,Forestry,2,TD,2025-12-01 19:10:14
2008,1312,Molecular Biology,2,TD,2025-12-01 19:10:14
2008,1911,Paleontology,2,TD,2025-12-01 19:10:14
2008,2713,Epidemiology,2,TD,2025-12-01 19:10:14
2008,3314,Anthropology,2,TD,2025-12-01 19:10:14
2008,1110,Plant Science,1,TD,2025-12-01 19:10:14
2008,2404,Microbiology,1,TD,2025-12-01 19:10:14
2008,2406,Virology,1,TD,2025-12-01 19:10:14
2008,2725,Infectious Diseases,1,TD,2025-12-01 19:10:14
2008,3306,Health,1,TD,2025-12-01 19:10:14
2009,1105,"Ecology, Evolution, Behavior and Systematics",10,TD,2025-12-01 19:10:14
2009,2713,Epidemiology,7,TD,2025-12-01 19:10:14
2009,2725,Infectious Diseases,6,TD,2025-12-01 19:10:14
2009,1107,Forestry,5,TD,2025-12-01 19:10:14
2009,2739,"Public Health, Environmental and Occupational Health",4,TD,2025-12-01 19:10:14
2009,1312,Molecular Biology,3,TD,2025-12-01 19:10:14
2009,2404,Microbiology,3,TD,2025-12-01 19:10:14
2009,2406,Virology,3,TD,2025-12-01 19:10:14
2009,1106,Food Science,2,TD,2025-12-01 19:10:14
2009,2204,Biomedical Engineering,2,TD,2025-12-01 19:10:14
2009,2308,"Management, Monitoring, Policy and Law",2,TD,2025-12-01 19:10:14
2009,1100,General Agricultural and Biological Sciences,1,TD,2025-12-01 19:10:14
2009,1103,Animal Science and Zoology,1,TD,2025-12-01 19:10:14
2009,1110,Plant Science,1,TD,2025-12-01 19:10:14
2009,1311,Genetics,1,TD,2025-12-01 19:10:14
2009,1605,Organic Chemistry,1,TD,2025-12-01 19:10:14
2009,1911,Paleontology,1,TD,2025-12-01 19:10:14
2009,2208,Electrical and Electronic Engineering,1,TD,2025-12-01 19:10:14
2009,2303,Ecology,1,TD,2025-12-01 19:10:14
2009,2737,Physiology,1,TD,2025-12-01 19:10:14
2009,2916,Nutrition and Dietetics,1,TD,2025-12-01 19:10:14
2009,3312,Sociology and Political Science,1,TD,2025-12-01 19:10:14
2009,3314,Anthropology,1,TD,2025-12-01 19:10:14
2009,3404,Small Animals,1,TD,2025-12-01 19:10:14
2009,3600,General Health Professions,1,TD,2025-12-01 19:10:14
2010,1105,"Ecology, Evolution, Behavior and Systematics",6,TD,2025-12-01 19:10:14
2010,2739,"Public Health, Environmental and Occupational Health",3,TD,2025-12-01 19:10:14
2010,1106,Food Science,2,TD,2025-12-01 19:10:14
2010,2713,Epidemiology,2,TD,2025-12-01 19:10:14
2010,2725,Infectious Diseases,2,TD,2025-12-01 19:10:14
2010,1102,Agronomy and Crop Science,1,TD,2025-12-01 19:10:14
2010,1103,Animal Science and Zoology,1,TD,2025-12-01 19:10:14
2010,1107,Forestry,1,TD,2025-12-01 19:10:14
2010,1206,Conservation,1,TD,2025-12-01 19:10:14
2010,1911,Paleontology,1,TD,2025-12-01 19:10:14
2010,2213,"Safety, Risk, Reliability and Quality",1,TD,2025-12-01 19:10:14
2010,2303,Ecology,1,TD,2025-12-01 19:10:14
2010,2721,Hepatology,1,TD,2025-12-01 19:10:14
2010,2737,Physiology,1,TD,2025-12-01 19:10:14
2010,2738,Psychiatry and Mental health,1,TD,2025-12-01 19:10:14
2010,2916,Nutrition and Dietetics,1,TD,2025-12-01 19:10:14
2010,3313,Transportation,1,TD,2025-12-01 19:10:14
2010,3314,Anthropology,1,TD,2025-12-01 19:10:14
2010,3600,General Health Professions,1,TD,2025-12-01 19:10:14
2011,1105,"Ecology, Evolution, Behavior and Systematics",5,TD,2025-12-01 19:10:14
2011,2725,Infectious Diseases,4,TD,2025-12-01 19:10:14
2011,2735,"Pediatrics, Perinatology and Child Health",4,TD,2025-12-01 19:10:14
2011,2739,"Public Health, Environmental and Occupational Health",4,TD,2025-12-01 19:10:14
2011,1107,Forestry,3,TD,2025-12-01 19:10:14
2011,1110,Plant Science,3,TD,2025-12-01 19:10:14
2011,2713,Epidemiology,3,TD,2025-12-01 19:10:14
2011,2916,Nutrition and Dietetics,3,TD,2025-12-01 19:10:14
2011,2405,Parasitology,2,TD,2025-12-01 19:10:14
2011,3600,General Health Professions,2,TD,2025-12-01 19:10:14
2011,1102,Agronomy and Crop Science,1,TD,2025-12-01 19:10:14
2011,1310,Endocrinology,1,TD,2025-12-01 19:10:14
2011,1312,Molecular Biology,1,TD,2025-12-01 19:10:14
