year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,9,TG,2025-12-03 12:42:58
2005,2725,Infectious Diseases,6,TG,2025-12-03 12:42:58
2005,1107,Forestry,5,TG,2025-12-03 12:42:58
2005,1109,Insect Science,5,TG,2025-12-03 12:42:58
2005,3312,Sociology and Political Science,5,TG,2025-12-03 12:42:58
2005,1105,"Ecology, Evolution, Behavior and Systematics",3,TG,2025-12-03 12:42:58
2005,2405,Parasitology,3,TG,2025-12-03 12:42:58
2005,2713,Epidemiology,3,TG,2025-12-03 12:42:58
2005,1102,Agronomy and Crop Science,2,TG,2025-12-03 12:42:58
2005,1111,Soil Science,2,TG,2025-12-03 12:42:58
2005,1311,Genetics,2,TG,2025-12-03 12:42:58
2005,1312,Molecular Biology,2,TG,2025-12-03 12:42:58
2005,2711,Emergency Medicine,2,TG,2025-12-03 12:42:58
2005,2739,"Public Health, Environmental and Occupational Health",2,TG,2025-12-03 12:42:58
2005,1108,Horticulture,1,TG,2025-12-03 12:42:58
2005,2303,Ecology,1,TG,2025-12-03 12:42:58
2005,2307,"Health, Toxicology and Mutagenesis",1,TG,2025-12-03 12:42:58
2005,2404,Microbiology,1,TG,2025-12-03 12:42:58
2005,2708,Dermatology,1,TG,2025-12-03 12:42:58
2005,2720,Hematology,1,TG,2025-12-03 12:42:58
2005,2721,Hepatology,1,TG,2025-12-03 12:42:58
2005,2734,Pathology and Forensic Medicine,1,TG,2025-12-03 12:42:58
2005,2735,"Pediatrics, Perinatology and Child Health",1,TG,2025-12-03 12:42:58
2005,2740,Pulmonary and Respiratory Medicine,1,TG,2025-12-03 12:42:58
2005,2745,Rheumatology,1,TG,2025-12-03 12:42:58
2005,2746,Surgery,1,TG,2025-12-03 12:42:58
2005,3207,Social Psychology,1,TG,2025-12-03 12:42:58
2005,3306,Health,1,TG,2025-12-03 12:42:58
2005,3600,General Health Professions,1,TG,2025-12-03 12:42:58
2005,3604,Emergency Medical Services,1,TG,2025-12-03 12:42:58
2006,1105,"Ecology, Evolution, Behavior and Systematics",8,TG,2025-12-03 12:42:58
2006,3312,Sociology and Political Science,7,TG,2025-12-03 12:42:58
2006,1107,Forestry,6,TG,2025-12-03 12:42:58
2006,1110,Plant Science,6,TG,2025-12-03 12:42:58
2006,2713,Epidemiology,6,TG,2025-12-03 12:42:58
2006,2739,"Public Health, Environmental and Occupational Health",6,TG,2025-12-03 12:42:58
2006,2746,Surgery,5,TG,2025-12-03 12:42:58
2006,1102,Agronomy and Crop Science,4,TG,2025-12-03 12:42:58
2006,1111,Soil Science,4,TG,2025-12-03 12:42:58
2006,2725,Infectious Diseases,4,TG,2025-12-03 12:42:58
2006,3600,General Health Professions,4,TG,2025-12-03 12:42:58
2006,2735,"Pediatrics, Perinatology and Child Health",3,TG,2025-12-03 12:42:58
2006,2304,Environmental Chemistry,2,TG,2025-12-03 12:42:58
2006,2705,Cardiology and Cardiovascular Medicine,2,TG,2025-12-03 12:42:58
2006,2734,Pathology and Forensic Medicine,2,TG,2025-12-03 12:42:58
2006,2745,Rheumatology,2,TG,2025-12-03 12:42:58
2006,2916,Nutrition and Dietetics,2,TG,2025-12-03 12:42:58
2006,1109,Insect Science,1,TG,2025-12-03 12:42:58
2006,1311,Genetics,1,TG,2025-12-03 12:42:58
2006,1312,Molecular Biology,1,TG,2025-12-03 12:42:58
2006,2002,Economics and Econometrics,1,TG,2025-12-03 12:42:58
2006,2307,"Health, Toxicology and Mutagenesis",1,TG,2025-12-03 12:42:58
2006,2404,Microbiology,1,TG,2025-12-03 12:42:58
2006,2405,Parasitology,1,TG,2025-12-03 12:42:58
2006,2406,Virology,1,TG,2025-12-03 12:42:58
2006,2703,Anesthesiology and Pain Medicine,1,TG,2025-12-03 12:42:58
2006,2708,Dermatology,1,TG,2025-12-03 12:42:58
2006,2711,Emergency Medicine,1,TG,2025-12-03 12:42:58
2006,2717,Geriatrics and Gerontology,1,TG,2025-12-03 12:42:58
2006,2730,Oncology,1,TG,2025-12-03 12:42:58
2006,2731,Ophthalmology,1,TG,2025-12-03 12:42:58
2006,2737,Physiology,1,TG,2025-12-03 12:42:58
2006,2738,Psychiatry and Mental health,1,TG,2025-12-03 12:42:58
2006,2741,"Radiology, Nuclear Medicine and Imaging",1,TG,2025-12-03 12:42:58
2006,2807,Endocrine and Autonomic Systems,1,TG,2025-12-03 12:42:58
2006,3320,Political Science and International Relations,1,TG,2025-12-03 12:42:58
2006,3404,Small Animals,1,TG,2025-12-03 12:42:58
2007,3312,Sociology and Political Science,12,TG,2025-12-03 12:42:58
2007,3600,General Health Professions,12,TG,2025-12-03 12:42:58
2007,2725,Infectious Diseases,10,TG,2025-12-03 12:42:58
2007,1105,"Ecology, Evolution, Behavior and Systematics",8,TG,2025-12-03 12:42:58
2007,2746,Surgery,8,TG,2025-12-03 12:42:58
2007,1110,Plant Science,7,TG,2025-12-03 12:42:58
2007,2713,Epidemiology,7,TG,2025-12-03 12:42:58
2007,2739,"Public Health, Environmental and Occupational Health",6,TG,2025-12-03 12:42:58
2007,1107,Forestry,5,TG,2025-12-03 12:42:58
2007,2734,Pathology and Forensic Medicine,5,TG,2025-12-03 12:42:58
2007,1106,Food Science,3,TG,2025-12-03 12:42:58
2007,2735,"Pediatrics, Perinatology and Child Health",3,TG,2025-12-03 12:42:58
2007,3306,Health,3,TG,2025-12-03 12:42:58
2007,1204,Archeology,2,TG,2025-12-03 12:42:58
2007,2405,Parasitology,2,TG,2025-12-03 12:42:58
2007,2716,Genetics,2,TG,2025-12-03 12:42:58
2007,2736,Pharmacology,2,TG,2025-12-03 12:42:58
2007,2740,Pulmonary and Respiratory Medicine,2,TG,2025-12-03 12:42:58
