year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,577,TH,2025-12-01 18:49:32
2005,2208,Electrical and Electronic Engineering,453,TH,2025-12-01 18:49:32
2005,2713,Epidemiology,409,TH,2025-12-01 18:49:32
2005,2725,Infectious Diseases,375,TH,2025-12-01 18:49:32
2005,2746,Surgery,374,TH,2025-12-01 18:49:32
2005,2739,"Public Health, Environmental and Occupational Health",345,TH,2025-12-01 18:49:32
2005,1110,Plant Science,331,TH,2025-12-01 18:49:32
2005,2204,Biomedical Engineering,272,TH,2025-12-01 18:49:32
2005,2505,Materials Chemistry,261,TH,2025-12-01 18:49:32
2005,3312,Sociology and Political Science,103,TH,2025-12-01 18:49:32
2005,2406,Virology,100,TH,2025-12-01 18:49:32
2005,2730,Oncology,99,TH,2025-12-01 18:49:32
2005,1705,Computer Networks and Communications,92,TH,2025-12-01 18:49:32
2005,2740,Pulmonary and Respiratory Medicine,92,TH,2025-12-01 18:49:32
2005,1311,Genetics,85,TH,2025-12-01 18:49:32
2005,2405,Parasitology,77,TH,2025-12-01 18:49:32
2005,2736,Pharmacology,77,TH,2025-12-01 18:49:32
2005,1106,Food Science,74,TH,2025-12-01 18:49:32
2005,2705,Cardiology and Cardiovascular Medicine,70,TH,2025-12-01 18:49:32
2005,2210,Mechanical Engineering,65,TH,2025-12-01 18:49:32
2005,2403,Immunology,62,TH,2025-12-01 18:49:32
2005,1605,Organic Chemistry,58,TH,2025-12-01 18:49:32
2005,2207,Control and Systems Engineering,54,TH,2025-12-01 18:49:32
2005,2735,"Pediatrics, Perinatology and Child Health",53,TH,2025-12-01 18:49:32
2005,2741,"Radiology, Nuclear Medicine and Imaging",53,TH,2025-12-01 18:49:32
2005,2916,Nutrition and Dietetics,52,TH,2025-12-01 18:49:32
2005,1109,Insect Science,50,TH,2025-12-01 18:49:32
2005,2745,Rheumatology,50,TH,2025-12-01 18:49:32
2005,2303,Ecology,47,TH,2025-12-01 18:49:32
