year,id,name,works_count,country,fetch_date
2005,3107,"Atomic and Molecular Physics, and Optics",33,TJ,2025-11-28 17:33:41
2005,2208,Electrical and Electronic Engineering,28,TJ,2025-11-28 17:33:41
2005,2505,Materials Chemistry,28,TJ,2025-11-28 17:33:41
2005,1312,Molecular Biology,25,TJ,2025-11-28 17:33:41
2005,2204,Biomedical Engineering,15,TJ,2025-11-28 17:33:41
2005,1605,Organic Chemistry,13,TJ,2025-11-28 17:33:41
2005,2211,Mechanics of Materials,13,TJ,2025-11-28 17:33:41
2005,3312,Sociology and Political Science,9,TJ,2025-11-28 17:33:41
2005,2504,"Electronic, Optical and Magnetic Materials",8,TJ,2025-11-28 17:33:41
2005,3320,Political Science and International Relations,8,TJ,2025-11-28 17:33:41
2005,1607,Spectroscopy,7,TJ,2025-11-28 17:33:41
2005,2206,Computational Mechanics,6,TJ,2025-11-28 17:33:41
2005,2210,Mechanical Engineering,6,TJ,2025-11-28 17:33:41
2005,3109,Statistical and Nonlinear Physics,6,TJ,2025-11-28 17:33:41
2005,1606,Physical and Theoretical Chemistry,5,TJ,2025-11-28 17:33:41
2005,2507,Polymers and Plastics,5,TJ,2025-11-28 17:33:41
2005,3103,Astronomy and Astrophysics,5,TJ,2025-11-28 17:33:41
2005,1604,Inorganic Chemistry,4,TJ,2025-11-28 17:33:41
2005,2205,Civil and Structural Engineering,4,TJ,2025-11-28 17:33:41
2005,1502,Bioengineering,3,TJ,2025-11-28 17:33:41
2005,1703,Computational Theory and Mathematics,3,TJ,2025-11-28 17:33:41
2005,2000,"General Economics, Econometrics and Finance",3,TJ,2025-11-28 17:33:41
2005,2212,Ocean Engineering,3,TJ,2025-11-28 17:33:41
2005,2610,Mathematical Physics,3,TJ,2025-11-28 17:33:41
2005,2737,Physiology,3,TJ,2025-11-28 17:33:41
2005,3104,Condensed Matter Physics,3,TJ,2025-11-28 17:33:41
2005,3106,Nuclear and High Energy Physics,3,TJ,2025-11-28 17:33:41
2005,1105,"Ecology, Evolution, Behavior and Systematics",2,TJ,2025-11-28 17:33:41
2005,1106,Food Science,2,TJ,2025-11-28 17:33:41
2005,1110,Plant Science,2,TJ,2025-11-28 17:33:41
2005,1307,Cell Biology,2,TJ,2025-11-28 17:33:41
2005,1503,Catalysis,2,TJ,2025-11-28 17:33:41
2005,1603,Electrochemistry,2,TJ,2025-11-28 17:33:41
2005,1710,Information Systems,2,TJ,2025-11-28 17:33:41
2005,1902,Atmospheric Science,2,TJ,2025-11-28 17:33:41
2005,1907,Geology,2,TJ,2025-11-28 17:33:41
2005,2002,Economics and Econometrics,2,TJ,2025-11-28 17:33:41
2005,2105,"Renewable Energy, Sustainability and the Environment",2,TJ,2025-11-28 17:33:41
2005,2308,"Management, Monitoring, Policy and Law",2,TJ,2025-11-28 17:33:41
2005,2604,Applied Mathematics,2,TJ,2025-11-28 17:33:41
2005,3303,Development,2,TJ,2025-11-28 17:33:41
2005,1109,Insect Science,1,TJ,2025-11-28 17:33:41
2005,1602,Analytical Chemistry,1,TJ,2025-11-28 17:33:41
2005,1704,Computer Graphics and Computer-Aided Design,1,TJ,2025-11-28 17:33:41
2005,1705,Computer Networks and Communications,1,TJ,2025-11-28 17:33:41
2005,1910,Oceanography,1,TJ,2025-11-28 17:33:41
2005,1911,Paleontology,1,TJ,2025-11-28 17:33:41
2005,2202,Aerospace Engineering,1,TJ,2025-11-28 17:33:41
2005,2203,Automotive Engineering,1,TJ,2025-11-28 17:33:41
2005,2209,Industrial and Manufacturing Engineering,1,TJ,2025-11-28 17:33:41
2005,2214,Media Technology,1,TJ,2025-11-28 17:33:41
2005,2306,Global and Planetary Change,1,TJ,2025-11-28 17:33:41
2005,2503,Ceramics and Composites,1,TJ,2025-11-28 17:33:41
2005,2608,Geometry and Topology,1,TJ,2025-11-28 17:33:41
2005,2612,Numerical Analysis,1,TJ,2025-11-28 17:33:41
2005,2725,Infectious Diseases,1,TJ,2025-11-28 17:33:41
2005,3005,Toxicology,1,TJ,2025-11-28 17:33:41
2005,3108,Radiation,1,TJ,2025-11-28 17:33:41
2005,3203,Clinical Psychology,1,TJ,2025-11-28 17:33:41
2005,3302,Archeology,1,TJ,2025-11-28 17:33:41
2005,3304,Education,1,TJ,2025-11-28 17:33:41
2005,3317,Demography,1,TJ,2025-11-28 17:33:41
2005,3404,Small Animals,1,TJ,2025-11-28 17:33:41
2005,3600,General Health Professions,1,TJ,2025-11-28 17:33:41
2006,3107,"Atomic and Molecular Physics, and Optics",61,TJ,2025-11-28 17:33:41
2006,2208,Electrical and Electronic Engineering,44,TJ,2025-11-28 17:33:41
2006,2505,Materials Chemistry,34,TJ,2025-11-28 17:33:41
2006,2204,Biomedical Engineering,26,TJ,2025-11-28 17:33:41
2006,1312,Molecular Biology,20,TJ,2025-11-28 17:33:41
2006,1605,Organic Chemistry,19,TJ,2025-11-28 17:33:41
2006,2211,Mechanics of Materials,19,TJ,2025-11-28 17:33:41
2006,2210,Mechanical Engineering,16,TJ,2025-11-28 17:33:41
2006,2504,"Electronic, Optical and Magnetic Materials",9,TJ,2025-11-28 17:33:41
2006,3312,Sociology and Political Science,9,TJ,2025-11-28 17:33:41
2006,3109,Statistical and Nonlinear Physics,8,TJ,2025-11-28 17:33:41
2006,1604,Inorganic Chemistry,7,TJ,2025-11-28 17:33:41
2006,1607,Spectroscopy,7,TJ,2025-11-28 17:33:41
2006,1702,Artificial Intelligence,7,TJ,2025-11-28 17:33:41
2006,1907,Geology,6,TJ,2025-11-28 17:33:41
2006,2206,Computational Mechanics,6,TJ,2025-11-28 17:33:41
2006,3104,Condensed Matter Physics,6,TJ,2025-11-28 17:33:41
2006,3320,Political Science and International Relations,6,TJ,2025-11-28 17:33:41
2006,1105,"Ecology, Evolution, Behavior and Systematics",4,TJ,2025-11-28 17:33:41
2006,1304,Biophysics,4,TJ,2025-11-28 17:33:41
2006,1908,Geophysics,4,TJ,2025-11-28 17:33:41
2006,2105,"Renewable Energy, Sustainability and the Environment",4,TJ,2025-11-28 17:33:41
2006,2741,"Radiology, Nuclear Medicine and Imaging",4,TJ,2025-11-28 17:33:41
2006,3317,Demography,4,TJ,2025-11-28 17:33:41
2006,1307,Cell Biology,3,TJ,2025-11-28 17:33:41
2006,1507,Fluid Flow and Transfer Processes,3,TJ,2025-11-28 17:33:41
2006,1606,Physical and Theoretical Chemistry,3,TJ,2025-11-28 17:33:41
