subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,Local and indigenous knowledge on climate-related hazards of coastal and small island communities in Southeast Asia,https://doi.org/10.1007/s10584-014-1288-8,2014,131,https://openalex.org/W2094648842
3312,Sociology and Political Science,Nation building and resource management: The politics of ‘nature’ in Timor Leste,https://doi.org/10.1016/j.geoforum.2007.09.007,2007,55,https://openalex.org/W2086799195
3312,Sociology and Political Science,Prevalence of scabies and impetigo in school-age children in Timor-Leste,https://doi.org/10.1186/s13071-021-04645-1,2021,33,https://openalex.org/W3112480079
3312,Sociology and Political Science,Addressing symptoms but not causes: stabilisation and humanitarian action in Timor‐Leste,https://doi.org/10.1111/j.1467-7717.2010.01210.x,2010,30,https://openalex.org/W2163978118
3312,Sociology and Political Science,The decision to seek care antenatally and during labour and birth – Who and what influences this in Timor-Leste? A qualitative project exploring the perceptions of Timorese women and men,https://doi.org/10.1016/j.midw.2018.05.013,2018,20,https://openalex.org/W2805601082
3312,Sociology and Political Science,"The impact of ivermectin, diethylcarbamazine citrate, and albendazole mass drug administration on the prevalence of scabies and soil-transmitted helminths in school-aged children in three municipalities in Timor-Leste: a before–after assessment",https://doi.org/10.1016/s2214-109x(23)00134-1,2023,19,https://openalex.org/W4377086604
3312,Sociology and Political Science,"Disaster Risk Reduction, modern science and local knowledge: Perspectives from Timor-Leste",https://doi.org/10.1016/j.ijdrr.2020.101641,2020,19,https://openalex.org/W3027966221
3312,Sociology and Political Science,Living through terror: everyday resilience in East Timor and Aceh,https://doi.org/10.1080/13504630802692903,2009,17,https://openalex.org/W2066090170
3312,Sociology and Political Science,O governo da e pela kultura. Complexos locais de governança na formação do Estado em Timor‑Leste,https://doi.org/10.4000/rccs.5727,2014,16,https://openalex.org/W1818151957
3312,Sociology and Political Science,"Nation‐building policies in Timor‐Leste: disaster risk reduction, including climate change adaptation",https://doi.org/10.1111/disa.12082,2014,16,https://openalex.org/W2051770172
2735,"Pediatrics, Perinatology and Child Health",The tyranny of distance: maternity waiting homes and access to birthing facilities in rural Timor-Leste,https://doi.org/10.2471/blt.11.088955,2011,71,https://openalex.org/W2128765095
2735,"Pediatrics, Perinatology and Child Health",Engaging sub-national governments in addressing health equities: challenges and opportunities in China’s health system reform,https://doi.org/10.1093/heapol/czs120,2012,67,https://openalex.org/W2112289633
2735,"Pediatrics, Perinatology and Child Health",An exploratory study of treated-bed nets in Timor-Leste: patterns of intended and alternative usage,https://doi.org/10.1186/1475-2875-10-199,2011,46,https://openalex.org/W2009931958
2735,"Pediatrics, Perinatology and Child Health",Identifying national health research priorities in Timor-Leste through a scoping review of existing health data,https://doi.org/10.1186/1478-4505-11-8,2013,46,https://openalex.org/W2142564578
2735,"Pediatrics, Perinatology and Child Health","“I go I die, I stay I die, better to stay and die in my house”: understanding the barriers to accessing health care in Timor-Leste",https://doi.org/10.1186/s12913-016-1762-2,2016,41,https://openalex.org/W2524510071
2735,"Pediatrics, Perinatology and Child Health",State-building and human resources for health in fragile and conflict-affected states: exploring the linkages,https://doi.org/10.1186/s12960-015-0023-5,2015,41,https://openalex.org/W2112828907
2735,"Pediatrics, Perinatology and Child Health",Factors associated with non-utilisation of health service for childbirth in Timor-Leste: evidence from the 2009-2010 Demographic and Health Survey,https://doi.org/10.1186/1472-698x-14-14,2014,35,https://openalex.org/W1971321941
2735,"Pediatrics, Perinatology and Child Health",Home visits by community health workers for pregnant mothers and newborns: coverage plateau in Malawi,https://doi.org/10.7189/jogh.09.010808,2019,33,https://openalex.org/W2955493878
2735,"Pediatrics, Perinatology and Child Health",Retaining doctors in rural Timor-Leste: a critical appraisal of the opportunities and challenges,https://doi.org/10.2471/blt.13.123141,2014,32,https://openalex.org/W2071844051
2735,"Pediatrics, Perinatology and Child Health",Challenges to delivery of isoniazid preventive therapy in a cohort of children exposed to tuberculosis in Timor‐Leste,https://doi.org/10.1111/tmi.12479,2015,31,https://openalex.org/W2109085163
3600,General Health Professions,The state of hypertension care in 44 low-income and middle-income countries: a cross-sectional study of nationally representative individual-level data from 1·1 million adults,https://doi.org/10.1016/s0140-6736(19)30955-9,2019,805,https://openalex.org/W2962471769
3600,General Health Professions,Health system performance for people with diabetes in 28 low- and middle-income countries: A cross-sectional study of nationally representative surveys,https://doi.org/10.1371/journal.pmed.1002751,2019,292,https://openalex.org/W2918851286
3600,General Health Professions,Engaging sub-national governments in addressing health equities: challenges and opportunities in China’s health system reform,https://doi.org/10.1093/heapol/czs120,2012,67,https://openalex.org/W2112289633
3600,General Health Professions,The Association of Socioeconomic Status With Hypertension in 76 Low- and Middle-Income Countries,https://doi.org/10.1016/j.jacc.2022.05.044,2022,53,https://openalex.org/W4291742704
3600,General Health Professions,State-building and human resources for health in fragile and conflict-affected states: exploring the linkages,https://doi.org/10.1186/s12960-015-0023-5,2015,41,https://openalex.org/W2112828907
3600,General Health Professions,Determinants of health care utilisation: the case of Timor-Leste,https://doi.org/10.1093/inthealth/ihy044,2018,29,https://openalex.org/W2851334710
3600,General Health Professions,Intersectoral collaboration for people-centred mental health care in Timor-Leste: a mixed-methods study using qualitative and social network analysis,https://doi.org/10.1186/s13033-019-0328-1,2019,25,https://openalex.org/W2987023492
3600,General Health Professions,Financing for universal health coverage in small island states: evidence from the Fiji Islands,https://doi.org/10.1136/bmjgh-2016-000200,2017,23,https://openalex.org/W2602286546
3600,General Health Professions,Prevalence and determinants of diarrhea among under-five children in five Southeast Asian countries: Evidence from the demographic health survey,https://doi.org/10.1016/j.pedn.2022.06.005,2022,21,https://openalex.org/W4282981801
3600,General Health Professions,"Three years of neonatal morbidity and mortality at the national hospital in <scp>D</scp>ili, <scp>E</scp>ast <scp>T</scp>imor",https://doi.org/10.1111/jpc.12209,2013,20,https://openalex.org/W1543426136
3304,Education,Digital leadership in business organizations,https://doi.org/10.51629/ijeamal.v2i1.18,2021,122,https://openalex.org/W3153199167
3304,Education,PENGARUH KEMAMPUAN BERPIKIR KRITIS TERHADAP HASIL BELAJAR IPA SISWA,https://doi.org/10.59052/edufisika.v8i2.24865,2023,26,https://openalex.org/W4385604096
3304,Education,THE IMPACT OF SELF-ADJUSTMENT ON ACADEMIC ACHIEVEMENT OF THE STUDENTS,https://doi.org/10.17977/um006v2i12018p001,2018,14,https://openalex.org/W2810002387
3304,Education,Technology integration in learning management: A post-pandemic phenomenological study in elementary schools,https://doi.org/10.18844/wjet.v14i4.7729,2022,10,https://openalex.org/W4291782510
3304,Education,Religious Harmony Among Senior High School Students Multicultural Education Case Study in the Cova-Lima District of East Timor,https://doi.org/10.25078/ijhsrs.v2i1.522,2018,10,https://openalex.org/W2901833416
3304,Education,"UTILIZING AUDIOVISUAL MEDIA AND LEARNING MOTIVATION ON STUDENT ACHIEVEMENT OF SOCIAL DEPARTMENT GRADE VIII STUDENT FATUMETA, DILI",,2017,7,https://openalex.org/W2942695292
3304,Education,Application of Shepherd Leadership to the Spiritual Growth of Christian Youth in the Digital Age,https://doi.org/10.46445/ejti.v7i2.668,2023,5,https://openalex.org/W4385416152
3304,Education,Unfolding various academic mobility experiences of Southeast Asian women,https://doi.org/10.1080/0966369x.2017.1398137,2017,3,https://openalex.org/W2767450869
3304,Education,Collaboration of Teachers and Parents in the Formation of Students’ Virtuous Morality,https://doi.org/10.18326/mdr.v14i1.66-85,2022,3,https://openalex.org/W4283731196
3304,Education,Convergent and Discriminant Validity of the Bafadal`s Leadership Morality Questionnaire in Indonesian Context,https://doi.org/10.36941/ajis-2024-0014,2024,3,https://openalex.org/W4390618888
3320,Political Science and International Relations,Addressing symptoms but not causes: stabilisation and humanitarian action in Timor‐Leste,https://doi.org/10.1111/j.1467-7717.2010.01210.x,2010,30,https://openalex.org/W2163978118
3320,Political Science and International Relations,IUS Constituendum of Expert Advisor in Commodity Futures Trading: A Legal Certainty,https://doi.org/10.29303/ius.v11i1.1170,2023,12,https://openalex.org/W4378187527
3320,Political Science and International Relations,Evidence from Indonesia on the legal policy confronting discrimination of minority groups based on race and ethnicity,https://doi.org/10.33061/wh.v29i2.9808,2023,11,https://openalex.org/W4388398168
3320,Political Science and International Relations,Sustaining peace and shared prosperity: The question of fragile states,https://doi.org/10.1177/1468018118789808,2018,10,https://openalex.org/W2883263964
3320,Political Science and International Relations,Protection of Victims of Sexual Harassment in Indonesia: A Legal and Victimological Aspect,https://doi.org/10.15294/lsr.v3i1.53761,2023,9,https://openalex.org/W4317565726
3320,Political Science and International Relations,"Policy implementation of local governments in waste management in Dili City, Timor Leste",https://doi.org/10.35912/jgas.v1i1.343,2020,7,https://openalex.org/W3115230971
3320,Political Science and International Relations,Preventive and Evaluative Mechanism Analysis on Regulatory and Legislation Reform in Indonesia,https://doi.org/10.14710/lr.v19i2.55819,2023,7,https://openalex.org/W4392868987
3320,Political Science and International Relations,Wastewater Management Strategy for Resilient Cities—Case Study: Challenges and Opportunities for Planning a Sustainable Timor-Leste,https://doi.org/10.3390/land13060799,2024,6,https://openalex.org/W4399358353
3320,Political Science and International Relations,Establishment of Electoral Court in Indonesia: Problems and Future Challenges,https://doi.org/10.15294/jils.v8i2.72316,2023,5,https://openalex.org/W4389100530
3320,Political Science and International Relations,Eksistensi Sanksi Administratif Bisnis Digital dalam Perspektif Economic Analysis of Law,https://doi.org/10.26623/jic.v8i1.6281,2023,5,https://openalex.org/W4366179447
2739,"Public Health, Environmental and Occupational Health","Body-mass index and diabetes risk in 57 low-income and middle-income countries: a cross-sectional study of nationally representative, individual-level data in 685 616 adults",https://doi.org/10.1016/s0140-6736(21)00844-8,2021,144,https://openalex.org/W3179285483
2739,"Public Health, Environmental and Occupational Health",Childhood adversities and mental health problems: A systematic review,https://doi.org/10.1177/22799036221106613,2022,54,https://openalex.org/W4293418844
2739,"Public Health, Environmental and Occupational Health",An exploratory study of treated-bed nets in Timor-Leste: patterns of intended and alternative usage,https://doi.org/10.1186/1475-2875-10-199,2011,46,https://openalex.org/W2009931958
2739,"Public Health, Environmental and Occupational Health",Counting the cost: The potential impact of African Swine Fever on smallholders in Timor-Leste,https://doi.org/10.1016/j.onehlt.2019.100109,2019,40,https://openalex.org/W2980381848
2739,"Public Health, Environmental and Occupational Health",Retaining doctors in rural Timor-Leste: a critical appraisal of the opportunities and challenges,https://doi.org/10.2471/blt.13.123141,2014,32,https://openalex.org/W2071844051
2739,"Public Health, Environmental and Occupational Health",Rheumatic heart disease in Timor‐Leste school students: an echocardiography‐based prevalence study,https://doi.org/10.5694/mja17.00666,2018,32,https://openalex.org/W2798126138
2739,"Public Health, Environmental and Occupational Health",Single Parasternal-Long-Axis-View-Sweep Screening Echocardiographic Protocol to Detect Rheumatic Heart Disease: A Prospective Study of Diagnostic Accuracy,https://doi.org/10.1016/j.hlc.2019.02.196,2019,29,https://openalex.org/W2953245595
2739,"Public Health, Environmental and Occupational Health",Access delays to essential surgical care using the Three Delays Framework and Bellwether procedures at Timor Leste’s national referral hospital,https://doi.org/10.1136/bmjopen-2019-029812,2019,28,https://openalex.org/W2969791015
2739,"Public Health, Environmental and Occupational Health",Surgical capacity building in Timor‐Leste: a review of the first 15 years of the Royal Australasian College of Surgeons‐led Australian Aid programme,https://doi.org/10.1111/ans.13768,2016,27,https://openalex.org/W2525753674
2739,"Public Health, Environmental and Occupational Health",The experience of medical training and expectations regarding future medical practice of medical students in the Cuban-supported Medical School in Timor-Leste,https://doi.org/10.1186/s12960-015-0004-8,2015,22,https://openalex.org/W2148849799
3308,Law,IUS Constituendum of Expert Advisor in Commodity Futures Trading: A Legal Certainty,https://doi.org/10.29303/ius.v11i1.1170,2023,12,https://openalex.org/W4378187527
3308,Law,Evidence from Indonesia on the legal policy confronting discrimination of minority groups based on race and ethnicity,https://doi.org/10.33061/wh.v29i2.9808,2023,11,https://openalex.org/W4388398168
3308,Law,Protection of Victims of Sexual Harassment in Indonesia: A Legal and Victimological Aspect,https://doi.org/10.15294/lsr.v3i1.53761,2023,9,https://openalex.org/W4317565726
3308,Law,YURISDIKSI NEGARA PANTAI DI WILAYAH DELIMITASI MARITIM ZONA EKONOMI EKSKLUSIF YANG BELUM DITETAPKAN BERDASARKAN KETENTUAN HUKUM LAUT INTERNASIONAL (Study di Timor Leste-Indonesia),https://doi.org/10.23887/jkh.v6i1.23770,2020,8,https://openalex.org/W3006822145
3308,Law,Establishment of Electoral Court in Indonesia: Problems and Future Challenges,https://doi.org/10.15294/jils.v8i2.72316,2023,5,https://openalex.org/W4389100530
3308,Law,Eksistensi Sanksi Administratif Bisnis Digital dalam Perspektif Economic Analysis of Law,https://doi.org/10.26623/jic.v8i1.6281,2023,5,https://openalex.org/W4366179447
3308,Law,LEGAL ASPECTS OF JUSTICE IN CRIMINAL LAW ENFORCEMENT,https://doi.org/10.26532/jph.v6i3.10934,2019,5,https://openalex.org/W3042708185
3308,Law,Implications Of Control Of Coastal Lands By Foreigners In The Tourism Business,https://doi.org/10.38142/pjlel.v1i2.472,2022,4,https://openalex.org/W4320027907
3308,Law,La (in)seguridad en su laberinto,,2021,4,https://openalex.org/W3202936797
3308,Law,Establishment of Land Court in Indonesia: an effort to realise justice based on Pancasila,https://doi.org/10.62264/jlej.v1i2.6,2023,3,https://openalex.org/W4391276300
2713,Epidemiology,Health system performance for people with diabetes in 28 low- and middle-income countries: A cross-sectional study of nationally representative surveys,https://doi.org/10.1371/journal.pmed.1002751,2019,292,https://openalex.org/W2918851286
2713,Epidemiology,Lifetime Prevalence of Cervical Cancer Screening in 55 Low- and Middle-Income Countries,https://doi.org/10.1001/jama.2020.16244,2020,167,https://openalex.org/W3092675651
2713,Epidemiology,"Estimated effect of increased diagnosis, treatment, and control of diabetes and its associated cardiovascular risk factors among low-income and middle-income countries: a microsimulation model",https://doi.org/10.1016/s2214-109x(21)00340-5,2021,46,https://openalex.org/W3200174887
2713,Epidemiology,Effectiveness of tobacco use cessation interventions delivered by pharmacy personnel: A systematic review,https://doi.org/10.1016/j.sapharm.2013.04.015,2013,42,https://openalex.org/W2088340182
2713,Epidemiology,Home visits by community health workers for pregnant mothers and newborns: coverage plateau in Malawi,https://doi.org/10.7189/jogh.09.010808,2019,33,https://openalex.org/W2955493878
2713,Epidemiology,Rheumatic heart disease in Timor‐Leste school students: an echocardiography‐based prevalence study,https://doi.org/10.5694/mja17.00666,2018,32,https://openalex.org/W2798126138
2713,Epidemiology,Single Parasternal-Long-Axis-View-Sweep Screening Echocardiographic Protocol to Detect Rheumatic Heart Disease: A Prospective Study of Diagnostic Accuracy,https://doi.org/10.1016/j.hlc.2019.02.196,2019,29,https://openalex.org/W2953245595
2713,Epidemiology,Is the 2015 eye care service delivery profile in Southeast Asia closer to universal eye health need!,https://doi.org/10.1007/s10792-017-0481-y,2017,29,https://openalex.org/W2591814264
2713,Epidemiology,Priority Activities in Child and Adolescent Tuberculosis to Close the Policy-Practice Gap in Low- and Middle-Income Countries,https://doi.org/10.3390/pathogens11020196,2022,24,https://openalex.org/W4210627670
2713,Epidemiology,"Korean Developmental Screening Test for Infants and Children (K-DST): development, applications, and implications for future early childhood development interventions",https://doi.org/10.3345/cep.2022.00906,2022,23,https://openalex.org/W4312112905
3317,Demography,Improving food security through agricultural research and development in Timor-Leste: a country emerging from conflict,https://doi.org/10.1007/s12571-009-0037-8,2009,30,https://openalex.org/W2058097138
3317,Demography,Timor‐Leste economic survey: The end of petroleum income,https://doi.org/10.1002/app5.333,2021,19,https://openalex.org/W3202080900
3317,Demography,"Nation‐building policies in Timor‐Leste: disaster risk reduction, including climate change adaptation",https://doi.org/10.1111/disa.12082,2014,16,https://openalex.org/W2051770172
3317,Demography,Timor-Leste: A Year of Democratic Elections,https://doi.org/10.1355/seaa08s,2008,13,https://openalex.org/W2006187855
3317,Demography,"The Effect of Perceived Usefulness, Trust and Visual Information toward Attitude and Purchase Intention",https://doi.org/10.35313/jmi.v1i01.12,2021,10,https://openalex.org/W3217707350
3317,Demography,"The Mediation Effect of Customer Satisfaction on the Relationship between Product Quality, Perceived Price Justice and Customer Loyalty",https://doi.org/10.51703/bm.v4i0.98,2022,8,https://openalex.org/W4313208431
3317,Demography,PENGARUH LINGKUNGAN EKSTERNAL DAN LINGKUNGAN INTERNAL TERHADAP KINERJA UKM MELALUI KEUNGGULAN BERSAING PADA UKM DI KOTA SORONG,https://doi.org/10.54783/jin.v4i3.637,2022,7,https://openalex.org/W4312166872
3317,Demography,"The diversity of plant species in a mangrove forest in the Coast of Metinaro, Timor-Leste",https://doi.org/10.1088/1755-1315/256/1/012026,2019,7,https://openalex.org/W2949453263
3317,Demography,Diaspora tourism: The case of Timor-Leste,,2017,6,https://openalex.org/W2738634916
3317,Demography,The Development of Village Data and Information Management through the Innovation Diffusion,https://doi.org/10.26740/jsm.v6n2.p566-590,2023,5,https://openalex.org/W4360950916
1710,Information Systems,An Integrated Cloud and Blockchain Enabled Platforms for Biomedical Research,https://doi.org/10.1007/978-3-031-12382-5_111,2023,55,https://openalex.org/W4319779713
1710,Information Systems,PENGARUH KEMAMPUAN BERPIKIR KRITIS TERHADAP HASIL BELAJAR IPA SISWA,https://doi.org/10.59052/edufisika.v8i2.24865,2023,26,https://openalex.org/W4385604096
1710,Information Systems,Hierarchical Sentence Sentiment Analysis Of Hotel Reviews Using The Naïve Bayes Classifier,https://doi.org/10.1109/icicos.2018.8621748,2018,13,https://openalex.org/W2911774765
1710,Information Systems,Identification of Rice Leaf Disease Using Convolutional Neural Network Based on Android Mobile Platform,https://doi.org/10.1109/icitech50181.2021.9590188,2021,13,https://openalex.org/W3214072286
1710,Information Systems,Technology integration in learning management: A post-pandemic phenomenological study in elementary schools,https://doi.org/10.18844/wjet.v14i4.7729,2022,10,https://openalex.org/W4291782510
1710,Information Systems,Implementation QR Code Biometric Authentication for Online Payment,https://doi.org/10.1109/elecsym.2019.8901575,2019,8,https://openalex.org/W2982767117
1710,Information Systems,A STUDY ON THE ABILITY OF 4th SEMESTER STUDENTS’ WRITING SKILL OF ENGLISH STUDY PROGRAM IN THE ACADEMIC YEAR 2018,,2019,6,https://openalex.org/W3194160840
1710,Information Systems,Regulatory framework creation analysis to reduce security risks the use of social media in companies,https://doi.org/10.1109/icitacee.2017.8257709,2017,6,https://openalex.org/W2784083452
1710,Information Systems,The Development of Village Data and Information Management through the Innovation Diffusion,https://doi.org/10.26740/jsm.v6n2.p566-590,2023,5,https://openalex.org/W4360950916
1710,Information Systems,IMPROVING SPEAKING SKILL THROUGH STORYTELLING,,2019,4,https://openalex.org/W3152984674
