subfield_id,subfield_name,title,doi,year,cited_by_count,id
3304,Education,APLIKASI ‘KONSEP 4C’ PEMBELAJARAN ABAD KE-21 DALAM KALANGAN GURU PELATIH PENGAJIAN AGAMA INSTITUT PENDIDIKAN GURU KAMPUS DATO’ RAZALI ISMAIL,,2018,33,https://openalex.org/W2898161894
3304,Education,CABARAN MEDIA BARU SEBAGAI MEDIUM PEMBELAJARAN AGAMA DAN PENYELESAIANNYA DARI PERSPEKTIF ISLAM,,2015,10,https://openalex.org/W46966417
3304,Education,Young Women Speak Out: Healing The Selves Through Narrative Therapy,,2012,7,https://openalex.org/W1930566156
2002,Economics and Econometrics,"The City, the Duke and their Banker",https://doi.org/10.1484/m.seuh-eb.5.106326,2006,25,https://openalex.org/W578314641
2002,Economics and Econometrics,Large-scale flood risk assessment in data scarce areas: an application to Central Asia,https://doi.org/10.5194/nhess-2023-157,2023,20,https://openalex.org/W4386465936
2002,Economics and Econometrics,Origins and Early History,https://doi.org/10.1017/9781108303842.002,2018,7,https://openalex.org/W2592681172
3320,Political Science and International Relations,The Administration and Practice of Leasehold Pastoralism in Turkmenistan,https://doi.org/10.3167/082279405781826092,2005,20,https://openalex.org/W2008159755
3320,Political Science and International Relations,Europe in the Woods: Reflections on the Situation at the Polish-Belarusian Border,https://doi.org/10.16995/ee.8525,2022,19,https://openalex.org/W4281262489
3320,Political Science and International Relations,Brood. Een geschiedenis van bakkers en hun brood,,2021,7,https://openalex.org/W3137123878
1104,Aquatic Science,Phylogenetic relationships of the algae scraping cyprinid genus Capoeta (Teleostei: Cyprinidae),https://doi.org/10.1016/j.ympev.2011.09.004,2011,94,https://openalex.org/W1977626317
1104,Aquatic Science,Molecular systematics of Scaphirhynchinae: an assessment of North American and Central Asian Freshwater Sturgeon Species,https://doi.org/10.1111/j.1439-0426.2007.00919.x,2007,26,https://openalex.org/W2105404896
1104,Aquatic Science,"First finding of gar Atractosteus sp. (Actinopterygii, Lepisosteiformes, Lepisosteidae) in the Caspian Sea near the coast of Turkmenistan",https://doi.org/10.1134/s2075111710010042,2010,9,https://openalex.org/W4234180414
3312,Sociology and Political Science,The Administration and Practice of Leasehold Pastoralism in Turkmenistan,https://doi.org/10.3167/082279405781826092,2005,20,https://openalex.org/W2008159755
3312,Sociology and Political Science,Desert water harvesting from <b>takyr</b> surfaces: assessing the potential of traditional and experimental technologies in the Karakum,https://doi.org/10.1002/ldr.759,2006,19,https://openalex.org/W2122680267
3312,Sociology and Political Science,The “Belt and Road” in Russia: Evolution of Expert Discourse,https://doi.org/10.31278/1810-6374-2018-16-4-142-163,2018,19,https://openalex.org/W2911159224
1204,Archeology,Signification des technologies bifaciales au Paléolithique moyen des montagnes de l’Altaï,https://doi.org/10.1016/j.anthro.2019.06.004,2019,13,https://openalex.org/W2957402690
1204,Archeology,Contribution of archaeopedology to the palaeoenvironmental reconstruction of (pre-)urban sites at Brussels (Belgium). The example of the Treurenberg site,,2007,11,https://openalex.org/W1601684918
1204,Archeology,Dark Earth in the geoarchaeological approach to urban contexts,,2015,6,https://openalex.org/W1490644132
1202,History,"Funerary Culture, Secularity and Symbolised Violence in Nineteenth-Century Belgium",https://doi.org/10.2979/pjhs.2.2.03,2017,6,https://openalex.org/W2797311381
1202,History,Archeologie van de stedelijke ruimte,,2010,4,https://openalex.org/W617996110
1202,History,Reprisal and diplomacy: conflict resolution within the context of Anglo–Dutch commercial relations c1300–c1415,https://doi.org/10.1080/2049677x.2017.1314605,2017,4,https://openalex.org/W2616378344
3314,Anthropology,Unravelling urban stratigraphy. The study of Brussels’ (Belgium) Dark Earth. An archaeopedological perspective,https://doi.org/10.1484/j.mmm.1.102776,2011,36,https://openalex.org/W1936485638
3314,Anthropology,"14. Initial Upper Paleolithic Blade Industries from the North-Central Gobi Desert, Mongolia",https://doi.org/10.1525/9780520930094-016,2019,27,https://openalex.org/W2595652159
3314,Anthropology,Signification des technologies bifaciales au Paléolithique moyen des montagnes de l’Altaï,https://doi.org/10.1016/j.anthro.2019.06.004,2019,13,https://openalex.org/W2957402690
2604,Applied Mathematics,On the problem of determining the parameter of an elliptic equation in a Banach space,https://doi.org/10.15388/na.2014.3.3,2014,63,https://openalex.org/W2336708622
2604,Applied Mathematics,On source identification problem for a delay parabolic equation,https://doi.org/10.15388/na.2014.3.2,2014,53,https://openalex.org/W2965943674
2604,Applied Mathematics,Two new approaches for construction of the high order of accuracy difference schemes for hyperbolic differential equations,https://doi.org/10.1155/ddns.2005.183,2005,46,https://openalex.org/W2092977084
1203,Language and Linguistics,Plain Language or Anything But?,https://doi.org/10.15394/jaaer.2022.1908,2022,12,https://openalex.org/W4226229671
1203,Language and Linguistics,ORTA YÜKSEKLİKTE DAĞLIK BÖLGELERDE KURULAN GÜNEŞ ENERJİSİ SANTRALİNDE FOTOVOLTAİK MODÜLLERİN YAŞLANMASININ ARAŞTIRILMASI,https://doi.org/10.17482/uumfd.535429,2019,4,https://openalex.org/W2971561040
1203,Language and Linguistics,Economic and cultural types of the Turkic peoples of Siberia in scientific works of the mid-19th — first decades of the 21st century,https://doi.org/10.20874/2071-0437-2021-54-3-15,2021,3,https://openalex.org/W3204129160
