year,id,name,works_count,country,fetch_date
2005,2604,Applied Mathematics,4,TM,2025-12-01 19:10:59
2005,2610,Mathematical Physics,3,TM,2025-12-01 19:10:59
2005,2612,Numerical Analysis,3,TM,2025-12-01 19:10:59
2005,3312,Sociology and Political Science,2,TM,2025-12-01 19:10:59
2005,3320,Political Science and International Relations,2,TM,2025-12-01 19:10:59
2005,1202,History,1,TM,2025-12-01 19:10:59
2005,1204,Archeology,1,TM,2025-12-01 19:10:59
2005,1207,History and Philosophy of Science,1,TM,2025-12-01 19:10:59
2005,2308,"Management, Monitoring, Policy and Law",1,TM,2025-12-01 19:10:59
2005,3317,Demography,1,TM,2025-12-01 19:10:59
2006,1202,History,3,TM,2025-12-01 19:10:59
2006,3312,Sociology and Political Science,3,TM,2025-12-01 19:10:59
2006,1209,Museology,2,TM,2025-12-01 19:10:59
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,TM,2025-12-01 19:10:59
2006,1204,Archeology,1,TM,2025-12-01 19:10:59
2006,2002,Economics and Econometrics,1,TM,2025-12-01 19:10:59
2006,2003,Finance,1,TM,2025-12-01 19:10:59
2006,2308,"Management, Monitoring, Policy and Law",1,TM,2025-12-01 19:10:59
2006,2604,Applied Mathematics,1,TM,2025-12-01 19:10:59
2006,2610,Mathematical Physics,1,TM,2025-12-01 19:10:59
2006,2612,Numerical Analysis,1,TM,2025-12-01 19:10:59
2006,3304,Education,1,TM,2025-12-01 19:10:59
2007,1204,Archeology,4,TM,2025-12-01 19:10:59
2007,3320,Political Science and International Relations,4,TM,2025-12-01 19:10:59
2007,1202,History,2,TM,2025-12-01 19:10:59
2007,1209,Museology,2,TM,2025-12-01 19:10:59
2007,1911,Paleontology,2,TM,2025-12-01 19:10:59
2007,3304,Education,2,TM,2025-12-01 19:10:59
2007,3312,Sociology and Political Science,2,TM,2025-12-01 19:10:59
2007,1104,Aquatic Science,1,TM,2025-12-01 19:10:59
2007,1110,Plant Science,1,TM,2025-12-01 19:10:59
2007,1206,Conservation,1,TM,2025-12-01 19:10:59
2007,1207,History and Philosophy of Science,1,TM,2025-12-01 19:10:59
2007,1311,Genetics,1,TM,2025-12-01 19:10:59
2007,1702,Artificial Intelligence,1,TM,2025-12-01 19:10:59
2007,1907,Geology,1,TM,2025-12-01 19:10:59
2007,2003,Finance,1,TM,2025-12-01 19:10:59
2007,2100,General Energy,1,TM,2025-12-01 19:10:59
2007,2309,Nature and Landscape Conservation,1,TM,2025-12-01 19:10:59
2007,2604,Applied Mathematics,1,TM,2025-12-01 19:10:59
2007,3317,Demography,1,TM,2025-12-01 19:10:59
2008,1202,History,1,TM,2025-12-01 19:10:59
2008,1204,Archeology,1,TM,2025-12-01 19:10:59
2008,1213,Visual Arts and Performing Arts,1,TM,2025-12-01 19:10:59
2008,1911,Paleontology,1,TM,2025-12-01 19:10:59
2008,2604,Applied Mathematics,1,TM,2025-12-01 19:10:59
2008,2610,Mathematical Physics,1,TM,2025-12-01 19:10:59
2008,2612,Numerical Analysis,1,TM,2025-12-01 19:10:59
2008,3312,Sociology and Political Science,1,TM,2025-12-01 19:10:59
2008,3314,Anthropology,1,TM,2025-12-01 19:10:59
2009,1204,Archeology,2,TM,2025-12-01 19:10:59
2009,1911,Paleontology,2,TM,2025-12-01 19:10:59
2009,2604,Applied Mathematics,2,TM,2025-12-01 19:10:59
2009,2612,Numerical Analysis,2,TM,2025-12-01 19:10:59
2009,3320,Political Science and International Relations,2,TM,2025-12-01 19:10:59
2009,1207,History and Philosophy of Science,1,TM,2025-12-01 19:10:59
2009,1703,Computational Theory and Mathematics,1,TM,2025-12-01 19:10:59
2009,1906,Geochemistry and Petrology,1,TM,2025-12-01 19:10:59
2009,2312,Water Science and Technology,1,TM,2025-12-01 19:10:59
2009,2611,Modeling and Simulation,1,TM,2025-12-01 19:10:59
2009,3308,Law,1,TM,2025-12-01 19:10:59
2009,3312,Sociology and Political Science,1,TM,2025-12-01 19:10:59
2010,2604,Applied Mathematics,5,TM,2025-12-01 19:10:59
2010,2612,Numerical Analysis,5,TM,2025-12-01 19:10:59
2010,1202,History,3,TM,2025-12-01 19:10:59
2010,3312,Sociology and Political Science,3,TM,2025-12-01 19:10:59
