year,id,name,works_count,country,fetch_date
2005,2746,Surgery,2984,TR,2025-12-03 12:04:33
2005,2740,Pulmonary and Respiratory Medicine,1509,TR,2025-12-03 12:04:33
2005,1312,Molecular Biology,1488,TR,2025-12-03 12:04:33
2005,2713,Epidemiology,1259,TR,2025-12-03 12:04:33
2005,2208,Electrical and Electronic Engineering,935,TR,2025-12-03 12:04:33
2005,2204,Biomedical Engineering,887,TR,2025-12-03 12:04:33
2005,2705,Cardiology and Cardiovascular Medicine,517,TR,2025-12-03 12:04:33
2005,2745,Rheumatology,417,TR,2025-12-03 12:04:33
2005,2734,Pathology and Forensic Medicine,387,TR,2025-12-03 12:04:33
2005,2730,Oncology,342,TR,2025-12-03 12:04:33
2005,2737,Physiology,313,TR,2025-12-03 12:04:33
2005,2741,"Radiology, Nuclear Medicine and Imaging",296,TR,2025-12-03 12:04:33
2005,2725,Infectious Diseases,272,TR,2025-12-03 12:04:33
2005,2728,Neurology,272,TR,2025-12-03 12:04:33
2005,3312,Sociology and Political Science,268,TR,2025-12-03 12:04:33
2005,1311,Genetics,257,TR,2025-12-03 12:04:33
2005,3304,Education,256,TR,2025-12-03 12:04:33
2005,2739,"Public Health, Environmental and Occupational Health",251,TR,2025-12-03 12:04:33
2005,3320,Political Science and International Relations,226,TR,2025-12-03 12:04:33
2005,2712,"Endocrinology, Diabetes and Metabolism",212,TR,2025-12-03 12:04:33
2005,3107,"Atomic and Molecular Physics, and Optics",212,TR,2025-12-03 12:04:33
2005,2210,Mechanical Engineering,201,TR,2025-12-03 12:04:33
2005,2735,"Pediatrics, Perinatology and Child Health",194,TR,2025-12-03 12:04:33
2005,3207,Social Psychology,188,TR,2025-12-03 12:04:33
2005,2721,Hepatology,187,TR,2025-12-03 12:04:33
2005,2703,Anesthesiology and Pain Medicine,186,TR,2025-12-03 12:04:33
2005,1110,Plant Science,168,TR,2025-12-03 12:04:33
2005,2505,Materials Chemistry,165,TR,2025-12-03 12:04:33
2005,2748,Urology,163,TR,2025-12-03 12:04:33
2005,2731,Ophthalmology,153,TR,2025-12-03 12:04:33
2005,3504,Oral Surgery,144,TR,2025-12-03 12:04:33
2005,2711,Emergency Medicine,138,TR,2025-12-03 12:04:33
2005,2403,Immunology,137,TR,2025-12-03 12:04:33
2005,1705,Computer Networks and Communications,135,TR,2025-12-03 12:04:33
2005,2708,Dermatology,134,TR,2025-12-03 12:04:33
2005,1605,Organic Chemistry,133,TR,2025-12-03 12:04:33
2005,2916,Nutrition and Dietetics,120,TR,2025-12-03 12:04:33
2005,2727,Nephrology,119,TR,2025-12-03 12:04:33
2005,2716,Genetics,116,TR,2025-12-03 12:04:33
2005,2720,Hematology,113,TR,2025-12-03 12:04:33
2005,1106,Food Science,111,TR,2025-12-03 12:04:33
2005,2732,Orthopedics and Sports Medicine,109,TR,2025-12-03 12:04:33
2005,2507,Polymers and Plastics,108,TR,2025-12-03 12:04:33
2005,2733,Otorhinolaryngology,107,TR,2025-12-03 12:04:33
2005,2715,Gastroenterology,105,TR,2025-12-03 12:04:33
2005,2743,Reproductive Medicine,104,TR,2025-12-03 12:04:33
2005,1211,Philosophy,99,TR,2025-12-03 12:04:33
2005,2736,Pharmacology,99,TR,2025-12-03 12:04:33
2005,2804,Cellular and Molecular Neuroscience,99,TR,2025-12-03 12:04:33
2005,2729,Obstetrics and Gynecology,92,TR,2025-12-03 12:04:33
2005,1306,Cancer Research,89,TR,2025-12-03 12:04:33
2005,2207,Control and Systems Engineering,87,TR,2025-12-03 12:04:33
2005,3604,Emergency Medical Services,84,TR,2025-12-03 12:04:33
2005,1307,Cell Biology,83,TR,2025-12-03 12:04:33
2005,1502,Bioengineering,77,TR,2025-12-03 12:04:33
2005,3404,Small Animals,77,TR,2025-12-03 12:04:33
2005,2202,Aerospace Engineering,76,TR,2025-12-03 12:04:33
2005,2312,Water Science and Technology,76,TR,2025-12-03 12:04:33
2005,2206,Computational Mechanics,75,TR,2025-12-03 12:04:33
2005,1308,Clinical Biochemistry,71,TR,2025-12-03 12:04:33
2005,2738,Psychiatry and Mental health,70,TR,2025-12-03 12:04:33
2005,2211,Mechanics of Materials,68,TR,2025-12-03 12:04:33
2005,2706,Critical Care and Intensive Care Medicine,66,TR,2025-12-03 12:04:33
2005,2807,Endocrine and Autonomic Systems,66,TR,2025-12-03 12:04:33
2005,1103,Animal Science and Zoology,60,TR,2025-12-03 12:04:33
2005,1702,Artificial Intelligence,57,TR,2025-12-03 12:04:33
2005,2404,Microbiology,56,TR,2025-12-03 12:04:33
2005,2742,Rehabilitation,55,TR,2025-12-03 12:04:33
2005,3203,Clinical Psychology,54,TR,2025-12-03 12:04:33
2005,2502,Biomaterials,53,TR,2025-12-03 12:04:33
