year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,11,TT,2025-12-03 12:39:52
2005,3600,General Health Professions,11,TT,2025-12-03 12:39:52
2005,2713,Epidemiology,10,TT,2025-12-03 12:39:52
2005,2739,"Public Health, Environmental and Occupational Health",10,TT,2025-12-03 12:39:52
2005,2002,Economics and Econometrics,8,TT,2025-12-03 12:39:52
2005,3312,Sociology and Political Science,7,TT,2025-12-03 12:39:52
2005,1110,Plant Science,6,TT,2025-12-03 12:39:52
2005,1311,Genetics,6,TT,2025-12-03 12:39:52
2005,2725,Infectious Diseases,6,TT,2025-12-03 12:39:52
2005,2705,Cardiology and Cardiovascular Medicine,4,TT,2025-12-03 12:39:52
2005,2746,Surgery,4,TT,2025-12-03 12:39:52
2005,1106,Food Science,3,TT,2025-12-03 12:39:52
2005,2402,Applied Microbiology and Biotechnology,3,TT,2025-12-03 12:39:52
2005,3304,Education,3,TT,2025-12-03 12:39:52
2005,3504,Oral Surgery,3,TT,2025-12-03 12:39:52
2005,1108,Horticulture,2,TT,2025-12-03 12:39:52
2005,1406,Marketing,2,TT,2025-12-03 12:39:52
2005,2712,"Endocrinology, Diabetes and Metabolism",2,TT,2025-12-03 12:39:52
2005,2730,Oncology,2,TT,2025-12-03 12:39:52
2005,2736,Pharmacology,2,TT,2025-12-03 12:39:52
2005,2737,Physiology,2,TT,2025-12-03 12:39:52
2005,2745,Rheumatology,2,TT,2025-12-03 12:39:52
2005,2748,Urology,2,TT,2025-12-03 12:39:52
2005,2916,Nutrition and Dietetics,2,TT,2025-12-03 12:39:52
2005,3207,Social Psychology,2,TT,2025-12-03 12:39:52
2005,3311,Safety Research,2,TT,2025-12-03 12:39:52
2005,3604,Emergency Medical Services,2,TT,2025-12-03 12:39:52
2005,1107,Forestry,1,TT,2025-12-03 12:39:52
2005,1109,Insect Science,1,TT,2025-12-03 12:39:52
2005,1305,Biotechnology,1,TT,2025-12-03 12:39:52
2005,1310,Endocrinology,1,TT,2025-12-03 12:39:52
2005,1604,Inorganic Chemistry,1,TT,2025-12-03 12:39:52
2005,1702,Artificial Intelligence,1,TT,2025-12-03 12:39:52
2005,1705,Computer Networks and Communications,1,TT,2025-12-03 12:39:52
2005,2003,Finance,1,TT,2025-12-03 12:39:52
2005,2210,Mechanical Engineering,1,TT,2025-12-03 12:39:52
2005,2303,Ecology,1,TT,2025-12-03 12:39:52
2005,2306,Global and Planetary Change,1,TT,2025-12-03 12:39:52
2005,2404,Microbiology,1,TT,2025-12-03 12:39:52
2005,2405,Parasitology,1,TT,2025-12-03 12:39:52
2005,2406,Virology,1,TT,2025-12-03 12:39:52
2005,2707,Complementary and alternative medicine,1,TT,2025-12-03 12:39:52
2005,2711,Emergency Medicine,1,TT,2025-12-03 12:39:52
2005,2732,Orthopedics and Sports Medicine,1,TT,2025-12-03 12:39:52
2005,2734,Pathology and Forensic Medicine,1,TT,2025-12-03 12:39:52
2005,2735,"Pediatrics, Perinatology and Child Health",1,TT,2025-12-03 12:39:52
2005,2738,Psychiatry and Mental health,1,TT,2025-12-03 12:39:52
2005,2740,Pulmonary and Respiratory Medicine,1,TT,2025-12-03 12:39:52
2005,3204,Developmental and Educational Psychology,1,TT,2025-12-03 12:39:52
2005,3316,Cultural Studies,1,TT,2025-12-03 12:39:52
2005,3317,Demography,1,TT,2025-12-03 12:39:52
2005,3320,Political Science and International Relations,1,TT,2025-12-03 12:39:52
2005,3322,Urban Studies,1,TT,2025-12-03 12:39:52
2005,3605,Health Information Management,1,TT,2025-12-03 12:39:52
2005,3616,Speech and Hearing,1,TT,2025-12-03 12:39:52
2006,3600,General Health Professions,16,TT,2025-12-03 12:39:52
2006,1312,Molecular Biology,9,TT,2025-12-03 12:39:52
2006,2713,Epidemiology,9,TT,2025-12-03 12:39:52
2006,2002,Economics and Econometrics,6,TT,2025-12-03 12:39:52
2006,2725,Infectious Diseases,6,TT,2025-12-03 12:39:52
2006,2739,"Public Health, Environmental and Occupational Health",6,TT,2025-12-03 12:39:52
2006,3304,Education,6,TT,2025-12-03 12:39:52
2006,1110,Plant Science,5,TT,2025-12-03 12:39:52
2006,2746,Surgery,4,TT,2025-12-03 12:39:52
2006,3312,Sociology and Political Science,4,TT,2025-12-03 12:39:52
2006,2705,Cardiology and Cardiovascular Medicine,3,TT,2025-12-03 12:39:52
2006,3318,Gender Studies,3,TT,2025-12-03 12:39:52
2006,3605,Health Information Management,3,TT,2025-12-03 12:39:52
2006,1102,Agronomy and Crop Science,2,TT,2025-12-03 12:39:52
2006,1308,Clinical Biochemistry,2,TT,2025-12-03 12:39:52
2006,2404,Microbiology,2,TT,2025-12-03 12:39:52
2006,2735,"Pediatrics, Perinatology and Child Health",2,TT,2025-12-03 12:39:52
2006,2745,Rheumatology,2,TT,2025-12-03 12:39:52
2006,2916,Nutrition and Dietetics,2,TT,2025-12-03 12:39:52
2006,3203,Clinical Psychology,2,TT,2025-12-03 12:39:52
2006,3311,Safety Research,2,TT,2025-12-03 12:39:52
2006,3322,Urban Studies,2,TT,2025-12-03 12:39:52
2006,3604,Emergency Medical Services,2,TT,2025-12-03 12:39:52
2006,1100,General Agricultural and Biological Sciences,1,TT,2025-12-03 12:39:52
2006,1106,Food Science,1,TT,2025-12-03 12:39:52
2006,1108,Horticulture,1,TT,2025-12-03 12:39:52
2006,1109,Insect Science,1,TT,2025-12-03 12:39:52
2006,1211,Philosophy,1,TT,2025-12-03 12:39:52
2006,1303,Biochemistry,1,TT,2025-12-03 12:39:52
2006,1306,Cancer Research,1,TT,2025-12-03 12:39:52
2006,1710,Information Systems,1,TT,2025-12-03 12:39:52
2006,1803,Management Science and Operations Research,1,TT,2025-12-03 12:39:52
2006,2000,"General Economics, Econometrics and Finance",1,TT,2025-12-03 12:39:52
2006,2204,Biomedical Engineering,1,TT,2025-12-03 12:39:52
2006,2305,Environmental Engineering,1,TT,2025-12-03 12:39:52
2006,2405,Parasitology,1,TT,2025-12-03 12:39:52
2006,2706,Critical Care and Intensive Care Medicine,1,TT,2025-12-03 12:39:52
2006,2711,Emergency Medicine,1,TT,2025-12-03 12:39:52
2006,2712,"Endocrinology, Diabetes and Metabolism",1,TT,2025-12-03 12:39:52
2006,2728,Neurology,1,TT,2025-12-03 12:39:52
2006,2730,Oncology,1,TT,2025-12-03 12:39:52
2006,2734,Pathology and Forensic Medicine,1,TT,2025-12-03 12:39:52
2006,2740,Pulmonary and Respiratory Medicine,1,TT,2025-12-03 12:39:52
2006,2742,Rehabilitation,1,TT,2025-12-03 12:39:52
2006,2743,Reproductive Medicine,1,TT,2025-12-03 12:39:52
2006,2748,Urology,1,TT,2025-12-03 12:39:52
2006,3207,Social Psychology,1,TT,2025-12-03 12:39:52
2006,3317,Demography,1,TT,2025-12-03 12:39:52
2006,3404,Small Animals,1,TT,2025-12-03 12:39:52
2006,3504,Oral Surgery,1,TT,2025-12-03 12:39:52
2006,3506,Periodontics,1,TT,2025-12-03 12:39:52
2006,3611,Pharmacy,1,TT,2025-12-03 12:39:52
2007,1312,Molecular Biology,20,TT,2025-12-03 12:39:52
2007,2739,"Public Health, Environmental and Occupational Health",18,TT,2025-12-03 12:39:52
2007,1110,Plant Science,17,TT,2025-12-03 12:39:52
2007,2713,Epidemiology,14,TT,2025-12-03 12:39:52
2007,2725,Infectious Diseases,12,TT,2025-12-03 12:39:52
2007,2746,Surgery,11,TT,2025-12-03 12:39:52
2007,2002,Economics and Econometrics,10,TT,2025-12-03 12:39:52
2007,1106,Food Science,8,TT,2025-12-03 12:39:52
2007,3312,Sociology and Political Science,8,TT,2025-12-03 12:39:52
2007,2737,Physiology,7,TT,2025-12-03 12:39:52
2007,2741,"Radiology, Nuclear Medicine and Imaging",7,TT,2025-12-03 12:39:52
2007,1109,Insect Science,6,TT,2025-12-03 12:39:52
2007,1311,Genetics,6,TT,2025-12-03 12:39:52
2007,3304,Education,5,TT,2025-12-03 12:39:52
2007,2405,Parasitology,4,TT,2025-12-03 12:39:52
2007,2705,Cardiology and Cardiovascular Medicine,4,TT,2025-12-03 12:39:52
2007,3600,General Health Professions,4,TT,2025-12-03 12:39:52
2007,1306,Cancer Research,3,TT,2025-12-03 12:39:52
2007,2003,Finance,3,TT,2025-12-03 12:39:52
2007,2403,Immunology,3,TT,2025-12-03 12:39:52
2007,2404,Microbiology,3,TT,2025-12-03 12:39:52
2007,2707,Complementary and alternative medicine,3,TT,2025-12-03 12:39:52
2007,1100,General Agricultural and Biological Sciences,2,TT,2025-12-03 12:39:52
2007,1303,Biochemistry,2,TT,2025-12-03 12:39:52
2007,1307,Cell Biology,2,TT,2025-12-03 12:39:52
2007,1308,Clinical Biochemistry,2,TT,2025-12-03 12:39:52
2007,1313,Molecular Medicine,2,TT,2025-12-03 12:39:52
2007,1408,Strategy and Management,2,TT,2025-12-03 12:39:52
2007,2704,Biochemistry,2,TT,2025-12-03 12:39:52
2007,2711,Emergency Medicine,2,TT,2025-12-03 12:39:52
2007,2712,"Endocrinology, Diabetes and Metabolism",2,TT,2025-12-03 12:39:52
2007,2730,Oncology,2,TT,2025-12-03 12:39:52
2007,2735,"Pediatrics, Perinatology and Child Health",2,TT,2025-12-03 12:39:52
2007,2740,Pulmonary and Respiratory Medicine,2,TT,2025-12-03 12:39:52
2007,2745,Rheumatology,2,TT,2025-12-03 12:39:52
2007,3320,Political Science and International Relations,2,TT,2025-12-03 12:39:52
2007,3604,Emergency Medical Services,2,TT,2025-12-03 12:39:52
2007,1105,"Ecology, Evolution, Behavior and Systematics",1,TT,2025-12-03 12:39:52
2007,1108,Horticulture,1,TT,2025-12-03 12:39:52
2007,1208,Literature and Literary Theory,1,TT,2025-12-03 12:39:52
2007,1310,Endocrinology,1,TT,2025-12-03 12:39:52
2007,1314,Physiology,1,TT,2025-12-03 12:39:52
2007,1403,Business and International Management,1,TT,2025-12-03 12:39:52
2007,1404,Management Information Systems,1,TT,2025-12-03 12:39:52
2007,1407,Organizational Behavior and Human Resource Management,1,TT,2025-12-03 12:39:52
2007,1605,Organic Chemistry,1,TT,2025-12-03 12:39:52
2007,1607,Spectroscopy,1,TT,2025-12-03 12:39:52
2007,2000,"General Economics, Econometrics and Finance",1,TT,2025-12-03 12:39:52
2007,2204,Biomedical Engineering,1,TT,2025-12-03 12:39:52
2007,2213,"Safety, Risk, Reliability and Quality",1,TT,2025-12-03 12:39:52
2007,2303,Ecology,1,TT,2025-12-03 12:39:52
2007,2306,Global and Planetary Change,1,TT,2025-12-03 12:39:52
2007,2308,"Management, Monitoring, Policy and Law",1,TT,2025-12-03 12:39:52
2007,2406,Virology,1,TT,2025-12-03 12:39:52
2007,2505,Materials Chemistry,1,TT,2025-12-03 12:39:52
2007,2717,Geriatrics and Gerontology,1,TT,2025-12-03 12:39:52
2007,2732,Orthopedics and Sports Medicine,1,TT,2025-12-03 12:39:52
2007,2733,Otorhinolaryngology,1,TT,2025-12-03 12:39:52
2007,2734,Pathology and Forensic Medicine,1,TT,2025-12-03 12:39:52
2007,2736,Pharmacology,1,TT,2025-12-03 12:39:52
2007,2742,Rehabilitation,1,TT,2025-12-03 12:39:52
2007,2743,Reproductive Medicine,1,TT,2025-12-03 12:39:52
2007,2748,Urology,1,TT,2025-12-03 12:39:52
2007,2804,Cellular and Molecular Neuroscience,1,TT,2025-12-03 12:39:52
2007,2805,Cognitive Neuroscience,1,TT,2025-12-03 12:39:52
2007,2916,Nutrition and Dietetics,1,TT,2025-12-03 12:39:52
2007,3004,Pharmacology,1,TT,2025-12-03 12:39:52
2007,3203,Clinical Psychology,1,TT,2025-12-03 12:39:52
2007,3204,Developmental and Educational Psychology,1,TT,2025-12-03 12:39:52
2007,3303,Development,1,TT,2025-12-03 12:39:52
2007,3313,Transportation,1,TT,2025-12-03 12:39:52
2007,3314,Anthropology,1,TT,2025-12-03 12:39:52
2007,3317,Demography,1,TT,2025-12-03 12:39:52
2007,3404,Small Animals,1,TT,2025-12-03 12:39:52
2007,3504,Oral Surgery,1,TT,2025-12-03 12:39:52
2007,3607,Medical Laboratory Technology,1,TT,2025-12-03 12:39:52
2008,2739,"Public Health, Environmental and Occupational Health",20,TT,2025-12-03 12:39:52
2008,1312,Molecular Biology,17,TT,2025-12-03 12:39:52
2008,3304,Education,14,TT,2025-12-03 12:39:52
2008,2746,Surgery,11,TT,2025-12-03 12:39:52
2008,3312,Sociology and Political Science,11,TT,2025-12-03 12:39:52
2008,1110,Plant Science,9,TT,2025-12-03 12:39:52
2008,3600,General Health Professions,9,TT,2025-12-03 12:39:52
2008,2002,Economics and Econometrics,8,TT,2025-12-03 12:39:52
2008,2713,Epidemiology,8,TT,2025-12-03 12:39:52
2008,2725,Infectious Diseases,8,TT,2025-12-03 12:39:52
2008,1311,Genetics,5,TT,2025-12-03 12:39:52
2008,1105,"Ecology, Evolution, Behavior and Systematics",4,TT,2025-12-03 12:39:52
2008,2405,Parasitology,4,TT,2025-12-03 12:39:52
2008,3316,Cultural Studies,4,TT,2025-12-03 12:39:52
2008,3317,Demography,4,TT,2025-12-03 12:39:52
2008,1307,Cell Biology,3,TT,2025-12-03 12:39:52
2008,2734,Pathology and Forensic Medicine,3,TT,2025-12-03 12:39:52
2008,3203,Clinical Psychology,3,TT,2025-12-03 12:39:52
2008,3204,Developmental and Educational Psychology,3,TT,2025-12-03 12:39:52
2008,3311,Safety Research,3,TT,2025-12-03 12:39:52
2008,3318,Gender Studies,3,TT,2025-12-03 12:39:52
2008,1106,Food Science,2,TT,2025-12-03 12:39:52
2008,1108,Horticulture,2,TT,2025-12-03 12:39:52
2008,1310,Endocrinology,2,TT,2025-12-03 12:39:52
2008,1402,Accounting,2,TT,2025-12-03 12:39:52
2008,1407,Organizational Behavior and Human Resource Management,2,TT,2025-12-03 12:39:52
2008,2406,Virology,2,TT,2025-12-03 12:39:52
2008,2705,Cardiology and Cardiovascular Medicine,2,TT,2025-12-03 12:39:52
2008,2712,"Endocrinology, Diabetes and Metabolism",2,TT,2025-12-03 12:39:52
2008,2715,Gastroenterology,2,TT,2025-12-03 12:39:52
2008,2729,Obstetrics and Gynecology,2,TT,2025-12-03 12:39:52
2008,2730,Oncology,2,TT,2025-12-03 12:39:52
2008,2737,Physiology,2,TT,2025-12-03 12:39:52
2008,2748,Urology,2,TT,2025-12-03 12:39:52
2008,2916,Nutrition and Dietetics,2,TT,2025-12-03 12:39:52
2008,3004,Pharmacology,2,TT,2025-12-03 12:39:52
2008,3306,Health,2,TT,2025-12-03 12:39:52
2008,3314,Anthropology,2,TT,2025-12-03 12:39:52
2008,1109,Insect Science,1,TT,2025-12-03 12:39:52
2008,1203,Language and Linguistics,1,TT,2025-12-03 12:39:52
2008,1204,Archeology,1,TT,2025-12-03 12:39:52
2008,1408,Strategy and Management,1,TT,2025-12-03 12:39:52
2008,1607,Spectroscopy,1,TT,2025-12-03 12:39:52
2008,1706,Computer Science Applications,1,TT,2025-12-03 12:39:52
2008,1804,"Statistics, Probability and Uncertainty",1,TT,2025-12-03 12:39:52
2008,2000,"General Economics, Econometrics and Finance",1,TT,2025-12-03 12:39:52
2008,2003,Finance,1,TT,2025-12-03 12:39:52
2008,2105,"Renewable Energy, Sustainability and the Environment",1,TT,2025-12-03 12:39:52
2008,2214,Media Technology,1,TT,2025-12-03 12:39:52
2008,2303,Ecology,1,TT,2025-12-03 12:39:52
2008,2306,Global and Planetary Change,1,TT,2025-12-03 12:39:52
2008,2403,Immunology,1,TT,2025-12-03 12:39:52
2008,2704,Biochemistry,1,TT,2025-12-03 12:39:52
2008,2708,Dermatology,1,TT,2025-12-03 12:39:52
2008,2711,Emergency Medicine,1,TT,2025-12-03 12:39:52
2008,2717,Geriatrics and Gerontology,1,TT,2025-12-03 12:39:52
2008,2720,Hematology,1,TT,2025-12-03 12:39:52
2008,2721,Hepatology,1,TT,2025-12-03 12:39:52
2008,2732,Orthopedics and Sports Medicine,1,TT,2025-12-03 12:39:52
2008,2736,Pharmacology,1,TT,2025-12-03 12:39:52
2008,2738,Psychiatry and Mental health,1,TT,2025-12-03 12:39:52
2008,2740,Pulmonary and Respiratory Medicine,1,TT,2025-12-03 12:39:52
2008,2741,"Radiology, Nuclear Medicine and Imaging",1,TT,2025-12-03 12:39:52
2008,2743,Reproductive Medicine,1,TT,2025-12-03 12:39:52
2008,2808,Neurology,1,TT,2025-12-03 12:39:52
2008,3205,Experimental and Cognitive Psychology,1,TT,2025-12-03 12:39:52
2008,3313,Transportation,1,TT,2025-12-03 12:39:52
2008,3404,Small Animals,1,TT,2025-12-03 12:39:52
2008,3604,Emergency Medical Services,1,TT,2025-12-03 12:39:52
2009,2713,Epidemiology,34,TT,2025-12-03 12:39:52
2009,2739,"Public Health, Environmental and Occupational Health",29,TT,2025-12-03 12:39:52
2009,2725,Infectious Diseases,27,TT,2025-12-03 12:39:52
2009,1312,Molecular Biology,26,TT,2025-12-03 12:39:52
2009,2746,Surgery,25,TT,2025-12-03 12:39:52
2009,3304,Education,19,TT,2025-12-03 12:39:52
2009,3312,Sociology and Political Science,17,TT,2025-12-03 12:39:52
2009,1110,Plant Science,10,TT,2025-12-03 12:39:52
2009,3600,General Health Professions,10,TT,2025-12-03 12:39:52
