year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,6170,TW,2025-12-01 18:45:22
2005,1312,Molecular Biology,2478,TW,2025-12-01 18:45:22
2005,2204,Biomedical Engineering,2357,TW,2025-12-01 18:45:22
2005,2505,Materials Chemistry,2251,TW,2025-12-01 18:45:22
2005,1705,Computer Networks and Communications,1963,TW,2025-12-01 18:45:22
2005,3107,"Atomic and Molecular Physics, and Optics",1823,TW,2025-12-01 18:45:22
2005,1702,Artificial Intelligence,1807,TW,2025-12-01 18:45:22
2005,2210,Mechanical Engineering,1614,TW,2025-12-01 18:45:22
2005,2746,Surgery,1577,TW,2025-12-01 18:45:22
2005,2713,Epidemiology,908,TW,2025-12-01 18:45:22
2005,2207,Control and Systems Engineering,860,TW,2025-12-01 18:45:22
2005,2504,"Electronic, Optical and Magnetic Materials",767,TW,2025-12-01 18:45:22
2005,2211,Mechanics of Materials,615,TW,2025-12-01 18:45:22
2005,2202,Aerospace Engineering,535,TW,2025-12-01 18:45:22
2005,1707,Computer Vision and Pattern Recognition,528,TW,2025-12-01 18:45:22
2005,1710,Information Systems,511,TW,2025-12-01 18:45:22
2005,1708,Hardware and Architecture,500,TW,2025-12-01 18:45:22
2005,3104,Condensed Matter Physics,489,TW,2025-12-01 18:45:22
2005,2206,Computational Mechanics,486,TW,2025-12-01 18:45:22
2005,2507,Polymers and Plastics,457,TW,2025-12-01 18:45:22
2005,2740,Pulmonary and Respiratory Medicine,426,TW,2025-12-01 18:45:22
2005,1711,Signal Processing,372,TW,2025-12-01 18:45:22
2005,1605,Organic Chemistry,350,TW,2025-12-01 18:45:22
2005,1703,Computational Theory and Mathematics,331,TW,2025-12-01 18:45:22
2005,2730,Oncology,317,TW,2025-12-01 18:45:22
2005,1311,Genetics,271,TW,2025-12-01 18:45:22
2005,2741,"Radiology, Nuclear Medicine and Imaging",256,TW,2025-12-01 18:45:22
2005,2705,Cardiology and Cardiovascular Medicine,244,TW,2025-12-01 18:45:22
2005,1607,Spectroscopy,239,TW,2025-12-01 18:45:22
2005,1110,Plant Science,234,TW,2025-12-01 18:45:22
2005,2508,"Surfaces, Coatings and Films",229,TW,2025-12-01 18:45:22
2005,2734,Pathology and Forensic Medicine,225,TW,2025-12-01 18:45:22
2005,2725,Infectious Diseases,208,TW,2025-12-01 18:45:22
