subfield_id,subfield_name,title,doi,year,cited_by_count,id
2739,"Public Health, Environmental and Occupational Health","Global Burden of Hypertension and Systolic Blood Pressure of at Least 110 to 115 mm Hg, 1990-2015",https://doi.org/10.1001/jama.2016.19043,2017,2294,https://openalex.org/W2572331255
2739,"Public Health, Environmental and Occupational Health",The Lancet Global Health Commission on Global Eye Health: vision beyond 2020,https://doi.org/10.1016/s2214-109x(20)30488-5,2021,1264,https://openalex.org/W3130938027
2739,"Public Health, Environmental and Occupational Health","Artesunate versus quinine in the treatment of severe falciparum malaria in African children (AQUAMAT): an open-label, randomised trial",https://doi.org/10.1016/s0140-6736(10)61924-1,2010,998,https://openalex.org/W2110383454
2725,Infectious Diseases,Estimating the Global Burden of Endemic Canine Rabies,https://doi.org/10.1371/journal.pntd.0003709,2015,1715,https://openalex.org/W2073034493
2725,Infectious Diseases,Preexposure Prophylaxis for HIV Infection among African Women,https://doi.org/10.1056/nejmoa1202614,2012,1584,https://openalex.org/W2168251450
2725,Infectious Diseases,"Global Tuberculosis Report 2020 – Reflections on the Global TB burden, treatment and prevention efforts",https://doi.org/10.1016/j.ijid.2021.02.107,2021,1023,https://openalex.org/W3135682442
2735,"Pediatrics, Perinatology and Child Health",Grand challenges in global mental health,https://doi.org/10.1038/475027a,2011,1996,https://openalex.org/W2148602524
2735,"Pediatrics, Perinatology and Child Health",The Lancet Global Health Commission on Global Eye Health: vision beyond 2020,https://doi.org/10.1016/s2214-109x(20)30488-5,2021,1264,https://openalex.org/W3130938027
2735,"Pediatrics, Perinatology and Child Health","Artesunate versus quinine in the treatment of severe falciparum malaria in African children (AQUAMAT): an open-label, randomised trial",https://doi.org/10.1016/s0140-6736(10)61924-1,2010,998,https://openalex.org/W2110383454
2713,Epidemiology,Estimating the Global Burden of Endemic Canine Rabies,https://doi.org/10.1371/journal.pntd.0003709,2015,1715,https://openalex.org/W2073034493
2713,Epidemiology,Preexposure Prophylaxis for HIV Infection among African Women,https://doi.org/10.1056/nejmoa1202614,2012,1584,https://openalex.org/W2168251450
2713,Epidemiology,Mortality after Fluid Bolus in African Children with Severe Infection,https://doi.org/10.1056/nejmoa1101549,2011,1533,https://openalex.org/W2096883458
1110,Plant Science,Deep Learning for Image-Based Cassava Disease Detection,https://doi.org/10.3389/fpls.2017.01852,2017,599,https://openalex.org/W2735962203
1110,Plant Science,"Characterizing, controlling and eliminating residual malaria transmission",https://doi.org/10.1186/1475-2875-13-330,2014,488,https://openalex.org/W2152400766
1110,Plant Science,A cloud-compatible bioinformatics pipeline for ultrarapid pathogen identification from next-generation sequencing of clinical samples,https://doi.org/10.1101/gr.171934.113,2014,478,https://openalex.org/W2137662380
3600,General Health Professions,Planning Health Promotion Programs: An Intervention Mapping Approach,,2006,2061,https://openalex.org/W2119405892
3600,General Health Professions,Gut microbiome of the Hadza hunter-gatherers,https://doi.org/10.1038/ncomms4654,2014,1310,https://openalex.org/W2087278385
3600,General Health Professions,Multimorbidity,https://doi.org/10.1038/s41572-022-00376-4,2022,1035,https://openalex.org/W4285390610
2303,Ecology,The Impact of Conservation on the Status of the World’s Vertebrates,https://doi.org/10.1126/science.1194442,2010,1509,https://openalex.org/W2111760270
2303,Ecology,Speciation through sensory drive in cichlid fish,https://doi.org/10.1038/nature07285,2008,1065,https://openalex.org/W2058815816
2303,Ecology,Can sub-Saharan Africa feed itself?,https://doi.org/10.1073/pnas.1610359113,2016,810,https://openalex.org/W2560991236
1312,Molecular Biology,Ancient human genomes suggest three ancestral populations for present-day Europeans,https://doi.org/10.1038/nature13673,2014,1416,https://openalex.org/W2050967443
1312,Molecular Biology,Gut microbiome of the Hadza hunter-gatherers,https://doi.org/10.1038/ncomms4654,2014,1310,https://openalex.org/W2087278385
1312,Molecular Biology,Seasonal cycling in the gut microbiome of the Hadza hunter-gatherers of Tanzania,https://doi.org/10.1126/science.aan4834,2017,891,https://openalex.org/W2750417371
3312,Sociology and Political Science,Algorithms at Work: The New Contested Terrain of Control,https://doi.org/10.5465/annals.2018.0174,2019,1441,https://openalex.org/W2990520658
3312,Sociology and Political Science,Normative theories of the media: journalism in democratic societies,https://doi.org/10.5860/choice.47-1837,2009,813,https://openalex.org/W573351650
3312,Sociology and Political Science,Second Life: an overview of the potential of 3‐D virtual worlds in medical and health education,https://doi.org/10.1111/j.1471-1842.2007.00733.x,2007,682,https://openalex.org/W2008402888
2002,Economics and Econometrics,Grand challenges in global mental health,https://doi.org/10.1038/475027a,2011,1996,https://openalex.org/W2148602524
2002,Economics and Econometrics,The global burden of women’s cancers: a grand challenge in global health,https://doi.org/10.1016/s0140-6736(16)31392-7,2016,1070,https://openalex.org/W2548000951
2002,Economics and Econometrics,Multimorbidity,https://doi.org/10.1038/s41572-022-00376-4,2022,1035,https://openalex.org/W4285390610
