year,id,name,works_count,country,fetch_date
2005,2303,Ecology,68,TZ,2025-11-28 17:32:44
2005,2739,"Public Health, Environmental and Occupational Health",67,TZ,2025-11-28 17:32:44
2005,2725,Infectious Diseases,62,TZ,2025-11-28 17:32:44
2005,2735,"Pediatrics, Perinatology and Child Health",48,TZ,2025-11-28 17:32:44
2005,3600,General Health Professions,45,TZ,2025-11-28 17:32:44
2005,1110,Plant Science,41,TZ,2025-11-28 17:32:44
2005,2713,Epidemiology,39,TZ,2025-11-28 17:32:44
2005,1312,Molecular Biology,37,TZ,2025-11-28 17:32:44
2005,3312,Sociology and Political Science,31,TZ,2025-11-28 17:32:44
2005,2405,Parasitology,22,TZ,2025-11-28 17:32:44
2005,2916,Nutrition and Dietetics,22,TZ,2025-11-28 17:32:44
2005,2002,Economics and Econometrics,19,TZ,2025-11-28 17:32:44
2005,2308,"Management, Monitoring, Policy and Law",16,TZ,2025-11-28 17:32:44
2005,1311,Genetics,14,TZ,2025-11-28 17:32:44
2005,2304,Environmental Chemistry,14,TZ,2025-11-28 17:32:44
2005,2406,Virology,13,TZ,2025-11-28 17:32:44
2005,2306,Global and Planetary Change,12,TZ,2025-11-28 17:32:44
2005,2404,Microbiology,12,TZ,2025-11-28 17:32:44
2005,1105,"Ecology, Evolution, Behavior and Systematics",11,TZ,2025-11-28 17:32:44
2005,2737,Physiology,10,TZ,2025-11-28 17:32:44
2005,1102,Agronomy and Crop Science,9,TZ,2025-11-28 17:32:44
2005,2003,Finance,9,TZ,2025-11-28 17:32:44
2005,3311,Safety Research,9,TZ,2025-11-28 17:32:44
2005,2711,Emergency Medicine,8,TZ,2025-11-28 17:32:44
2005,2716,Genetics,8,TZ,2025-11-28 17:32:44
2005,1104,Aquatic Science,7,TZ,2025-11-28 17:32:44
2005,1109,Insect Science,7,TZ,2025-11-28 17:32:44
2005,2730,Oncology,7,TZ,2025-11-28 17:32:44
2005,2736,Pharmacology,7,TZ,2025-11-28 17:32:44
2005,2746,Surgery,7,TZ,2025-11-28 17:32:44
2005,2731,Ophthalmology,6,TZ,2025-11-28 17:32:44
2005,2307,"Health, Toxicology and Mutagenesis",5,TZ,2025-11-28 17:32:44
2005,2403,Immunology,5,TZ,2025-11-28 17:32:44
2005,2743,Reproductive Medicine,5,TZ,2025-11-28 17:32:44
2005,3004,Pharmacology,5,TZ,2025-11-28 17:32:44
2005,3404,Small Animals,5,TZ,2025-11-28 17:32:44
2005,1106,Food Science,4,TZ,2025-11-28 17:32:44
2005,1111,Soil Science,4,TZ,2025-11-28 17:32:44
2005,2720,Hematology,4,TZ,2025-11-28 17:32:44
2005,2738,Psychiatry and Mental health,4,TZ,2025-11-28 17:32:44
2005,3207,Social Psychology,4,TZ,2025-11-28 17:32:44
2005,3318,Gender Studies,4,TZ,2025-11-28 17:32:44
2005,3320,Political Science and International Relations,4,TZ,2025-11-28 17:32:44
2005,3604,Emergency Medical Services,4,TZ,2025-11-28 17:32:44
2005,1100,General Agricultural and Biological Sciences,3,TZ,2025-11-28 17:32:44
2005,1107,Forestry,3,TZ,2025-11-28 17:32:44
2005,1211,Philosophy,3,TZ,2025-11-28 17:32:44
2005,1305,Biotechnology,3,TZ,2025-11-28 17:32:44
2005,1703,Computational Theory and Mathematics,3,TZ,2025-11-28 17:32:44
2005,1710,Information Systems,3,TZ,2025-11-28 17:32:44
2005,1911,Paleontology,3,TZ,2025-11-28 17:32:44
2005,2311,Industrial and Manufacturing Engineering,3,TZ,2025-11-28 17:32:44
2005,2707,Complementary and alternative medicine,3,TZ,2025-11-28 17:32:44
2005,2729,Obstetrics and Gynecology,3,TZ,2025-11-28 17:32:44
2005,2734,Pathology and Forensic Medicine,3,TZ,2025-11-28 17:32:44
2005,3202,Applied Psychology,3,TZ,2025-11-28 17:32:44
2005,3203,Clinical Psychology,3,TZ,2025-11-28 17:32:44
2005,3304,Education,3,TZ,2025-11-28 17:32:44
2005,3306,Health,3,TZ,2025-11-28 17:32:44
2005,3322,Urban Studies,3,TZ,2025-11-28 17:32:44
2005,1303,Biochemistry,2,TZ,2025-11-28 17:32:44
2005,1306,Cancer Research,2,TZ,2025-11-28 17:32:44
2005,1307,Cell Biology,2,TZ,2025-11-28 17:32:44
2005,1402,Accounting,2,TZ,2025-11-28 17:32:44
2005,1404,Management Information Systems,2,TZ,2025-11-28 17:32:44
2005,1407,Organizational Behavior and Human Resource Management,2,TZ,2025-11-28 17:32:44
2005,1408,Strategy and Management,2,TZ,2025-11-28 17:32:44
2005,1902,Atmospheric Science,2,TZ,2025-11-28 17:32:44
2005,1906,Geochemistry and Petrology,2,TZ,2025-11-28 17:32:44
2005,1910,Oceanography,2,TZ,2025-11-28 17:32:44
2005,2204,Biomedical Engineering,2,TZ,2025-11-28 17:32:44
2005,2210,Mechanical Engineering,2,TZ,2025-11-28 17:32:44
2005,2212,Ocean Engineering,2,TZ,2025-11-28 17:32:44
2005,2213,"Safety, Risk, Reliability and Quality",2,TZ,2025-11-28 17:32:44
2005,2302,Ecological Modeling,2,TZ,2025-11-28 17:32:44
2005,2309,Nature and Landscape Conservation,2,TZ,2025-11-28 17:32:44
2005,2312,Water Science and Technology,2,TZ,2025-11-28 17:32:44
2005,2505,Materials Chemistry,2,TZ,2025-11-28 17:32:44
2005,2712,"Endocrinology, Diabetes and Metabolism",2,TZ,2025-11-28 17:32:44
2005,2727,Nephrology,2,TZ,2025-11-28 17:32:44
2005,2728,Neurology,2,TZ,2025-11-28 17:32:44
2005,2745,Rheumatology,2,TZ,2025-11-28 17:32:44
2005,3314,Anthropology,2,TZ,2025-11-28 17:32:44
2005,3317,Demography,2,TZ,2025-11-28 17:32:44
2005,3321,Public Administration,2,TZ,2025-11-28 17:32:44
2005,3616,Speech and Hearing,2,TZ,2025-11-28 17:32:44
2005,1103,Animal Science and Zoology,1,TZ,2025-11-28 17:32:44
2005,1108,Horticulture,1,TZ,2025-11-28 17:32:44
2005,1204,Archeology,1,TZ,2025-11-28 17:32:44
2005,1208,Literature and Literary Theory,1,TZ,2025-11-28 17:32:44
2005,1302,Aging,1,TZ,2025-11-28 17:32:44
2005,1308,Clinical Biochemistry,1,TZ,2025-11-28 17:32:44
2005,1309,Developmental Biology,1,TZ,2025-11-28 17:32:44
2005,1310,Endocrinology,1,TZ,2025-11-28 17:32:44
2005,1313,Molecular Medicine,1,TZ,2025-11-28 17:32:44
2005,1405,Management of Technology and Innovation,1,TZ,2025-11-28 17:32:44
2005,1607,Spectroscopy,1,TZ,2025-11-28 17:32:44
2005,1706,Computer Science Applications,1,TZ,2025-11-28 17:32:44
2005,1803,Management Science and Operations Research,1,TZ,2025-11-28 17:32:44
2005,2203,Automotive Engineering,1,TZ,2025-11-28 17:32:44
2005,2215,Building and Construction,1,TZ,2025-11-28 17:32:44
2005,2305,Environmental Engineering,1,TZ,2025-11-28 17:32:44
2005,2310,Pollution,1,TZ,2025-11-28 17:32:44
2005,2704,Biochemistry,1,TZ,2025-11-28 17:32:44
2005,2705,Cardiology and Cardiovascular Medicine,1,TZ,2025-11-28 17:32:44
2005,2714,Family Practice,1,TZ,2025-11-28 17:32:44
2005,2721,Hepatology,1,TZ,2025-11-28 17:32:44
2005,2740,Pulmonary and Respiratory Medicine,1,TZ,2025-11-28 17:32:44
2005,2741,"Radiology, Nuclear Medicine and Imaging",1,TZ,2025-11-28 17:32:44
2005,3005,Toxicology,1,TZ,2025-11-28 17:32:44
2005,3206,Neuropsychology and Physiological Psychology,1,TZ,2025-11-28 17:32:44
2005,3303,Development,1,TZ,2025-11-28 17:32:44
2005,3310,Linguistics and Language,1,TZ,2025-11-28 17:32:44
2005,3315,Communication,1,TZ,2025-11-28 17:32:44
2005,3504,Oral Surgery,1,TZ,2025-11-28 17:32:44
2005,3605,Health Information Management,1,TZ,2025-11-28 17:32:44
2005,3614,Radiological and Ultrasound Technology,1,TZ,2025-11-28 17:32:44
2006,2739,"Public Health, Environmental and Occupational Health",120,TZ,2025-11-28 17:32:44
2006,2725,Infectious Diseases,93,TZ,2025-11-28 17:32:44
2006,3600,General Health Professions,77,TZ,2025-11-28 17:32:44
2006,2303,Ecology,69,TZ,2025-11-28 17:32:44
2006,2713,Epidemiology,60,TZ,2025-11-28 17:32:44
2006,1110,Plant Science,55,TZ,2025-11-28 17:32:44
2006,2735,"Pediatrics, Perinatology and Child Health",45,TZ,2025-11-28 17:32:44
2006,3312,Sociology and Political Science,41,TZ,2025-11-28 17:32:44
2006,1312,Molecular Biology,37,TZ,2025-11-28 17:32:44
2006,2405,Parasitology,32,TZ,2025-11-28 17:32:44
2006,2002,Economics and Econometrics,27,TZ,2025-11-28 17:32:44
2006,2916,Nutrition and Dietetics,25,TZ,2025-11-28 17:32:44
2006,2404,Microbiology,22,TZ,2025-11-28 17:32:44
2006,1311,Genetics,20,TZ,2025-11-28 17:32:44
2006,2306,Global and Planetary Change,19,TZ,2025-11-28 17:32:44
2006,1105,"Ecology, Evolution, Behavior and Systematics",15,TZ,2025-11-28 17:32:44
2006,1109,Insect Science,13,TZ,2025-11-28 17:32:44
2006,3207,Social Psychology,13,TZ,2025-11-28 17:32:44
2006,2309,Nature and Landscape Conservation,12,TZ,2025-11-28 17:32:44
2006,3311,Safety Research,12,TZ,2025-11-28 17:32:44
2006,2308,"Management, Monitoring, Policy and Law",11,TZ,2025-11-28 17:32:44
2006,2406,Virology,11,TZ,2025-11-28 17:32:44
2006,3203,Clinical Psychology,11,TZ,2025-11-28 17:32:44
2006,2737,Physiology,10,TZ,2025-11-28 17:32:44
2006,3304,Education,10,TZ,2025-11-28 17:32:44
2006,2403,Immunology,9,TZ,2025-11-28 17:32:44
2006,3506,Periodontics,9,TZ,2025-11-28 17:32:44
2006,1102,Agronomy and Crop Science,8,TZ,2025-11-28 17:32:44
2006,2746,Surgery,8,TZ,2025-11-28 17:32:44
2006,1106,Food Science,7,TZ,2025-11-28 17:32:44
2006,3306,Health,7,TZ,2025-11-28 17:32:44
2006,1107,Forestry,6,TZ,2025-11-28 17:32:44
2006,1307,Cell Biology,6,TZ,2025-11-28 17:32:44
2006,1703,Computational Theory and Mathematics,6,TZ,2025-11-28 17:32:44
2006,2003,Finance,6,TZ,2025-11-28 17:32:44
2006,2304,Environmental Chemistry,6,TZ,2025-11-28 17:32:44
2006,2729,Obstetrics and Gynecology,6,TZ,2025-11-28 17:32:44
2006,3004,Pharmacology,6,TZ,2025-11-28 17:32:44
2006,3604,Emergency Medical Services,6,TZ,2025-11-28 17:32:44
2006,1103,Animal Science and Zoology,5,TZ,2025-11-28 17:32:44
2006,1104,Aquatic Science,5,TZ,2025-11-28 17:32:44
2006,1310,Endocrinology,5,TZ,2025-11-28 17:32:44
2006,1710,Information Systems,5,TZ,2025-11-28 17:32:44
2006,1910,Oceanography,5,TZ,2025-11-28 17:32:44
2006,2302,Ecological Modeling,5,TZ,2025-11-28 17:32:44
2006,1100,General Agricultural and Biological Sciences,4,TZ,2025-11-28 17:32:44
2006,1407,Organizational Behavior and Human Resource Management,4,TZ,2025-11-28 17:32:44
2006,1911,Paleontology,4,TZ,2025-11-28 17:32:44
2006,2712,"Endocrinology, Diabetes and Metabolism",4,TZ,2025-11-28 17:32:44
2006,2731,Ophthalmology,4,TZ,2025-11-28 17:32:44
2006,2743,Reproductive Medicine,4,TZ,2025-11-28 17:32:44
2006,3318,Gender Studies,4,TZ,2025-11-28 17:32:44
2006,1108,Horticulture,3,TZ,2025-11-28 17:32:44
2006,1111,Soil Science,3,TZ,2025-11-28 17:32:44
2006,2707,Complementary and alternative medicine,3,TZ,2025-11-28 17:32:44
2006,2720,Hematology,3,TZ,2025-11-28 17:32:44
2006,2721,Hepatology,3,TZ,2025-11-28 17:32:44
2006,2804,Cellular and Molecular Neuroscience,3,TZ,2025-11-28 17:32:44
2006,3314,Anthropology,3,TZ,2025-11-28 17:32:44
2006,3320,Political Science and International Relations,3,TZ,2025-11-28 17:32:44
2006,3616,Speech and Hearing,3,TZ,2025-11-28 17:32:44
2006,1305,Biotechnology,2,TZ,2025-11-28 17:32:44
2006,1308,Clinical Biochemistry,2,TZ,2025-11-28 17:32:44
2006,1402,Accounting,2,TZ,2025-11-28 17:32:44
