year,id,name,works_count,country,fetch_date
2005,2505,Materials Chemistry,1188,UA,2025-12-01 18:48:04
2005,2208,Electrical and Electronic Engineering,1141,UA,2025-12-01 18:48:04
2005,3107,"Atomic and Molecular Physics, and Optics",1122,UA,2025-12-01 18:48:04
2005,2210,Mechanical Engineering,625,UA,2025-12-01 18:48:04
2005,2204,Biomedical Engineering,540,UA,2025-12-01 18:48:04
2005,2211,Mechanics of Materials,410,UA,2025-12-01 18:48:04
2005,2504,"Electronic, Optical and Magnetic Materials",278,UA,2025-12-01 18:48:04
2005,3104,Condensed Matter Physics,266,UA,2025-12-01 18:48:04
2005,2202,Aerospace Engineering,175,UA,2025-12-01 18:48:04
2005,2206,Computational Mechanics,141,UA,2025-12-01 18:48:04
2005,2500,General Materials Science,141,UA,2025-12-01 18:48:04
2005,1605,Organic Chemistry,112,UA,2025-12-01 18:48:04
2005,3109,Statistical and Nonlinear Physics,95,UA,2025-12-01 18:48:04
2005,1607,Spectroscopy,92,UA,2025-12-01 18:48:04
2005,2207,Control and Systems Engineering,91,UA,2025-12-01 18:48:04
2005,3106,Nuclear and High Energy Physics,85,UA,2025-12-01 18:48:04
2005,3108,Radiation,79,UA,2025-12-01 18:48:04
2005,1606,Physical and Theoretical Chemistry,76,UA,2025-12-01 18:48:04
2005,1604,Inorganic Chemistry,73,UA,2025-12-01 18:48:04
2005,2508,"Surfaces, Coatings and Films",73,UA,2025-12-01 18:48:04
2005,3103,Astronomy and Astrophysics,70,UA,2025-12-01 18:48:04
2005,2507,Polymers and Plastics,61,UA,2025-12-01 18:48:04
2005,2209,Industrial and Manufacturing Engineering,60,UA,2025-12-01 18:48:04
2005,2212,Ocean Engineering,60,UA,2025-12-01 18:48:04
2005,2503,Ceramics and Composites,60,UA,2025-12-01 18:48:04
2005,2002,Economics and Econometrics,59,UA,2025-12-01 18:48:04
2005,1902,Atmospheric Science,57,UA,2025-12-01 18:48:04
2005,1908,Geophysics,56,UA,2025-12-01 18:48:04
2005,2205,Civil and Structural Engineering,55,UA,2025-12-01 18:48:04
2005,1710,Information Systems,54,UA,2025-12-01 18:48:04
2005,1312,Molecular Biology,53,UA,2025-12-01 18:48:04
2005,1705,Computer Networks and Communications,52,UA,2025-12-01 18:48:04
2005,1502,Bioengineering,47,UA,2025-12-01 18:48:04
2005,3320,Political Science and International Relations,44,UA,2025-12-01 18:48:04
2005,2308,"Management, Monitoring, Policy and Law",41,UA,2025-12-01 18:48:04
2005,1503,Catalysis,39,UA,2025-12-01 18:48:04
2005,2105,"Renewable Energy, Sustainability and the Environment",33,UA,2025-12-01 18:48:04
2005,2610,Mathematical Physics,32,UA,2025-12-01 18:48:04
2005,1702,Artificial Intelligence,31,UA,2025-12-01 18:48:04
2005,2741,"Radiology, Nuclear Medicine and Imaging",29,UA,2025-12-01 18:48:04
2005,2000,"General Economics, Econometrics and Finance",28,UA,2025-12-01 18:48:04
2005,1603,Electrochemistry,27,UA,2025-12-01 18:48:04
2005,1106,Food Science,26,UA,2025-12-01 18:48:04
2005,1507,Fluid Flow and Transfer Processes,25,UA,2025-12-01 18:48:04
2005,2312,Water Science and Technology,22,UA,2025-12-01 18:48:04
2005,2604,Applied Mathematics,21,UA,2025-12-01 18:48:04
2005,1602,Analytical Chemistry,20,UA,2025-12-01 18:48:04
