year,id,name,works_count,country,fetch_date
2005,2725,Infectious Diseases,103,UG,2025-11-28 17:32:59
2005,2713,Epidemiology,74,UG,2025-11-28 17:32:59
2005,2739,"Public Health, Environmental and Occupational Health",54,UG,2025-11-28 17:32:59
2005,2735,"Pediatrics, Perinatology and Child Health",46,UG,2025-11-28 17:32:59
2005,3600,General Health Professions,45,UG,2025-11-28 17:32:59
2005,1110,Plant Science,41,UG,2025-11-28 17:32:59
2005,3312,Sociology and Political Science,33,UG,2025-11-28 17:32:59
2005,2406,Virology,32,UG,2025-11-28 17:32:59
2005,2002,Economics and Econometrics,28,UG,2025-11-28 17:32:59
2005,2916,Nutrition and Dietetics,26,UG,2025-11-28 17:32:59
2005,2405,Parasitology,23,UG,2025-11-28 17:32:59
2005,1312,Molecular Biology,17,UG,2025-11-28 17:32:59
2005,2746,Surgery,15,UG,2025-11-28 17:32:59
2005,3311,Safety Research,14,UG,2025-11-28 17:32:59
2005,2711,Emergency Medicine,12,UG,2025-11-28 17:32:59
2005,1109,Insect Science,10,UG,2025-11-28 17:32:59
2005,1102,Agronomy and Crop Science,9,UG,2025-11-28 17:32:59
2005,2730,Oncology,9,UG,2025-11-28 17:32:59
2005,3203,Clinical Psychology,8,UG,2025-11-28 17:32:59
2005,2403,Immunology,7,UG,2025-11-28 17:32:59
2005,2721,Hepatology,6,UG,2025-11-28 17:32:59
2005,2303,Ecology,5,UG,2025-11-28 17:32:59
2005,2737,Physiology,5,UG,2025-11-28 17:32:59
2005,2740,Pulmonary and Respiratory Medicine,5,UG,2025-11-28 17:32:59
2005,3306,Health,5,UG,2025-11-28 17:32:59
2005,1100,General Agricultural and Biological Sciences,4,UG,2025-11-28 17:32:59
2005,1111,Soil Science,4,UG,2025-11-28 17:32:59
2005,1311,Genetics,4,UG,2025-11-28 17:32:59
2005,1407,Organizational Behavior and Human Resource Management,4,UG,2025-11-28 17:32:59
2005,2003,Finance,4,UG,2025-11-28 17:32:59
2005,2404,Microbiology,4,UG,2025-11-28 17:32:59
2005,2720,Hematology,4,UG,2025-11-28 17:32:59
2005,2734,Pathology and Forensic Medicine,4,UG,2025-11-28 17:32:59
2005,2736,Pharmacology,4,UG,2025-11-28 17:32:59
2005,3207,Social Psychology,4,UG,2025-11-28 17:32:59
2005,3318,Gender Studies,4,UG,2025-11-28 17:32:59
2005,1105,"Ecology, Evolution, Behavior and Systematics",3,UG,2025-11-28 17:32:59
2005,1703,Computational Theory and Mathematics,3,UG,2025-11-28 17:32:59
2005,2312,Water Science and Technology,3,UG,2025-11-28 17:32:59
2005,2729,Obstetrics and Gynecology,3,UG,2025-11-28 17:32:59
2005,2745,Rheumatology,3,UG,2025-11-28 17:32:59
2005,3004,Pharmacology,3,UG,2025-11-28 17:32:59
2005,3320,Political Science and International Relations,3,UG,2025-11-28 17:32:59
2005,1106,Food Science,2,UG,2025-11-28 17:32:59
2005,1107,Forestry,2,UG,2025-11-28 17:32:59
2005,1108,Horticulture,2,UG,2025-11-28 17:32:59
2005,1310,Endocrinology,2,UG,2025-11-28 17:32:59
2005,1313,Molecular Medicine,2,UG,2025-11-28 17:32:59
2005,2731,Ophthalmology,2,UG,2025-11-28 17:32:59
2005,3303,Development,2,UG,2025-11-28 17:32:59
2005,3304,Education,2,UG,2025-11-28 17:32:59
2005,3305,"Geography, Planning and Development",2,UG,2025-11-28 17:32:59
2005,3308,Law,2,UG,2025-11-28 17:32:59
2005,3322,Urban Studies,2,UG,2025-11-28 17:32:59
2005,3404,Small Animals,2,UG,2025-11-28 17:32:59
2005,1208,Literature and Literary Theory,1,UG,2025-11-28 17:32:59
2005,1212,Religious studies,1,UG,2025-11-28 17:32:59
2005,1305,Biotechnology,1,UG,2025-11-28 17:32:59
2005,1307,Cell Biology,1,UG,2025-11-28 17:32:59
2005,1308,Clinical Biochemistry,1,UG,2025-11-28 17:32:59
2005,1402,Accounting,1,UG,2025-11-28 17:32:59
2005,1404,Management Information Systems,1,UG,2025-11-28 17:32:59
2005,1405,Management of Technology and Innovation,1,UG,2025-11-28 17:32:59
2005,1408,Strategy and Management,1,UG,2025-11-28 17:32:59
2005,1803,Management Science and Operations Research,1,UG,2025-11-28 17:32:59
2005,2204,Biomedical Engineering,1,UG,2025-11-28 17:32:59
2005,2206,Computational Mechanics,1,UG,2025-11-28 17:32:59
2005,2210,Mechanical Engineering,1,UG,2025-11-28 17:32:59
2005,2402,Applied Microbiology and Biotechnology,1,UG,2025-11-28 17:32:59
2005,2502,Biomaterials,1,UG,2025-11-28 17:32:59
2005,2611,Modeling and Simulation,1,UG,2025-11-28 17:32:59
2005,2703,Anesthesiology and Pain Medicine,1,UG,2025-11-28 17:32:59
2005,2705,Cardiology and Cardiovascular Medicine,1,UG,2025-11-28 17:32:59
2005,2708,Dermatology,1,UG,2025-11-28 17:32:59
2005,2716,Genetics,1,UG,2025-11-28 17:32:59
2005,2728,Neurology,1,UG,2025-11-28 17:32:59
2005,2738,Psychiatry and Mental health,1,UG,2025-11-28 17:32:59
2005,2741,"Radiology, Nuclear Medicine and Imaging",1,UG,2025-11-28 17:32:59
2005,2743,Reproductive Medicine,1,UG,2025-11-28 17:32:59
2005,2748,Urology,1,UG,2025-11-28 17:32:59
2005,2804,Cellular and Molecular Neuroscience,1,UG,2025-11-28 17:32:59
2005,2807,Endocrine and Autonomic Systems,1,UG,2025-11-28 17:32:59
2005,3003,Pharmaceutical Science,1,UG,2025-11-28 17:32:59
2005,3202,Applied Psychology,1,UG,2025-11-28 17:32:59
2005,3204,Developmental and Educational Psychology,1,UG,2025-11-28 17:32:59
2005,3302,Archeology,1,UG,2025-11-28 17:32:59
2005,3317,Demography,1,UG,2025-11-28 17:32:59
2005,3321,Public Administration,1,UG,2025-11-28 17:32:59
2005,3504,Oral Surgery,1,UG,2025-11-28 17:32:59
2005,3506,Periodontics,1,UG,2025-11-28 17:32:59
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",1,UG,2025-11-28 17:32:59
2005,3614,Radiological and Ultrasound Technology,1,UG,2025-11-28 17:32:59
2005,3616,Speech and Hearing,1,UG,2025-11-28 17:32:59
2006,2725,Infectious Diseases,116,UG,2025-11-28 17:32:59
2006,2713,Epidemiology,89,UG,2025-11-28 17:32:59
2006,2739,"Public Health, Environmental and Occupational Health",75,UG,2025-11-28 17:32:59
2006,1110,Plant Science,64,UG,2025-11-28 17:32:59
2006,3600,General Health Professions,61,UG,2025-11-28 17:32:59
2006,2735,"Pediatrics, Perinatology and Child Health",51,UG,2025-11-28 17:32:59
2006,3312,Sociology and Political Science,32,UG,2025-11-28 17:32:59
2006,2406,Virology,30,UG,2025-11-28 17:32:59
2006,2916,Nutrition and Dietetics,30,UG,2025-11-28 17:32:59
2006,2002,Economics and Econometrics,26,UG,2025-11-28 17:32:59
2006,2405,Parasitology,22,UG,2025-11-28 17:32:59
2006,2746,Surgery,21,UG,2025-11-28 17:32:59
2006,3306,Health,16,UG,2025-11-28 17:32:59
2006,3311,Safety Research,14,UG,2025-11-28 17:32:59
2006,1312,Molecular Biology,13,UG,2025-11-28 17:32:59
2006,1105,"Ecology, Evolution, Behavior and Systematics",11,UG,2025-11-28 17:32:59
2006,2730,Oncology,11,UG,2025-11-28 17:32:59
2006,2303,Ecology,10,UG,2025-11-28 17:32:59
2006,1102,Agronomy and Crop Science,9,UG,2025-11-28 17:32:59
2006,2403,Immunology,9,UG,2025-11-28 17:32:59
2006,2404,Microbiology,9,UG,2025-11-28 17:32:59
2006,2711,Emergency Medicine,9,UG,2025-11-28 17:32:59
2006,1106,Food Science,8,UG,2025-11-28 17:32:59
2006,1109,Insect Science,8,UG,2025-11-28 17:32:59
2006,2003,Finance,6,UG,2025-11-28 17:32:59
2006,2611,Modeling and Simulation,6,UG,2025-11-28 17:32:59
2006,1311,Genetics,5,UG,2025-11-28 17:32:59
2006,1710,Information Systems,5,UG,2025-11-28 17:32:59
2006,2721,Hepatology,5,UG,2025-11-28 17:32:59
2006,2729,Obstetrics and Gynecology,5,UG,2025-11-28 17:32:59
2006,2737,Physiology,5,UG,2025-11-28 17:32:59
2006,3203,Clinical Psychology,5,UG,2025-11-28 17:32:59
2006,3207,Social Psychology,5,UG,2025-11-28 17:32:59
2006,3404,Small Animals,5,UG,2025-11-28 17:32:59
2006,1100,General Agricultural and Biological Sciences,4,UG,2025-11-28 17:32:59
2006,1111,Soil Science,4,UG,2025-11-28 17:32:59
2006,1310,Endocrinology,4,UG,2025-11-28 17:32:59
2006,1703,Computational Theory and Mathematics,4,UG,2025-11-28 17:32:59
2006,2738,Psychiatry and Mental health,4,UG,2025-11-28 17:32:59
2006,3304,Education,4,UG,2025-11-28 17:32:59
2006,1107,Forestry,3,UG,2025-11-28 17:32:59
2006,1307,Cell Biology,3,UG,2025-11-28 17:32:59
2006,1407,Organizational Behavior and Human Resource Management,3,UG,2025-11-28 17:32:59
2006,1803,Management Science and Operations Research,3,UG,2025-11-28 17:32:59
2006,2705,Cardiology and Cardiovascular Medicine,3,UG,2025-11-28 17:32:59
2006,3320,Political Science and International Relations,3,UG,2025-11-28 17:32:59
2006,1303,Biochemistry,2,UG,2025-11-28 17:32:59
2006,1605,Organic Chemistry,2,UG,2025-11-28 17:32:59
2006,2204,Biomedical Engineering,2,UG,2025-11-28 17:32:59
2006,2205,Civil and Structural Engineering,2,UG,2025-11-28 17:32:59
2006,2306,Global and Planetary Change,2,UG,2025-11-28 17:32:59
2006,2502,Biomaterials,2,UG,2025-11-28 17:32:59
2006,2712,"Endocrinology, Diabetes and Metabolism",2,UG,2025-11-28 17:32:59
2006,2731,Ophthalmology,2,UG,2025-11-28 17:32:59
2006,2734,Pathology and Forensic Medicine,2,UG,2025-11-28 17:32:59
2006,2740,Pulmonary and Respiratory Medicine,2,UG,2025-11-28 17:32:59
2006,3004,Pharmacology,2,UG,2025-11-28 17:32:59
2006,3318,Gender Studies,2,UG,2025-11-28 17:32:59
2006,3604,Emergency Medical Services,2,UG,2025-11-28 17:32:59
2006,3605,Health Information Management,2,UG,2025-11-28 17:32:59
2006,3616,Speech and Hearing,2,UG,2025-11-28 17:32:59
2006,1103,Animal Science and Zoology,1,UG,2025-11-28 17:32:59
2006,1108,Horticulture,1,UG,2025-11-28 17:32:59
2006,1211,Philosophy,1,UG,2025-11-28 17:32:59
2006,1305,Biotechnology,1,UG,2025-11-28 17:32:59
2006,1408,Strategy and Management,1,UG,2025-11-28 17:32:59
2006,1702,Artificial Intelligence,1,UG,2025-11-28 17:32:59
2006,1707,Computer Vision and Pattern Recognition,1,UG,2025-11-28 17:32:59
2006,2207,Control and Systems Engineering,1,UG,2025-11-28 17:32:59
2006,2214,Media Technology,1,UG,2025-11-28 17:32:59
2006,2304,Environmental Chemistry,1,UG,2025-11-28 17:32:59
2006,2307,"Health, Toxicology and Mutagenesis",1,UG,2025-11-28 17:32:59
2006,2311,Industrial and Manufacturing Engineering,1,UG,2025-11-28 17:32:59
2006,2312,Water Science and Technology,1,UG,2025-11-28 17:32:59
2006,2704,Biochemistry,1,UG,2025-11-28 17:32:59
2006,2708,Dermatology,1,UG,2025-11-28 17:32:59
2006,2714,Family Practice,1,UG,2025-11-28 17:32:59
2006,2715,Gastroenterology,1,UG,2025-11-28 17:32:59
2006,2716,Genetics,1,UG,2025-11-28 17:32:59
2006,2720,Hematology,1,UG,2025-11-28 17:32:59
2006,2724,Internal Medicine,1,UG,2025-11-28 17:32:59
2006,2736,Pharmacology,1,UG,2025-11-28 17:32:59
2006,2741,"Radiology, Nuclear Medicine and Imaging",1,UG,2025-11-28 17:32:59
2006,2743,Reproductive Medicine,1,UG,2025-11-28 17:32:59
2006,2745,Rheumatology,1,UG,2025-11-28 17:32:59
2006,2748,Urology,1,UG,2025-11-28 17:32:59
2006,2808,Neurology,1,UG,2025-11-28 17:32:59
2006,3005,Toxicology,1,UG,2025-11-28 17:32:59
2006,3300,General Social Sciences,1,UG,2025-11-28 17:32:59
2006,3303,Development,1,UG,2025-11-28 17:32:59
2006,3309,Library and Information Sciences,1,UG,2025-11-28 17:32:59
2006,3313,Transportation,1,UG,2025-11-28 17:32:59
2006,3317,Demography,1,UG,2025-11-28 17:32:59
2006,3321,Public Administration,1,UG,2025-11-28 17:32:59
2006,3322,Urban Studies,1,UG,2025-11-28 17:32:59
2006,3506,Periodontics,1,UG,2025-11-28 17:32:59
2007,2725,Infectious Diseases,133,UG,2025-11-28 17:32:59
2007,2739,"Public Health, Environmental and Occupational Health",99,UG,2025-11-28 17:32:59
2007,2713,Epidemiology,92,UG,2025-11-28 17:32:59
2007,1110,Plant Science,67,UG,2025-11-28 17:32:59
2007,3600,General Health Professions,62,UG,2025-11-28 17:32:59
2007,2735,"Pediatrics, Perinatology and Child Health",60,UG,2025-11-28 17:32:59
2007,2406,Virology,53,UG,2025-11-28 17:32:59
2007,3312,Sociology and Political Science,36,UG,2025-11-28 17:32:59
2007,2002,Economics and Econometrics,33,UG,2025-11-28 17:32:59
2007,2916,Nutrition and Dietetics,26,UG,2025-11-28 17:32:59
2007,2746,Surgery,25,UG,2025-11-28 17:32:59
2007,2405,Parasitology,24,UG,2025-11-28 17:32:59
2007,2711,Emergency Medicine,18,UG,2025-11-28 17:32:59
2007,3311,Safety Research,17,UG,2025-11-28 17:32:59
2007,2303,Ecology,15,UG,2025-11-28 17:32:59
2007,1312,Molecular Biology,12,UG,2025-11-28 17:32:59
2007,1102,Agronomy and Crop Science,11,UG,2025-11-28 17:32:59
2007,1105,"Ecology, Evolution, Behavior and Systematics",9,UG,2025-11-28 17:32:59
2007,1107,Forestry,9,UG,2025-11-28 17:32:59
2007,1307,Cell Biology,9,UG,2025-11-28 17:32:59
2007,3306,Health,9,UG,2025-11-28 17:32:59
2007,1109,Insect Science,8,UG,2025-11-28 17:32:59
2007,2730,Oncology,8,UG,2025-11-28 17:32:59
2007,2403,Immunology,7,UG,2025-11-28 17:32:59
2007,2404,Microbiology,7,UG,2025-11-28 17:32:59
2007,2734,Pathology and Forensic Medicine,7,UG,2025-11-28 17:32:59
2007,3207,Social Psychology,7,UG,2025-11-28 17:32:59
2007,1311,Genetics,6,UG,2025-11-28 17:32:59
2007,2003,Finance,6,UG,2025-11-28 17:32:59
2007,2745,Rheumatology,6,UG,2025-11-28 17:32:59
2007,1310,Endocrinology,5,UG,2025-11-28 17:32:59
2007,3203,Clinical Psychology,5,UG,2025-11-28 17:32:59
2007,1303,Biochemistry,4,UG,2025-11-28 17:32:59
2007,2306,Global and Planetary Change,4,UG,2025-11-28 17:32:59
2007,2705,Cardiology and Cardiovascular Medicine,4,UG,2025-11-28 17:32:59
2007,2741,"Radiology, Nuclear Medicine and Imaging",4,UG,2025-11-28 17:32:59
2007,3004,Pharmacology,4,UG,2025-11-28 17:32:59
2007,3404,Small Animals,4,UG,2025-11-28 17:32:59
2007,1100,General Agricultural and Biological Sciences,3,UG,2025-11-28 17:32:59
2007,1111,Soil Science,3,UG,2025-11-28 17:32:59
2007,1710,Information Systems,3,UG,2025-11-28 17:32:59
2007,2309,Nature and Landscape Conservation,3,UG,2025-11-28 17:32:59
2007,2720,Hematology,3,UG,2025-11-28 17:32:59
2007,2728,Neurology,3,UG,2025-11-28 17:32:59
2007,3318,Gender Studies,3,UG,2025-11-28 17:32:59
2007,3320,Political Science and International Relations,3,UG,2025-11-28 17:32:59
2007,3604,Emergency Medical Services,3,UG,2025-11-28 17:32:59
2007,1103,Animal Science and Zoology,2,UG,2025-11-28 17:32:59
2007,1106,Food Science,2,UG,2025-11-28 17:32:59
2007,1108,Horticulture,2,UG,2025-11-28 17:32:59
2007,1306,Cancer Research,2,UG,2025-11-28 17:32:59
2007,1308,Clinical Biochemistry,2,UG,2025-11-28 17:32:59
2007,1408,Strategy and Management,2,UG,2025-11-28 17:32:59
2007,1703,Computational Theory and Mathematics,2,UG,2025-11-28 17:32:59
2007,1803,Management Science and Operations Research,2,UG,2025-11-28 17:32:59
2007,2502,Biomaterials,2,UG,2025-11-28 17:32:59
2007,2707,Complementary and alternative medicine,2,UG,2025-11-28 17:32:59
2007,2712,"Endocrinology, Diabetes and Metabolism",2,UG,2025-11-28 17:32:59
2007,2714,Family Practice,2,UG,2025-11-28 17:32:59
2007,2716,Genetics,2,UG,2025-11-28 17:32:59
2007,2721,Hepatology,2,UG,2025-11-28 17:32:59
2007,2736,Pharmacology,2,UG,2025-11-28 17:32:59
2007,2737,Physiology,2,UG,2025-11-28 17:32:59
2007,2738,Psychiatry and Mental health,2,UG,2025-11-28 17:32:59
2007,3308,Law,2,UG,2025-11-28 17:32:59
2007,3317,Demography,2,UG,2025-11-28 17:32:59
2007,3506,Periodontics,2,UG,2025-11-28 17:32:59
2007,3611,Pharmacy,2,UG,2025-11-28 17:32:59
2007,1104,Aquatic Science,1,UG,2025-11-28 17:32:59
2007,1212,Religious studies,1,UG,2025-11-28 17:32:59
2007,1313,Molecular Medicine,1,UG,2025-11-28 17:32:59
2007,1403,Business and International Management,1,UG,2025-11-28 17:32:59
2007,1404,Management Information Systems,1,UG,2025-11-28 17:32:59
2007,1405,Management of Technology and Innovation,1,UG,2025-11-28 17:32:59
2007,1407,Organizational Behavior and Human Resource Management,1,UG,2025-11-28 17:32:59
2007,1603,Electrochemistry,1,UG,2025-11-28 17:32:59
2007,1702,Artificial Intelligence,1,UG,2025-11-28 17:32:59
2007,1706,Computer Science Applications,1,UG,2025-11-28 17:32:59
2007,2105,"Renewable Energy, Sustainability and the Environment",1,UG,2025-11-28 17:32:59
2007,2204,Biomedical Engineering,1,UG,2025-11-28 17:32:59
2007,2212,Ocean Engineering,1,UG,2025-11-28 17:32:59
2007,2214,Media Technology,1,UG,2025-11-28 17:32:59
2007,2308,"Management, Monitoring, Policy and Law",1,UG,2025-11-28 17:32:59
2007,2611,Modeling and Simulation,1,UG,2025-11-28 17:32:59
2007,2613,Statistics and Probability,1,UG,2025-11-28 17:32:59
2007,2704,Biochemistry,1,UG,2025-11-28 17:32:59
2007,2708,Dermatology,1,UG,2025-11-28 17:32:59
2007,2715,Gastroenterology,1,UG,2025-11-28 17:32:59
2007,2717,Geriatrics and Gerontology,1,UG,2025-11-28 17:32:59
2007,2724,Internal Medicine,1,UG,2025-11-28 17:32:59
2007,2729,Obstetrics and Gynecology,1,UG,2025-11-28 17:32:59
2007,2732,Orthopedics and Sports Medicine,1,UG,2025-11-28 17:32:59
2007,2740,Pulmonary and Respiratory Medicine,1,UG,2025-11-28 17:32:59
2007,2748,Urology,1,UG,2025-11-28 17:32:59
2007,2804,Cellular and Molecular Neuroscience,1,UG,2025-11-28 17:32:59
