subfield_id,subfield_name,title,doi,year,cited_by_count,id
1312,Molecular Biology,Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2,https://doi.org/10.1186/s13059-014-0550-8,2014,91177,https://openalex.org/W2179438025
1312,Molecular Biology,Fiji: an open-source platform for biological-image analysis,https://doi.org/10.1038/nmeth.2019,2012,65479,https://openalex.org/W2167279371
1312,Molecular Biology,The Sequence Alignment/Map format and SAMtools,https://doi.org/10.1093/bioinformatics/btp352,2009,63175,https://openalex.org/W2108234281
1312,Molecular Biology,NIH Image to ImageJ: 25 years of image analysis,https://doi.org/10.1038/nmeth.2089,2012,61146,https://openalex.org/W2099540110
1312,Molecular Biology,Fast gapped-read alignment with Bowtie 2,https://doi.org/10.1038/nmeth.1923,2012,56661,https://openalex.org/W2170551349
1312,Molecular Biology,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles,https://doi.org/10.1073/pnas.0506580102,2005,53265,https://openalex.org/W2130410032
1312,Molecular Biology,STAR: ultrafast universal RNA-seq aligner,https://doi.org/10.1093/bioinformatics/bts635,2012,51291,https://openalex.org/W2169456326
1312,Molecular Biology,MEGA6: Molecular Evolutionary Genetics Analysis Version 6.0,https://doi.org/10.1093/molbev/mst197,2013,47305,https://openalex.org/W2152207030
1312,Molecular Biology,Research electronic data capture (REDCap)—A metadata-driven methodology and workflow process for providing translational research informatics support,https://doi.org/10.1016/j.jbi.2008.08.010,2008,47274,https://openalex.org/W2093274439
1312,Molecular Biology,"MEGA5: Molecular Evolutionary Genetics Analysis Using Maximum Likelihood, Evolutionary Distance, and Maximum Parsimony Methods",https://doi.org/10.1093/molbev/msr121,2011,39974,https://openalex.org/W2132632499
2746,Surgery,"Global cancer statistics, 2012",https://doi.org/10.3322/caac.21262,2015,27180,https://openalex.org/W2917837889
2746,Surgery,The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3),https://doi.org/10.1001/jama.2016.0287,2016,25385,https://openalex.org/W2280404143
2746,Surgery,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,https://doi.org/10.1016/j.cell.2007.11.019,2007,19748,https://openalex.org/W2138977668
2746,Surgery,Minimal criteria for defining multipotent mesenchymal stromal cells. The International Society for Cellular Therapy position statement,https://doi.org/10.1080/14653240600855905,2006,17180,https://openalex.org/W2025371271
2746,Surgery,2015 American Thyroid Association Management Guidelines for Adult Patients with Thyroid Nodules and Differentiated Thyroid Cancer: The American Thyroid Association Guidelines Task Force on Thyroid Nodules and Differentiated Thyroid Cancer,https://doi.org/10.1089/thy.2015.0020,2015,15687,https://openalex.org/W2145150141
2746,Surgery,Diagnosis and Management of the Metabolic Syndrome,https://doi.org/10.1161/circulationaha.105.169404,2005,11515,https://openalex.org/W2103714496
2746,Surgery,"Global epidemiology of nonalcoholic fatty liver disease—Meta‐analytic assessment of prevalence, incidence, and outcomes",https://doi.org/10.1002/hep.28431,2015,10217,https://openalex.org/W2204688218
2746,Surgery,Inter-Society Consensus for the Management of Peripheral Arterial Disease (TASC II),https://doi.org/10.1016/j.jvs.2006.12.037,2007,8020,https://openalex.org/W2144985796
2746,Surgery,Diversity of the Human Intestinal Microbial Flora,https://doi.org/10.1126/science.1110591,2005,7675,https://openalex.org/W2169330513
2746,Surgery,"MIMIC-III, a freely accessible critical care database",https://doi.org/10.1038/sdata.2016.35,2016,7443,https://openalex.org/W2396881363
