year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,4032,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,3855,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,2862,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,2231,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,2147,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,1991,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10363,Low-power high-performance VLSI design,1898,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,1851,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,1794,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,1784,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,1779,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10022,Semiconductor Quantum Structures and Devices,1681,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10187,Radio Frequency Integrated Circuit Design,1615,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T11032,VLSI and Analog Circuit Testing,1580,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10369,Advanced MEMS and NEMS Technologies,1263,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10781,Plasma Diagnostics and Applications,1234,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,1218,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T11522,VLSI and FPGA Design Techniques,1209,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,1188,US,2025-11-25 22:00:25
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,1127,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,1516,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,1325,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T12386,Advanced X-ray and CT Imaging,1224,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,1183,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,1161,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,1091,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T11255,Microfluidic and Bio-sensing Technologies,1077,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T12015,Photoacoustic and Ultrasonic Imaging,1076,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10675,Mechanical Circulatory Support Devices,1066,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,929,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T11808,Superconducting Materials and Applications,911,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T11272,Nanowire Synthesis and Applications,833,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10338,Advanced Sensor and Energy Harvesting Materials,813,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,780,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10958,Ultrasound and Hyperthermia Applications,758,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T12224,Nanofabrication and Lithography Techniques,756,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10822,Acoustic Wave Phenomena Research,734,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10522,Medical Imaging Techniques and Applications,691,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T10059,Bone Tissue Engineering Materials,685,US,2025-11-25 22:00:25
2005,2204,Biomedical Engineering,T11407,Innovative Microfluidic and Catalytic Techniques Innovation,671,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10002,Advanced Chemical Physics Studies,2708,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10022,Semiconductor Quantum Structures and Devices,2290,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10299,Photonic and Optical Devices,2034,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10923,Force Microscopy Techniques and Applications,2018,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T11177,Spectroscopy and Quantum Chemical Studies,1968,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10382,Quantum and electron transport phenomena,1708,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10988,Advanced Fiber Laser Technologies,1674,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T11449,Mechanical and Optical Resonators,1504,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10049,Magnetic properties of thin films,1455,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T11993,Atomic and Subatomic Physics Research,1285,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10523,Atomic and Molecular Physics,1283,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10666,Photonic Crystals and Applications,1251,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10425,Cold Atom Physics and Bose-Einstein Condensates,1245,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10739,Electromagnetic Scattering and Analysis,1056,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T11965,"Quantum, superfluid, helium dynamics",1007,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10566,Laser-Matter Interactions and Applications,992,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T11853,Semiconductor materials and interfaces,957,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T11429,Semiconductor Lasers and Optical Devices,930,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T10037,Physics of Superconductivity and Magnetism,929,US,2025-11-25 22:00:25
2005,3107,"Atomic and Molecular Physics, and Optics",T11175,Gyrotron and Vacuum Electronics Research,921,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,1851,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,1760,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T11269,Algorithms and Data Compression,1417,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,1304,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10639,Advanced Software Engineering Methodologies,1266,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10126,"Logic, programming, and type systems",1165,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10711,Target Tracking and Data Fusion in Sensor Networks,1042,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10020,Quantum Information and Cryptography,1025,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T11010,"Logic, Reasoning, and Knowledge",916,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10201,Speech Recognition and Synthesis,881,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T12157,Geochemistry and Geologic Mapping,873,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T11130,Coding theory and cryptography,861,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10679,Service-Oriented Architecture and Web Services,821,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10028,Topic Modeling,815,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10317,Advanced Database Systems and Queries,773,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10142,Formal Methods in Verification,749,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T11598,Internet Traffic Analysis and Secure E-voting,738,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10906,AI-based Problem Solving and Planning,732,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T10237,Cryptography and Data Security,728,US,2025-11-25 22:00:25
2005,1702,Artificial Intelligence,T11975,Evolutionary Algorithms and Applications,671,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T11162,Enzyme Structure and Function,1637,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,1541,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10074,Carbon Nanotubes in Composites,1404,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,1127,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10090,ZnO doping and properties,1100,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10321,Quantum Dots Synthesis And Properties,1050,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10474,Material Dynamics and Properties,1011,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10044,Protein Structure and Dynamics,899,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10083,Graphene research and applications,896,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T12588,Electronic and Structural Properties of Oxides,828,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10204,Microstructure and mechanical properties,806,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10903,Porphyrin and Phthalocyanine Chemistry,793,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10107,Ferroelectric and Piezoelectric Materials,777,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10377,Metal and Thin Film Mechanics,752,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10472,Semiconductor materials and devices,743,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T11242,Nuclear Materials and Properties,716,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T11279,Lanthanide and Transition Metal Complexes,626,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T11825,Catalysis and Oxidation Reactions,588,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T11169,Silicon Nanostructures and Photoluminescence,576,US,2025-11-25 22:00:25
2005,2505,Materials Chemistry,T10735,Mesoporous Materials and Catalysis,555,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10715,Distributed and Parallel Computing Systems,2700,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10054,Parallel Computing and Optimization Techniques,2465,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10246,Mobile Ad Hoc Networks,2079,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10575,Wireless Communication Networks Research,2033,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10772,Distributed systems and fault tolerance,2011,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T11181,Advanced Data Storage Technologies,1967,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10829,Interconnection Networks and Systems,1916,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10125,Advanced Wireless Communication Techniques,1694,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10796,Cooperative Communication and Network Coding,1641,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10317,Advanced Database Systems and Queries,1596,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10138,Network Traffic and Congestion Control,1484,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10080,Energy Efficient Wireless Sensor Networks,1463,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10742,Peer-to-Peer Network Technologies,1428,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T11158,Wireless Networks and Protocols,1339,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T11478,Caching and Content Delivery,1181,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T11409,Advanced Wireless Network Optimization,1109,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T11896,Opportunistic and Delay-Tolerant Networks,1074,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10400,Network Security and Intrusion Detection,1061,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T12127,Software System Performance and Reliability,1030,US,2025-11-25 22:00:25
2005,1705,Computer Networks and Communications,T10904,Embedded Systems Design Techniques,915,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10069,Antenna Design and Analysis,1663,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T11367,Particle accelerators and beam dynamics,1436,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T11946,Antenna Design and Optimization,1226,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T11383,Advanced Antenna and Metasurface Technologies,1224,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T13200,Spacecraft and Cryogenic Technologies,1015,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10191,Robotics and Sensor-Based Localization,992,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T12449,Spacecraft Design and Technology,903,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10262,Microwave Engineering and Waveguides,890,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T14214,Space Exploration and Technology,837,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10360,Fluid Dynamics and Turbulent Flows,832,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10597,Nuclear reactor physics and engineering,766,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T11008,Aerodynamics and Acoustics in Jet Flows,742,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T12513,Rocket and propulsion systems research,724,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T12389,Infrared Target Detection Methodologies,709,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T12019,Calibration and Measurement Techniques,686,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10406,Planetary Science and Exploration,659,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10325,Astro and Planetary Science,658,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10173,Computational Fluid Dynamics and Aerodynamics,638,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T11619,Combustion and Detonation Processes,591,US,2025-11-25 22:00:25
2005,2202,Aerospace Engineering,T10559,Particle Accelerators and Free-Electron Lasers,560,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10044,Protein Structure and Dynamics,1549,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10911,Chemical Synthesis and Analysis,1519,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T11162,Enzyme Structure and Function,1374,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10207,Advanced biosensing and bioanalysis techniques,1053,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T11786,Geomagnetism and Paleomagnetism Studies,1028,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T11048,Bacteriophages and microbial interactions,881,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10683,Mass Spectrometry Techniques and Applications,774,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10521,RNA and protein synthesis mechanisms,750,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10015,Genomics and Phylogenetic Studies,747,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10519,Advanced Proteomics Techniques and Applications,687,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10835,Carbohydrate Chemistry and Synthesis,680,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10211,Computational Drug Discovery Methods,622,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10303,Photosynthetic Processes and Mechanisms,571,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10602,Glycosylation and Glycoproteins Research,570,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10836,Metabolomics and Mass Spectrometry Studies,542,US,2025-11-25 22:00:25
2005,1312,Molecular Biology,T10432,DNA and Nucleic Acid Chemistry,533,US,2025-11-25 22:00:25
