year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,69864,US,2025-11-28 17:21:40
2005,2208,Electrical and Electronic Engineering,46746,US,2025-11-28 17:21:40
2005,2746,Surgery,34841,US,2025-11-28 17:21:40
2005,2204,Biomedical Engineering,29756,US,2025-11-28 17:21:40
2005,3312,Sociology and Political Science,26988,US,2025-11-28 17:21:40
2005,2713,Epidemiology,25184,US,2025-11-28 17:21:40
2005,2740,Pulmonary and Respiratory Medicine,23639,US,2025-11-28 17:21:40
2005,2505,Materials Chemistry,23358,US,2025-11-28 17:21:40
2005,2730,Oncology,20298,US,2025-11-28 17:21:40
2005,2739,"Public Health, Environmental and Occupational Health",20246,US,2025-11-28 17:21:40
2005,3107,"Atomic and Molecular Physics, and Optics",12976,US,2025-11-28 17:21:40
2005,1311,Genetics,11939,US,2025-11-28 17:21:40
2005,2741,"Radiology, Nuclear Medicine and Imaging",9376,US,2025-11-28 17:21:40
2005,2705,Cardiology and Cardiovascular Medicine,9110,US,2025-11-28 17:21:40
2005,2737,Physiology,8775,US,2025-11-28 17:21:40
2005,2403,Immunology,7557,US,2025-11-28 17:21:40
2005,1705,Computer Networks and Communications,7023,US,2025-11-28 17:21:40
2005,2804,Cellular and Molecular Neuroscience,6881,US,2025-11-28 17:21:40
2005,2734,Pathology and Forensic Medicine,6486,US,2025-11-28 17:21:40
2005,2725,Infectious Diseases,6161,US,2025-11-28 17:21:40
2005,1307,Cell Biology,6131,US,2025-11-28 17:21:40
2005,1306,Cancer Research,6015,US,2025-11-28 17:21:40
2005,2202,Aerospace Engineering,5765,US,2025-11-28 17:21:40
2005,3600,General Health Professions,5656,US,2025-11-28 17:21:40
2005,1605,Organic Chemistry,5370,US,2025-11-28 17:21:40
2005,2210,Mechanical Engineering,5304,US,2025-11-28 17:21:40
2005,2735,"Pediatrics, Perinatology and Child Health",5250,US,2025-11-28 17:21:40
2005,1110,Plant Science,4734,US,2025-11-28 17:21:40
2005,2712,"Endocrinology, Diabetes and Metabolism",4512,US,2025-11-28 17:21:40
2005,2745,Rheumatology,4464,US,2025-11-28 17:21:40
2005,2504,"Electronic, Optical and Magnetic Materials",4374,US,2025-11-28 17:21:40
2005,2211,Mechanics of Materials,4362,US,2025-11-28 17:21:40
2005,3320,Political Science and International Relations,4002,US,2025-11-28 17:21:40
2005,2728,Neurology,3659,US,2025-11-28 17:21:40
2005,1607,Spectroscopy,3652,US,2025-11-28 17:21:40
2005,3203,Clinical Psychology,3453,US,2025-11-28 17:21:40
2005,1702,Artificial Intelligence,3451,US,2025-11-28 17:21:40
2005,2720,Hematology,3325,US,2025-11-28 17:21:40
2005,2736,Pharmacology,3209,US,2025-11-28 17:21:40
2005,2206,Computational Mechanics,3121,US,2025-11-28 17:21:40
2005,2711,Emergency Medicine,2905,US,2025-11-28 17:21:40
2005,2002,Economics and Econometrics,2885,US,2025-11-28 17:21:40
2005,2716,Genetics,2867,US,2025-11-28 17:21:40
2005,2721,Hepatology,2801,US,2025-11-28 17:21:40
2005,1708,Hardware and Architecture,2724,US,2025-11-28 17:21:40
2005,2207,Control and Systems Engineering,2668,US,2025-11-28 17:21:40
2005,3104,Condensed Matter Physics,2619,US,2025-11-28 17:21:40
2005,3207,Social Psychology,2572,US,2025-11-28 17:21:40
2005,2732,Orthopedics and Sports Medicine,2564,US,2025-11-28 17:21:40
2005,2731,Ophthalmology,2520,US,2025-11-28 17:21:40
2005,2916,Nutrition and Dietetics,2472,US,2025-11-28 17:21:40
2005,3108,Radiation,2367,US,2025-11-28 17:21:40
2005,2805,Cognitive Neuroscience,2273,US,2025-11-28 17:21:40
2005,2743,Reproductive Medicine,2219,US,2025-11-28 17:21:40
2005,2738,Psychiatry and Mental health,2152,US,2025-11-28 17:21:40
2005,1604,Inorganic Chemistry,2115,US,2025-11-28 17:21:40
2005,1703,Computational Theory and Mathematics,2039,US,2025-11-28 17:21:40
2005,2303,Ecology,2018,US,2025-11-28 17:21:40
2005,2507,Polymers and Plastics,2002,US,2025-11-28 17:21:40
2005,3318,Gender Studies,1995,US,2025-11-28 17:21:40
2005,2508,"Surfaces, Coatings and Films",1969,US,2025-11-28 17:21:40
2005,3103,Astronomy and Astrophysics,1887,US,2025-11-28 17:21:40
2005,3304,Education,1820,US,2025-11-28 17:21:40
2005,1707,Computer Vision and Pattern Recognition,1794,US,2025-11-28 17:21:40
2005,2708,Dermatology,1793,US,2025-11-28 17:21:40
2005,2502,Biomaterials,1766,US,2025-11-28 17:21:40
2005,3306,Health,1698,US,2025-11-28 17:21:40
2005,2715,Gastroenterology,1620,US,2025-11-28 17:21:40
2005,2105,"Renewable Energy, Sustainability and the Environment",1593,US,2025-11-28 17:21:40
2005,2723,Immunology and Allergy,1582,US,2025-11-28 17:21:40
2005,3604,Emergency Medical Services,1576,US,2025-11-28 17:21:40
2005,2748,Urology,1544,US,2025-11-28 17:21:40
2005,1305,Biotechnology,1526,US,2025-11-28 17:21:40
2005,3106,Nuclear and High Energy Physics,1517,US,2025-11-28 17:21:40
2005,1304,Biophysics,1514,US,2025-11-28 17:21:40
2005,2729,Obstetrics and Gynecology,1479,US,2025-11-28 17:21:40
2005,2404,Microbiology,1474,US,2025-11-28 17:21:40
2005,2406,Virology,1453,US,2025-11-28 17:21:40
2005,2703,Anesthesiology and Pain Medicine,1435,US,2025-11-28 17:21:40
2005,2742,Rehabilitation,1428,US,2025-11-28 17:21:40
2005,2727,Nephrology,1365,US,2025-11-28 17:21:40
2005,1303,Biochemistry,1295,US,2025-11-28 17:21:40
2005,2807,Endocrine and Autonomic Systems,1280,US,2025-11-28 17:21:40
2005,2205,Civil and Structural Engineering,1276,US,2025-11-28 17:21:40
2005,1606,Physical and Theoretical Chemistry,1269,US,2025-11-28 17:21:40
2005,1308,Clinical Biochemistry,1253,US,2025-11-28 17:21:40
2005,3004,Pharmacology,1166,US,2025-11-28 17:21:40
2005,3317,Demography,1152,US,2025-11-28 17:21:40
2005,1711,Signal Processing,1098,US,2025-11-28 17:21:40
