year,id,name,works_count,country,fetch_date
2005,3320,Political Science and International Relations,118,UY,2025-11-28 17:32:52
2005,1312,Molecular Biology,86,UY,2025-11-28 17:32:52
2005,3312,Sociology and Political Science,73,UY,2025-11-28 17:32:52
2005,2746,Surgery,71,UY,2025-11-28 17:32:52
2005,3308,Law,67,UY,2025-11-28 17:32:52
2005,2739,"Public Health, Environmental and Occupational Health",64,UY,2025-11-28 17:32:52
2005,2713,Epidemiology,55,UY,2025-11-28 17:32:52
2005,1110,Plant Science,46,UY,2025-11-28 17:32:52
2005,1311,Genetics,43,UY,2025-11-28 17:32:52
2005,3304,Education,29,UY,2025-11-28 17:32:52
2005,3600,General Health Professions,27,UY,2025-11-28 17:32:52
2005,2740,Pulmonary and Respiratory Medicine,25,UY,2025-11-28 17:32:52
2005,1105,"Ecology, Evolution, Behavior and Systematics",19,UY,2025-11-28 17:32:52
2005,3311,Safety Research,18,UY,2025-11-28 17:32:52
2005,2705,Cardiology and Cardiovascular Medicine,16,UY,2025-11-28 17:32:52
2005,2725,Infectious Diseases,16,UY,2025-11-28 17:32:52
2005,3317,Demography,13,UY,2025-11-28 17:32:52
2005,1102,Agronomy and Crop Science,12,UY,2025-11-28 17:32:52
2005,2712,"Endocrinology, Diabetes and Metabolism",12,UY,2025-11-28 17:32:52
2005,2735,"Pediatrics, Perinatology and Child Health",12,UY,2025-11-28 17:32:52
2005,3300,General Social Sciences,11,UY,2025-11-28 17:32:52
2005,1605,Organic Chemistry,10,UY,2025-11-28 17:32:52
2005,2737,Physiology,10,UY,2025-11-28 17:32:52
2005,2002,Economics and Econometrics,9,UY,2025-11-28 17:32:52
2005,2403,Immunology,9,UY,2025-11-28 17:32:52
2005,2741,"Radiology, Nuclear Medicine and Imaging",9,UY,2025-11-28 17:32:52
2005,1109,Insect Science,8,UY,2025-11-28 17:32:52
2005,2721,Hepatology,8,UY,2025-11-28 17:32:52
2005,2730,Oncology,8,UY,2025-11-28 17:32:52
2005,2734,Pathology and Forensic Medicine,8,UY,2025-11-28 17:32:52
2005,1106,Food Science,7,UY,2025-11-28 17:32:52
2005,2308,"Management, Monitoring, Policy and Law",7,UY,2025-11-28 17:32:52
2005,2804,Cellular and Molecular Neuroscience,7,UY,2025-11-28 17:32:52
2005,2728,Neurology,6,UY,2025-11-28 17:32:52
