year,id,name,works_count,country,fetch_date
2005,3103,Astronomy and Astrophysics,4,VA,2025-12-03 12:50:54
2005,3109,Statistical and Nonlinear Physics,4,VA,2025-12-03 12:50:54
2005,1212,Religious studies,3,VA,2025-12-03 12:50:54
2005,2610,Mathematical Physics,3,VA,2025-12-03 12:50:54
2005,3106,Nuclear and High Energy Physics,2,VA,2025-12-03 12:50:54
2005,3320,Political Science and International Relations,2,VA,2025-12-03 12:50:54
2005,1908,Geophysics,1,VA,2025-12-03 12:50:54
2005,2608,Geometry and Topology,1,VA,2025-12-03 12:50:54
2005,3107,"Atomic and Molecular Physics, and Optics",1,VA,2025-12-03 12:50:54
2005,3304,Education,1,VA,2025-12-03 12:50:54
2005,3312,Sociology and Political Science,1,VA,2025-12-03 12:50:54
2006,3103,Astronomy and Astrophysics,6,VA,2025-12-03 12:50:54
2006,3312,Sociology and Political Science,2,VA,2025-12-03 12:50:54
2006,1908,Geophysics,1,VA,2025-12-03 12:50:54
2006,2002,Economics and Econometrics,1,VA,2025-12-03 12:50:54
2006,3106,Nuclear and High Energy Physics,1,VA,2025-12-03 12:50:54
2006,3109,Statistical and Nonlinear Physics,1,VA,2025-12-03 12:50:54
2007,3103,Astronomy and Astrophysics,5,VA,2025-12-03 12:50:54
2007,3312,Sociology and Political Science,4,VA,2025-12-03 12:50:54
2007,2610,Mathematical Physics,2,VA,2025-12-03 12:50:54
2007,3105,Instrumentation,2,VA,2025-12-03 12:50:54
2007,3109,Statistical and Nonlinear Physics,2,VA,2025-12-03 12:50:54
2007,1202,History,1,VA,2025-12-03 12:50:54
2007,1207,History and Philosophy of Science,1,VA,2025-12-03 12:50:54
2007,1212,Religious studies,1,VA,2025-12-03 12:50:54
2007,1407,Organizational Behavior and Human Resource Management,1,VA,2025-12-03 12:50:54
2007,2303,Ecology,1,VA,2025-12-03 12:50:54
2007,2602,Algebra and Number Theory,1,VA,2025-12-03 12:50:54
2007,2739,"Public Health, Environmental and Occupational Health",1,VA,2025-12-03 12:50:54
2007,3106,Nuclear and High Energy Physics,1,VA,2025-12-03 12:50:54
2007,3304,Education,1,VA,2025-12-03 12:50:54
2007,3311,Safety Research,1,VA,2025-12-03 12:50:54
2007,3320,Political Science and International Relations,1,VA,2025-12-03 12:50:54
2008,3103,Astronomy and Astrophysics,6,VA,2025-12-03 12:50:54
2008,3106,Nuclear and High Energy Physics,3,VA,2025-12-03 12:50:54
2008,1902,Atmospheric Science,2,VA,2025-12-03 12:50:54
2008,1908,Geophysics,2,VA,2025-12-03 12:50:54
2008,1202,History,1,VA,2025-12-03 12:50:54
2008,1205,Classics,1,VA,2025-12-03 12:50:54
2008,1212,Religious studies,1,VA,2025-12-03 12:50:54
2008,2610,Mathematical Physics,1,VA,2025-12-03 12:50:54
2008,3105,Instrumentation,1,VA,2025-12-03 12:50:54
2008,3107,"Atomic and Molecular Physics, and Optics",1,VA,2025-12-03 12:50:54
2008,3109,Statistical and Nonlinear Physics,1,VA,2025-12-03 12:50:54
2008,3304,Education,1,VA,2025-12-03 12:50:54
2008,3305,"Geography, Planning and Development",1,VA,2025-12-03 12:50:54
2008,3311,Safety Research,1,VA,2025-12-03 12:50:54
2009,3103,Astronomy and Astrophysics,7,VA,2025-12-03 12:50:54
2009,1204,Archeology,2,VA,2025-12-03 12:50:54
2009,1207,History and Philosophy of Science,1,VA,2025-12-03 12:50:54
2009,1209,Museology,1,VA,2025-12-03 12:50:54
2009,1211,Philosophy,1,VA,2025-12-03 12:50:54
2009,1212,Religious studies,1,VA,2025-12-03 12:50:54
2009,1902,Atmospheric Science,1,VA,2025-12-03 12:50:54
2009,1912,Space and Planetary Science,1,VA,2025-12-03 12:50:54
2009,3105,Instrumentation,1,VA,2025-12-03 12:50:54
2009,3312,Sociology and Political Science,1,VA,2025-12-03 12:50:54
2009,3320,Political Science and International Relations,1,VA,2025-12-03 12:50:54
2010,3103,Astronomy and Astrophysics,8,VA,2025-12-03 12:50:54
2010,1202,History,4,VA,2025-12-03 12:50:54
2010,1205,Classics,3,VA,2025-12-03 12:50:54
2010,3109,Statistical and Nonlinear Physics,3,VA,2025-12-03 12:50:54
2010,1204,Archeology,1,VA,2025-12-03 12:50:54
2010,1206,Conservation,1,VA,2025-12-03 12:50:54
2010,1207,History and Philosophy of Science,1,VA,2025-12-03 12:50:54
2010,1902,Atmospheric Science,1,VA,2025-12-03 12:50:54
2010,1908,Geophysics,1,VA,2025-12-03 12:50:54
2010,3105,Instrumentation,1,VA,2025-12-03 12:50:54
2010,3106,Nuclear and High Energy Physics,1,VA,2025-12-03 12:50:54
2010,3312,Sociology and Political Science,1,VA,2025-12-03 12:50:54
2010,3314,Anthropology,1,VA,2025-12-03 12:50:54
2010,3320,Political Science and International Relations,1,VA,2025-12-03 12:50:54
2011,3103,Astronomy and Astrophysics,8,VA,2025-12-03 12:50:54
2011,1212,Religious studies,3,VA,2025-12-03 12:50:54
2011,1908,Geophysics,3,VA,2025-12-03 12:50:54
2011,3312,Sociology and Political Science,3,VA,2025-12-03 12:50:54
2011,3105,Instrumentation,2,VA,2025-12-03 12:50:54
2011,3308,Law,2,VA,2025-12-03 12:50:54
2011,1202,History,1,VA,2025-12-03 12:50:54
2011,1204,Archeology,1,VA,2025-12-03 12:50:54
2011,1205,Classics,1,VA,2025-12-03 12:50:54
2011,3107,"Atomic and Molecular Physics, and Optics",1,VA,2025-12-03 12:50:54
2011,3109,Statistical and Nonlinear Physics,1,VA,2025-12-03 12:50:54
2011,3320,Political Science and International Relations,1,VA,2025-12-03 12:50:54
2012,3103,Astronomy and Astrophysics,6,VA,2025-12-03 12:50:54
2012,1212,Religious studies,3,VA,2025-12-03 12:50:54
2012,1204,Archeology,1,VA,2025-12-03 12:50:54
2012,1902,Atmospheric Science,1,VA,2025-12-03 12:50:54
2012,1908,Geophysics,1,VA,2025-12-03 12:50:54
2012,1911,Paleontology,1,VA,2025-12-03 12:50:54
2012,3105,Instrumentation,1,VA,2025-12-03 12:50:54
2012,3304,Education,1,VA,2025-12-03 12:50:54
2012,3310,Linguistics and Language,1,VA,2025-12-03 12:50:54
2012,3312,Sociology and Political Science,1,VA,2025-12-03 12:50:54
2012,3504,Oral Surgery,1,VA,2025-12-03 12:50:54
2013,3103,Astronomy and Astrophysics,10,VA,2025-12-03 12:50:54
2013,1212,Religious studies,4,VA,2025-12-03 12:50:54
2013,3312,Sociology and Political Science,3,VA,2025-12-03 12:50:54
2013,1202,History,2,VA,2025-12-03 12:50:54
2013,3105,Instrumentation,2,VA,2025-12-03 12:50:54
2013,3106,Nuclear and High Energy Physics,2,VA,2025-12-03 12:50:54
2013,3109,Statistical and Nonlinear Physics,2,VA,2025-12-03 12:50:54
2013,3320,Political Science and International Relations,2,VA,2025-12-03 12:50:54
2013,1105,"Ecology, Evolution, Behavior and Systematics",1,VA,2025-12-03 12:50:54
2013,1204,Archeology,1,VA,2025-12-03 12:50:54
2013,1902,Atmospheric Science,1,VA,2025-12-03 12:50:54
2013,1908,Geophysics,1,VA,2025-12-03 12:50:54
2013,1911,Paleontology,1,VA,2025-12-03 12:50:54
2013,2731,Ophthalmology,1,VA,2025-12-03 12:50:54
2013,3314,Anthropology,1,VA,2025-12-03 12:50:54
2014,3103,Astronomy and Astrophysics,5,VA,2025-12-03 12:50:54
2014,1205,Classics,3,VA,2025-12-03 12:50:54
2014,3312,Sociology and Political Science,3,VA,2025-12-03 12:50:54
2014,1202,History,2,VA,2025-12-03 12:50:54
2014,1212,Religious studies,2,VA,2025-12-03 12:50:54
2014,3308,Law,2,VA,2025-12-03 12:50:54
2014,3320,Political Science and International Relations,2,VA,2025-12-03 12:50:54
2014,1207,History and Philosophy of Science,1,VA,2025-12-03 12:50:54
2014,1902,Atmospheric Science,1,VA,2025-12-03 12:50:54
2014,1908,Geophysics,1,VA,2025-12-03 12:50:54
2014,2206,Computational Mechanics,1,VA,2025-12-03 12:50:54
2014,2303,Ecology,1,VA,2025-12-03 12:50:54
2014,2739,"Public Health, Environmental and Occupational Health",1,VA,2025-12-03 12:50:54
2014,3105,Instrumentation,1,VA,2025-12-03 12:50:54
2014,3106,Nuclear and High Energy Physics,1,VA,2025-12-03 12:50:54
2014,3109,Statistical and Nonlinear Physics,1,VA,2025-12-03 12:50:54
2015,3312,Sociology and Political Science,9,VA,2025-12-03 12:50:54
2015,3103,Astronomy and Astrophysics,8,VA,2025-12-03 12:50:54
2015,1202,History,5,VA,2025-12-03 12:50:54
