subfield_id,subfield_name,title,doi,year,cited_by_count,id
3304,Education,Global Prevalence of Autism and Other Pervasive Developmental Disorders,https://doi.org/10.1002/aur.239,2012,2533,https://openalex.org/W2098251401
3304,Education,La actualidad de lo bello,,2010,253,https://openalex.org/W2259336871
3304,Education,"Educação não-formal, participação da sociedade civil e estruturas colegiadas nas escolas",https://doi.org/10.1590/s0104-40362006000100003,2006,215,https://openalex.org/W2133416652
3312,Sociology and Political Science,Pervasive human-driven decline of life on Earth points to the need for transformative change,https://doi.org/10.1126/science.aax3100,2019,2334,https://openalex.org/W2995840337
3312,Sociology and Political Science,"Standards of Care for the Health of Transgender and Gender Diverse People, Version 8",https://doi.org/10.1080/26895269.2022.2100644,2022,2076,https://openalex.org/W4294732694
3312,Sociology and Political Science,What is Social Learning?,https://doi.org/10.5751/es-03564-1504r01,2010,1477,https://openalex.org/W2582846779
1106,Food Science,The microbiome of uncontacted Amerindians,https://doi.org/10.1126/sciadv.1500183,2015,825,https://openalex.org/W1986189475
1106,Food Science,The genome of Theobroma cacao,https://doi.org/10.1038/ng.736,2010,755,https://openalex.org/W2092779913
1106,Food Science,High proportion of cactus species threatened with extinction,https://doi.org/10.1038/nplants.2015.142,2015,348,https://openalex.org/W2283941717
1312,Molecular Biology,Human gut microbiome viewed across age and geography,https://doi.org/10.1038/nature11053,2012,7526,https://openalex.org/W2162088497
1312,Molecular Biology,Delivery mode shapes the acquisition and structure of the initial microbiota across multiple body habitats in newborns,https://doi.org/10.1073/pnas.1002601107,2010,4526,https://openalex.org/W2023506796
1312,Molecular Biology,Plant abiotic stress response and nutrient use efficiency,https://doi.org/10.1007/s11427-020-1683-x,2020,1217,https://openalex.org/W3014364508
2739,"Public Health, Environmental and Occupational Health",Chronic obstructive pulmonary disease in five Latin American cities (the PLATINO study): a prevalence study,https://doi.org/10.1016/s0140-6736(05)67632-5,2005,992,https://openalex.org/W2145964444
2739,"Public Health, Environmental and Occupational Health",Drug resistance and treatment failure in leishmaniasis: A 21st century challenge,https://doi.org/10.1371/journal.pntd.0006052,2017,885,https://openalex.org/W2775643792
2739,"Public Health, Environmental and Occupational Health",Phlebotomine sandflies and the spreading of leishmaniases and other diseases of public health concern,https://doi.org/10.1111/j.1365-2915.2012.01034.x,2012,807,https://openalex.org/W2021737775
1110,Plant Science,"Global maize production, utilization, and consumption",https://doi.org/10.1111/nyas.12396,2014,1241,https://openalex.org/W1812582463
1110,Plant Science,Plant abiotic stress response and nutrient use efficiency,https://doi.org/10.1007/s11427-020-1683-x,2020,1217,https://openalex.org/W3014364508
1110,Plant Science,Causes of decreased photosynthetic rate and metabolic capacity in water-deficient leaf cells: a critical evaluation of mechanisms and integration of processes,https://doi.org/10.1093/aob/mcn244,2009,802,https://openalex.org/W2106628473
3320,Political Science and International Relations,Determinants of Human Rights Attitudes and Behavior: A Comparison and Integration of Psychological Perspectives,https://doi.org/10.1111/j.1467-9221.2007.00581.x,2007,145,https://openalex.org/W2123955118
3320,Political Science and International Relations,Implementing and managing e-government: An international text,,2007,110,https://openalex.org/W1638659111
3320,Political Science and International Relations,A comparative study of legitimation strategies in hybrid regimes,https://doi.org/10.1080/01442872.2016.1157855,2016,102,https://openalex.org/W2346558762
2002,Economics and Econometrics,Averting biodiversity collapse in tropical forest protected areas,https://doi.org/10.1038/nature11318,2012,1157,https://openalex.org/W2098816950
2002,Economics and Econometrics,"The role of forest conversion, degradation, and disturbance in the carbon dynamics of Amazon indigenous territories and protected areas",https://doi.org/10.1073/pnas.1913321117,2020,308,https://openalex.org/W3004220838
2002,Economics and Econometrics,FDiversity: a software package for the integrated analysis of functional diversity,https://doi.org/10.1111/j.2041-210x.2010.00082.x,2010,285,https://openalex.org/W1481073650
2713,Epidemiology,Delivery mode shapes the acquisition and structure of the initial microbiota across multiple body habitats in newborns,https://doi.org/10.1073/pnas.1002601107,2010,4526,https://openalex.org/W2023506796
2713,Epidemiology,Human papillomavirus genotype attribution in invasive cervical cancer: a retrospective cross-sectional worldwide study,https://doi.org/10.1016/s1470-2045(10)70230-8,2010,2627,https://openalex.org/W2139736159
2713,Epidemiology,Global Prevalence of Autism and Other Pervasive Developmental Disorders,https://doi.org/10.1002/aur.239,2012,2533,https://openalex.org/W2098251401
3600,General Health Professions,Human gut microbiome viewed across age and geography,https://doi.org/10.1038/nature11053,2012,7526,https://openalex.org/W2162088497
3600,General Health Professions,What is Social Learning?,https://doi.org/10.5751/es-03564-1504r01,2010,1477,https://openalex.org/W2582846779
3600,General Health Professions,Indigenous and tribal peoples' health (The Lancet–Lowitja Institute Global Collaboration): a population study,https://doi.org/10.1016/s0140-6736(16)00345-7,2016,940,https://openalex.org/W2337611556
