year,id,name,works_count,country,fetch_date
2005,3304,Education,267,VE,2025-12-01 18:53:23
2005,3312,Sociology and Political Science,193,VE,2025-12-01 18:53:23
2005,1106,Food Science,192,VE,2025-12-01 18:53:23
2005,1110,Plant Science,184,VE,2025-12-01 18:53:23
2005,1312,Molecular Biology,170,VE,2025-12-01 18:53:23
2005,3320,Political Science and International Relations,127,VE,2025-12-01 18:53:23
2005,2713,Epidemiology,124,VE,2025-12-01 18:53:23
2005,2739,"Public Health, Environmental and Occupational Health",118,VE,2025-12-01 18:53:23
2005,2002,Economics and Econometrics,88,VE,2025-12-01 18:53:23
2005,1100,General Agricultural and Biological Sciences,86,VE,2025-12-01 18:53:23
2005,3600,General Health Professions,81,VE,2025-12-01 18:53:23
2005,3310,Linguistics and Language,48,VE,2025-12-01 18:53:23
2005,3317,Demography,48,VE,2025-12-01 18:53:23
2005,1710,Information Systems,42,VE,2025-12-01 18:53:23
2005,1407,Organizational Behavior and Human Resource Management,40,VE,2025-12-01 18:53:23
2005,2725,Infectious Diseases,38,VE,2025-12-01 18:53:23
2005,1105,"Ecology, Evolution, Behavior and Systematics",35,VE,2025-12-01 18:53:23
2005,3300,General Social Sciences,32,VE,2025-12-01 18:53:23
2005,1311,Genetics,30,VE,2025-12-01 18:53:23
2005,3308,Law,29,VE,2025-12-01 18:53:23
2005,3303,Development,28,VE,2025-12-01 18:53:23
2005,2746,Surgery,25,VE,2025-12-01 18:53:23
2005,1305,Biotechnology,24,VE,2025-12-01 18:53:23
2005,1307,Cell Biology,24,VE,2025-12-01 18:53:23
2005,1605,Organic Chemistry,23,VE,2025-12-01 18:53:23
2005,1109,Insect Science,22,VE,2025-12-01 18:53:23
2005,1402,Accounting,22,VE,2025-12-01 18:53:23
2005,1706,Computer Science Applications,22,VE,2025-12-01 18:53:23
2005,2916,Nutrition and Dietetics,21,VE,2025-12-01 18:53:23
2005,3311,Safety Research,20,VE,2025-12-01 18:53:23
2005,3316,Cultural Studies,20,VE,2025-12-01 18:53:23
2005,2737,Physiology,19,VE,2025-12-01 18:53:23
2005,1102,Agronomy and Crop Science,18,VE,2025-12-01 18:53:23
2005,1103,Animal Science and Zoology,17,VE,2025-12-01 18:53:23
2005,1211,Philosophy,17,VE,2025-12-01 18:53:23
2005,2705,Cardiology and Cardiovascular Medicine,17,VE,2025-12-01 18:53:23
2005,1107,Forestry,16,VE,2025-12-01 18:53:23
2005,2405,Parasitology,16,VE,2025-12-01 18:53:23
2005,2204,Biomedical Engineering,15,VE,2025-12-01 18:53:23
2005,2730,Oncology,15,VE,2025-12-01 18:53:23
2005,2736,Pharmacology,15,VE,2025-12-01 18:53:23
2005,3203,Clinical Psychology,15,VE,2025-12-01 18:53:23
2005,1111,Soil Science,14,VE,2025-12-01 18:53:23
2005,1203,Language and Linguistics,14,VE,2025-12-01 18:53:23
2005,2712,"Endocrinology, Diabetes and Metabolism",14,VE,2025-12-01 18:53:23
2005,3404,Small Animals,14,VE,2025-12-01 18:53:23
2005,2000,"General Economics, Econometrics and Finance",13,VE,2025-12-01 18:53:23
2005,1208,Literature and Literary Theory,12,VE,2025-12-01 18:53:23
2005,2303,Ecology,12,VE,2025-12-01 18:53:23
2005,2403,Immunology,12,VE,2025-12-01 18:53:23
2005,3205,Experimental and Cognitive Psychology,12,VE,2025-12-01 18:53:23
2005,3322,Urban Studies,12,VE,2025-12-01 18:53:23
2005,1202,History,11,VE,2025-12-01 18:53:23
2005,2308,"Management, Monitoring, Policy and Law",11,VE,2025-12-01 18:53:23
2005,2309,Nature and Landscape Conservation,11,VE,2025-12-01 18:53:23
2005,3315,Communication,11,VE,2025-12-01 18:53:23
2005,1408,Strategy and Management,10,VE,2025-12-01 18:53:23
2005,2740,Pulmonary and Respiratory Medicine,10,VE,2025-12-01 18:53:23
2005,3207,Social Psychology,10,VE,2025-12-01 18:53:23
2005,2306,Global and Planetary Change,9,VE,2025-12-01 18:53:23
2005,2312,Water Science and Technology,9,VE,2025-12-01 18:53:23
2005,2804,Cellular and Molecular Neuroscience,9,VE,2025-12-01 18:53:23
2005,3004,Pharmacology,9,VE,2025-12-01 18:53:23
2005,1306,Cancer Research,8,VE,2025-12-01 18:53:23
2005,1404,Management Information Systems,8,VE,2025-12-01 18:53:23
2005,1702,Artificial Intelligence,8,VE,2025-12-01 18:53:23
2005,2105,"Renewable Energy, Sustainability and the Environment",8,VE,2025-12-01 18:53:23
2005,3204,Developmental and Educational Psychology,8,VE,2025-12-01 18:53:23
2005,3306,Health,8,VE,2025-12-01 18:53:23
2005,2307,"Health, Toxicology and Mutagenesis",7,VE,2025-12-01 18:53:23
2005,2708,Dermatology,7,VE,2025-12-01 18:53:23
