subfield_id,subfield_name,title,doi,year,cited_by_count,id
2212,Ocean Engineering,Modeling of Hydraulic Fracture Network Propagation in a Naturally Fractured Formation,https://doi.org/10.2118/140253-ms,2011,585,https://openalex.org/W2107059731
2212,Ocean Engineering,Stimulating Unconventional Reservoirs: Maximizing Network Growth While Optimizing Fracture Conductivity,https://doi.org/10.2118/114173-pa,2009,410,https://openalex.org/W2162997585
2212,Ocean Engineering,Operational overview of the first offshore production test of methane hydrates in the Eastern Nankai Trough,https://doi.org/10.4043/25243-ms,2014,361,https://openalex.org/W2011647863
2212,Ocean Engineering,Results of the Brugge Benchmark Study for Flooding Optimization and History Matching,https://doi.org/10.2118/119094-pa,2010,347,https://openalex.org/W2058488613
2212,Ocean Engineering,Numerical Modeling of Hydraulic Fractures Interaction in Complex Naturally Fractured Formations,https://doi.org/10.1007/s00603-012-0359-2,2013,333,https://openalex.org/W1984794867
2212,Ocean Engineering,Evaluation of Production Log Data from Horizontal Wells Drilled in Organic Shales,https://doi.org/10.2118/144326-ms,2011,331,https://openalex.org/W2002321052
2212,Ocean Engineering,Modeling of Hydraulic-Fracture-Network Propagation in a Naturally Fractured Formation,https://doi.org/10.2118/140253-pa,2011,322,https://openalex.org/W4242628645
2212,Ocean Engineering,Hydraulic Fracture Crossing Natural Fracture at Nonorthogonal Angles: A Criterion and Its Validation,https://doi.org/10.2118/139984-pa,2012,314,https://openalex.org/W2078036575
2212,Ocean Engineering,Drift-Flux Modeling of Two-Phase Flow in Wellbores,https://doi.org/10.2118/84228-pa,2005,292,https://openalex.org/W2038297638
2212,Ocean Engineering,"The Relationship Between Fracture Complexity, Reservoir Properties, and Fracture-Treatment Design",https://doi.org/10.2118/115769-pa,2010,232,https://openalex.org/W2122763259
2210,Mechanical Engineering,Modeling of Hydraulic Fracture Network Propagation in a Naturally Fractured Formation,https://doi.org/10.2118/140253-ms,2011,585,https://openalex.org/W2107059731
2210,Mechanical Engineering,Stimulating Unconventional Reservoirs: Maximizing Network Growth While Optimizing Fracture Conductivity,https://doi.org/10.2118/114173-pa,2009,410,https://openalex.org/W2162997585
2210,Mechanical Engineering,Results of the Brugge Benchmark Study for Flooding Optimization and History Matching,https://doi.org/10.2118/119094-pa,2010,347,https://openalex.org/W2058488613
2210,Mechanical Engineering,Numerical Modeling of Hydraulic Fractures Interaction in Complex Naturally Fractured Formations,https://doi.org/10.1007/s00603-012-0359-2,2013,333,https://openalex.org/W1984794867
2210,Mechanical Engineering,Evaluation of Production Log Data from Horizontal Wells Drilled in Organic Shales,https://doi.org/10.2118/144326-ms,2011,331,https://openalex.org/W2002321052
2210,Mechanical Engineering,Modeling of Hydraulic-Fracture-Network Propagation in a Naturally Fractured Formation,https://doi.org/10.2118/140253-pa,2011,322,https://openalex.org/W4242628645
2210,Mechanical Engineering,Hydraulic Fracture Crossing Natural Fracture at Nonorthogonal Angles: A Criterion and Its Validation,https://doi.org/10.2118/139984-pa,2012,314,https://openalex.org/W2078036575
2210,Mechanical Engineering,Drift-Flux Modeling of Two-Phase Flow in Wellbores,https://doi.org/10.2118/84228-pa,2005,292,https://openalex.org/W2038297638
2210,Mechanical Engineering,"Formation, Removal, and Inhibition of Inorganic Scale in the Oilfield Environment",https://doi.org/10.2118/9781555631406,2008,245,https://openalex.org/W2556020344
2210,Mechanical Engineering,"The Relationship Between Fracture Complexity, Reservoir Properties, and Fracture-Treatment Design",https://doi.org/10.2118/115769-pa,2010,232,https://openalex.org/W2122763259
1908,Geophysics,Modeling of Hydraulic Fracture Network Propagation in a Naturally Fractured Formation,https://doi.org/10.2118/140253-ms,2011,585,https://openalex.org/W2107059731
1908,Geophysics,Stimulating Unconventional Reservoirs: Maximizing Network Growth While Optimizing Fracture Conductivity,https://doi.org/10.2118/114173-pa,2009,410,https://openalex.org/W2162997585
1908,Geophysics,Modeling of Hydraulic-Fracture-Network Propagation in a Naturally Fractured Formation,https://doi.org/10.2118/140253-pa,2011,322,https://openalex.org/W4242628645
1908,Geophysics,Hydraulic Fracture Crossing Natural Fracture at Nonorthogonal Angles: A Criterion and Its Validation,https://doi.org/10.2118/139984-pa,2012,314,https://openalex.org/W2078036575
1908,Geophysics,Quantitative analysis of time-lapse seismic monitoring data at the Sleipner CO2 storage operation,https://doi.org/10.1190/1.3304820,2010,257,https://openalex.org/W2011952715
1908,Geophysics,Seismic-to-Simulation for Unconventional Reservoir Development,https://doi.org/10.2118/146876-ms,2011,214,https://openalex.org/W2079235624
1908,Geophysics,Modeling of Interaction of Hydraulic Fractures in Complex Fracture Networks,https://doi.org/10.2118/152052-ms,2012,210,https://openalex.org/W3019696665
1908,Geophysics,Dielectric Dispersion: A New Wireline Petrophysical Measurement,https://doi.org/10.2118/116130-ms,2008,178,https://openalex.org/W1970957283
1908,Geophysics,Integrating Microseismic Mapping and Complex Fracture Modeling to Characterize Fracture Complexity,https://doi.org/10.2118/140185-ms,2011,174,https://openalex.org/W2071095224
1908,Geophysics,Anisotropic Stress Models Improve Completion Design in the Baxter Shale,https://doi.org/10.2118/115736-ms,2008,170,https://openalex.org/W2030585704
